Unnamed: 0,Class,Intensity,Lipid,Parent_Ion,Product_Ion,Sample_ID,Transition
1769,,23827.721675872803,,850.8,633.6,11282023_FAD184_F4_WT_hippo_O3on_01,850.8 -> 633.6
1770,TAG,53396.04325866699,[TG(51:6)]_FA16:1,854.7,583.4,11282023_FAD184_F4_WT_hippo_O3on_01,854.7 -> 583.4
1771,TAG,24018.8217163086,"[TG(52:7),TG(51:0)]_FA18:1",866.8,567.5,11282023_FAD184_F4_WT_hippo_O3on_01,866.8 -> 567.5
1772,TAG,24043.30170822144,[TG(52:6)]_FA18:2,868.8,571.5,11282023_FAD184_F4_WT_hippo_O3on_01,868.8 -> 571.5
1773,,23910.20164871216,,868.8,651.6,11282023_FAD184_F4_WT_hippo_O3on_01,868.8 -> 651.6
1774,,23744.96169662476,,870.7,653.5,11282023_FAD184_F4_WT_hippo_O3on_01,870.7 -> 653.5
1775,TAG,23901.201690673828,[TG(52:5)]_FA16:1,870.8,599.5,11282023_FAD184_F4_WT_hippo_O3on_01,870.8 -> 599.5
1776,,23745.0016746521,,872.7,655.5,11282023_FAD184_F4_WT_hippo_O3on_01,872.7 -> 655.5
1777,,23817.641677856445,,874.8,657.6,11282023_FAD184_F4_WT_hippo_O3on_01,874.8 -> 657.6
1778,TAG,23746.26170349121,[TG(53:6)]_FA18:1,882.8,583.5,11282023_FAD184_F4_WT_hippo_O3on_01,882.8 -> 583.5
1779,TAG,24287.80168533325,[TG(54:6)]_FA18:1,896.8,597.5,11282023_FAD184_F4_WT_hippo_O3on_01,896.8 -> 597.5
1780,TAG,27451.58193588257,[TG(54:5)]_FA18:1,898.8,599.5,11282023_FAD184_F4_WT_hippo_O3on_01,898.8 -> 599.5
1781,TAG,46260.70318603516,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11282023_FAD184_F4_WT_hippo_O3on_01,900.8 -> 601.5
1782,TAG,23826.001735687256,"[TG(55:11),TG(54:4)]_FA16:1",900.8,629.5,11282023_FAD184_F4_WT_hippo_O3on_01,900.8 -> 629.5
1783,TAG,195248.41422271729,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11282023_FAD184_F4_WT_hippo_O3on_01,902.8 -> 603.5
1784,TAG,69370.90491104126,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11282023_FAD184_F4_WT_hippo_O3on_01,904.8 -> 605.5
1785,TAG,27352.44189071656,"[TG(55:8),TG(54:1)]_FA18:1",906.8,607.5,11282023_FAD184_F4_WT_hippo_O3on_01,906.8 -> 607.5
1786,TAG,23746.78163909912,"[TG(55:7),TG(54:0)]_FA16:1",908.9,637.6,11282023_FAD184_F4_WT_hippo_O3on_01,908.9 -> 637.6
1787,TAG,24111.021675109863,"[TG(56:11),TG(55:4)]_FA18:1",914.8,615.5,11282023_FAD184_F4_WT_hippo_O3on_01,914.8 -> 615.5
1788,TAG,24054.58170700073,"[TG(56:10),TG(55:3)]_FA18:1",916.8,617.5,11282023_FAD184_F4_WT_hippo_O3on_01,916.8 -> 617.5
1789,TAG,23796.361667633057,"[TG(56:7),TG(55:0)]_FA18:1",922.9,623.6,11282023_FAD184_F4_WT_hippo_O3on_01,922.9 -> 623.6
1790,TAG,23718.541721344,"[TG(56:7),TG(55:0)]_FA16:1",922.9,651.6,11282023_FAD184_F4_WT_hippo_O3on_01,922.9 -> 651.6
1791,TAG,23744.74168395996,[TG(56:6)]_FA18:1,924.8,625.5,11282023_FAD184_F4_WT_hippo_O3on_01,924.8 -> 625.5
1792,TAG,23912.68169403076,"[TG(57:12),TG(56:5)]_FA18:1",926.8,627.5,11282023_FAD184_F4_WT_hippo_O3on_01,926.8 -> 627.5
1793,TAG,23787.24171447754,"[TG(57:11),TG(56:4)]_FA18:1",928.8,629.5,11282023_FAD184_F4_WT_hippo_O3on_01,928.8 -> 629.5
1794,TAG,23801.821704864506,"[TG(57:10),TG(56:3)]_FA18:1",930.6,631.5,11282023_FAD184_F4_WT_hippo_O3on_01,930.6 -> 631.5
