Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Biology,Genotype,FAC,TG,Group,Max_Intensity,Cluster_RT,Cluster_Ground_Truth_Dif,Area,Area_DDT,Area_DDT_Ratio,Mouse,SLBG_group
[TG(52:5)]_FA16:1,11282023_DOD94_F3_WT_cereb_O3on_01,n-7,788.7,599.5,12.02,673.0,cereb,WT,FA16:1,TG(52:5),120,673.0,12.0152,0.015200000000000102,51.0,36.0,0.0,DOD94_F3,14
[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-7,788.7,599.5,12.02,26428.0,cereb,WT,FA16:1,TG(52:5),123,26428.0,12.015183333333335,0.015183333333334659,2988.0,2903.0,0.09,FAD185_M4,19
[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-9,760.7,599.5,12.07,2939.0,cereb,WT,FA16:1,TG(52:5),143,2939.0,12.0675,0.06750000000000078,265.0,249.0,0.09,FAD185_M4,19
[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_cereb_O3on_01,n-7,788.7,599.5,12.02,6437.0,cereb,WT,FA16:1,TG(52:5),124,6437.0,12.015233333333335,0.015233333333334542,616.0,616.0,0.12,FAD189_M3,23
[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_cereb_O3on_01,n-9,760.7,599.5,12.07,1045.0,cereb,WT,FA16:1,TG(52:5),144,1045.0,12.067533333333333,0.06753333333333345,86.0,74.0,0.12,FAD189_M3,23
[TG(52:5)]_FA16:1,11282023_DOD94_F3_WT_cortex_O3on_01,n-7,788.7,599.5,12.02,1126.0,cortex,WT,FA16:1,TG(52:5),125,1126.0,12.0152,0.015200000000000102,80.0,59.0,0.0,DOD94_F3,15
[TG(52:5)]_FA16:1,11282023_FAD184_F3_WT_cortex_O3on_01,n-7,788.7,599.5,12.02,3221.0,cortex,WT,FA16:1,TG(52:5),126,3221.0,12.015450000000001,0.015450000000001296,260.0,251.0,0.0,FAD184_F3,17
[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-7,788.7,599.5,12.02,16896.0,cortex,WT,FA16:1,TG(52:5),128,16896.0,12.0152,0.015200000000000102,1650.0,1626.0,0.15,FAD185_M4,20
[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-9,760.7,599.5,12.07,3054.0,cortex,WT,FA16:1,TG(52:5),148,3054.0,12.0675,0.06750000000000078,254.0,242.0,0.15,FAD185_M4,20
[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-7,788.7,599.5,11.97,17455.0,cortex,WT,FA16:1,TG(52:5),129,17455.0,11.9708,0.02919999999999945,1827.0,1736.0,0.09,FAD189_M3,24
[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-9,760.7,599.5,12.07,1638.0,cortex,WT,FA16:1,TG(52:5),149,1638.0,12.067516666666668,0.067516666666668,185.0,163.0,0.09,FAD189_M3,24
[TG(52:5)]_FA16:1,11282023_DOD94_F3_WT_dienc_O3on_01,n-7,788.7,599.5,12.1,1567.0,dienc,WT,FA16:1,TG(52:5),130,1567.0,12.104016666666666,0.10401666666666642,108.0,79.0,0.0,DOD94_F3,16
