Lipid,Class,FAD185_M1_Male_5xFAD_cerebellum_x,FAD185_M1_Male_5xFAD_cortex ,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_cerebellum_x,FAD185_M3_Male_5xFAD_cortex ,FAD185_M3_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_hippocampus,FAD189_M1_Male_5xFAD_cerebellum_x,FAD189_M1_Male_5xFAD_cortex ,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_cerebellum_x,FAD189_M2_Male_5xFAD_cortex ,FAD189_M2_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_hippocampus,DOD93_F4_Female_5xFAD_cerebellum,DOD94_F3_Female_WT_cerebellum,DOD94_F4_Female_5xFAD_cerebellum,FAD184_F3_Female_WT_cerebellum,FAD184_F4_Female_WT_cerebellum,FAD185_M1_Male_5xFAD_cerebellum_y,FAD185_M3_Male_5xFAD_cerebellum_y,FAD185_M4_Male_WT_cerebellum,FAD189_M1_Male_5xFAD_cerebellum_y,FAD189_M2_Male_5xFAD_cerebellum_y,FAD189_M3_Male_WT_cerebellum,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,6651.2405128479,8606.400630950928,8591.540615081787,9422.880630493164,8121.900547027588,8032.560604095459,8456.700565338135,8103.28050994873,8728.280662536621,9455.100658416748,7244.800518035889,7853.820575714111,9943.4807472229,8996.280673980713,7988.360569000244,7526.620525360107,9689.680694580078,9103.68058013916,8318.060626983643,9683.860694885254,8625.36058807373,6651.2405128479,8121.900547027588,8661.080646514893,8728.280662536621,9943.4807472229,9001.020645141602,13441.081062316896,Sex: Male | Genotype: 5xFAD,Brain Region: cerebellum,Sex: Male__Genotype: 5xFAD vs Brain Region: cerebellum_,16,11,Blank_Blank_Blank_Blank_Blank
1-O-carboceroyl-Cer(d18:1/18:0),Cer,5350.420387268066,5083.880325317383,4904.220375061035,4728.700328826904,5962.440380096436,4992.280368804932,5379.720378875732,5426.940364837647,5874.600440979004,5169.540332794189,5725.460376739502,4840.38032913208,5175.200336456299,5385.900367736816,5644.440383911133,6039.360454559326,5799.040378570557,5613.700408935547,5115.880325317383,5562.780384063721,4875.940368652344,5350.420387268066,5962.440380096436,5883.54044342041,5874.600440979004,5175.200336456299,5280.9404220581055,10754.940727233889,Sex: Male | Genotype: 5xFAD,Brain Region: cerebellum,Sex: Male__Genotype: 5xFAD vs Brain Region: cerebellum_,16,11,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/16:0),Cer,7565.280529022217,7682.240562438965,7001.560474395752,7963.640594482422,7315.440525054932,7889.780548095703,7538.640537261963,7556.000484466553,7504.920520782471,7599.900527954102,7471.060592651367,8617.040580749512,7392.36047744751,8540.080627441406,8155.760627746582,7841.540504455566,7474.940441131592,9730.06069946289,8573.660594940186,8437.140621185303,7827.200603485107,7565.280529022217,7315.440525054932,8735.280536651611,7504.920520782471,7392.36047744751,8516.400615692139,27056.321769714355,Sex: Male | Genotype: 5xFAD,Brain Region: cerebellum,Sex: Male__Genotype: 5xFAD vs Brain Region: cerebellum_,16,11,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/18:0),Cer,6531.320476531982,6025.6804122924805,7272.500537872314,7387.7204666137695,6674.2204513549805,6531.6804122924805,6505.300563812256,6929.780529022217,6680.120403289795,6861.660495758057,7301.840469360352,7407.040462493896,6891.000469207764,6835.160507202148,6282.000431060791,7077.020511627197,7792.660556793213,8455.640617370605,7122.800559997559,7462.060451507568,7081.580478668213,6531.320476531982,6674.2204513549805,6981.180500030518,6680.120403289795,6891.000469207764,7391.100601196289,68355.16482543945,Sex: Male | Genotype: 5xFAD,Brain Region: cerebellum,Sex: Male__Genotype: 5xFAD vs Brain Region: cerebellum_,16,11,Blank_Blank_Blank_Blank_Blank
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,9414.240657806396,10164.000652313232,9587.62073135376,9144.52071762085,8958.880603790283,9522.38064956665,9831.780689239502,9044.040603637695,9010.560565948486,9627.140628814695,9431.900661468506,9532.360694885254,10723.620670318604,8906.200630187988,11028.820724487305,7362.540512084961,9364.940658569336,10079.72078704834,9801.420639038086,11471.380874633787,9993.420696258543,9414.240657806396,8958.880603790283,10219.000663757324,9010.560565948486,10723.620670318604,10520.740711212158,13193.50090789795,Sex: Male | Genotype: 5xFAD,Brain Region: cerebellum,Sex: Male__Genotype: 5xFAD vs Brain Region: cerebellum_,16,11,Blank_Blank_Blank_Blank_Blank
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,7164.900501251221,8036.820648193359,6957.680545806885,8497.62064743042,7889.580490112305,7571.140548706055,8124.060531616211,6567.540424346924,9662.620708465576,8321.620628356934,9102.000686645508,8389.480564117432,8948.160636901855,8472.860595703125,7994.120590209961,8646.800594329834,6948.380500793457,8531.740585327148,9086.820735931396,8534.840595245361,8146.100612640381,7164.900501251221,7889.580490112305,6952.5604820251465,9662.620708465576,8948.160636901855,7945.700611114502,13192.94090270996,Sex: Male | Genotype: 5xFAD,Brain Region: cerebellum,Sex: Male__Genotype: 5xFAD vs Brain Region: cerebellum_,16,11,Blank_Blank_Blank_Blank_Blank
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,7688.400592803955,7200.280479431152,8537.620693206787,9095.020606994629,7641.720508575439,7675.76053237915,9896.980716705322,7373.140491485596,8867.580646514893,7982.120601654053,7627.180492401123,8424.600608825684,8476.04061126709,8871.46057510376,8867.140655517578,8506.620639801025,9166.600620269775,8585.500629425049,7844.560554504394,8184.160671234131,7845.4605140686035,7688.400592803955,7641.720508575439,8179.280578613281,8867.580646514893,8476.04061126709,8828.020603179932,12938.94090270996,Sex: Male | Genotype: 5xFAD,Brain Region: cerebellum,Sex: Male__Genotype: 5xFAD vs Brain Region: cerebellum_,16,11,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,8411.940547943115,9140.360649108889,8683.720638275146,7998.040481567383,9123.76065826416,8521.640590667725,8911.160659790039,8090.720592498779,8241.660564422607,7924.540603637695,8944.500610351562,8871.680603027344,9300.860637664797,8394.86054611206,9326.140670776367,10224.440731048584,9683.500770568848,9094.540645599363,8104.660575866699,9039.380615234377,8792.560592651367,8411.940547943115,9123.76065826416,9397.540691375732,8241.660564422607,9300.860637664797,9237.920612335203,13541.00082397461,Sex: Male | Genotype: 5xFAD,Brain Region: cerebellum,Sex: Male__Genotype: 5xFAD vs Brain Region: cerebellum_,16,11,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,5538.38037109375,4806.460300445557,4302.840286254883,4462.100303649902,4207.600303649902,4541.100345611572,4359.140319824219,4042.78031539917,4185.040294647217,4736.000328063965,5430.340396881104,4141.960292816162,4203.360305786133,4317.760311126709,4872.92036819458,4958.100357055664,5406.7203941345215,4893.760341644287,5042.760368347168,4238.940307617188,4325.000301361084,5538.38037109375,4207.600303649902,4082.340297698975,4185.040294647217,4203.360305786133,5002.220348358154,7750.14049911499,Sex: Male | Genotype: 5xFAD,Brain Region: cerebellum,Sex: Male__Genotype: 5xFAD vs Brain Region: cerebellum_,16,11,Blank_Blank_Blank_Blank_Blank
CAR,CAR,42941.82299804688,45573.5832824707,43133.10283660889,44156.24300765991,45300.703125,43828.32273101807,44140.14300537109,43946.92301940918,44319.92311859131,42878.10280609131,43654.66324234009,44124.86301803589,44849.38299560547,45222.9833984375,45301.8030090332,42652.34308624268,48045.42339324951,44239.42311859131,44804.78328704834,45977.12314987183,44137.56300354004,42941.82299804688,45300.703125,46440.56329345703,44319.92311859131,44849.38299560547,44907.54349899292,43366.06298828125,Sex: Male | Genotype: 5xFAD,Brain Region: cerebellum,Sex: Male__Genotype: 5xFAD vs Brain Region: cerebellum_,16,11,Blank_Blank_Blank_Blank_Blank
