Lipid,Parent_Ion,Product_Ion,Species,Class,DB Location,FA mass,[FA+AMP]+
FA(5:0),269.3,183,5:0,FA,NaN,102.20000000000002,281.3
FA(6:0),283.3,183,6:0,FA,NaN,116.20000000000002,295.3
FA(7:0),297.3,183,7:0,FA,NaN,130.20000000000002,309.3
FA(8:0),311.3,183,8:0,FA,NaN,144.20000000000002,323.3
FA(9:0),325.3,183,9:0,FA,NaN,158.20000000000002,337.3
FA(10:0),339.3,183,10:0,FA,NaN,172.20000000000002,351.3
FA(11:0),353.3,183,11:0,FA,NaN,186.20000000000002,365.3
FA(12:0),367.3,183,12:0,FA,NaN,200.20000000000002,379.3
FA(13:0),381.3,183,13:0,FA,NaN,214.20000000000002,393.3
FA(14:0),395.3,183,14:0,FA,NaN,228.20000000000002,407.3
FA(15:0),409.3,183,15:0,FA,NaN,242.20000000000002,421.3
FA(16:0),423.3,183,16:0,FA,NaN,256.20000000000005,435.3
FA(17:0),437.3,183,17:0,FA,NaN,270.20000000000005,449.3
FA(18:0),451.3,183,18:0,FA,NaN,284.20000000000005,463.3
FA(19:0),465.3,183,19:0,FA,NaN,298.20000000000005,477.3
FA(20:0),479.3,183,20:0,FA,NaN,312.20000000000005,491.3
FA(21:0),493.3,183,21:0,FA,NaN,326.20000000000005,505.3
FA(22:0),507.3,183,22:0,FA,NaN,340.20000000000005,519.3
FA(23:0),521.3,183,23:0,FA,NaN,354.19999999999993,533.3
FA(24:0),535.3,183,24:0,FA,NaN,368.19999999999993,547.3
FA(25:0),549.3,183,25:0,FA,NaN,382.19999999999993,561.3
FA(26:0),563.3,183,26:0,FA,NaN,396.19999999999993,575.3
FA(27:0),577.3,183,27:0,FA,NaN,410.19999999999993,589.3
FA(28:0),591.3,183,28:0,FA,NaN,424.19999999999993,603.3
FA(29:0),605.3,183,29:0,FA,NaN,438.19999999999993,617.3
FA(30:0),619.3,183,30:0,FA,NaN,452.19999999999993,631.3
FA(d2-16:0),425.4,183,d2-16:0,FA,NaN,258.29999999999995,437.4
