Lipid,Parent_Ion,Product_Ion,Species,Class,DB Location,FA mass,[FA+AMP]+
FA(5:0),269.3,183.0,5:0,FA,,102.20000000000002,281.3
FA(6:0),283.3,183.0,6:0,FA,,116.20000000000002,295.3
FA(6:1)_<>_n-2,269.2,183.0,6:1,FA,<>,114.1,281.2
FA(6:1)_<>_n-3,255.2,183.0,6:1,FA,<>,114.1,281.2
FA(6:1)_<>_n-4,241.2,183.0,6:1,FA,<>,114.1,281.2
FA(6:2)_<F>_n-2,269.2,183.0,6:2,FA,<F>,112.1,279.2
FA(6:2)_<B>_n-2,267.2,183.0,6:2,FA,<B>,112.1,279.2
FA(6:2)_<F>_n-3,255.2,183.0,6:2,FA,<F>,112.1,279.2
FA(6:2)_<B>_n-3,253.2,183.0,6:2,FA,<B>,112.1,279.2
FA(6:2)_<F>_n-4,241.2,183.0,6:2,FA,<F>,112.1,279.2
FA(6:3)_<BF>_n-2,267.2,183.0,6:3,FA,<BF>,110.1,277.2
FA(6:3)_<BB>_n-2,265.2,183.0,6:3,FA,<BB>,110.1,277.2
FA(6:3)_<FF>_n-3,255.2,183.0,6:3,FA,<FF>,110.1,277.2
FA(6:3)_<BF>_n-3,253.2,183.0,6:3,FA,<BF>,110.1,277.2
FA(6:3)_<FF>_n-4,241.2,183.0,6:3,FA,<FF>,110.1,277.2
FA(6:4)_<BBF>_n-2,265.2,183.0,6:4,FA,<BBF>,108.1,275.2
FA(6:4)_<BFF>_n-3,253.2,183.0,6:4,FA,<BFF>,108.1,275.2
FA(6:4)_<FFF>_n-4,241.2,183.0,6:4,FA,<FFF>,108.1,275.2
FA(7:0),297.3,183.0,7:0,FA,,130.20000000000002,309.3
FA(7:1)_<>_n-2,283.2,183.0,7:1,FA,<>,128.1,295.2
FA(7:1)_<>_n-3,269.2,183.0,7:1,FA,<>,128.1,295.2
FA(7:1)_<>_n-4,255.2,183.0,7:1,FA,<>,128.1,295.2
FA(7:1)_<>_n-5,241.2,183.0,7:1,FA,<>,128.1,295.2
FA(7:2)_<F>_n-2,283.2,183.0,7:2,FA,<F>,126.1,293.2
FA(7:2)_<B>_n-2,281.2,183.0,7:2,FA,<B>,126.1,293.2
FA(7:2)_<F>_n-3,269.2,183.0,7:2,FA,<F>,126.1,293.2
FA(7:2)_<B>_n-3,267.2,183.0,7:2,FA,<B>,126.1,293.2
FA(7:2)_<F>_n-4,255.2,183.0,7:2,FA,<F>,126.1,293.2
