Lipid,Parent_Ion,Chain length,DB Number,DB Location,FA mass,[FA+AMP]+
FA(6:1)_<>_n-2,269.2,6,1,<>,114.1,281.2
FA(6:1)_<>_n-3,255.2,6,1,<>,114.1,281.2
FA(6:1)_<>_n-4,241.2,6,1,<>,114.1,281.2
FA(6:2)_<B>_n-2,267.2,6,2,<B>,112.1,279.2
FA(6:2)_<B>_n-3,253.2,6,2,<B>,112.1,279.2
FA(6:2)_<F>_n-2,269.2,6,2,<F>,112.1,279.2
FA(6:2)_<F>_n-3,255.2,6,2,<F>,112.1,279.2
FA(6:2)_<F>_n-4,241.2,6,2,<F>,112.1,279.2
FA(6:3)_<BB>_n-2,265.2,6,3,<BB>,110.1,277.2
FA(6:3)_<BF>_n-2,267.2,6,3,<BF>,110.1,277.2
FA(6:3)_<BF>_n-3,253.2,6,3,<BF>,110.1,277.2
FA(6:3)_<FF>_n-3,255.2,6,3,<FF>,110.1,277.2
FA(6:3)_<FF>_n-4,241.2,6,3,<FF>,110.1,277.2
FA(6:4)_<BBF>_n-2,265.2,6,4,<BBF>,108.1,275.2
FA(6:4)_<BFF>_n-3,253.2,6,4,<BFF>,108.1,275.2
FA(6:4)_<FFF>_n-4,241.2,6,4,<FFF>,108.1,275.2
FA(7:1)_<>_n-2,283.2,7,1,<>,128.1,295.2
FA(7:1)_<>_n-3,269.2,7,1,<>,128.1,295.2
FA(7:1)_<>_n-4,255.2,7,1,<>,128.1,295.2
FA(7:1)_<>_n-5,241.2,7,1,<>,128.1,295.2
FA(7:2)_<B>_n-2,281.2,7,2,<B>,126.1,293.2
FA(7:2)_<B>_n-3,267.2,7,2,<B>,126.1,293.2
FA(7:2)_<B>_n-4,253.2,7,2,<B>,126.1,293.2
FA(7:2)_<F>_n-2,283.2,7,2,<F>,126.1,293.2
FA(7:2)_<F>_n-3,269.2,7,2,<F>,126.1,293.2
FA(7:2)_<F>_n-4,255.2,7,2,<F>,126.1,293.2
FA(7:2)_<F>_n-5,241.2,7,2,<F>,126.1,293.2
FA(7:3)_<BB>_n-2,279.2,7,3,<BB>,124.1,291.2
FA(7:3)_<BB>_n-3,265.2,7,3,<BB>,124.1,291.2
FA(7:3)_<BF>_n-2,281.2,7,3,<BF>,124.1,291.2
FA(7:3)_<BF>_n-3,267.2,7,3,<BF>,124.1,291.2
FA(7:3)_<BF>_n-4,253.2,7,3,<BF>,124.1,291.2
FA(7:3)_<FF>_n-3,269.2,7,3,<FF>,124.1,291.2
FA(7:3)_<FF>_n-4,255.2,7,3,<FF>,124.1,291.2
FA(7:3)_<FF>_n-5,241.2,7,3,<FF>,124.1,291.2
FA(7:4)_<BBB>_n-2,277.2,7,4,<BBB>,122.1,289.2
FA(7:4)_<BBF>_n-2,279.2,7,4,<BBF>,122.1,289.2
FA(7:4)_<BBF>_n-3,265.2,7,4,<BBF>,122.1,289.2
FA(7:4)_<BFF>_n-3,267.2,7,4,<BFF>,122.1,289.2
FA(7:4)_<BFF>_n-4,253.2,7,4,<BFF>,122.1,289.2
FA(7:4)_<FFF>_n-4,255.2,7,4,<FFF>,122.1,289.2
FA(7:4)_<FFF>_n-5,241.2,7,4,<FFF>,122.1,289.2
FA(7:5)_<BBBF>_n-2,277.2,7,5,<BBBF>,120.1,287.2
FA(7:5)_<BBFF>_n-3,265.2,7,5,<BBFF>,120.1,287.2
FA(7:5)_<BFFF>_n-4,253.2,7,5,<BFFF>,120.1,287.2
FA(7:5)_<FFFF>_n-5,241.2,7,5,<FFFF>,120.1,287.2
FA(8:1)_<>_n-2,297.2,8,1,<>,142.1,309.2
FA(8:1)_<>_n-3,283.2,8,1,<>,142.1,309.2
FA(8:1)_<>_n-4,269.2,8,1,<>,142.1,309.2
FA(8:1)_<>_n-5,255.2,8,1,<>,142.1,309.2
FA(8:1)_<>_n-6,241.2,8,1,<>,142.1,309.2
FA(8:2)_<B>_n-2,295.2,8,2,<B>,140.1,307.2
FA(8:2)_<B>_n-3,281.2,8,2,<B>,140.1,307.2
FA(8:2)_<B>_n-4,267.2,8,2,<B>,140.1,307.2
FA(8:2)_<B>_n-5,253.2,8,2,<B>,140.1,307.2
FA(8:2)_<F>_n-2,297.2,8,2,<F>,140.1,307.2
FA(8:2)_<F>_n-3,283.2,8,2,<F>,140.1,307.2
FA(8:2)_<F>_n-4,269.2,8,2,<F>,140.1,307.2
FA(8:2)_<F>_n-5,255.2,8,2,<F>,140.1,307.2
FA(8:2)_<F>_n-6,241.2,8,2,<F>,140.1,307.2
FA(8:3)_<BB>_n-2,293.2,8,3,<BB>,138.1,305.2
FA(8:3)_<BB>_n-3,279.2,8,3,<BB>,138.1,305.2
FA(8:3)_<BB>_n-4,265.2,8,3,<BB>,138.1,305.2
FA(8:3)_<BF>_n-2,295.2,8,3,<BF>,138.1,305.2
FA(8:3)_<BF>_n-3,281.2,8,3,<BF>,138.1,305.2
FA(8:3)_<BF>_n-4,267.2,8,3,<BF>,138.1,305.2
FA(8:3)_<BF>_n-5,253.2,8,3,<BF>,138.1,305.2
FA(8:3)_<FF>_n-3,283.2,8,3,<FF>,138.1,305.2
FA(8:3)_<FF>_n-4,269.2,8,3,<FF>,138.1,305.2
FA(8:3)_<FF>_n-5,255.2,8,3,<FF>,138.1,305.2
FA(8:3)_<FF>_n-6,241.2,8,3,<FF>,138.1,305.2
FA(8:4)_<BBB>_n-2,291.2,8,4,<BBB>,136.1,303.2
FA(8:4)_<BBB>_n-3,277.2,8,4,<BBB>,136.1,303.2
FA(8:4)_<BBF>_n-2,293.2,8,4,<BBF>,136.1,303.2
FA(8:4)_<BBF>_n-3,279.2,8,4,<BBF>,136.1,303.2
FA(8:4)_<BBF>_n-4,265.2,8,4,<BBF>,136.1,303.2
FA(8:4)_<BFF>_n-3,281.2,8,4,<BFF>,136.1,303.2
FA(8:4)_<BFF>_n-4,267.2,8,4,<BFF>,136.1,303.2
FA(8:4)_<BFF>_n-5,253.2,8,4,<BFF>,136.1,303.2
FA(8:4)_<FFF>_n-4,269.2,8,4,<FFF>,136.1,303.2
FA(8:4)_<FFF>_n-5,255.2,8,4,<FFF>,136.1,303.2
FA(8:4)_<FFF>_n-6,241.2,8,4,<FFF>,136.1,303.2
FA(8:5)_<BBBB>_n-2,289.2,8,5,<BBBB>,134.1,301.2
FA(8:5)_<BBBF>_n-2,291.2,8,5,<BBBF>,134.1,301.2
FA(8:5)_<BBBF>_n-3,277.2,8,5,<BBBF>,134.1,301.2
FA(8:5)_<BBFF>_n-3,279.2,8,5,<BBFF>,134.1,301.2
FA(8:5)_<BBFF>_n-4,265.2,8,5,<BBFF>,134.1,301.2
FA(8:5)_<BFFF>_n-4,267.2,8,5,<BFFF>,134.1,301.2
FA(8:5)_<BFFF>_n-5,253.2,8,5,<BFFF>,134.1,301.2
FA(8:5)_<FFFF>_n-5,255.2,8,5,<FFFF>,134.1,301.2
FA(8:5)_<FFFF>_n-6,241.2,8,5,<FFFF>,134.1,301.2
FA(8:6)_<BBBBF>_n-2,289.2,8,6,<BBBBF>,132.1,299.2
FA(8:6)_<BBBFF>_n-3,277.2,8,6,<BBBFF>,132.1,299.2
FA(8:6)_<BBFFF>_n-4,265.2,8,6,<BBFFF>,132.1,299.2
FA(8:6)_<BFFFF>_n-5,253.2,8,6,<BFFFF>,132.1,299.2
FA(8:6)_<FFFFF>_n-6,241.2,8,6,<FFFFF>,132.1,299.2
FA(9:1)_<>_n-2,311.2,9,1,<>,156.1,323.2
FA(9:1)_<>_n-3,297.2,9,1,<>,156.1,323.2
FA(9:1)_<>_n-4,283.2,9,1,<>,156.1,323.2
FA(9:1)_<>_n-5,269.2,9,1,<>,156.1,323.2
FA(9:1)_<>_n-6,255.2,9,1,<>,156.1,323.2
FA(9:1)_<>_n-7,241.2,9,1,<>,156.1,323.2
FA(9:2)_<B>_n-2,309.2,9,2,<B>,154.1,321.2
FA(9:2)_<B>_n-3,295.2,9,2,<B>,154.1,321.2
FA(9:2)_<B>_n-4,281.2,9,2,<B>,154.1,321.2
FA(9:2)_<B>_n-5,267.2,9,2,<B>,154.1,321.2
FA(9:2)_<B>_n-6,253.2,9,2,<B>,154.1,321.2
FA(9:2)_<F>_n-2,311.2,9,2,<F>,154.1,321.2
FA(9:2)_<F>_n-3,297.2,9,2,<F>,154.1,321.2
FA(9:2)_<F>_n-4,283.2,9,2,<F>,154.1,321.2
FA(9:2)_<F>_n-5,269.2,9,2,<F>,154.1,321.2
FA(9:2)_<F>_n-6,255.2,9,2,<F>,154.1,321.2
FA(9:2)_<F>_n-7,241.2,9,2,<F>,154.1,321.2
FA(9:3)_<BB>_n-2,307.2,9,3,<BB>,152.1,319.2
FA(9:3)_<BB>_n-3,293.2,9,3,<BB>,152.1,319.2
FA(9:3)_<BB>_n-4,279.2,9,3,<BB>,152.1,319.2
FA(9:3)_<BB>_n-5,265.2,9,3,<BB>,152.1,319.2
FA(9:3)_<BF>_n-2,309.2,9,3,<BF>,152.1,319.2
FA(9:3)_<BF>_n-3,295.2,9,3,<BF>,152.1,319.2
FA(9:3)_<BF>_n-4,281.2,9,3,<BF>,152.1,319.2
FA(9:3)_<BF>_n-5,267.2,9,3,<BF>,152.1,319.2
FA(9:3)_<BF>_n-6,253.2,9,3,<BF>,152.1,319.2
FA(9:3)_<FF>_n-3,297.2,9,3,<FF>,152.1,319.2
FA(9:3)_<FF>_n-4,283.2,9,3,<FF>,152.1,319.2
FA(9:3)_<FF>_n-5,269.2,9,3,<FF>,152.1,319.2
FA(9:3)_<FF>_n-6,255.2,9,3,<FF>,152.1,319.2
FA(9:3)_<FF>_n-7,241.2,9,3,<FF>,152.1,319.2
FA(9:4)_<BBB>_n-2,305.2,9,4,<BBB>,150.1,317.2
FA(9:4)_<BBB>_n-3,291.2,9,4,<BBB>,150.1,317.2
FA(9:4)_<BBB>_n-4,277.2,9,4,<BBB>,150.1,317.2
FA(9:4)_<BBF>_n-2,307.2,9,4,<BBF>,150.1,317.2
FA(9:4)_<BBF>_n-3,293.2,9,4,<BBF>,150.1,317.2
FA(9:4)_<BBF>_n-4,279.2,9,4,<BBF>,150.1,317.2
FA(9:4)_<BBF>_n-5,265.2,9,4,<BBF>,150.1,317.2
FA(9:4)_<BFF>_n-3,295.2,9,4,<BFF>,150.1,317.2
FA(9:4)_<BFF>_n-4,281.2,9,4,<BFF>,150.1,317.2
FA(9:4)_<BFF>_n-5,267.2,9,4,<BFF>,150.1,317.2
FA(9:4)_<BFF>_n-6,253.2,9,4,<BFF>,150.1,317.2
FA(9:4)_<FFF>_n-4,283.2,9,4,<FFF>,150.1,317.2
FA(9:4)_<FFF>_n-5,269.2,9,4,<FFF>,150.1,317.2
FA(9:4)_<FFF>_n-6,255.2,9,4,<FFF>,150.1,317.2
FA(9:4)_<FFF>_n-7,241.2,9,4,<FFF>,150.1,317.2
FA(9:5)_<BBBB>_n-2,303.2,9,5,<BBBB>,148.1,315.2
FA(9:5)_<BBBB>_n-3,289.2,9,5,<BBBB>,148.1,315.2
FA(9:5)_<BBBF>_n-2,305.2,9,5,<BBBF>,148.1,315.2
