,Lipid,Sample_ID,db_pos,Product_Ion,Retention_Time,OzESI_Intensity,Parent_Ion,Biology,Genotype,Mouse,SLBG_group,Lipid_End,total_intensity,n-9%
48,[TG(54:5)]_FA18:1,11292023_FAD189_M1_5xFAD_cortex_O3on_01,n-9,599.5,13.52,25526,788.7,cortex,5xFAD,FAD189_M1,96,FA18:1,27089,94.23013031119642
49,[TG(54:5)]_FA18:1,11292023_FAD189_M1_5xFAD_dienc_O3on_01,n-7,599.5,13.47,761,816.7,dienc,5xFAD,FAD189_M1,97,FA18:1,5892,0.0
50,[TG(54:5)]_FA18:1,11292023_FAD189_M1_5xFAD_dienc_O3on_01,n-9,599.5,13.53,5131,788.7,dienc,5xFAD,FAD189_M1,97,FA18:1,5892,87.08418194161574
51,[TG(54:5)]_FA18:1,11292023_FAD189_M1_5xFAD_hippo_O3on_01,n-9,599.5,13.53,1241,788.7,hippo,5xFAD,FAD189_M1,98,FA18:1,1241,100.0
52,[TG(54:5)]_FA18:1,11292023_FAD189_M2_5xFAD_cereb_O3on_01,n-9,599.5,13.48,1097,788.7,cereb,5xFAD,FAD189_M2,99,FA18:1,1097,100.0
25,[TG(54:5)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,599.5,13.78,5788,816.7,liver,5xFAD,DOD73_M2,100,FA18:1,44050,0.0
26,[TG(54:5)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,599.5,13.84,38262,788.7,liver,5xFAD,DOD73_M2,100,FA18:1,44050,86.86038592508513
27,[TG(54:5)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,599.5,13.83,9143,816.7,liver,5xFAD,FAD131_M1,101,FA18:1,61911,0.0
28,[TG(54:5)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,599.5,13.88,52768,788.7,liver,5xFAD,FAD131_M1,101,FA18:1,61911,85.23202661885611
29,[TG(54:5)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-10,599.5,13.88,588,774.6,liver,5xFAD,FAD131_M2,102,FA18:1,71245,0.0
30,[TG(54:5)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,599.5,13.78,12026,816.7,liver,5xFAD,FAD131_M2,102,FA18:1,71245,0.0
31,[TG(54:5)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,599.5,13.88,58631,788.7,liver,5xFAD,FAD131_M2,102,FA18:1,71245,82.29489788757107
32,[TG(54:5)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,599.5,13.78,5135,816.7,liver,5xFAD,FAD131_M4,103,FA18:1,35800,0.0
33,[TG(54:5)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,599.5,13.88,30665,788.7,liver,5xFAD,FAD131_M4,103,FA18:1,35800,85.65642458100558
34,[TG(54:5)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,599.5,13.78,8106,816.7,liver,5xFAD,FAD173_M1,104,FA18:1,53538,0.0
35,[TG(54:5)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,599.5,13.84,45432,788.7,liver,5xFAD,FAD173_M1,104,FA18:1,53538,84.85935223579514
52,[TG(54:6)]_FA18:1,11282023_DOD94_F3_WT_dienc_O3on_01,n-9,597.5,12.24,544,786.7,dienc,WT,DOD94_F3,105,FA18:1,544,100.0
53,[TG(54:6)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-9,597.5,12.15,3069,786.7,cereb,WT,FAD185_M4,106,FA18:1,3069,100.0
54,[TG(54:6)]_FA18:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-9,597.5,12.1,1377,786.7,cortex,WT,FAD185_M4,107,FA18:1,1377,100.0
55,[TG(54:6)]_FA18:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-9,597.5,12.1,1207,786.7,cortex,WT,FAD189_M3,108,FA18:1,1207,100.0
53,[TG(54:6)]_FA18:1,11292023_FAD189_M1_5xFAD_cereb_O3on_01,n-9,597.5,12.46,3179,786.7,cereb,5xFAD,FAD189_M1,109,FA18:1,3179,100.0
54,[TG(54:6)]_FA18:1,11292023_FAD189_M1_5xFAD_cortex_O3on_01,n-9,597.5,12.46,2368,786.7,cortex,5xFAD,FAD189_M1,110,FA18:1,2368,100.0
36,[TG(54:6)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,597.5,12.76,597,814.7,liver,5xFAD,DOD73_M2,111,FA18:1,11331,0.0
37,[TG(54:6)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,597.5,12.77,10734,786.7,liver,5xFAD,DOD73_M2,111,FA18:1,11331,94.73126820227694
38,[TG(54:6)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,597.5,12.72,1291,814.7,liver,5xFAD,FAD131_M1,112,FA18:1,11332,0.0
39,[TG(54:6)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,597.5,12.82,10041,786.7,liver,5xFAD,FAD131_M1,112,FA18:1,11332,88.60748323332157
40,[TG(54:6)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,597.5,12.76,1439,814.7,liver,5xFAD,FAD131_M2,113,FA18:1,9334,0.0
41,[TG(54:6)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,597.5,12.77,7895,786.7,liver,5xFAD,FAD131_M2,113,FA18:1,9334,84.58324405399614
42,[TG(54:6)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,597.5,12.67,709,814.7,liver,5xFAD,FAD131_M4,114,FA18:1,5004,0.0
43,[TG(54:6)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,597.5,12.73,4295,786.7,liver,5xFAD,FAD131_M4,114,FA18:1,5004,85.83133493205436
44,[TG(54:6)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,597.5,12.67,1020,814.7,liver,5xFAD,FAD173_M1,115,FA18:1,8425,0.0
45,[TG(54:6)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,597.5,12.77,7405,786.7,liver,5xFAD,FAD173_M1,115,FA18:1,8425,87.89317507418397
56,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_cereb_O3on_01,n-7,603.5,15.6,577,820.7,cereb,WT,DOD94_F3,116,FA18:1,8825,0.0
57,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_cereb_O3on_01,n-9,603.5,15.7,8248,792.7,cereb,WT,DOD94_F3,116,FA18:1,8825,93.46175637393767
58,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_cortex_O3on_01,n-9,603.5,15.66,10377,792.7,cortex,WT,DOD94_F3,117,FA18:1,10377,100.0
59,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_dienc_O3on_01,n-7,603.5,15.65,1241,820.7,dienc,WT,DOD94_F3,118,FA18:1,24251,0.0
60,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_dienc_O3on_01,n-9,603.5,15.7,23010,792.7,dienc,WT,DOD94_F3,118,FA18:1,24251,94.88268525009278
61,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_hippo_O3on_01,n-7,603.5,15.74,709,820.7,hippo,WT,DOD94_F3,119,FA18:1,9686,0.0
62,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_hippo_O3on_01,n-9,603.5,15.79,8977,792.7,hippo,WT,DOD94_F3,119,FA18:1,9686,92.68015692752427
63,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_cereb_O3on_01,n-7,603.5,15.56,1076,820.7,cereb,WT,FAD184_F3,120,FA18:1,12145,0.0
64,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_cereb_O3on_01,n-9,603.5,15.66,11069,792.7,cereb,WT,FAD184_F3,120,FA18:1,12145,91.14038699053108
65,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_cortex_O3on_01,n-7,603.5,15.56,2337,820.7,cortex,WT,FAD184_F3,121,FA18:1,35410,0.0
66,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_cortex_O3on_01,n-9,603.5,15.61,33073,792.7,cortex,WT,FAD184_F3,121,FA18:1,35410,93.40016944365999
67,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_dienc_O3on_01,n-7,603.5,15.56,648,820.7,dienc,WT,FAD184_F3,122,FA18:1,10335,0.0
68,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_dienc_O3on_01,n-9,603.5,15.66,9687,792.7,dienc,WT,FAD184_F3,122,FA18:1,10335,93.7300435413643
69,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_hippo_O3on_01,n-7,603.5,15.56,728,820.7,hippo,WT,FAD184_F3,123,FA18:1,9899,0.0
70,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_hippo_O3on_01,n-9,603.5,15.66,9171,792.7,hippo,WT,FAD184_F3,123,FA18:1,9899,92.6457217900798
71,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_cereb_O3on_01,n-7,603.5,15.56,673,820.7,cereb,WT,FAD184_F4,124,FA18:1,13520,0.0
72,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_cereb_O3on_01,n-9,603.5,15.66,12847,792.7,cereb,WT,FAD184_F4,124,FA18:1,13520,95.02218934911242
73,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_cortex_O3on_01,n-9,603.5,15.66,3957,792.7,cortex,WT,FAD184_F4,125,FA18:1,3957,100.0
74,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_dienc_O3on_01,n-9,603.5,15.66,8381,792.7,dienc,WT,FAD184_F4,126,FA18:1,8381,100.0
75,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_hippo_O3on_01,n-9,603.5,15.61,4193,792.7,hippo,WT,FAD184_F4,127,FA18:1,4193,100.0
76,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_cereb_O3on_01,n-7,603.5,15.56,21692,820.7,cereb,WT,FAD185_M4,128,FA18:1,199049,0.0
77,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_cereb_O3on_01,n-9,603.5,15.66,177357,792.7,cereb,WT,FAD185_M4,128,FA18:1,199049,89.10218087003703
78,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_cortex_O3on_01,n-7,603.5,15.56,3272,820.7,cortex,WT,FAD185_M4,129,FA18:1,46105,0.0
79,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_cortex_O3on_01,n-9,603.5,15.61,42833,792.7,cortex,WT,FAD185_M4,129,FA18:1,46105,92.90315583993059
80,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_dienc_O3on_01,n-7,603.5,15.6,842,820.7,dienc,WT,FAD185_M4,130,FA18:1,12960,0.0
81,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_dienc_O3on_01,n-9,603.5,15.66,12118,792.7,dienc,WT,FAD185_M4,130,FA18:1,12960,93.50308641975309
82,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_hippo_O3on_01,n-9,603.5,15.66,9855,792.7,hippo,WT,FAD185_M4,131,FA18:1,9855,100.0
83,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_cereb_O3on_01,n-7,603.5,15.65,1551,820.7,cereb,WT,FAD189_M3,132,FA18:1,32073,0.0
84,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_cereb_O3on_01,n-9,603.5,15.66,30522,792.7,cereb,WT,FAD189_M3,132,FA18:1,32073,95.16415676737444
85,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_cortex_O3on_01,n-7,603.5,15.6,3716,820.7,cortex,WT,FAD189_M3,133,FA18:1,76368,0.0
86,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_cortex_O3on_01,n-9,603.5,15.66,72652,792.7,cortex,WT,FAD189_M3,133,FA18:1,76368,95.13408757594804
87,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_dienc_O3on_01,n-7,603.5,15.56,1762,820.7,dienc,WT,FAD189_M3,134,FA18:1,25783,0.0
88,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_dienc_O3on_01,n-9,603.5,15.61,24021,792.7,dienc,WT,FAD189_M3,134,FA18:1,25783,93.1660396385215
89,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_hippo_O3on_01,n-9,603.5,15.66,3514,792.7,hippo,WT,FAD189_M3,135,FA18:1,3514,100.0
55,"[TG(55:10),TG(54:3)]_FA18:1",11292023_DOD93_F4_5xFAD_cereb_O3on_01,n-9,603.5,15.88,9306,792.7,cereb,5xFAD,DOD93_F4,136,FA18:1,9306,100.0
56,"[TG(55:10),TG(54:3)]_FA18:1",11292023_DOD93_F4_5xFAD_cortex_O3on_01,n-9,603.5,15.88,8602,792.7,cortex,5xFAD,DOD93_F4,137,FA18:1,8602,100.0
57,"[TG(55:10),TG(54:3)]_FA18:1",11292023_DOD93_F4_5xFAD_dienc_O3on_01,n-7,603.5,15.82,1197,820.7,dienc,5xFAD,DOD93_F4,138,FA18:1,11655,0.0
58,"[TG(55:10),TG(54:3)]_FA18:1",11292023_DOD93_F4_5xFAD_dienc_O3on_01,n-9,603.5,15.83,10458,792.7,dienc,5xFAD,DOD93_F4,138,FA18:1,11655,89.72972972972974
59,"[TG(55:10),TG(54:3)]_FA18:1",11292023_DOD93_F4_5xFAD_hippo_O3on_01,n-9,603.5,15.88,8914,792.7,hippo,5xFAD,DOD93_F4,139,FA18:1,8914,100.0
60,"[TG(55:10),TG(54:3)]_FA18:1",11292023_DOD94_F4_5xFAD_cereb_O3on_01,n-9,603.5,15.83,13394,792.7,cereb,5xFAD,DOD94_F4,140,FA18:1,13394,100.0
61,"[TG(55:10),TG(54:3)]_FA18:1",11292023_DOD94_F4_5xFAD_cortex_O3on_01,n-9,603.5,15.88,10862,792.7,cortex,5xFAD,DOD94_F4,141,FA18:1,10862,100.0
62,"[TG(55:10),TG(54:3)]_FA18:1",11292023_DOD94_F4_5xFAD_dienc_O3on_01,n-9,603.5,15.88,7253,792.7,dienc,5xFAD,DOD94_F4,142,FA18:1,7253,100.0
63,"[TG(55:10),TG(54:3)]_FA18:1",11292023_DOD94_F4_5xFAD_hippo_O3on_01,n-9,603.5,15.97,7821,792.7,hippo,5xFAD,DOD94_F4,143,FA18:1,7821,100.0
64,"[TG(55:10),TG(54:3)]_FA18:1",11292023_FAD185_M1_5xFAD_cereb_O3on_01,n-9,603.5,15.83,7610,792.7,cereb,5xFAD,FAD185_M1,144,FA18:1,7610,100.0
65,"[TG(55:10),TG(54:3)]_FA18:1",11292023_FAD185_M1_5xFAD_cortex_O3on_01,n-9,603.5,15.83,10892,792.7,cortex,5xFAD,FAD185_M1,145,FA18:1,10892,100.0
66,"[TG(55:10),TG(54:3)]_FA18:1",11292023_FAD185_M1_5xFAD_dienc_O3on_01,n-9,603.5,15.83,9956,792.7,dienc,5xFAD,FAD185_M1,146,FA18:1,9956,100.0
67,"[TG(55:10),TG(54:3)]_FA18:1",11292023_FAD185_M1_5xFAD_hippo_O3on_01,n-9,603.5,15.83,8270,792.7,hippo,5xFAD,FAD185_M1,147,FA18:1,8270,100.0
68,"[TG(55:10),TG(54:3)]_FA18:1",11292023_FAD185_M3_5xFAD_cereb_O3on_01,n-9,603.5,15.83,4918,792.7,cereb,5xFAD,FAD185_M3,148,FA18:1,4918,100.0
69,"[TG(55:10),TG(54:3)]_FA18:1",11292023_FAD185_M3_5xFAD_dienc_O3on_01,n-9,603.5,15.88,3309,792.7,dienc,5xFAD,FAD185_M3,149,FA18:1,3309,100.0
70,"[TG(55:10),TG(54:3)]_FA18:1",11292023_FAD185_M3_5xFAD_hippo_O3on_01,n-9,603.5,15.83,2921,792.7,hippo,5xFAD,FAD185_M3,150,FA18:1,2921,100.0
71,"[TG(55:10),TG(54:3)]_FA18:1",11292023_FAD189_M1_5xFAD_cereb_O3on_01,n-7,603.5,15.82,1292,820.7,cereb,5xFAD,FAD189_M1,151,FA18:1,40179,0.0
72,"[TG(55:10),TG(54:3)]_FA18:1",11292023_FAD189_M1_5xFAD_cereb_O3on_01,n-9,603.5,15.88,38887,792.7,cereb,5xFAD,FAD189_M1,151,FA18:1,40179,96.78438985539711
73,"[TG(55:10),TG(54:3)]_FA18:1",11292023_FAD189_M1_5xFAD_cortex_O3on_01,n-7,603.5,15.82,1631,820.7,cortex,5xFAD,FAD189_M1,152,FA18:1,42793,0.0
74,"[TG(55:10),TG(54:3)]_FA18:1",11292023_FAD189_M1_5xFAD_cortex_O3on_01,n-9,603.5,15.83,41162,792.7,cortex,5xFAD,FAD189_M1,152,FA18:1,42793,96.18862898137546
75,"[TG(55:10),TG(54:3)]_FA18:1",11292023_FAD189_M1_5xFAD_dienc_O3on_01,n-9,603.5,15.92,8434,792.7,dienc,5xFAD,FAD189_M1,153,FA18:1,8434,100.0
76,"[TG(55:10),TG(54:3)]_FA18:1",11292023_FAD189_M1_5xFAD_hippo_O3on_01,n-9,603.5,15.92,6433,792.7,hippo,5xFAD,FAD189_M1,154,FA18:1,6433,100.0
77,"[TG(55:10),TG(54:3)]_FA18:1",11292023_FAD189_M2_5xFAD_cereb_O3on_01,n-9,603.5,15.83,3287,792.7,cereb,5xFAD,FAD189_M2,155,FA18:1,3287,100.0
78,"[TG(55:10),TG(54:3)]_FA18:1",11292023_FAD189_M2_5xFAD_cortex_O3on_01,n-9,603.5,15.83,1895,792.7,cortex,5xFAD,FAD189_M2,156,FA18:1,1895,100.0
79,"[TG(55:10),TG(54:3)]_FA18:1",11292023_FAD189_M2_5xFAD_dienc_O3on_01,n-9,603.5,15.83,2100,792.7,dienc,5xFAD,FAD189_M2,157,FA18:1,2100,100.0
80,"[TG(55:10),TG(54:3)]_FA18:1",11292023_FAD189_M2_5xFAD_hippo_O3on_01,n-9,603.5,15.83,1493,792.7,hippo,5xFAD,FAD189_M2,158,FA18:1,1493,100.0
46,"[TG(55:10),TG(54:3)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,603.5,16.14,16109,820.7,liver,5xFAD,DOD73_M2,159,FA18:1,146280,0.0
47,"[TG(55:10),TG(54:3)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,603.5,16.19,130171,792.7,liver,5xFAD,DOD73_M2,159,FA18:1,146280,88.98755810773858
48,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-10,603.5,16.24,1124,778.6,liver,5xFAD,FAD131_M1,160,FA18:1,319956,0.0
49,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,603.5,16.18,43154,820.7,liver,5xFAD,FAD131_M1,160,FA18:1,319956,0.0
50,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,603.5,16.23,275678,792.7,liver,5xFAD,FAD131_M1,160,FA18:1,319956,86.1612221680481
51,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-10,603.5,16.24,1642,778.6,liver,5xFAD,FAD131_M2,161,FA18:1,582002,0.0
52,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,603.5,16.14,75285,820.7,liver,5xFAD,FAD131_M2,161,FA18:1,582002,0.0
53,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,603.5,16.19,505075,792.7,liver,5xFAD,FAD131_M2,161,FA18:1,582002,86.78234782698341
54,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-10,603.5,16.24,559,778.6,liver,5xFAD,FAD131_M4,162,FA18:1,107807,0.0
55,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,603.5,16.14,11964,820.7,liver,5xFAD,FAD131_M4,162,FA18:1,107807,0.0
56,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,603.5,16.19,95284,792.7,liver,5xFAD,FAD131_M4,162,FA18:1,107807,88.38387117719628
57,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,603.5,16.14,17900,820.7,liver,5xFAD,FAD173_M1,163,FA18:1,150493,0.0
58,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,603.5,16.19,132593,792.7,liver,5xFAD,FAD173_M1,163,FA18:1,150493,88.10575907185051
90,"[TG(55:11),TG(54:4)]_FA18:1",11282023_DOD94_F3_WT_cereb_O3on_01,n-9,601.5,14.46,3356,790.7,cereb,WT,DOD94_F3,169,FA18:1,3356,100.0
91,"[TG(55:11),TG(54:4)]_FA18:1",11282023_DOD94_F3_WT_cortex_O3on_01,n-9,601.5,14.46,5919,790.7,cortex,WT,DOD94_F3,170,FA18:1,5919,100.0
92,"[TG(55:11),TG(54:4)]_FA18:1",11282023_DOD94_F3_WT_dienc_O3on_01,n-9,601.5,14.55,9925,790.7,dienc,WT,DOD94_F3,171,FA18:1,9925,100.0
93,"[TG(55:11),TG(54:4)]_FA18:1",11282023_DOD94_F3_WT_hippo_O3on_01,n-9,601.5,14.59,2112,790.7,hippo,WT,DOD94_F3,172,FA18:1,2112,100.0
94,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F3_WT_cereb_O3on_01,n-9,601.5,14.46,4175,790.7,cereb,WT,FAD184_F3,173,FA18:1,4175,100.0
95,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F3_WT_cortex_O3on_01,n-7,601.5,14.4,2441,818.7,cortex,WT,FAD184_F3,174,FA18:1,37381,0.0
96,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F3_WT_cortex_O3on_01,n-9,601.5,14.46,34940,790.7,cortex,WT,FAD184_F3,174,FA18:1,37381,93.46994462427436
97,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F3_WT_dienc_O3on_01,n-9,601.5,14.46,3275,790.7,dienc,WT,FAD184_F3,175,FA18:1,3275,100.0
98,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F3_WT_hippo_O3on_01,n-9,601.5,14.41,1672,790.7,hippo,WT,FAD184_F3,176,FA18:1,1672,100.0
99,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F4_WT_cereb_O3on_01,n-9,601.5,14.5,3439,790.7,cereb,WT,FAD184_F4,177,FA18:1,3439,100.0
100,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F4_WT_cortex_O3on_01,n-9,601.5,14.5,1457,790.7,cortex,WT,FAD184_F4,178,FA18:1,1457,100.0
101,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F4_WT_dienc_O3on_01,n-9,601.5,14.46,1715,790.7,dienc,WT,FAD184_F4,179,FA18:1,1715,100.0
102,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD185_M4_WT_cereb_O3on_01,n-7,601.5,14.4,22476,818.7,cereb,WT,FAD185_M4,180,FA18:1,124614,0.0
103,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD185_M4_WT_cereb_O3on_01,n-9,601.5,14.46,102138,790.7,cereb,WT,FAD185_M4,180,FA18:1,124614,81.96350329818479
104,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD185_M4_WT_cortex_O3on_01,n-7,601.5,14.4,7481,818.7,cortex,WT,FAD185_M4,181,FA18:1,74717,0.0
105,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD185_M4_WT_cortex_O3on_01,n-9,601.5,14.46,67236,790.7,cortex,WT,FAD185_M4,181,FA18:1,74717,89.9875530334462
106,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD185_M4_WT_dienc_O3on_01,n-7,601.5,14.4,1655,818.7,dienc,WT,FAD185_M4,182,FA18:1,16499,0.0
107,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD185_M4_WT_dienc_O3on_01,n-9,601.5,14.46,14844,790.7,dienc,WT,FAD185_M4,182,FA18:1,16499,89.96908903569914
108,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD185_M4_WT_hippo_O3on_01,n-9,601.5,14.5,6223,790.7,hippo,WT,FAD185_M4,183,FA18:1,6223,100.0
109,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD189_M3_WT_cereb_O3on_01,n-7,601.5,14.4,2300,818.7,cereb,WT,FAD189_M3,184,FA18:1,19900,0.0
110,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD189_M3_WT_cereb_O3on_01,n-9,601.5,14.46,17600,790.7,cereb,WT,FAD189_M3,184,FA18:1,19900,88.44221105527639
111,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD189_M3_WT_cortex_O3on_01,n-7,601.5,14.36,5009,818.7,cortex,WT,FAD189_M3,185,FA18:1,40036,0.0
112,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD189_M3_WT_cortex_O3on_01,n-9,601.5,14.46,35027,790.7,cortex,WT,FAD189_M3,185,FA18:1,40036,87.48876011589569
113,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD189_M3_WT_dienc_O3on_01,n-7,601.5,14.4,1071,818.7,dienc,WT,FAD189_M3,186,FA18:1,15847,0.0
114,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD189_M3_WT_dienc_O3on_01,n-9,601.5,14.46,14776,790.7,dienc,WT,FAD189_M3,186,FA18:1,15847,93.24162302012999
81,"[TG(55:11),TG(54:4)]_FA18:1",11292023_DOD93_F4_5xFAD_cereb_O3on_01,n-9,601.5,14.68,1289,790.7,cereb,5xFAD,DOD93_F4,187,FA18:1,1289,100.0
82,"[TG(55:11),TG(54:4)]_FA18:1",11292023_DOD93_F4_5xFAD_cortex_O3on_01,n-9,601.5,14.68,3545,790.7,cortex,5xFAD,DOD93_F4,188,FA18:1,3545,100.0
83,"[TG(55:11),TG(54:4)]_FA18:1",11292023_DOD93_F4_5xFAD_dienc_O3on_01,n-9,601.5,14.68,3450,790.7,dienc,5xFAD,DOD93_F4,189,FA18:1,3450,100.0
84,"[TG(55:11),TG(54:4)]_FA18:1",11292023_DOD93_F4_5xFAD_hippo_O3on_01,n-9,601.5,15.03,1359,790.7,hippo,5xFAD,DOD93_F4,190,FA18:1,1359,100.0
85,"[TG(55:11),TG(54:4)]_FA18:1",11292023_DOD94_F4_5xFAD_cereb_O3on_01,n-7,601.5,14.67,940,818.7,cereb,5xFAD,DOD94_F4,191,FA18:1,11858,0.0
86,"[TG(55:11),TG(54:4)]_FA18:1",11292023_DOD94_F4_5xFAD_cereb_O3on_01,n-9,601.5,14.68,10918,790.7,cereb,5xFAD,DOD94_F4,191,FA18:1,11858,92.07286220273232
