,Lipid,Sample_ID,db_pos,Product_Ion,Retention_Time,OzESI_Intensity,Parent_Ion,Biology,Genotype,Mouse,SLBG_group,Lipid_End,total_intensity,n-9%
10,[TG(52:5)]_FA16:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-10,599.5,12.83,501,746.6,liver,5xFAD,DOD73_M2,59,FA16:1,55278,0.0
11,[TG(52:5)]_FA16:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,599.5,12.64,49192,788.7,liver,5xFAD,DOD73_M2,59,FA16:1,55278,0.0
12,[TG(52:5)]_FA16:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,599.5,12.69,5585,760.7,liver,5xFAD,DOD73_M2,59,FA16:1,55278,10.10347697094685
13,[TG(52:5)]_FA16:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,599.5,12.68,43297,788.7,liver,5xFAD,FAD131_M1,60,FA16:1,57824,0.0
14,[TG(52:5)]_FA16:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,599.5,12.73,14527,760.7,liver,5xFAD,FAD131_M1,60,FA16:1,57824,25.122786386275596
15,[TG(52:5)]_FA16:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,599.5,12.64,44874,788.7,liver,5xFAD,FAD131_M2,61,FA16:1,65056,0.0
16,[TG(52:5)]_FA16:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,599.5,12.73,20182,760.7,liver,5xFAD,FAD131_M2,61,FA16:1,65056,31.022503689129366
17,[TG(52:5)]_FA16:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-10,599.5,12.87,539,746.6,liver,5xFAD,FAD131_M4,62,FA16:1,38596,0.0
18,[TG(52:5)]_FA16:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,599.5,12.64,31804,788.7,liver,5xFAD,FAD131_M4,62,FA16:1,38596,0.0
19,[TG(52:5)]_FA16:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,599.5,12.69,6253,760.7,liver,5xFAD,FAD131_M4,62,FA16:1,38596,16.201160742045808
20,[TG(52:5)]_FA16:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,599.5,12.64,50976,788.7,liver,5xFAD,FAD173_M1,63,FA16:1,67969,0.0
21,[TG(52:5)]_FA16:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,599.5,12.69,16993,760.7,liver,5xFAD,FAD173_M1,63,FA16:1,67969,25.001103444217215
59,"[TG(55:11),TG(54:4)]_FA16:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,629.5,14.98,6641,818.7,liver,5xFAD,DOD73_M2,164,FA16:1,6641,0.0
60,"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,629.5,14.94,12478,818.7,liver,5xFAD,FAD131_M1,165,FA16:1,14230,0.0
61,"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,629.5,15.12,1752,790.7,liver,5xFAD,FAD131_M1,165,FA16:1,14230,12.31201686577653
62,"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,629.5,14.94,10225,818.7,liver,5xFAD,FAD131_M2,166,FA16:1,13021,0.0
63,"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,629.5,15.08,2796,790.7,liver,5xFAD,FAD131_M2,166,FA16:1,13021,21.473005145534138
64,"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,629.5,14.94,4048,818.7,liver,5xFAD,FAD131_M4,167,FA16:1,4048,0.0
65,"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,629.5,14.94,9752,818.7,liver,5xFAD,FAD173_M1,168,FA16:1,9752,0.0
117,"[TG(56:7),TG(55:0)]_FA16:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,651.6,13.02,836,840.8,liver,5xFAD,DOD73_M2,286,FA16:1,836,0.0
118,"[TG(56:7),TG(55:0)]_FA16:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,651.6,13.07,1236,840.8,liver,5xFAD,FAD131_M1,287,FA16:1,2044,0.0
119,"[TG(56:7),TG(55:0)]_FA16:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,651.6,13.03,808,812.8,liver,5xFAD,FAD131_M1,287,FA16:1,2044,39.53033268101761
120,"[TG(56:7),TG(55:0)]_FA16:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,651.6,13.07,1568,840.8,liver,5xFAD,FAD131_M2,288,FA16:1,2843,0.0
121,"[TG(56:7),TG(55:0)]_FA16:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,651.6,13.12,1275,812.8,liver,5xFAD,FAD131_M2,288,FA16:1,2843,44.84699261343651
122,"[TG(56:7),TG(55:0)]_FA16:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,651.6,12.98,577,840.8,liver,5xFAD,FAD131_M4,289,FA16:1,577,0.0
123,"[TG(56:7),TG(55:0)]_FA16:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,651.6,12.98,1008,840.8,liver,5xFAD,FAD173_M1,290,FA16:1,1697,0.0
124,"[TG(56:7),TG(55:0)]_FA16:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,651.6,12.99,689,812.8,liver,5xFAD,FAD173_M1,290,FA16:1,1697,40.60106069534473
0,[TG(50:3)]_FA18:1,11282023_DOD94_F3_WT_cereb_O3on_01,n-9,547.5,13.32,559,736.7,cereb,WT,DOD94_F3,0,FA18:1,559,100.0
1,[TG(50:3)]_FA18:1,11282023_DOD94_F3_WT_dienc_O3on_01,n-9,547.5,13.32,1334,736.7,dienc,WT,DOD94_F3,1,FA18:1,1334,100.0
2,[TG(50:3)]_FA18:1,11282023_DOD94_F3_WT_hippo_O3on_01,n-9,547.5,13.36,667,736.7,hippo,WT,DOD94_F3,2,FA18:1,667,100.0
3,[TG(50:3)]_FA18:1,11282023_FAD184_F3_WT_cortex_O3on_01,n-9,547.5,13.23,2524,736.7,cortex,WT,FAD184_F3,3,FA18:1,2524,100.0
4,[TG(50:3)]_FA18:1,11282023_FAD184_F3_WT_dienc_O3on_01,n-9,547.5,13.18,686,736.7,dienc,WT,FAD184_F3,4,FA18:1,686,100.0
5,[TG(50:3)]_FA18:1,11282023_FAD184_F4_WT_cereb_O3on_01,n-9,547.5,13.36,665,736.7,cereb,WT,FAD184_F4,5,FA18:1,665,100.0
6,[TG(50:3)]_FA18:1,11282023_FAD184_F4_WT_dienc_O3on_01,n-9,547.5,13.23,591,736.7,dienc,WT,FAD184_F4,6,FA18:1,591,100.0
7,[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-7,547.5,13.27,881,764.7,cereb,WT,FAD185_M4,7,FA18:1,6682,0.0
8,[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-9,547.5,13.36,5801,736.7,cereb,WT,FAD185_M4,7,FA18:1,6682,86.81532475306794
9,[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-9,547.5,13.36,3674,736.7,cortex,WT,FAD185_M4,8,FA18:1,3674,100.0
10,[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_hippo_O3on_01,n-9,547.5,13.45,578,736.7,hippo,WT,FAD185_M4,9,FA18:1,578,100.0
11,[TG(50:3)]_FA18:1,11282023_FAD189_M3_WT_cereb_O3on_01,n-9,547.5,13.36,1821,736.7,cereb,WT,FAD189_M3,10,FA18:1,1821,100.0
12,[TG(50:3)]_FA18:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-9,547.5,13.32,6918,736.7,cortex,WT,FAD189_M3,11,FA18:1,6918,100.0
13,[TG(50:3)]_FA18:1,11282023_FAD189_M3_WT_dienc_O3on_01,n-9,547.5,13.36,1042,736.7,dienc,WT,FAD189_M3,12,FA18:1,1042,100.0
0,[TG(50:3)]_FA18:1,11292023_DOD93_F4_5xFAD_cortex_O3on_01,n-9,547.5,13.8,967,736.7,cortex,5xFAD,DOD93_F4,13,FA18:1,967,100.0
1,[TG(50:3)]_FA18:1,11292023_DOD93_F4_5xFAD_dienc_O3on_01,n-9,547.5,13.54,654,736.7,dienc,5xFAD,DOD93_F4,14,FA18:1,654,100.0
2,[TG(50:3)]_FA18:1,11292023_DOD93_F4_5xFAD_hippo_O3on_01,n-9,547.5,13.8,679,736.7,hippo,5xFAD,DOD93_F4,15,FA18:1,679,100.0
3,[TG(50:3)]_FA18:1,11292023_DOD94_F4_5xFAD_cereb_O3on_01,n-9,547.5,13.58,1585,736.7,cereb,5xFAD,DOD94_F4,16,FA18:1,1585,100.0
4,[TG(50:3)]_FA18:1,11292023_DOD94_F4_5xFAD_cortex_O3on_01,n-9,547.5,13.58,1122,736.7,cortex,5xFAD,DOD94_F4,17,FA18:1,1122,100.0
5,[TG(50:3)]_FA18:1,11292023_DOD94_F4_5xFAD_dienc_O3on_01,n-9,547.5,13.76,505,736.7,dienc,5xFAD,DOD94_F4,18,FA18:1,505,100.0
6,[TG(50:3)]_FA18:1,11292023_FAD185_M1_5xFAD_cortex_O3on_01,n-9,547.5,13.58,851,736.7,cortex,5xFAD,FAD185_M1,19,FA18:1,851,100.0
7,[TG(50:3)]_FA18:1,11292023_FAD185_M1_5xFAD_dienc_O3on_01,n-9,547.5,13.58,676,736.7,dienc,5xFAD,FAD185_M1,20,FA18:1,676,100.0
8,[TG(50:3)]_FA18:1,11292023_FAD185_M1_5xFAD_hippo_O3on_01,n-9,547.5,13.76,717,736.7,hippo,5xFAD,FAD185_M1,21,FA18:1,717,100.0
9,[TG(50:3)]_FA18:1,11292023_FAD185_M3_5xFAD_cereb_O3on_01,n-9,547.5,13.54,773,736.7,cereb,5xFAD,FAD185_M3,22,FA18:1,773,100.0
10,[TG(50:3)]_FA18:1,11292023_FAD189_M1_5xFAD_cereb_O3on_01,n-9,547.5,13.67,3350,736.7,cereb,5xFAD,FAD189_M1,23,FA18:1,3350,100.0
11,[TG(50:3)]_FA18:1,11292023_FAD189_M1_5xFAD_cortex_O3on_01,n-9,547.5,13.63,4647,736.7,cortex,5xFAD,FAD189_M1,24,FA18:1,4647,100.0
12,[TG(50:3)]_FA18:1,11292023_FAD189_M1_5xFAD_dienc_O3on_01,n-9,547.5,13.63,1179,736.7,dienc,5xFAD,FAD189_M1,25,FA18:1,1179,100.0
13,[TG(50:3)]_FA18:1,11292023_FAD189_M1_5xFAD_hippo_O3on_01,n-9,547.5,13.85,539,736.7,hippo,5xFAD,FAD189_M1,26,FA18:1,539,100.0
14,[TG(50:3)]_FA18:1,11292023_FAD189_M2_5xFAD_cereb_O3on_01,n-9,547.5,13.63,530,736.7,cereb,5xFAD,FAD189_M2,27,FA18:1,530,100.0
15,[TG(50:3)]_FA18:1,11292023_FAD189_M2_5xFAD_dienc_O3on_01,n-9,547.5,13.72,689,736.7,dienc,5xFAD,FAD189_M2,28,FA18:1,689,100.0
0,[TG(50:3)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,547.5,13.89,1214,764.7,liver,5xFAD,DOD73_M2,29,FA18:1,14411,0.0
1,[TG(50:3)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,547.5,13.94,13197,736.7,liver,5xFAD,DOD73_M2,29,FA18:1,14411,91.5758795364652
2,[TG(50:3)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,547.5,13.93,2417,764.7,liver,5xFAD,FAD131_M1,30,FA18:1,34492,0.0
3,[TG(50:3)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,547.5,13.98,32075,736.7,liver,5xFAD,FAD131_M1,30,FA18:1,34492,92.99257798909892
4,[TG(50:3)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,547.5,13.93,4463,764.7,liver,5xFAD,FAD131_M2,31,FA18:1,49073,0.0
5,[TG(50:3)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,547.5,13.98,44610,736.7,liver,5xFAD,FAD131_M2,31,FA18:1,49073,90.90538585372812
6,[TG(50:3)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,547.5,13.89,1084,764.7,liver,5xFAD,FAD131_M4,32,FA18:1,8423,0.0
7,[TG(50:3)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,547.5,13.98,7339,736.7,liver,5xFAD,FAD131_M4,32,FA18:1,8423,87.13047607740711
8,[TG(50:3)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,547.5,13.89,1142,764.7,liver,5xFAD,FAD173_M1,33,FA18:1,16357,0.0
9,[TG(50:3)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,547.5,13.94,15215,736.7,liver,5xFAD,FAD173_M1,33,FA18:1,16357,93.01827963563001
23,"[TG(52:7),TG(51:0)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,567.5,17.0,587,756.7,liver,5xFAD,FAD131_M1,65,FA18:1,587,100.0
24,"[TG(52:7),TG(51:0)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,567.5,17.0,952,756.7,liver,5xFAD,FAD131_M2,66,FA18:1,952,100.0
30,[TG(54:5)]_FA18:1,11282023_DOD94_F3_WT_cereb_O3on_01,n-9,599.5,13.3,778,788.7,cereb,WT,DOD94_F3,67,FA18:1,778,100.0
31,[TG(54:5)]_FA18:1,11282023_DOD94_F3_WT_cortex_O3on_01,n-9,599.5,13.26,1414,788.7,cortex,WT,DOD94_F3,68,FA18:1,1414,100.0
32,[TG(54:5)]_FA18:1,11282023_DOD94_F3_WT_dienc_O3on_01,n-9,599.5,13.35,4714,788.7,dienc,WT,DOD94_F3,69,FA18:1,4714,100.0
33,[TG(54:5)]_FA18:1,11282023_FAD184_F3_WT_cereb_O3on_01,n-9,599.5,13.26,987,788.7,cereb,WT,FAD184_F3,70,FA18:1,987,100.0
34,[TG(54:5)]_FA18:1,11282023_FAD184_F3_WT_cortex_O3on_01,n-7,599.5,13.21,1406,816.7,cortex,WT,FAD184_F3,71,FA18:1,8946,0.0
35,[TG(54:5)]_FA18:1,11282023_FAD184_F3_WT_cortex_O3on_01,n-9,599.5,13.26,7540,788.7,cortex,WT,FAD184_F3,71,FA18:1,8946,84.28347864967584
36,[TG(54:5)]_FA18:1,11282023_FAD184_F3_WT_dienc_O3on_01,n-9,599.5,13.26,727,788.7,dienc,WT,FAD184_F3,72,FA18:1,727,100.0
37,[TG(54:5)]_FA18:1,11282023_FAD184_F4_WT_cortex_O3on_01,n-9,599.5,13.3,813,788.7,cortex,WT,FAD184_F4,73,FA18:1,813,100.0
38,[TG(54:5)]_FA18:1,11282023_FAD184_F4_WT_dienc_O3on_01,n-9,599.5,13.26,617,788.7,dienc,WT,FAD184_F4,74,FA18:1,617,100.0
39,[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-7,599.5,13.16,9256,816.7,cereb,WT,FAD185_M4,75,FA18:1,35427,0.0
40,[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-9,599.5,13.26,26171,788.7,cereb,WT,FAD185_M4,75,FA18:1,35427,73.87303469105484
41,[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-7,599.5,13.16,2219,816.7,cortex,WT,FAD185_M4,76,FA18:1,21946,0.0
42,[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-9,599.5,13.26,19727,788.7,cortex,WT,FAD185_M4,76,FA18:1,21946,89.88881800783743
43,[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_dienc_O3on_01,n-7,599.5,13.21,583,816.7,dienc,WT,FAD185_M4,77,FA18:1,4177,0.0
44,[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_dienc_O3on_01,n-9,599.5,13.26,3594,788.7,dienc,WT,FAD185_M4,77,FA18:1,4177,86.04261431649509
45,[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_hippo_O3on_01,n-9,599.5,13.26,1702,788.7,hippo,WT,FAD185_M4,78,FA18:1,1702,100.0
46,[TG(54:5)]_FA18:1,11282023_FAD189_M3_WT_cereb_O3on_01,n-7,599.5,13.21,654,816.7,cereb,WT,FAD189_M3,79,FA18:1,8623,0.0
47,[TG(54:5)]_FA18:1,11282023_FAD189_M3_WT_cereb_O3on_01,n-9,599.5,13.26,7969,788.7,cereb,WT,FAD189_M3,79,FA18:1,8623,92.41563261046039
48,[TG(54:5)]_FA18:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-7,599.5,13.21,1839,816.7,cortex,WT,FAD189_M3,80,FA18:1,16609,0.0
49,[TG(54:5)]_FA18:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-9,599.5,13.26,14770,788.7,cortex,WT,FAD189_M3,80,FA18:1,16609,88.9276898067313
50,[TG(54:5)]_FA18:1,11282023_FAD189_M3_WT_dienc_O3on_01,n-7,599.5,13.21,596,816.7,dienc,WT,FAD189_M3,81,FA18:1,6222,0.0
51,[TG(54:5)]_FA18:1,11282023_FAD189_M3_WT_dienc_O3on_01,n-9,599.5,13.21,5626,788.7,dienc,WT,FAD189_M3,81,FA18:1,6222,90.42108646737384
32,[TG(54:5)]_FA18:1,11292023_DOD93_F4_5xFAD_cereb_O3on_01,n-9,599.5,13.48,967,788.7,cereb,5xFAD,DOD93_F4,82,FA18:1,967,100.0
33,[TG(54:5)]_FA18:1,11292023_DOD93_F4_5xFAD_cortex_O3on_01,n-9,599.5,13.53,1047,788.7,cortex,5xFAD,DOD93_F4,83,FA18:1,1047,100.0
34,[TG(54:5)]_FA18:1,11292023_DOD93_F4_5xFAD_dienc_O3on_01,n-9,599.5,13.48,1571,788.7,dienc,5xFAD,DOD93_F4,84,FA18:1,1571,100.0
35,[TG(54:5)]_FA18:1,11292023_DOD94_F4_5xFAD_cereb_O3on_01,n-9,599.5,13.48,3508,788.7,cereb,5xFAD,DOD94_F4,85,FA18:1,3508,100.0
36,[TG(54:5)]_FA18:1,11292023_DOD94_F4_5xFAD_cortex_O3on_01,n-9,599.5,13.48,1140,788.7,cortex,5xFAD,DOD94_F4,86,FA18:1,1140,100.0
37,[TG(54:5)]_FA18:1,11292023_DOD94_F4_5xFAD_dienc_O3on_01,n-9,599.5,13.66,640,788.7,dienc,5xFAD,DOD94_F4,87,FA18:1,640,100.0
38,[TG(54:5)]_FA18:1,11292023_DOD94_F4_5xFAD_hippo_O3on_01,n-9,599.5,13.57,623,788.7,hippo,5xFAD,DOD94_F4,88,FA18:1,623,100.0
39,[TG(54:5)]_FA18:1,11292023_FAD185_M1_5xFAD_cereb_O3on_01,n-9,599.5,13.48,1967,788.7,cereb,5xFAD,FAD185_M1,89,FA18:1,1967,100.0
40,[TG(54:5)]_FA18:1,11292023_FAD185_M1_5xFAD_cortex_O3on_01,n-9,599.5,13.48,4133,788.7,cortex,5xFAD,FAD185_M1,90,FA18:1,4133,100.0
41,[TG(54:5)]_FA18:1,11292023_FAD185_M1_5xFAD_dienc_O3on_01,n-9,599.5,13.48,2224,788.7,dienc,5xFAD,FAD185_M1,91,FA18:1,2224,100.0
42,[TG(54:5)]_FA18:1,11292023_FAD185_M1_5xFAD_hippo_O3on_01,n-9,599.5,13.48,920,788.7,hippo,5xFAD,FAD185_M1,92,FA18:1,920,100.0
43,[TG(54:5)]_FA18:1,11292023_FAD185_M3_5xFAD_cereb_O3on_01,n-9,599.5,13.48,877,788.7,cereb,5xFAD,FAD185_M3,93,FA18:1,877,100.0
44,[TG(54:5)]_FA18:1,11292023_FAD185_M3_5xFAD_dienc_O3on_01,n-9,599.5,13.48,806,788.7,dienc,5xFAD,FAD185_M3,94,FA18:1,806,100.0
45,[TG(54:5)]_FA18:1,11292023_FAD189_M1_5xFAD_cereb_O3on_01,n-7,599.5,13.47,1746,816.7,cereb,5xFAD,FAD189_M1,95,FA18:1,26654,0.0
46,[TG(54:5)]_FA18:1,11292023_FAD189_M1_5xFAD_cereb_O3on_01,n-9,599.5,13.53,24908,788.7,cereb,5xFAD,FAD189_M1,95,FA18:1,26654,93.44938845951827
47,[TG(54:5)]_FA18:1,11292023_FAD189_M1_5xFAD_cortex_O3on_01,n-7,599.5,13.47,1563,816.7,cortex,5xFAD,FAD189_M1,96,FA18:1,27089,0.0
