,Lipid,Organ,n-9_avg,std_dev
0,[TG(52:5)]_FA16:1,Liver,11.5,4.7
11,"[TG(55:11),TG(54:4)]_FA16:1",Liver,6.8,0.5
18,"[TG(56:7),]_FA16:1",Liver,72.0,48.5
23,[TG(50:3)]_FA18:1,Liver,93.3,2.1
33,"[TG(52:7),]_FA18:1",Liver,100.0,0.0
35,"[TG(55:8),TG(54:1)]_FA18:1",Liver,97.1,3.0
43,"[TG(55:9),TG(54:2)]_FA18:1",Liver,95.0,2.9
52,"[TG(55:10),TG(54:3)]_FA18:1",Liver,88.4,1.9
65,"[TG(55:11),TG(54:4)]_FA18:1",Liver,85.4,1.4
77,[TG(54:5)]_FA18:1,Liver,93.4,1.2
87,[TG(54:6)]_FA18:1,Liver,93.4,2.3
97,"[TG(56:10),TG(55:3)]_FA18:1",Liver,96.3,5.0
104,"[TG(56:11),TG(55:4)]_FA18:1",Liver,100.0,0.0
109,"[TG(57:9),TG(56:2)]_FA18:1",Liver,96.8,3.2
117,"[TG(57:10),TG(56:3)]_FA18:1",Liver,93.7,4.1
126,"[TG(57:11),TG(56:4)]_FA18:1",Liver,94.3,3.7
135,"[TG(57:12),TG(56:5)]_FA18:1",Liver,93.2,6.6
142,[TG(56:6)]_FA18:1,Liver,96.8,2.5
151,"[TG(56:7),]_FA18:1",Liver,97.8,2.1
159,"[TG(59:11),TG(58:4)]_FA18:1",Liver,95.7,5.0
165,"[TG(59:12),TG(58:5)]_FA18:1",Liver,100.0,0.0
169,"[TG(59:13),TG(58:6)]_FA18:1",Liver,100.0,0.0
171,"[TG(58:7),]_FA18:1",Liver,100.0,0.0
16,[TG(52:5)]_FA16:1,Brain,2.8,0.6
44,[TG(50:3)]_FA18:1,Brain,100.0,0.0
63,"[TG(55:8),TG(54:1)]_FA18:1",Brain,100.0,0.0
96,"[TG(55:9),TG(54:2)]_FA18:1",Brain,100.0,0.0
146,"[TG(55:10),TG(54:3)]_FA18:1",Brain,99.2,1.4
192,"[TG(55:11),TG(54:4)]_FA18:1",Brain,98.6,2.6
235,[TG(54:5)]_FA18:1,Brain,99.3,1.6
257,[TG(54:6)]_FA18:1,Brain,100.0,0.0
267,"[TG(57:9),TG(56:2)]_FA18:1",Brain,100.0,0.0
285,"[TG(57:11),TG(56:4)]_FA18:1",Brain,100.0,0.0
288,"[TG(56:7),]_FA18:1",Brain,100.0,
