,Lipid,Sample_ID,db_pos,Product_Ion,Retention_Time,OzESI_Intensity,Parent_Ion,Biology,Genotype,Mouse
0,[TG(50:3)]_FA18:1,11282023_DOD94_F3_WT_cereb_O3on_01,n-9,547.5,13.32,559,736.7,cereb,WT,DOD94_F3
1,[TG(50:3)]_FA18:1,11282023_DOD94_F3_WT_dienc_O3on_01,n-9,547.5,13.32,1334,736.7,dienc,WT,DOD94_F3
2,[TG(50:3)]_FA18:1,11282023_DOD94_F3_WT_hippo_O3on_01,n-9,547.5,13.36,667,736.7,hippo,WT,DOD94_F3
3,[TG(50:3)]_FA18:1,11282023_FAD184_F3_WT_cortex_O3on_01,n-9,547.5,13.23,2524,736.7,cortex,WT,FAD184_F3
4,[TG(50:3)]_FA18:1,11282023_FAD184_F3_WT_dienc_O3on_01,n-9,547.5,13.18,686,736.7,dienc,WT,FAD184_F3
5,[TG(50:3)]_FA18:1,11282023_FAD184_F4_WT_cereb_O3on_01,n-9,547.5,13.36,665,736.7,cereb,WT,FAD184_F4
6,[TG(50:3)]_FA18:1,11282023_FAD184_F4_WT_dienc_O3on_01,n-9,547.5,13.23,591,736.7,dienc,WT,FAD184_F4
7,[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-7,547.5,13.27,881,764.7,cereb,WT,FAD185_M4
8,[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-9,547.5,13.36,5801,736.7,cereb,WT,FAD185_M4
9,[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-9,547.5,13.36,3674,736.7,cortex,WT,FAD185_M4
10,[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_hippo_O3on_01,n-9,547.5,13.45,578,736.7,hippo,WT,FAD185_M4
11,[TG(50:3)]_FA18:1,11282023_FAD189_M3_WT_cereb_O3on_01,n-9,547.5,13.36,1821,736.7,cereb,WT,FAD189_M3
12,[TG(50:3)]_FA18:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-9,547.5,13.32,6918,736.7,cortex,WT,FAD189_M3
13,[TG(50:3)]_FA18:1,11282023_FAD189_M3_WT_dienc_O3on_01,n-9,547.5,13.36,1042,736.7,dienc,WT,FAD189_M3
14,[TG(52:5)]_FA16:1,11282023_DOD94_F3_WT_cereb_O3on_01,n-7,599.5,12.02,673,788.7,cereb,WT,DOD94_F3
15,[TG(52:5)]_FA16:1,11282023_DOD94_F3_WT_cortex_O3on_01,n-7,599.5,12.02,1126,788.7,cortex,WT,DOD94_F3
16,[TG(52:5)]_FA16:1,11282023_DOD94_F3_WT_dienc_O3on_01,n-7,599.5,12.1,1567,788.7,dienc,WT,DOD94_F3
17,[TG(52:5)]_FA16:1,11282023_FAD184_F3_WT_cortex_O3on_01,n-7,599.5,12.02,3221,788.7,cortex,WT,FAD184_F3
18,[TG(52:5)]_FA16:1,11282023_FAD184_F3_WT_dienc_O3on_01,n-7,599.5,12.06,512,788.7,dienc,WT,FAD184_F3
19,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-7,599.5,12.02,26428,788.7,cereb,WT,FAD185_M4
20,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-9,599.5,12.07,2939,760.7,cereb,WT,FAD185_M4
21,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-7,599.5,12.02,16896,788.7,cortex,WT,FAD185_M4
22,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-9,599.5,12.07,3054,760.7,cortex,WT,FAD185_M4
