,Lipid,Sample_ID,db_pos,OzESI_Intensity,Total_DB_Intensity,n-9%
0,[TG(50:3)]_FA18:1,11282023_DOD94_F3_WT_dienc_O3on_01,n-9,508.580047607421,508.580047607421,100.0
1,[TG(50:3)]_FA18:1,11282023_FAD184_F3_WT_cereb_O3on_01,n-9,502.100036621093,502.100036621093,100.0
2,[TG(50:3)]_FA18:1,11282023_FAD184_F3_WT_hippo_O3on_01,n-9,573.440063476562,573.440063476562,100.0
3,[TG(50:3)]_FA18:1,11282023_FAD184_F4_WT_cereb_O3on_01,n-10,1120.76013183593,1120.76013183593,
4,[TG(50:3)]_FA18:1,11282023_FAD184_F4_WT_dienc_O3on_01,n-9,584.980041503906,584.980041503906,100.0
5,[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-9,659.140075683593,659.140075683593,100.0
6,[TG(50:3)]_FA18:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-9,1114.06005859375,1114.06005859375,100.0
7,[TG(50:3)]_FA18:1,11282023_FAD189_M3_WT_dienc_O3on_01,n-10,787.56005859375,1329.980102539062,
8,[TG(50:3)]_FA18:1,11282023_FAD189_M3_WT_dienc_O3on_01,n-9,542.420043945312,1329.980102539062,40.78407210076144
9,[TG(50:3)]_FA18:1,11292023_DOD93_F4_5xFAD_cereb_O3on_01,n-9,548.920043945312,548.920043945312,100.0
10,[TG(50:3)]_FA18:1,11292023_DOD93_F4_5xFAD_cortex_O3on_01,n-9,967.260070800781,967.260070800781,100.0
11,[TG(50:3)]_FA18:1,11292023_DOD93_F4_5xFAD_dienc_O3on_01,n-9,692.440063476562,692.440063476562,100.0
12,[TG(50:3)]_FA18:1,11292023_DOD93_F4_5xFAD_hippo_O3on_01,n-9,678.660034179687,678.660034179687,100.0
13,[TG(50:3)]_FA18:1,11292023_DOD94_F4_5xFAD_cereb_O3on_01,n-9,1584.98010253906,1584.98010253906,100.0
14,[TG(50:3)]_FA18:1,11292023_DOD94_F4_5xFAD_cortex_O3on_01,n-9,1122.32006835937,1122.32006835937,100.0
15,[TG(50:3)]_FA18:1,11292023_DOD94_F4_5xFAD_dienc_O3on_01,n-9,505.320037841796,505.320037841796,100.0
16,[TG(50:3)]_FA18:1,11292023_FAD185_M1_5xFAD_cereb_O3on_01,n-9,671.880065917968,671.880065917968,100.0
17,[TG(50:3)]_FA18:1,11292023_FAD185_M1_5xFAD_cortex_O3on_01,n-9,851.400085449218,851.400085449218,100.0
18,[TG(50:3)]_FA18:1,11292023_FAD185_M1_5xFAD_dienc_O3on_01,n-9,676.280029296875,676.280029296875,100.0
19,[TG(50:3)]_FA18:1,11292023_FAD185_M1_5xFAD_hippo_O3on_01,n-9,717.320068359375,717.320068359375,100.0
20,[TG(50:3)]_FA18:1,11292023_FAD189_M1_5xFAD_cereb_O3on_01,n-9,3350.26025390625,3350.26025390625,100.0
21,[TG(50:3)]_FA18:1,11292023_FAD189_M1_5xFAD_cortex_O3on_01,n-9,4646.96044921875,4646.96044921875,100.0
22,[TG(50:3)]_FA18:1,11292023_FAD189_M1_5xFAD_dienc_O3on_01,n-9,1178.80004882812,1178.80004882812,100.0
23,[TG(50:3)]_FA18:1,11292023_FAD189_M1_5xFAD_hippo_O3on_01,n-9,538.500061035156,538.500061035156,100.0
24,[TG(50:3)]_FA18:1,11292023_FAD189_M2_5xFAD_cereb_O3on_01,n-9,529.580017089843,529.580017089843,100.0
25,[TG(50:3)]_FA18:1,11292023_FAD189_M2_5xFAD_cortex_O3on_01,n-9,771.06005859375,771.06005859375,100.0
26,[TG(50:3)]_FA18:1,11292023_FAD189_M2_5xFAD_dienc_O3on_01,n-9,688.580078125,688.580078125,100.0
27,[TG(50:3)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,1214.40014648437,14411.04077148437,
28,[TG(50:3)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,13196.640625,14411.04077148437,91.57312670374685
29,[TG(50:3)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,2417.16015625,34492.021484375,
30,[TG(50:3)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,32074.861328125,34492.021484375,92.99211802548314
31,[TG(50:3)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,4462.560546875,49072.744140625,
32,[TG(50:3)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,44610.18359375,49072.744140625,90.90623394916149
33,[TG(50:3)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,1084.30004882812,8422.88061523437,
34,[TG(50:3)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,7338.58056640625,8422.88061523437,87.12673135997015
35,[TG(50:3)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,1141.5400390625,16356.28125,
36,[TG(50:3)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,15214.7412109375,16356.28125,93.02078497175205
37,[TG(52:5)]_FA16:1,11282023_DOD94_F3_WT_cereb_O3on_01,n-7,673.140075683593,673.140075683593,
38,[TG(52:5)]_FA16:1,11282023_DOD94_F3_WT_cortex_O3on_01,n-7,1125.94006347656,1125.94006347656,
39,[TG(52:5)]_FA16:1,11282023_DOD94_F3_WT_dienc_O3on_01,n-7,1567.1201171875,1567.1201171875,
40,[TG(52:5)]_FA16:1,11282023_FAD184_F3_WT_cortex_O3on_01,n-7,3221.42016601562,3221.42016601562,
41,[TG(52:5)]_FA16:1,11282023_FAD184_F3_WT_dienc_O3on_01,n-7,512.080017089843,512.080017089843,
42,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-7,26427.78125,29366.36157226562,
43,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-9,2938.58032226562,29366.36157226562,10.006620381058354
44,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-7,16895.62109375,19949.8212890625,
45,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-9,3054.2001953125,19949.8212890625,15.309411302781777
46,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_dienc_O3on_01,n-7,1839.70007324218,1839.70007324218,
47,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_hippo_O3on_01,n-7,538.5400390625,538.5400390625,
48,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_cereb_O3on_01,n-7,6437.140625,7482.04064941406,
49,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_cereb_O3on_01,n-9,1044.90002441406,7482.04064941406,13.965441693983434
50,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-7,17454.80078125,19092.94091796875,
51,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-9,1638.14013671875,19092.94091796875,8.579820907407006
52,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_dienc_O3on_01,n-7,1848.70007324218,1848.70007324218,
53,[TG(52:5)]_FA16:1,11292023_DOD93_F4_5xFAD_dienc_O3on_01,n-7,585.980041503906,585.980041503906,
54,[TG(52:5)]_FA16:1,11292023_DOD94_F4_5xFAD_cereb_O3on_01,n-7,1417.84008789062,1417.84008789062,
55,[TG(52:5)]_FA16:1,11292023_DOD94_F4_5xFAD_cortex_O3on_01,n-7,930.840087890625,930.840087890625,
56,[TG(52:5)]_FA16:1,11292023_FAD185_M1_5xFAD_cereb_O3on_01,n-7,1340.24011230468,1340.24011230468,
57,[TG(52:5)]_FA16:1,11292023_FAD185_M1_5xFAD_cortex_O3on_01,n-7,2509.36010742187,2509.36010742187,
58,[TG(52:5)]_FA16:1,11292023_FAD185_M1_5xFAD_dienc_O3on_01,n-7,906.000061035156,906.000061035156,
59,[TG(52:5)]_FA16:1,11292023_FAD185_M1_5xFAD_hippo_O3on_01,n-7,603.000061035156,603.000061035156,
60,[TG(52:5)]_FA16:1,11292023_FAD185_M3_5xFAD_cereb_O3on_01,n-7,32121.501953125,33966.74206542968,
61,[TG(52:5)]_FA16:1,11292023_FAD185_M3_5xFAD_cereb_O3on_01,n-9,1845.24011230468,33966.74206542968,5.432490725045748
62,[TG(52:5)]_FA16:1,11292023_FAD185_M3_5xFAD_dienc_O3on_01,n-7,18752.060546875,19485.680603027344,
63,[TG(52:5)]_FA16:1,11292023_FAD185_M3_5xFAD_dienc_O3on_01,n-9,733.620056152343,19485.680603027344,3.7649188196093384
64,[TG(52:5)]_FA16:1,11292023_FAD185_M3_5xFAD_hippo_O3on_01,n-7,3588.7802734375,3588.7802734375,
