,Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Transition,Area,Area_RT,Area_Ratio,FAC,TG,Biology,Genotype,Mouse,SLBG_group,Lipid_End
0,[TG(52:5)]_FA16:1,11282023_DOD94_F3_WT_cereb_O3on_01,n-7,788.7,599.5,12.02,673.0,788.7 -> 599.5,2693.0,0.0,,FA16:1,TG(52:5),cereb,WT,DOD94_F3,13,FA16:1
1,[TG(52:5)]_FA16:1,11282023_DOD94_F3_WT_cortex_O3on_01,n-7,788.7,599.5,12.02,1126.0,788.7 -> 599.5,6754.0,0.0441500000000001,,FA16:1,TG(52:5),cortex,WT,DOD94_F3,14,FA16:1
2,[TG(52:5)]_FA16:1,11282023_DOD94_F3_WT_dienc_O3on_01,n-7,788.7,599.5,12.1,1567.0,788.7 -> 599.5,16093.0,0.0446666666666661,,FA16:1,TG(52:5),dienc,WT,DOD94_F3,15,FA16:1
3,[TG(52:5)]_FA16:1,11282023_FAD184_F3_WT_cortex_O3on_01,n-7,788.7,599.5,12.02,3221.0,788.7 -> 599.5,41227.0,0.0890666666666675,,FA16:1,TG(52:5),cortex,WT,FAD184_F3,16,FA16:1
4,[TG(52:5)]_FA16:1,11282023_FAD184_F3_WT_dienc_O3on_01,n-7,788.7,599.5,12.06,512.0,788.7 -> 599.5,2048.0,0.0,,FA16:1,TG(52:5),dienc,WT,FAD184_F3,17,FA16:1
5,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-7,788.7,599.5,12.02,26428.0,788.7 -> 599.5,541404.0,0.3555333333333337,0.04,FA16:1,TG(52:5),cereb,WT,FAD185_M4,18,FA16:1
6,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-9,760.7,599.5,12.07,2939.0,760.7 -> 599.5,21302.0,0.0443999999999995,0.04,FA16:1,TG(52:5),cereb,WT,FAD185_M4,18,FA16:1
7,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-7,788.7,599.5,12.02,16896.0,788.7 -> 599.5,302318.0,0.2223000000000006,0.07,FA16:1,TG(52:5),cortex,WT,FAD185_M4,19,FA16:1
8,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-9,760.7,599.5,12.07,3054.0,760.7 -> 599.5,20725.0,0.0888166666666663,0.07,FA16:1,TG(52:5),cortex,WT,FAD185_M4,19,FA16:1
9,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_dienc_O3on_01,n-7,788.7,599.5,12.02,1840.0,788.7 -> 599.5,21688.0,0.0890666666666657,,FA16:1,TG(52:5),dienc,WT,FAD185_M4,20,FA16:1
10,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_hippo_O3on_01,n-7,788.7,599.5,12.06,539.0,788.7 -> 599.5,2154.0,0.0,,FA16:1,TG(52:5),hippo,WT,FAD185_M4,21,FA16:1
11,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_cereb_O3on_01,n-7,788.7,599.5,12.02,6437.0,788.7 -> 599.5,106409.0,0.1773500000000005,0.04,FA16:1,TG(52:5),cereb,WT,FAD189_M3,22,FA16:1
12,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_cereb_O3on_01,n-9,760.7,599.5,12.07,1045.0,760.7 -> 599.5,4180.0,0.0,0.04,FA16:1,TG(52:5),cereb,WT,FAD189_M3,22,FA16:1
13,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-7,788.7,599.5,11.97,17455.0,788.7 -> 599.5,340657.0,0.2667000000000001,0.04,FA16:1,TG(52:5),cortex,WT,FAD189_M3,23,FA16:1
14,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-9,760.7,599.5,12.07,1638.0,760.7 -> 599.5,15120.0,0.0888000000000008,0.04,FA16:1,TG(52:5),cortex,WT,FAD189_M3,23,FA16:1
15,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_dienc_O3on_01,n-7,788.7,599.5,12.02,1849.0,788.7 -> 599.5,26858.0,0.0888000000000008,,FA16:1,TG(52:5),dienc,WT,FAD189_M3,24,FA16:1
16,[TG(50:3)]_FA18:1,11282023_DOD94_F3_WT_cereb_O3on_01,n-9,736.7,547.5,13.32,559.0,736.7 -> 547.5,4458.0,0.0444166666666667,,FA18:1,TG(50:3),cereb,WT,DOD94_F3,0,FA18:1
17,[TG(50:3)]_FA18:1,11282023_DOD94_F3_WT_dienc_O3on_01,n-9,736.7,547.5,13.32,1334.0,736.7 -> 547.5,18451.0,0.1776166666666672,,FA18:1,TG(50:3),dienc,WT,DOD94_F3,1,FA18:1
18,[TG(50:3)]_FA18:1,11282023_DOD94_F3_WT_hippo_O3on_01,n-9,736.7,547.5,13.36,667.0,736.7 -> 547.5,4704.0,0.1776333333333344,,FA18:1,TG(50:3),hippo,WT,DOD94_F3,2,FA18:1
