lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_cerebellum,DOD94_F4_Female_5xFAD_cerebellum,FAD185_M1_Male_5xFAD_cerebellum,FAD185_M3_Male_5xFAD_cerebellum,FAD189_M1_Male_5xFAD_cerebellum,FAD189_M2_Male_5xFAD_cerebellum,DOD94_F3_Female_WT_cerebellum,FAD184_F3_Female_WT_cerebellum,FAD184_F4_Female_WT_cerebellum,FAD185_M4_Male_WT_cerebellum,FAD189_M3_Male_WT_cerebellum,Blank_Blank_Blank_Blank_Blank
LPE(20:2),5.811421567934517,4.419904810717333,146.4583816577024,1.0307020392701534e-33,3.326075480724785e-30,PE,2174.660144805908,2187.3601570129395,358203.14964675903,683538.8669128418,64319.18466949463,3182.880199432373,2637.660182952881,2014.620140075684,2308.1001586914062,2094.660148620605,2314.5001640319824,2000.340129852295
LPE(20:1),3.98834618565337,2.7786412864273715,82.88533507214844,8.695389697712168e-20,1.4030011277258582e-16,PE,2451.980178833008,2051.14013671875,139514.009349823,129494.72986602785,60100.4641456604,3254.260234832764,2325.160171508789,2489.980152130127,2533.3001747131348,2482.680164337158,2457.9801712036133,2031.0601501464844
FA(30:1),-2.839453602752708,7.506905550888593,52.01652382271641,5.503554682111807e-13,4.992954326971581e-10,FA,37934.342781066895,553913.3770446777,116861.18516540527,226113.1979370117,168734.55430603027,100551.66612243652,671026.7630767822,1378772.1616363523,677737.0124816895,2475351.2074279785,482871.0517425537,25251.52146911621
LPE(20:0),3.0013464548692066,1.713920552009183,51.786057592845324,6.18897344527001e-13,4.992954326971581e-10,PE,2266.2401542663574,1963.4401321411133,54358.74401855469,57580.28396606445,31308.202213287357,2990.2601928710938,2225.06014251709,2085.120147705078,2348.7601776123047,2120.980125427246,2144.3201446533203,2168.840148925781
LPE(20:3),2.636023501691864,2.415592035470191,41.37360056746934,1.2574412476043543e-10,8.115525812038503e-8,PE,2057.74015045166,3075.56018447876,103445.78802108765,83106.7262916565,46858.88328170776,2524.6801681518555,10546.960926055908,3029.920223236084,4029.80033493042,3031.6201972961426,1927.8401260375977,2059.740146636963
DG(35:3)_C16:0,-2.4869485622373215,1.7768749412202967,40.83851406711679,1.65342189682633e-10,8.89265410176428e-8,DAG,4958.340370178223,2721.3401832580566,2745.7001914978027,2631.7401847839355,2633.3001823425293,2752.720195770264,32789.262298583984,12913.740856170654,12106.060813903809,3489.320243835449,7054.2405128479,23162.98149871826
DG(37:3)_C16:0,2.52493920446196,9.060504482747866,38.36815225763053,5.85806439464604e-10,2.700567685931824e-7,DAG,1729280.427886963,1930320.427307129,5928213.67098999,1733521.9427490234,4645909.74987793,6879570.826812744,695420.4795074463,76950.06562805176,33954.64236831665,540906.0047302246,1126048.0227508545,40108.38299560547
[TG(56:9)|TG(55:2)]_FA20:4,2.4190256452874666,9.854291765019692,35.557281521671314,2.4765954399999283e-9,9.989966856099711e-7,TAG,193544.15423583984,747425.8942871094,1798040.7994384766,8524947.020996094,23256633.8046875,8137997.686645508,157983.45001220703,107140.60772705078,180683.05352783203,4242381.1875,242354.19677734372,48443.04309082031
DG(37:4)_C16:1,2.3028331569386458,7.494721298501431,32.55889968604606,1.1563440635744872e-8,4.1461358812831886e-6,DAG,38202.14278411865,197078.99267196652,5633232.351043701,1796300.1379394531,37245.842655181885,41893.20293807984,318890.8780708313,35878.12254333496,35530.642780303955,558610.28955078125,35696.70264053345,43886.56324768066
[TG(54:5)]_FA18:0,2.276687542874547,9.422662315394014,31.897414905833998,1.6253331928643112e-8,5.244950213373132e-6,TAG,149058.6099243164,587541.5015869141,1378400.185180664,6415723.7333984375,16791606.653320312,5833877.726257324,140613.5297241211,104603.42761230467,159127.21130371094,3361785.062988281,202598.19317626956,45290.223083496094
[TG(58:7)|TG(57:0)]_FA20:4,2.258195523232995,9.609368685409347,31.4323107156317,2.0651550232110643e-8,6.058413872638277e-6,TAG,209015.3346557617,814380.4487915039,1642628.0184936523,7917442.884033203,16998902.05126953,7668639.425720215,152078.1902770996,150061.1708984375,258788.9163208008,3736213.030761719,261854.79626464844,40370.902770996094
[TG(54:8)|TG(53:1)]_FA18:3,2.2019733511295363,9.881295402637498,30.033367901586203,4.2467536550409227e-8,1.1420228370680882e-5,TAG,218432.59399414065,934922.619140625,1860259.9578857424,8719676.911621094,22574725.44897461,8137389.653808594,199509.9741821289,125853.94934082033,232693.59765625,4863312.215698242,289151.4822998047,50717.52389526367
