type,Down,Up
CAR,5,0
CE,0,0
Cer,0,0
DAG,13,36
FA,135,1
PC,14,35
PE,8,35
PG,6,27
PI,4,29
PS,0,26
SM,0,0
TAG,50,375
TAG | DAG,2,0
