type,Down,Up
CAR,0,0
CE,0,0
Cer,0,0
DAG,19,7
FA,11,0
PC,11,0
PE,5,5
PG,2,3
PI,3,0
PS,1,1
SM,0,0
TAG,33,10
TAG | DAG,1,0
