type,Down,Up
CAR,0,0
CE,0,0
Cer,0,0
DAG,11,36
FA,13,0
PC,11,58
PE,7,25
PG,4,14
PI,5,15
PS,0,17
SM,0,0
TAG,53,173
TAG | DAG,1,0
