lipid,logFC,logCPM,LR,PValue,FDR,type,FAD185_M1_Male_5xFAD_cortex,FAD185_M3_Male_5xFAD_cortex,FAD189_M1_Male_5xFAD_cortex,FAD189_M2_Male_5xFAD_cortex,FAD185_M4_Male_WT_cortex,FAD189_M3_Male_WT_cortex,Blank_Blank_Blank_Blank_Blank
LPE(20:2),6.096581017633331,3.9804712658307313,64.12185388791274,1.1695698158344802e-15,3.739114701222833e-12,PE,552806.6551513672,111081.00933074953,86580.92544937134,5080.360347747803,2187.74015045166,2173.5601692199707,2000.340129852295
[TG(51:5)]_FA16:0,-3.7597138520401177,6.327912614063382,49.29211940944515,2.2054671206550325e-12,3.5254391923670696e-9,TAG,132702.60998535156,129032.44927978516,116820.0492553711,117311.1682434082,1867990.1942749023,742645.9927978516,39190.08248901367
[TG(51:6)]_FA16:1,-3.697691565230375,6.521623757799051,47.83054125162835,4.6469638674101486e-12,4.952114494703416e-9,TAG,146931.69006347656,163424.91040039062,129036.94897460938,150070.03161621094,2157816.8165893555,819853.119934082,41019.22302246094
DG(35:6)_C16:0,4.773605866201511,2.975879694737991,45.40977829824993,1.5983440419873542e-11,1.2774764755583928e-8,DAG,354742.18701171875,4213.16032409668,2626.160186767578,2716.520195007324,2631.7801780700684,2674.1001892089844,2623.120189666748
DG(37:4)_C18:1,-3.5084139438748005,2.0699136012153305,43.42926950515688,4.395637885326238e-11,2.8105708638775964e-8,DAG,2892.220203399658,2895.520221710205,2895.200206756592,2972.040214538574,38224.66283416748,13228.380893707275,40262.78248596192
LPE(20:4),4.48538735548133,2.836482906794302,41.43575299342172,1.2180907275856518e-10,6.490393426818881e-8,PE,264536.8984298706,42672.74304962158,18893.04136657715,2492.0801582336426,3242.400260925293,2589.7201538085938,2961.640182495117
[TG(51:4)]_FA14:0,-3.334815908390223,5.943335139743351,39.56480149138133,3.173519544405786e-10,1.449391711923614e-7,TAG,108547.54736328124,112186.84884643556,107290.3677368164,133083.69061279297,1252804.9055786133,551434.9449462891,82697.70608520508
LPE(20:3),4.215847831272675,2.324682179636215,37.76371648713928,7.98532648870988e-10,3.1911360980506857e-7,PE,154099.91077041626,44359.44305801392,28154.30215072632,4231.86022567749,2821.360221862793,2089.3801498413086,2059.740146636963
[TG(38:1)]_FA14:0,-3.2190589114910906,7.486389332719352,37.04082662609153,1.156815346738116e-9,4.109265181690841e-7,TAG,435299.6118164063,362804.6832275391,418657.8930664063,331275.9782714844,4904561.684204102,690909.6423339844,49943.38360595703
DG(40:10)|DG(39:3)_C18:0,4.13367296381803,4.6373971629639845,36.671194756437664,1.3983041947929102e-9,4.4703785107529334e-7,DAG,162299.21299362183,14495.061027526855,16362.201206207275,1000045.3145713806,14801.721046447754,11472.880821228027,3224.120246887207
LPE(20:1),4.002170030934326,2.1588908450955357,34.89541547978325,3.478990779353305e-9,1.0111212292356833e-6,PE,132247.60803985596,37634.5627822876,30525.00203704834,4573.460258483887,2575.700180053711,2460.460163116455,2031.0601501464844
