lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F4_Female_5xFAD_hippocampus,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_hippocampus,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_hippocampus,DOD94_F3_Female_WT_hippocampus,FAD184_F3_Female_WT_hippocampus,FAD184_F4_Female_WT_hippocampus,FAD185_M4_Male_WT_hippocampus,FAD189_M3_Male_WT_hippocampus,Blank_Blank_Blank_Blank_Blank
LPE(20:2),5.218186842869924,4.573691610793341,223.79740235173568,1.3430888161845246e-50,4.334147609827461e-47,PE,2251.5601539611816,2216.220146179199,386055.4677848816,342430.14724731445,10192.700828552246,2125.4401359558105,2058.2001457214355,2127.5601501464844,2265.580150604248,3187.380271911621,2087.800148010254,2000.340129852295
LPE(20:1),3.7907982527100708,3.186879679020526,136.47522871286807,1.5706081264684178e-31,2.534176212056792e-28,PE,2481.9801902771,2274.4601516723637,86616.38613510132,171943.6100578308,7805.120422363281,3642.240261077881,2763.5001945495605,2040.1801376342771,2231.1801376342773,2318.440174102783,2107.780139923096,2031.0601501464844
LPE(20:3),3.0929682673191823,2.8949011921933927,97.40915991443381,5.638458751406218e-23,6.065102130262623e-20,PE,2451.740146636963,2885.7402000427246,118867.42853164671,77489.36529541016,7855.660625457764,2019.980136871338,2139.6401557922363,3120.4002113342285,2212.4001693725586,5207.5804443359375,2098.780143737793,2059.740146636963
[TG(61:12)|TG(60:5)]_FA22:6,2.864812541761666,10.722380736476078,85.52331392444466,2.289858197546507e-20,1.8473431008706446e-17,TAG,1964597.0122070312,480614.39709472656,19410951.02148437,13619564.489135742,5246253.037353516,7045603.99520874,453621.83193969727,1570971.2520751953,760355.5217895508,579936.9184265137,640968.4714355469,153794.44931030273
LPE(20:0),2.849905836628322,2.2233989206764515,84.61942308943645,3.6169450872159815e-20,2.3343763592891942e-17,PE,2217.220146179199,2188.8401527404785,62723.90397262573,54680.84397888184,4801.900329589844,2571.800178527832,2034.1601486206052,2124.74015045166,2062.580146789551,2132.360145568848,2257.8401527404785,2168.840148925781
[TG(61:11)|TG(60:4)]_FA22:5,2.815473074830832,10.515306113168853,82.99211705662945,8.238126037022964e-20,4.430738786912185e-17,TAG,1755738.7368164062,440731.9926757813,16195405.749633787,11820811.877563477,4717405.499389648,6291816.236877441,385300.46588134766,1397400.684326172,662964.7284240723,549390.8406982422,584445.1047363281,137564.6700744629
DG(37:4)_C16:1,2.4826503940952125,8.52584922760415,66.5607307766477,3.392780913116337e-16,1.5640720009466314e-13,DAG,1786008.5904846191,137014.44999694824,1954716.955535889,734521.1391487122,3176351.913017273,1948034.9388694763,39429.50277709961,37313.78267669678,784492.0373497009,133211.84944915771,36455.42232513428,43886.56324768066
DG(34:4)|DG(dO-36:4)_C16:1,2.27499340344861,8.819938004978564,56.93986993859289,4.493429559009509e-14,1.8125371483654607e-11,DAG,1857368.0333251955,329758.5263786316,5684061.168457031,1107847.4912452698,689285.7465057373,1830091.190093994,69864.04468536377,78258.94566726685,559346.867111206,676689.3136062622,72187.6453666687,77399.72564697266
DG(31:1)_C16:1,2.2398514480046026,9.22064043193739,55.364555783758995,1.0012568614258158e-13,3.590062102023453e-11,DAG,3142247.3413085938,368648.7060852051,4106221.7010498047,2292516.308959961,1884771.9234046936,1665236.3315429688,125250.8090171814,143884.9900894165,945925.6959571838,393086.95028305054,140743.26978302002,988632.05859375
DG(32:3)_C16:1,2.2322801970263297,8.324698436118801,55.02665538952714,1.189062516076673e-13,3.8371047393794235e-11,DAG,1658128.8932495115,200632.7957611084,2129486.633422852,1116295.9083862305,1133135.9825210571,994220.6136779784,72543.48545837402,76907.56525039673,504374.49139404297,210910.21404647827,78990.96538925171,532644.7174072266
[TG(56:7)|TG(55:0)]_FA20:4,2.2170333052978504,11.074988984365056,54.350637633605444,1.67723565256184e-13,4.92039950074278e-11,TAG,963366.02392578125,722483.412109375,3586565.5634765625,29263070.02148437,13358120.358398438,11096170.08642578,761207.5549316406,1343398.7534179688,524231.33447265625,3061859.201904297,1747350.7604980469,337624.623046875
[TG(56:8)|TG(55:1)]_FA20:4,2.162921619547118,10.124819842403467,51.97223448718432,5.629101086326536e-13,1.5137591004646444e-10,TAG,657204.9846191406,550675.57861328125,2185421.9296875,14032691.2734375,7531237.7724609375,5284178.545410156,468051.01037597656,595051.3278808594,465779.3540039063,1419296.3854980469,1004127.9885253906,159430.49194335938
[TG(54:7)|TG(53:0)]_FA18:3,2.139406849882903,10.382482866960283,50.9509796900129,9.470173441247968e-13,2.1828749782076567e-10,TAG,965683.175048828,772356.70849609375,2286638.6440429688,16535804.180664062,9379285.220703123,6008349.302978516,577781.5974121094,975192.14892578125,511894.5944824219,1760123.6467285156,982648.3714599608,209595.373046875
DG(33:1)|DG(O-34:1)_C16:1,2.1413760379569533,8.75089258323158,51.03562986681936,9.070449978138293e-13,2.1828749782076567e-10,DAG,2188595.5294189453,312822.4830818176,2966604.661926269,1489372.6487464905,1439206.9345703125,1200891.0610961914,102539.9465751648,116786.80853652954,710003.7331848145,301555.761051178,106432.18765258788,719989.2328491211
[TG(55:10)|TG(54:3)]_FA18:0,2.1270580523580738,10.70006450675222,50.41768884408522,1.242690584089151e-12,2.67344167657046e-10,TAG,759769.71240234375,591430.8232421875,2457804.06640625,22310158.150390625,10321547.45703125,8655235.494628906,646789.9450683594,1035536.390625,378978.2673339844,2529452.208984375,1458737.7465820312,228309.53759765625
[TG(55:11)|TG(54:4)]_FA18:0,2.07919028095332,9.884888513354921,48.36997773442999,3.529303034149625e-12,7.118163057000525e-10,TAG,656290.630859375,613605.1435546875,1804296.5463867188,11190681.73828125,6614976.351074219,4375815.155029297,407805.69287109375,729355.08935546875,326209.58068847656,1296145.529296875,775406.3122558594,142586.51037597656
[TG(54:5)]_FA18:2,2.0519657130544022,11.088626027610877,47.219824733915885,6.345538373248146e-12,1.204532490027751e-9,TAG,1214926.552734375,827975.3154296875,4755642.620117188,27353301.087890625,12950687.678710938,11115862.021972656,892876.8366699219,1291374.9731445312,546573.9814453125,3577520.380859375,1930720.7661132808,356736.9655761719
[TG(46:6)]_FA22:5,-1.9667175844830487,13.246770692787273,47.08495323294926,6.797553660737373e-12,1.2186503146221945e-9,TAG,16586394.428405762,29109821.80078125,3537173.938842773,3074289.003540039,3001405.6555786133,2491813.448486328,37429927.81323242,34968473.287231445,23504976.35809326,17359756.292114258,56144623.94042969,55422.98370361328
[TG(54:6)]_FA18:3,2.0420535068702237,11.26265926102038,46.80361034546645,7.846871728677804e-12,1.2883459385457297e-9,TAG,1600397.7924804688,919343.84228515625,3944343.1083984375,31725840.283203125,15340567.908203123,12159912.82421875,1036743.9990234376,1736125.6982421875,799544.85498046875,3826025.513671875,1966273.8369140625,382035.806640625
DG(30:3)_C16:1,2.041244293167542,10.080925537185655,46.76946467653397,7.984790446518313e-12,1.2883459385457297e-9,DAG,5149777.382019043,464402.0104980469,6672699.415527344,3350746.116947174,2460278.5699920654,2115163.9564208984,226026.51475143436,557126.44091796875,1372817.4193649292,705413.5553398132,213245.8976097107,3883894.088623047
[TG(54:5)]_FA18:1,2.028503518291656,10.141047999378479,46.23676341238751,1.0479211625138883e-11,1.6103055197296748e-9,TAG,765499.017578125,686729.68701171875,2156090.469238281,13578867.603515623,7951458.077148437,4968334.395263672,484084.0518798828,863677.1162109375,401992.369140625,1667308.9670410156,939436.794921875,124003.70825195312
[TG(55:11)|TG(54:4)]_FA18:1,2.0214074929695305,10.990065681341274,45.94112609297737,1.2186067225700285e-11,1.7874744971515827e-9,TAG,994956.2744140624,737518.08984375,3594417.0185546875,26733390.142578125,12685264.34375,9711582.512207031,771753.9599609375,1329974.5209960938,533313.3349609375,3455140.7006835938,1773811.111328125,263154.5986328125
[TG(60:13)|TG(59:6)]_FA22:6,2.00154803756483,9.778612464930015,45.11712990242813,1.8559484238192387e-11,2.6039763320281235e-9,TAG,2134506.2614746094,523672.66119384766,10119959.764160156,4239623.92590332,1584279.1650390625,3783968.781738281,352898.9637451172,1488364.9786376953,497115.1334228516,532863.2984619141,659605.2498168945,48173.06344604492
[TG(60:12)|TG(59:5)]_FA22:5,1.9611592254929557,9.58828734006361,43.45930273363775,4.328689029043178e-11,5.8202831236343065e-9,TAG,1850343.5576171875,480944.5291748047,8499147.678527832,3762179.3104248047,1417251.1182861328,3518435.3747558594,302428.2171020508,1296009.7850952148,454100.0536499024,495210.6326904297,616092.4579467773,42750.20278930664
[TG(54:6)]_FA18:2,1.956871412147486,10.27266526509471,43.28482285568026,4.732400313066632e-11,6.108582324106409e-9,TAG,878286.73291015625,745682.69384765625,2840946.0229492188,13930617.974853516,8475582.861816406,5694756.622314453,943329.3720703124,819426.0179443359,400036.94958496094,1746406.0529785156,1009000.13671875,172625.4111328125
DG(32:2)_C16:1,1.9373389452525667,7.4588770971702045,42.49152122208943,7.098929027977493e-11,8.81086306664745e-9,DAG,879722.9831542969,138545.15058898926,1102086.2402954102,595102.7047119141,506981.5748481751,485195.6754531861,66261.48460006714,76750.46536254883,269670.63946533203,117205.668258667,72025.78485870361,355963.46728515625
[TG(54:7)|TG(53:0)]_FA20:4,1.9005405218881997,8.238610341605051,41.01596580770274,1.509907150283068e-10,1.804618657023504e-8,TAG,186752.63305664065,135273.58953857422,521969.0993652344,3339410.2775878906,2030912.6160888672,1661824.3194580078,146051.16943359375,226477.93676757807,111303.68743896484,456974.0891723633,301656.88299560547,66943.44445800781
[TG(51:5)]_FA16:0,-1.8114798473088973,9.539831120451423,40.24817146701753,2.2366458994810226e-10,2.5777343991518785e-8,TAG,887771.9512329102,3198751.1602783203,178758.43466186523,148210.54956054688,81822.72570800781,112672.90786743164,3692049.331726074,1366759.6182250977,2377087.437561035,2732314.543823242,2131708.7568969727,39190.08248901367
[TG(46:6)]_FA22:6,-1.8070342926941048,9.122447648922552,40.059048041905044,2.4640077931434126e-10,2.741845913266825e-8,TAG,901643.7282714844,1440253.7862548828,391530.60232543945,327047.94244384766,390501.046875,310354.959564209,1921528.6443481443,1981590.6659545896,1188435.577972412,854610.526550293,3487472.8237304688,48950.82318115234
[TG(51:6)]_FA16:1,-1.8039371595179439,9.718736338156875,39.92766754369222,2.635435837030692e-10,2.834850482032681e-8,TAG,1047698.9948120116,3570440.018432617,235628.35778808597,166777.21270751953,90604.30615234376,140699.15106201172,3810962.924530029,1728675.4010009766,2649432.7713623047,2921303.8751220703,2860349.9962158203,41019.22302246094
[TG(46:5)]_FA22:5,-1.7823438954254065,8.95442592552613,39.015978420880856,4.2035099545616456e-10,4.3757182656033646e-8,TAG,793609.6333618164,1286781.0409545898,331557.5242919922,312750.70404052734,371034.56719970703,303534.88412475586,1688081.7332763672,1764416.5603027344,1032423.0044555664,769967.9580688477,3102810.694213867,48261.743408203125
DG(O-38:8)|DG(36:1)_C18:2,1.8460253037283747,3.9370811058930446,38.809574350340355,4.672305183926291e-10,4.7117277589156695e-8,DAG,3245.26021194458,48310.96306228638,3228.080249786377,3237.8002281188965,3226.380229949951,18607.361278533936,3264.3802604675293,3221.6602363586426,3239.1802253723145,3238.420227050781,3242.940212249756,166867.05351257324
[TG(38:1)]_FA14:0,-1.7449597353587603,10.720992904383616,37.459575972927254,9.33273560631289e-10,9.126284182294452e-8,TAG,3074246.5869140625,6324180.271362305,523998.888671875,391473.1638183594,290212.60119628906,418595.0930175781,6419185.5390625,3620762.0290527344,6663640.892578125,2959342.0509033203,8168069.145141602,49943.38360595703
[TG(53:8)|TG(52:1)]_FA18:3,-1.739682981459691,9.239066668822407,37.24186509588618,1.043493744910306e-9,9.903983278898699e-8,TAG,733127.6768188477,2558327.557006836,213100.61627197263,172342.15173339844,119528.40829467772,139670.43029785156,2826797.2276000977,1193189.1926269531,1985450.8454589844,2189673.580200196,1671665.2318725586,35997.24267578125
[TG(51:4)]_FA14:0,-1.734580917036181,8.893948652573753,37.03199208478689,1.162068570502142e-9,1.0714272220029749e-7,TAG,587949.2760009766,1983704.681274414,173716.59295654297,129466.10809326172,92858.4071044922,117728.94714355467,2301213.319763184,813765.5987243652,1468196.5677490234,1697107.4505004885,1406813.5804748535,82697.70608520508
[TG(63:13)|TG(62:6)]_FA22:6,1.7706216976353706,12.71294841174442,35.97039838920463,2.0033804352812416e-09,1.7958079624034907e-7,TAG,28902878.841796875,5047176.015625,43922640.443847656,43907597.36669922,20993707.44873047,18902255.35498047,3483530.9897460938,10591312.298828123,6968792.619140625,3587441.9497070312,5291723.3740234375,1656073.8100585938
[TG(53:7)|TG(52:0)]_FA18:2,-1.6960064034480855,8.78943140766265,35.462578724342166,2.5999790764012883e-9,2.2676033728505288e-7,TAG,620764.9202270508,1829313.0742797847,164086.3114013672,127228.1098022461,100502.58728027344,114746.76818847656,1945688.8935546875,830613.3395996094,1440003.0162353516,1661859.4553833008,1287158.9397583008,32808.362396240234
[TG(53:10)|TG(52:3)]_FA18:0,1.7420720342686788,7.815907162337164,34.896377922930704,3.4772714848116247e-9,2.9529355477597664e-7,TAG,155239.09216308594,120412.0078125,330622.6237792969,2440891.6110839844,1430675.9760742188,1249673.1489257812,127383.7485961914,191854.3135986328,89135.80584716797,355478.10314941406,247270.6571044922,57188.86389160156
