lipid,logFC,logCPM,LR,PValue,FDR,type,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_diencephalon,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_diencephalon,FAD185_M4_Male_WT_diencephalon,FAD189_M3_Male_WT_diencephalon,Blank_Blank_Blank_Blank_Blank
LPE(20:2),6.833647669018277,5.595354107259523,113.40176832407622,1.7619773008293807e-26,5.685900749776412e-23,PE,226003.17764282227,729138.6013793945,430594.1723632813,12940.740852355955,2343.480167388916,2343.980155944824,2000.340129852295
DG(36:8)|DG(35:1)_C16:1,-4.6990277329902375,12.046406188502624,110.43794951541986,7.856654712103561e-26,1.2676712377979095e-22,DAG,2927.500198364258,9304.880458831787,3550.7402381896973,3436.740257263184,172521.23169326782,2926.340209960937,47492099.30102539
[TG(51:5)]_FA16:0,-4.589930383989923,7.651706103877512,106.16512811718349,6.784000132105569e-25,7.2973228087682245e-22,TAG,166181.71142578125,111385.56838989258,93078.70654296876,81872.58630371094,2950756.5749206543,938144.8584594728,39190.08248901367
[TG(51:6)]_FA16:1,-4.564625558830114,7.828352022331382,105.1696164469613,1.1211591139503454e-24,9.044951151794412e-22,TAG,172532.13250732422,138761.81018066406,107613.30712890624,100200.18768310548,3389315.184692383,995255.1878051758,41019.22302246094
[TG(51:4)]_FA14:0,-4.203511574031766,7.152329856704133,91.20695349262178,1.2940471596661889e-21,8.351780368485582e-19,TAG,117844.72747802734,99326.88732910156,99680.28631591795,76457.48529052734,1981017.0781860352,610275.0083618164,82697.70608520508
[TG(53:8)|TG(52:1)]_FA18:3,-3.9515029298090467,7.416065696471295,81.77397477812701,1.5257449162883578e-19,8.205964741437552e-17,TAG,181652.83142089844,147479.34893798828,129976.0692138672,112296.96783447266,2401105.703460694,761810.2095947266,35997.24267578125
[TG(38:1)]_FA14:0,-3.8077521610210137,8.81772320164777,76.5247253960406,2.1747303789492373e-18,8.772318666086486e-16,TAG,325234.1418457031,296264.59619140625,829413.27197265625,212055.51403808597,6064029.424804688,2319518.920654297,49943.38360595703
[TG(53:7)|TG(52:0)]_FA18:2,-3.8108230073599962,7.085818915812044,76.63468942528016,2.0569459608747005e-18,8.772318666086486e-16,TAG,145006.17120361328,134619.36779785156,117874.2080078125,95468.10729980467,1821234.3555297847,670443.1457519531,32808.362396240234
LPE(O-20:0),-3.7547153511259266,3.342996569266722,74.57498269581947,5.837831644268295e-18,2.093186968450421e-15,PE,4368.780349731445,3315.66019821167,4267.680324554443,7879.760631561279,53033.44366455078,46478.84331512451,56186.56405639648
[TG(42:1)]_FA18:0 | DG(44:8)|DG(43:1)_C18:0,-3.611865787844845,6.8543527482491555,69.53915874942322,7.491238253306641e-17,2.4174225843420528e-14,TAG,513779.9481201172,398718.70703125,366520.4451904297,207225.75366210935,915345.7771606444,1082109.208984375,58990.14392089844
[TG(42:1)]_FA18:0 | DG(44:8)|DG(43:1)_C18:0,-3.611865787844845,6.8543527482491555,69.53915874942322,7.491238253306641e-17,2.4174225843420528e-14,DAG,78849.54585266113,81850.04622268677,74789.06544494629,219363.5756607056,735670.2905845642,1409359.2636566162,77638.42515563965
DG(O-38:9)|DG(36:2)_C18:2,4.662371636058245,6.622498627971936,66.5573042981714,3.3986835716279434e-16,9.970501714221249e-14,DAG,445839.3322410584,3256.8202323913574,3230.220230102539,3233.040241241455,3228.000232696533,3228.100234985352,940433.7267990112
LPE(20:1),4.639773184298248,3.5789205694352524,66.07511107057144,4.3406242569172595e-16,1.1672662064226664e-13,PE,150227.73001861572,110983.9871673584,72857.06577301025,9977.500694274902,2519.080181121826,2651.940196990967,2031.0601501464844
[TG(46:6)]_FA22:5,-3.4276243966553706,11.340956274223924,63.167154984453255,1.8988848164709595e-15,4.713616386732143e-13,TAG,1052505.6763916016,1656050.192993164,8131261.190246582,1224064.9336547852,31357751.630981445,15949538.212646484,55422.98370361328
PE(44:1),-3.4196467140446574,6.785895710640304,62.89422686524449,2.181105968708528e-15,5.027449257873157e-13,PE,178593.91080474854,122981.56964492798,97484.12687683104,92591.4865951538,1365767.571559906,523998.86211013794,64799.24423217773
[TG(52:5)]_FA18:0,-3.377394209662791,6.455911804064146,61.46296175291218,4.511505391819277e-15,9.705751932933872e-13,TAG,112303.24731445312,104985.80673217772,104271.56704711914,88370.465576171875,1117137.2780151367,417737.1564636231,26629.72183227539
DG(34:0)_C16:0,4.295083829521702,4.667336556354223,58.941143720249784,1.624594186771994e-14,3.2766034004457655e-12,DAG,73266.00559997559,95866.02730560304,144490.35014343262,414169.4259567261,8512.060558319092,5086.060325622559,3417.0002250671387
LPE(20:3),4.257098865850501,3.488959427024346,58.14050907962141,2.440487666102637e-14,4.632619822654829e-12,PE,152708.03170776367,103787.7872505188,54969.74362564087,9953.24084854126,3391.1402893066406,2833.9001808166504,2059.740146636963
LPE(20:4),4.1528034683939605,3.607031471635847,56.00900626257032,7.213979683121984e-14,1.2933062465241468e-11,PE,170542.79220581055,113329.72869873048,56389.12446975708,6191.500431060791,3023.8602333068848,4362.080314636231,2961.640182495117
[TG(52:6)]_FA18:1,-3.1967349115943033,6.437430228910693,55.47359044529367,9.472309666452257e-14,1.6087970154548122e-11,TAG,112425.6277770996,120684.38989257812,116571.5085144043,99112.92694091795,1108807.2388916016,370840.7465820313,25199.92176818848
LPC(24:0),-3.168049274181564,8.769081092368214,54.54376851885172,1.520239438989855e-13,2.3361012712477438e-11,PC,666926.3883056641,511769.99645996094,763118.4753417969,378214.8869628906,4683242.953125,2960505.8759765625,98562.5264892578
LPC(24:1),-3.169542390597083,8.756496153383216,54.592089649275295,1.4833149808308263e-13,2.3361012712477438e-11,PC,659611.7663574219,511728.5339355469,757552.439453125,368480.0861816406,4639278.119140625,2939402.4326171875,98224.22705078124
LPE(20:0),3.9948280705517445,2.7930414214037707,52.78015878497274,3.7305084784156503e-13,5.418039888092687e-11,PE,89018.14569473267,62791.22442626953,34505.16239929199,8640.460594177246,2259.120162963867,2313.480182647705,2168.840148925781
PC(22:0),-3.111105772495088,8.432755450188926,52.712308887712425,3.8616336357648526e-13,5.418039888092687e-11,PC,588671.8991699219,426230.734375,569792.064453125,304280.3046875,3582096.779296875,2412463.18359375,98047.44714355467
DG(35:6)_C16:0,3.895637496171893,3.065113836160788,50.79146833322375,1.0271924239725805e-12,1.381145813399799e-10,DAG,3085.680233001709,5064.200336456299,3712.300239562988,222648.13648986816,3154.3002281188965,2700.920185089112,2623.120189666748
FA(30:1),-3.0402858867946714,6.404294062455372,50.46562722445378,1.212702915978926e-12,1.5653569239455978e-10,FA,232970.9758605957,91610.24841308594,76421.46682739258,84402.92451477051,1024594.885559082,398587.3764190674,25251.52146911621
DG(42:9)|DG(41:2)_C16:1,-2.949448411625527,8.18138724913717,47.639835846056485,5.121709395476397e-12,6.35682931507782e-10,DAG,864935.7601966858,81167.96599197388,430558.98988342285,382365.8692626953,2355639.39453125,2659441.164428711,97521.02673339844
[TG(52:7)|TG(51:0)]_FA18:2,-2.9428513647948877,6.313933892481776,47.43593418418095,5.683127691807775e-12,6.79239002276433e-10,TAG,119245.9077758789,127277.9086303711,124679.2495727539,99181.94775390624,917530.7923583984,394159.5037841797,31425.24237060547
PI(35:5)|PI(O-36:5)|PI(P-36:4),-2.8899733778689334,5.777450057112224,45.821058698626985,1.2956320942001565e-11,1.4932159885656803e-9,PI,99700.68795776369,71653.2045288086,72486.544921875,79399.58547973633,624582.44384765625,236172.6385192871,43434.64291381836
[TG(52:8)|TG(51:1)]_FA18:3,-2.8584962714670126,6.40882629017582,44.87113592577302,2.104371002693441e-11,2.3416569743764603e-9,TAG,139417.79043579102,137125.07153320312,131953.3494873047,116191.38861083984,1015453.549621582,353190.2056274414,36916.682678222656
DG(37:6)_C18:1,-2.7291965770895272,2.826947231565094,41.02496842871051,1.5029681347357217e-10,1.5918877262001292e-8,DAG,2882.4601974487305,3261.4802284240723,14119.700984954834,3892.060253143311,32787.36234283447,26657.621795654297,40443.82269287109
PC(22:1),-2.7271932174092073,7.716343019373365,40.991102475340256,1.5292382867122407e-10,1.5918877262001292e-8,PC,420061.4462890625,330137.50732421875,387008.828125,258722.79809570312,1989908.70703125,1416757.615234375,94402.546142578125
PG(16:0)|LPG(17:0)|LPG(O-18:0),-2.5863704461598838,4.609068738094885,36.98388660613999,1.1910951786176873e-9,1.201145044187274e-7,PG,2115.7601585388184,2063.680145263672,3967.66032409668,147172.33005523682,184489.1510620117,162402.54961395264,39920.40306472778
[TG(51:4)]_FA16:0,-2.570666191234274,5.785405582646891,36.55008454194376,1.4879351279130822e-9,1.455020199325914e-7,TAG,107678.84735107422,96780.5066833496,114919.3878173828,78458.086181640625,618238.2454833984,232995.87841796875,23257.22166442871
DG(37:3)_C18:1,-2.559370736674098,2.8142481572398284,36.199359186369975,1.7812911948289194e-9,1.6906549075626242e-7,DAG,2912.7402153015137,2888.8001976013184,5565.220329284668,2904.4201889038086,26532.321689605717,2890.6602096557617,57847.16430664063
DG(37:4)_C18:1,-2.473221498446625,2.494782954993279,33.86073800693862,5.920143397820542e-9,5.45837221279054e-7,DAG,2883.1601905822754,2888.940196990967,7551.160514831543,2903.440212249756,28578.581958770752,2889.700218200684,40262.78248596192
