Lipid,Genotype_5xFAD__Brain_Region_cortex,Genotype_5xFAD__Brain_Region_cortex,Genotype_5xFAD__Brain_Region_cortex,Genotype_5xFAD__Brain_Region_cortex,Genotype__5xFAD___Brain_Region__hippo,Genotype__5xFAD___Brain_Region__hippo,Genotype__5xFAD___Brain_Region__hippo,Genotype__5xFAD___Brain_Region__hippo,Genotype__5xFAD___Brain_Region__hippo
(11Z)-eicoseneoylcarnitine,1461574.3852539062,1395572.740234375,1457662.7182617188,1408961.5532226562,1324620.29296875,1469218.4106445312,1479341.6264648438,1496397.3359375,1650848.89453125
"(11Z,14Z)-eicosadienoylcarnitine",1429124.1762695312,1350856.4809570312,1431788.9677734375,1357653.3920898438,1322329.38671875,1437470.2348632812,1481437.8369140625,1510009.1274414062,1611557.333984375
"(13Z,16Z)-docosadienoylcarnitine",1420361.1004638672,1281745.7750854492,1508125.2795410156,1349872.0334472656,1265010.6803588867,1427897.3614501953,1472655.911315918,1561466.8793945312,1541192.444946289
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",2184246.087890625,2205746.576171875,2470854.001464844,2018780.2897949216,2194784.690185547,2492220.4825439453,2412503.1643066406,2579735.21484375,2093678.0153808596
"(5Z,8Z)-tetradecadienoylcarnitine",29948597.337890625,26648913.84375,16632944.549316406,65346110.588378906,30582186.538085938,28337082.12988281,139608184.45239258,26376597.729492188,25367756.57104492
"(7Z,10Z)-hexadecadienoylcarnitine",1770713.409423828,1717515.307861328,1811327.671875,1667394.3842773438,1606353.2426757812,1873921.4216308596,1902876.1496582031,2005393.249267578,1818268.425048828
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",1260946.1431884766,1137990.1825561523,1271184.7647705078,1143505.6591796875,1110796.737915039,1253343.1610107422,1276397.7185058594,1314163.553955078,1433375.403076172
(9Z)-3-hydroxyoctadecenoylcarnitine,17311510.770996094,20298427.10791016,20722991.56201172,21033323.51171875,23314671.77001953,12741658.96826172,19088064.09716797,16634745.890625,15611679.19482422
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",6556788.756103516,7579394.700439453,7847061.452392578,7985043.280273437,8245887.214111328,5412256.6162109375,7534727.410644531,6695696.98828125,6682941.868164063
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",16470506.173828123,19040901.25390625,19527801.96728516,19669121.095703125,22132601.1640625,12139073.696289062,18102972.64501953,15758916.81298828,14440797.770507812
1-O-behenoyl-Cer(d18:1/16:0),36692.462463378906,37616.98265457153,47163.46329879761,38684.44284820557,42416.12278747559,30153.32243347168,25673.94190979004,38013.282623291016,29481.562602996823
1-O-carboceroyl-Cer(d18:1/16:0),94097.04789352416,71634.02543640137,152652.411567688,90605.04538345335,63292.42442703247,81261.78657150269,59303.04391098023,157176.4503211975,59104.12437057495
