Lipid,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype__WT___Brain_Region__cerebellum,Genotype__WT___Brain_Region__cerebellum,Genotype__WT___Brain_Region__cerebellum
17:0 Campesteryl ester_simulated | CE(18:0) | 16:0 Sitosteryl ester_2,176152.7712097168,267835.77947998047,236358.4162597656,224382.29598999023,88803.84687805176,264936.3984527588,297442.67919921875,70505.20509338379
17:1 Campesteryl ester_simulated | CE(18:1) | 16:0 Stigmasteryl ester | 16:1 Sitosteryl ester,175306.81085205078,278235.6174316406,244266.5776062012,213606.07862091064,89111.60607910156,262366.89752197266,291198.4189758301,70637.34497070312
17:1 Campesteryl ester_simulated | CE(18:1) | 16:0 Stigmasteryl ester | 16:1 Sitosteryl ester_2,169233.3512878418,278870.03869628906,241900.73580932617,216516.61446380612,87569.78634643555,270283.1389465332,304620.8027038574,71781.18487167358
18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated | 17:0 sitosteryl ester_simulated,175049.87139892578,348423.6258239746,213535.4341430664,67835.50381469727,64241.92467880249,219805.5156860352,230061.63494873047,61646.12407684326
18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated | 17:0 sitosteryl ester_simulated_2,179889.05236816406,339962.84579467773,213364.9132080078,68219.18450927734,64514.02480316162,218252.77764892575,222260.49298095703,57490.724044799805
18:1 Campesteryl ester,175239.93341064453,268409.1796569824,215967.89556884769,61878.92424011231,62048.54407501221,224761.6177978516,221406.51528930664,57654.62384033203
18:3 Campesteryl ester,163275.2911682129,237849.9397888184,197581.23251342773,67581.88467407227,63734.52460479736,204601.67504882807,201746.27587890625,59464.94415283203
19:0 Campesteryl ester_simulated | CE(20:0) | 18:0 Sitosteryl ester,341507.6442871094,514951.9577636719,400920.3483886719,148631.35021972656,134828.8695678711,394841.6081542969,361790.4643554688,141033.05004882812
19:0 Campesteryl ester_simulated | CE(20:0) | 18:0 Sitosteryl ester_2,352155.083984375,523589.3599853516,399723.98828125,146718.33074951172,137638.7099609375,389983.6870117188,350235.70349121094,141314.990234375
2-Hydroxymyristoylcarnitine | 3-hydroxytetradecanoylcarnitine,1040048.8419189452,1131210.0415039062,1147077.4656982422,1272941.5639648438,1376064.4704589844,1239495.3037109375,1246068.608642578,1313484.6853027344
20:0 Campesteryl ester,679605.6884765625,570926.6004638672,540973.541015625,174167.41290283203,173933.0126953125,585695.0806884766,473914.7347412109,214888.3358154297
20:1 Campesteryl ester,676347.5854492188,688799.9445800781,533536.2581787109,168958.17156982422,165176.45068359375,591302.220703125,470726.4147949219,206285.61291503903
20:3 Campesteryl ester,733625.4548339844,708332.6119384766,659154.8083496094,231894.11669921875,267571.7769165039,718330.4713134766,585737.4237060547,297018.6400756836
22:0 Campesteryl ester,290060.2583770752,331322.3430328369,370521.7639007568,77295.60439682007,69889.4048576355,328048.70728302,321248.46086883545,65602.16407394409
22:0 Sitosteryl ester,331275.7441635132,425492.64304351807,416829.3513565064,85851.6470413208,90384.90623092651,361571.613319397,384457.0058746338,74688.44552993774
22:1 Campesteryl ester,267219.9195404053,310564.399307251,335634.9217758179,72405.42503356934,72200.30522537231,276676.6441421509,289324.78229522705,61668.54472351074
22:1 Stigmasteryl ester | 22:2 Sitosteryl ester,322672.14546203613,349491.7835159302,386046.8065223694,80745.9264755249,84339.68700027466,368723.5038909912,365224.468170166,74251.82576751709
22:2 Campesteryl ester,100209.36726379396,197735.27307128903,113135.72926330566,48554.28336715698,58030.14366531372,107182.94714355467,130781.98825073242,53468.66411590576
22:2 Stigmasteryl ester | 22:3 Sitosteryl ester,306571.82232666016,354139.8619194031,398292.5674934387,78448.08561706543,82347.54563903809,350452.42657470703,345563.46530914307,71689.82487487793
22:3 Campesteryl ester,128654.78890991212,235293.97583007807,123301.788772583,32028.121990203857,29257.102043151852,119099.86869812012,140469.92993164062,32036.042041778564
22:3 Stigmasteryl ester,301818.8037338257,337057.02380371094,380411.2284011841,75978.84562683105,74485.04415512085,327154.7291030884,340397.6675796509,71032.12460327148
3-hydroxyarachidonoylcarnitine,1519325.8486328125,1689632.529296875,1686260.1721191406,1863435.63671875,1930435.376953125,1743413.8393554688,1767162.2346191406,2071022.1474609373
3-hydroxyeicosanoylcarnitine | Cervonyl carnitine,1186676.7076416016,1378030.6455078125,1366539.055053711,1493792.3493652344,1580037.5629882812,1407759.0158691406,1430833.4693603516,1726085.123046875
3-hydroxylinoleoylcarnitine,10412728.368164062,19095156.520996094,17691295.735839844,15293062.92236328,12758226.377441406,13833465.81298828,13605475.501464844,13313878.918457031
3-hydroxypalmitoleoylcarnitine | Heptadecanoyl carnitine,5047329.992675781,8265390.025878906,7852521.141601562,6952312.624511719,6381760.837890625,6347135.7314453125,6494530.602050781,6203783.0927734375
Arachidyl carnitine | O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine,1471570.1196289062,1663145.7919921875,1660488.5493164062,1796975.3369140625,1917517.5590820312,1684092.1088867188,1725702.0595703125,1831606.1508789065
CE(12:0),162075.57186889648,185949.39279174805,190370.63200378415,52144.48365020752,51295.14357757568,194297.81564331052,206243.57360839844,53790.523944854736
CE(12:0)_2,167308.3116760254,191733.1952819824,180831.0321426392,49434.48342514038,48283.80372619629,190207.0535888672,198169.4523773193,51690.70365142822
CE(14:0),202606.45343017575,94036.7070159912,116114.08819580078,39418.46291732788,37524.18278503418,151012.9727783203,95271.94723510742,54412.36402511597
CE(14:1),199691.31356811523,93316.4656982422,120425.56855773926,37575.38257598877,34715.18257904053,146649.31089782715,99486.52751159668,53858.74382400513
CE(15:0),229352.2568359375,249117.5584716797,268693.6774902344,105126.76776123048,107702.80712890624,241246.33728027344,253455.57739257807,105602.46716308594
CE(15:1),259498.01831054688,255651.8582763672,270325.19915771484,111679.74743652344,103642.36712646484,260969.47998046875,254370.2586669922,106415.78732299805
CE(16:2) | zymosteryl palmitoleate,258572.75805664065,269297.05908203125,292214.919921875,110203.26791381836,106837.36743164062,269839.3192138672,260879.01892089844,113157.4481201172
CE(16:3),242702.83837890625,258914.67810058597,280185.4190673828,113500.16781616212,111255.42819213869,254891.2978515625,267854.7390136719,103272.96737670898
CE(17:1) | 16:1 Campesteryl ester,100099.72714233398,127040.96856689452,131818.60929107666,184913.35300827023,69245.70543670654,159780.23112487793,195049.0751647949,50700.763595581055
CE(17:1) | 16:1 Campesteryl ester_2,104714.5871887207,123977.3080444336,138369.3503265381,170765.33235931396,67861.66511154175,141740.25134277344,189485.9930114746,45853.58361053467
CE(18:2) | zymosteryl oleate | 16:1 Stigmasteryl ester | 16:2 Sitosteryl ester,185224.3324279785,288059.8182067871,258973.9764404297,218629.17308807373,95617.1079788208,280304.0225830078,318279.0209350586,71046.00440979004
CE(18:3) | 16:2 Stigmasteryl ester | 16:3 Sitosteryl ester,200000.09326171875,302431.44108581543,274596.4970703125,227412.97649383545,99282.3278427124,303762.46228027344,323355.76055908203,75469.04551696777
