Lipid,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype__5xFAD___Brain_Region__hippo,Genotype__5xFAD___Brain_Region__hippo,Genotype__5xFAD___Brain_Region__hippo,Genotype__5xFAD___Brain_Region__hippo,Genotype__5xFAD___Brain_Region__hippo
(11Z)-eicoseneoylcarnitine,1256930.4736328125,1313193.267578125,1370506.4516601562,1476902.5249023438,1624465.5419921875,1324620.29296875,1469218.4106445312,1479341.6264648438,1496397.3359375,1650848.89453125
"(11Z,14Z)-eicosadienoylcarnitine",1262933.6362304688,1288290.3208007812,1349906.3383789062,1447970.6625976562,1569963.0502929688,1322329.38671875,1437470.2348632812,1481437.8369140625,1510009.1274414062,1611557.333984375
"(13Z,16Z)-docosadienoylcarnitine",1200177.8431396484,1229167.669921875,1293432.1517333984,1486547.2768554688,1530059.8298339844,1265010.6803588867,1427897.3614501953,1472655.911315918,1561466.8793945312,1541192.444946289
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",1939767.9885253904,2430496.0634765625,2140645.078491211,2665311.731689453,2279392.241455078,2194784.690185547,2492220.4825439453,2412503.1643066406,2579735.21484375,2093678.0153808596
"(5Z,8Z)-tetradecadienoylcarnitine",154140949.5595703,92351915.6875,63344919.2109375,16220704.654785156,24353723.305664062,30582186.538085938,28337082.12988281,139608184.45239258,26376597.729492188,25367756.57104492
"(7Z,10Z)-hexadecadienoylcarnitine",1559599.7697753906,1588900.268798828,1693150.3903808594,1906106.0573730469,1901348.182861328,1606353.2426757812,1873921.4216308596,1902876.1496582031,2005393.249267578,1818268.425048828
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",1049124.5791015625,1070540.3215332031,1140392.4146728516,1251955.5372314453,1374031.0412597656,1110796.737915039,1253343.1610107422,1276397.7185058594,1314163.553955078,1433375.403076172
(9Z)-3-hydroxyoctadecenoylcarnitine,10822962.869628906,19673378.95703125,18254947.068847656,15744826.903320312,13176578.10888672,23314671.77001953,12741658.96826172,19088064.09716797,16634745.890625,15611679.19482422
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",4548090.254638672,7191994.978515625,7154281.061279297,6230783.154052734,5983506.459472656,8245887.214111328,5412256.6162109375,7534727.410644531,6695696.98828125,6682941.868164063
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",10354077.518066406,18743120.12353516,17230450.004882812,14976742.081542969,12457421.822753906,22132601.1640625,12139073.696289062,18102972.64501953,15758916.81298828,14440797.770507812
1-O-behenoyl-Cer(d18:1/16:0),29398.342208862305,33126.942710876465,46202.78359985352,39305.7628326416,36187.02255249024,42416.12278747559,30153.32243347168,25673.94190979004,38013.282623291016,29481.562602996823
1-O-carboceroyl-Cer(d18:1/16:0),68731.26498031616,46299.72317123413,75554.60557937622,168528.36987304688,99853.7479057312,63292.42442703247,81261.78657150269,59303.04391098023,157176.4503211975,59104.12437057495
1-O-carboceroyl-Cer(d18:1/18:0),23379.941871643063,18910.121425628666,23674.221508026123,19387.24150085449,22414.021717071533,23518.86159515381,24620.981536865234,18542.74126815796,20872.98154449463,19351.66135406494
1-O-cerotoyl-Cer(d18:1/16:0),80859.80527496338,67606.82591247559,69276.28416442871,121797.58711624146,102118.72706985474,71531.56502151489,94600.40604019164,48290.72343444824,129686.40884780884,90206.18699645996
1-O-cerotoyl-Cer(d18:1/18:0),286598.67964172363,210867.73253631592,259933.4981918335,272286.04024124146,300706.4411582947,242689.6378440857,319763.26332473755,188144.5944366455,290259.72340393066,254315.69579315183
1-O-eicosanoyl-Cer(d18:1/16:0),32220.22254562378,144073.01107406616,48475.983406066895,49439.16363525391,50599.06323242188,38312.82266235352,32873.5220451355,24691.961532592773,32300.02227020264,30083.80215072632
1-O-lignoceroyl-Cer(d18:1/16:0),52082.28335571289,42169.38264846802,64451.98418426514,151543.98889923096,89210.56663894653,61918.36474227905,70929.20533752441,51119.96410369873,132110.53005218506,46688.28359603882
1-O-myristoyl-Cer(d18:1/16:0),54386.303718566895,80557.88554382324,58228.62457275391,50704.183753967285,50433.8034324646,52282.40361404419,51031.74311065674,29999.60227203369,47704.26295471192,41838.42319107056
1-O-palmitoyl-Cer(d18:1/16:0),35647.702491760254,75182.80504226685,49120.04314041138,46163.84300994873,45528.64307785034,37671.40256881714,41503.562911987305,30627.382152557373,38626.942794799805,38395.3628578186
