Lipid,Genotype_WT__Brain_Region_cortex,Genotype_WT__Brain_Region_cortex,Genotype_WT__Brain_Region_cortex,Genotype__WT___Brain_Region__diencephalon,Genotype__WT___Brain_Region__diencephalon,Genotype__WT___Brain_Region__diencephalon
(11Z)-eicoseneoylcarnitine,1450974.412109375,1446175.0439453125,1469500.5795898438,1300758.2841796875,1356376.1943359375,1553075.8388671875
"(11Z,14Z)-eicosadienoylcarnitine",1464825.83203125,1445031.9301757812,1422254.4301757812,1332756.2084960938,1313436.7885742188,1536662.2856445312
"(13Z,16Z)-docosadienoylcarnitine",1547859.026428223,1384342.3704833984,1401085.4095458984,1284612.1057128906,1277668.0494384766,1509455.984741211
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",2341072.076904297,2281951.5776367188,2132253.7890625,3004035.1204833984,2011026.9294433596,2188599.0122070312
"(5Z,8Z)-tetradecadienoylcarnitine",75825428.85351562,29749622.64453125,40969587.21484375,15439015.444335938,37982357.49316406,18655737.47460937
"(7Z,10Z)-hexadecadienoylcarnitine",1808904.2744140625,1820135.4990234373,1873401.7072753904,1685194.9013671875,1660596.78125,1881966.8132324216
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",1355693.1580810547,1244091.2459716797,1216621.2817382812,1148186.4895019531,1091271.1774902344,1370722.953857422
(9Z)-3-hydroxyoctadecenoylcarnitine,11026079.612304688,19093728.143554688,15453683.57763672,25626555.60546875,21029996.70898437,8047711.172851562
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",4689957.828857422,7210002.552490234,6411734.287353516,8561014.840332031,7636011.399658203,4199385.319580078
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",10508922.293945312,17918375.471679688,14634731.657226562,24808766.91748047,19723779.49658203,7436995.044921875
1-O-behenoyl-Cer(d18:1/16:0),33323.14264297485,36546.822441101074,39283.802684783936,41078.122703552246,41187.70300292969,27728.001831054688
1-O-carboceroyl-Cer(d18:1/16:0),119585.8681526184,86770.38639831543,115558.20627593994,63072.24443435669,96314.38687133788,71027.58568572998
1-O-carboceroyl-Cer(d18:1/18:0),24480.881874084476,23461.22156906128,21810.941791534424,16931.921321868896,20784.1814994812,21460.881801605225
1-O-cerotoyl-Cer(d18:1/16:0),100954.5672607422,83571.66579055786,98255.28512954712,63247.98458099365,78392.94470977783,111197.36640167236
1-O-cerotoyl-Cer(d18:1/18:0),304801.284576416,276514.4203910828,285917.71657562256,157930.9115447998,228741.71733093265,339689.64263916016
1-O-eicosanoyl-Cer(d18:1/16:0),38517.28271102905,40629.2631149292,37163.8623008728,40477.462688446045,47302.34348678589,36310.98204803467
1-O-lignoceroyl-Cer(d18:1/16:0),104923.82834243774,79647.96742630005,97751.66666412354,70156.98491287231,90403.96683502196,53195.04327392578
