Lipid,Genotype_WT__Brain_Region_cortex,Genotype_WT__Brain_Region_cortex,Genotype_WT__Brain_Region_cortex,Genotype__WT___Brain_Region__diencephalon,Genotype__WT___Brain_Region__diencephalon,Genotype__WT___Brain_Region__diencephalon
1-O-myristoyl-Cer(d18:1/16:0),55029.08363342285,50479.26407623291,45911.8233833313,44181.50326156616,49011.963397979736,45070.7234954834
1-O-palmitoyl-Cer(d18:1/16:0),41975.34289932251,43672.76354598999,43771.94339752197,39518.76318740845,44456.16331863403,41486.06307220459
1-O-stearoyl-Cer(d18:1/16:0),44340.32306671143,49289.16366195679,44351.12351226807,51899.82354354858,56296.36441421509,42019.50308609009
1-O-tricosanoyl-Cer(d18:1/16:0),45042.482692718506,47179.88382720947,49861.92351913452,42341.26301193237,47969.623191833496,34593.72241592407
1-O-tricosanoyl-Cer(d18:1/18:0),13229.820877075195,10774.420791625977,11459.260730743408,9018.440578460692,11086.620765686035,10810.2406539917
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",3537992.9995117188,4869216.183105469,3993657.2543945312,5983760.49609375,5044906.811035156,2897261.4868164062
12:0 Cholesteryl ester,184184.01274108887,194290.03338623047,57300.26417160034,169429.59413146973,191839.97328186035,48507.40311431885
12:0 Cholesteryl ester_2,194223.2352294922,194121.27363967896,55628.72424697876,170046.1913909912,177208.31147766113,51444.80327987671
14:0 Cholesteryl ester,174361.71353149414,103502.50770568848,44501.42287063599,99233.18690490724,90300.9059906006,40449.28260803223
14:1 Cholesteryl ester,167934.35008239746,103306.90727233888,43761.02275466919,93945.5266494751,94580.62687683104,39776.48303985596
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,292253.8006591797,309868.7003173828,101925.20712280272,282307.5396728516,277162.119140625,107436.90838623048
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,288007.4022216797,308109.24353027344,105516.18823242188,282309.6809082031,278571.67907714844,108698.96670532228
15:0 Cholesteryl ester,253107.4787597656,264173.32067871094,101124.08694458008,257820.4782714844,246816.4970703125,116445.74822998048
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,278878.5386352539,308956.20349121094,115424.5080871582,295206.8620605469,267262.1589355469,126887.06896972656
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,286760.6004638672,295662.2412109375,118771.74865722656,280321.3400878906,274924.6597290039,121661.82904052734
15:1 Cholesteryl ester,279110.23876953125,272599.61767578125,109607.08767700195,268707.9381103516,249741.7177734375,113070.3878173828
16:0 Campesteryl ester | 17:0 Cholesteryl ester,181109.19328308103,438289.16777038574,77134.06510925293,336776.8264312744,328525.7266998291,76195.66496658325
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,187184.9127502441,443183.8342895508,79354.32606506348,347830.1068267822,326737.5634002685,75534.00523757935
16:2 Campesteryl ester,167781.59133911133,418315.46867370605,74919.82628250122,342955.9080352783,310051.0410308838,69768.96461868286
"16:2 Cholesteryl ester, zymosteryl palmitoleate",292551.71875,297439.0616455078,110140.7073059082,280581.6188964844,265993.7189941406,119384.78771972656
16:3 Campesteryl ester,170507.59172058103,427672.8699798584,75315.50601577759,332875.0812988281,310477.7449951172,71218.46506500244
16:3 Cholesteryl ester,270792.63830566406,275931.4796142578,110097.02749633788,259728.7784423828,258171.55993652344,119627.44903564452
16:3 Stigmasteryl ester,238233.19439697263,491452.9175415039,112134.6275253296,417130.1490478516,365903.52224731445,105826.8872909546
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",269417.33947753906,589933.1188049316,103941.22734069824,472836.2958374024,411432.9081420898,95725.1279220581
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",275774.5595397949,578218.7215881348,105990.80756378174,467518.1094055176,432811.65029907227,94433.90701293944
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",272276.99826049805,578229.0800170898,104960.36757659912,449361.2501220703,421981.7488708496,102442.5464553833
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",282595.2204284668,584872.5077514648,106163.54775619508,468996.0119934082,424691.0045776367,98708.50708389282
17:1 Cholesteryl ester; 16:1 Campesteryl ester,172803.25178527832,436325.7263793945,77847.66497421265,345805.9059753418,328314.5411529541,73089.96499633789
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,165014.77180480957,415234.27352905273,75341.58574676514,334849.38470458984,315089.0400085449,72327.7248840332
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",238098.99700927731,265711.5782318115,72586.16502380371,251351.8338623047,233254.1951904297,69918.46492004395
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",234472.71701049805,270909.55950927734,68150.66487884521,256823.51718139648,238287.11483764648,71601.82501220703
18:1 Campesteryl ester,233450.5391235352,261731.28118896484,63951.22497558594,251414.53872680664,228142.67880249023,71419.0849647522
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",289138.4790649414,585151.3779449463,102739.50680541992,503344.5899963379,456015.0985107422,103999.52606201172
18:3 Campesteryl ester,213127.35446166992,242607.49642944336,66174.2045288086,230115.6553955078,210156.63537597656,71416.26483917236
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",315847.1044616699,595870.3013763428,103495.5284690857,507221.6766357422,458659.0358581543,101501.9271697998
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",419422.98986816406,415310.3869628906,146106.55047607422,410047.4875488281,395767.2680664063,149879.97039794922
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",427756.9488525391,430666.9284667969,150386.73071289062,410446.4294433594,389397.6693115234,154023.69094848633
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",1218044.2957763672,1240025.518798828,1244585.4881591797,1111581.3986816406,1121579.8967285156,1366424.7204589844
20:0 Campesteryl ester,944354.227294922,799106.8182373047,242206.25750732425,792573.4987792969,704186.2043457031,251567.6792602539
20:1 Campesteryl ester,922340.9077148438,768436.0723876953,229859.89709472656,774650.533203125,688702.3489990234,246157.97802734372
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",420065.7504882813,422728.80859375,149125.32971191406,414108.267944336,387061.1658935547,159229.2709350586
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",420005.0883789063,413933.3474121094,152263.0704345703,419701.06994628906,395618.7508544922,162763.43139648438
20:3 Campesteryl ester,831691.5396728516,630418.0675048828,291385.0417480469,603714.2861328125,607590.48828125,299902.3406982422
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",340624.28259277344,362469.4854736328,146808.49047851562,346226.2841796875,322671.5235595703,153372.83123779297
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",348037.0646057129,402231.2696151733,144343.5308227539,355207.22428894043,350653.64825439453,149925.87145996094
20:5 Cholesteryl ester,719790.7917480469,810821.262512207,246523.35818481445,768802.1929626465,717188.4313659668,274553.0383682251
22:0 Campesteryl ester,526033.4529647827,384554.50311279297,71315.94483184814,472356.95237731934,330720.66106414795,102224.66787719728
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",636603.4621429443,524705.1521759033,114199.28704071043,491573.2315979004,408879.0844268799,132412.4898223877
22:0 Sitosteryl ester,561003.0242385864,421927.3472900391,79683.76554870605,486894.434677124,369547.3709869385,114893.82941436768
22:1 Campesteryl ester,479712.1131286621,395492.0505371094,70321.82493591309,438211.0646972656,309484.4637756348,99733.32707595824
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",631755.8412628174,508749.6130981445,112743.7882270813,483708.2539367676,420318.2272872925,128342.92868804932
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",568701.699710846,423679.4720993042,84803.34576416016,491484.9942550659,370056.0489387512,108360.74819946288
22:2 Campesteryl ester,289210.3822784424,381027.0474014282,70477.46474456787,366085.0646057129,299380.28102111816,109228.78860855104
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",558193.1280670166,415441.63109588623,78620.56488800049,490631.93672180176,363682.14473342896,113005.9493637085
22:3 Campesteryl ester,353298.22665405273,449166.6716766357,60358.8840713501,427643.9084777832,345265.1865081787,99418.78695678712
22:3 Stigmasteryl ester,511923.66984558105,404606.4286499024,73503.32471084595,474261.485168457,322717.52098083496,99826.9475517273
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",1016566.2236328124,848434.1008300781,253103.3198852539,825638.3364257812,752051.2749023438,282835.4387817383
22:5 Cholesteryl ester,964189.7916259766,834771.65625,240096.01763916016,781182.6794433594,727029.6968994141,266388.83935546875
22:6 Cholesteryl ester,964544.3095703124,816056.55078125,238869.7992553711,792286.6184082031,704965.5673828125,258944.73635864255
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",578703.7203903198,439196.2760467529,80810.02714920044,502742.6997833252,380739.0824661255,113668.9673461914
3-hydroxyarachidonoylcarnitine,2006010.538330078,1782707.8674316406,1758179.811767578,1799780.4743652344,1569145.6931152344,1896938.0458984373
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",1648205.6264648438,1463896.3289794922,1432335.53125,1492376.4155273438,1272668.7355957031,1561962.6239013672
"3-hydroxylinoleoylcarnitine,",10761649.6015625,18211508.875,15035135.946289062,24845405.71484375,20141493.19873047,7696857.471191406
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",5162313.787597656,8139380.811523437,7055534.583984375,10120286.5234375,8644065.336914062,4404611.219238281
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",1759514.2299804688,1749869.0766601562,1744912.2163085938,1702237.0874023438,1567913.7353515625,1825566.8857421875
C12:0,65259.664710998535,109801.30871582033,710519.4306640625,69178.10479736328,89496.72622680664,807750.4308166504
C12:1,47108.70352172852,62049.54445648193,287798.99993896484,54428.58346557617,68969.32496643066,320718.3243408203
C14:0,898529.0009765625,1279555.7036132812,6963518.0693359375,797848.4155273438,1038947.3747558594,6086357.071289063
C14:1,594265.6606445312,717026.0707397461,1435120.964111328,615082.2641601562,682291.145690918,1603733.1870117188
C15:0,115030.28819274902,121836.94915771484,1090235.3614501953,110539.58795166016,123724.40884399414,1152721.5948486328
C15:1,296673.09677124023,235542.77764892575,1655150.7130126953,210501.9548339844,202034.65341186523,1514256.1926269531
C16:0,520237.87005615234,682099.9892883301,23354211.7565918,529921.4750976562,620287.5859985352,24158374.688964844
C16:1,83028.24620056152,98844.3080368042,1805586.1708984373,86202.68649291992,91125.6865158081,2158698.156677246
C17:0,106294.46714782716,139662.78958129883,3071493.1654663086,100422.14749145508,122047.9882965088,2972810.925720215
C17:1,64310.14447784424,78449.80569458008,573275.8400878906,61690.26426696777,74057.78514099121,625535.0833129883
C18:0,331727.46364593506,427606.13441467285,23530379.48803711,352334.68466186523,399402.2286453247,22949736.43359375
C18:1,76538.52537536621,90479.36639404295,855011.8403320312,82890.0258178711,86888.56616210938,954833.6274414062
C18:2,67781.42481994629,83346.18618774414,652463.1795043945,70807.24513244629,76265.94551086426,719817.4752197266
C18:3,60280.80438232422,69524.76458740234,556984.080871582,64590.524490356445,63170.42427062988,639759.1867675781
C18:4,42168.5029296875,53779.40366363525,254400.53790283203,46533.32337188721,43442.8631439209,297272.72036743164
C19:0,110576.26768493652,109783.32733154295,2606082.5446777344,98136.66693115234,111588.76774597168,2496712.6459960938
C20:0,7604.120532989502,7639.580585479736,3456997.7758789062,7596.040508270264,7619.42049407959,3588110.912597656
C20:1,8003.260551452637,7914.660617828369,751014.5116577148,8022.220550537109,7994.180530548096,840781.7383422852
C20:3,136979.38968658447,108870.46718978882,1641727.3037109375,91157.68614196776,103897.3074798584,1108946.6127929688
C20:4,43572.74293518066,54842.16376495361,596100.1388549805,46574.74308776856,53875.42372894287,525532.2166137695
C20:5,87672.50679016113,105897.68690490724,1976678.9348754885,95898.60676574708,99464.44665527344,2234795.3063964844
C22:0,23399.06170654297,28800.42206192017,1611712.4611816406,26260.50191116333,25082.26183319092,1738271.1184082031
C22:1,15650.301082611084,15731.241065979004,473792.9331970215,15058.681056976318,15180.181098937988,562976.8242797852
C22:4,13860.760997772217,14972.061054229736,341043.86407470703,14099.04095840454,14168.140979766846,407576.4501953125
C22:5,21134.021465301517,23460.461711883545,1641801.1001586914,22931.98175811768,24359.44175720215,1739447.8699951172
C22:6,17106.52126312256,19049.58134841919,778891.28515625,17181.101203918457,17762.741245269775,826280.32421875
C24:0,11934.700847625732,12840.300930023192,7647.160579681396,12339.840816497805,11470.440799713137,7645.300586700439
C24:1,11565.220832824709,11653.540878295898,7644.080593109131,11309.860774993896,12344.300842285156,7645.220573425293
C24:5,15738.401149749756,15673.68117904663,624001.2620849609,15465.401084899902,16131.00112915039,714886.6081542969
C24:6,14481.600986480713,14948.381107330322,354402.948135376,14413.2610206604,13877.68102645874,415605.2879180908
C26:0,11094.560760498049,11749.080814361572,286680.2801055908,10922.100776672363,10977.520793914797,314647.0219268799
C26:1,11862.660820007324,13194.920936584473,254328.7173461914,12510.580871582031,12858.260913848875,275542.51921081543
C28:0,10795.200824737549,12089.440864562988,921608.5438575743,11346.440788269045,14290.341018676758,942742.3486595154
C30:0,8692.980613708496,10072.56076812744,626821.5882339478,10840.6407661438,11179.040767669678,514491.2581596375
C32:0,8103.960582733154,8386.080642700195,279200.08086013794,8321.540542602539,8389.820556640625,305144.40198135376
C34:0,10494.02073287964,11146.400840759276,343453.66204071045,11103.62077331543,10224.440677642822,371290.6688842773
Cer(d14:1(4E)/20:0(2OH)),83618.00576019287,56527.96408843994,46970.323123931885,44911.30355453491,52637.56365966797,50211.7035446167
Cer(d14:1(4E)/20:1(11Z)(2OH)),100976.027053833,82429.40523529053,51607.24343109131,66385.66468048096,67455.70527648926,58207.66443634033
Cer(d14:1(4E)/22:0(2OH)),1045563.1411705016,763571.8783416748,861684.1185417175,1112994.5978775024,801876.4956321716,959443.559223175
Cer(d14:1(4E)/22:1(13Z)(2OH)),1003306.6694641112,741190.4307861328,843862.0259208679,1077618.9515800476,790294.2203903198,916265.2725219728
Cer(d14:1(4E)/24:0(2OH)),138482.29209136963,114983.2476234436,123675.88765716551,126405.50827407835,108610.56880187988,134923.91022872925
Cer(d14:1(4E)/26:0(2OH)),378687.4689025879,567803.4783248901,491750.2019920349,594248.168182373,595145.3946228027,324045.42502593994
"Cer(d14:2(4E,6E)/16:0)",36569.24269104004,40826.863262176514,45688.54325866699,36659.84269714356,41108.84299468994,48744.80326461792
"Cer(d14:2(4E,6E)/18:0(2OH))",41047.64293670654,47052.38296890259,48682.6035194397,42400.46326446533,47095.68347167969,57186.80380630493
"Cer(d14:2(4E,6E)/18:1(9Z)(2OH))",38364.822425842285,48749.98352813721,50730.00401306152,42056.00294494629,40724.52266693115,54889.60378265381
"Cer(d14:2(4E,6E)/18:1(9Z))",36269.4024810791,43792.20291900635,46969.46282958984,37185.162647247314,43020.64310836792,52689.10400390625
"Cer(d14:2(4E,6E)/20:1(11Z)(2OH))",68681.84567260742,62161.22441101074,60019.683948516846,51594.80355834961,57414.78372955322,65516.9846496582
"Cer(d14:2(4E,6E)/20:1(11Z))",39970.34275054932,46920.56356430054,42009.102840423584,35934.16244888306,41194.082916259766,45720.88299179077
"Cer(d14:2(4E,6E)/22:1(13Z)(2OH))",801460.8133850098,602502.0379333496,671283.4963188171,825867.1023635864,594778.1061706543,781338.4214324951
"Cer(d14:2(4E,6E)/24:0(2OH))",126944.5873184204,128125.5679473877,136392.7901649475,117835.48852539062,113940.36684799194,141184.82913208008
"Cer(d16:2(4E,6E)/22:1(13Z)(2OH))",660388.5580444336,509987.1778259277,532292.3584594727,703883.7639770508,517497.0614318848,619767.520324707
"Cer(d16:2(4E,6E)/24:0(2OH))",152708.03100585938,144627.31127929688,142850.1102294922,139150.44946289062,137532.40991210938,149615.56964111328
Cer(d18:0/14:0),76590.40516662598,72753.74540710449,65718.24452972412,63055.4044342041,63526.28448486328,67672.00479125977
Cer(d18:0/16:0(2OH)),154726.37161254883,149797.71005249023,161353.7706604004,122628.80828857422,141773.06951904297,137606.88946533203
Cer(d18:0/16:0),118692.06811523438,109609.50817871094,112117.84796142578,100094.02682495116,106206.4084777832,102810.2278137207
Cer(d18:0/18:0(2OH)),130583.3279876709,122910.10862731934,131247.60917663574,109518.74835205078,123302.81030273438,107603.967086792
Cer(d18:0/18:0),149210.90942382812,140803.89176940918,147970.37173461914,135386.96923828125,141122.8302307129,136266.6486968994
Cer(d18:0/20:0(2OH)),200653.45449829104,188047.39164733887,189347.37405395508,158721.9917602539,171630.59329223633,166497.03149414062
Cer(d18:0/20:0),134113.38821411133,120012.84866333008,125828.38876342772,109028.2276916504,113017.04803466795,112574.00775146484
Cer(d18:0/22:0(2OH)),2519364.7571411133,2208841.9205932617,2138940.8828125,3300346.4752197266,1987975.8001098635,2262947.1845092773
Cer(d18:0/22:0),182697.05377197263,165527.31121826172,178499.39318847656,149867.6692199707,164326.61096191406,153924.45114135742
Cer(d18:0/24:0),2625003.172973633,2309902.7052612305,2261162.507446289,3448934.1716308594,2079665.658874512,2353423.262878418
Cer(d18:0/26:0),722315.9315795898,1052177.0668945312,937566.7385253906,1137546.8623046875,1165005.7176513672,575032.2446899414
Cer(d18:0/h24:0),290313.6188659668,268821.9165649414,274027.75885009766,244643.45587158203,259111.43646240237,262429.3205566406
Cer(d18:0/h26:0),714557.6403198242,1050206.1356811523,922139.064086914,1123480.5798339844,1150720.6209716797,550224.9970397949
Cer(d18:1/12:0),60649.14424133301,59109.48402404785,46814.34299468994,53197.92353057861,59851.80404663086,49775.063621521
Cer(d18:1/16:0),110343.84799194336,87653.74635314941,97444.96645355225,79237.16539001465,97881.70654296876,90603.74644851685
Cer(d18:1/18:0),107768.54822921751,115474.96814727785,103438.687210083,87094.68640899658,110851.00830841064,88580.64666748047
Cer(d18:1/18:1(9Z)),193545.1158370972,192164.97288513184,208010.8747253418,140190.84909820557,210433.01362609863,120533.76919555664
Cer(d18:1/20:0),57316.40448760986,54412.4843826294,48239.84332275391,49522.90370178223,55451.34344482422,54179.524017333984
Cer(d18:1/22:0),1037137.8373565674,160806.1912765503,307433.958732605,100939.0463218689,160411.19227600098,119152.56928253174
Cer(d18:1/24:0),597393.7955322266,466028.2744064331,525554.4322433472,593089.6455001831,438170.02546691895,599883.9811782837
Cer(d18:1/24:1(15Z)),602736.5419998169,472518.2904319763,495295.6709213257,598796.2297325134,428113.7665176392,608439.4517974854
Cer(d18:1/26:0),385644.3674545288,511342.61725616455,462894.2963142395,497802.9726371765,537609.1670837402,326642.004447937
Cer(d18:1/26:1(17Z)),400441.0852546692,510416.1512298584,479926.4353713989,522383.6354675293,543907.6788864136,341461.0228652954
Cer(d18:1/2:0),54291.603660583496,56176.74384307861,50214.62384033203,55860.76383972168,50782.20366668701,56856.504219055176
Cer(d18:2/14:0),3416852.9455070496,269664.724155426,694974.3241043091,174427.89269256592,152164.46856689453,190887.815322876
Cer(d18:2/16:0),123757.82781982422,68455.36488723755,80657.44599914551,62053.18440628052,60778.943992614746,58489.70401763916
Cer(d18:2/18:1),266919.77966308594,241604.7359619141,252434.47973632807,206700.25567626956,222232.5562133789,212156.6743774414
Cer(d18:2/20:0),266852.4979248047,242336.5787353516,247730.11840820312,222627.7166748047,225070.27587890625,255206.47631835935
Cer(d18:2/20:1),280299.33935546875,236165.61596679688,271318.1794433594,231133.03564453125,243625.33837890625,269149.3182373047
Cer(d18:2/22:0),21876463.47729492,2192631.454345703,5911809.000732422,1038344.095703125,2183185.178466797,1487201.7111816406
Cer(d20:0/26:0(2OH)),275616.54064941406,367740.8090209961,339854.6871032715,374665.7680969238,411111.3875732422,237011.7158203125
Cer(d20:0/26:0),290547.4771728516,357204.6473693848,345908.2863006592,368906.1276245117,398658.8899078369,248854.3162078857
Cer(t18:0/16:0(2OH)),534204.100982666,603254.3074645996,580371.6365661621,546143.3397521973,495983.7569732666,532031.7911300659
Cer(t18:0/18:0(2OH)),128271.2089996338,136849.28987121582,131088.89018249512,128379.40993499756,120575.34927368164,104532.12574768066
Cer(t18:0/20:0(2OH)),770556.0726623535,468678.571975708,623066.1385498047,358028.68559265137,442355.5511627197,516267.29121398926
Cer(t18:0/22:0(2OH)),940140.0170059204,743301.6553649902,796962.058631897,994208.4525604248,640879.6389160156,939934.5295562744
Cer(t18:0/24:0(2OH)),405635.0665588379,322809.5827178955,415376.3258514404,369610.20582580566,298792.6787109375,454948.3930206299
Cer(t18:0/26:0(2OH)),577438.0233917236,822959.9746398926,734778.9151687622,829755.802658081,883147.4157104492,486786.0977935791
Cer(t20:0/26:0(2OH)),3401.260238647461,3327.640254974365,529730.6989440918,3415.580249786377,3371.1802368164062,398842.88369750977
CerP(d18:0/16:0),179596.93313598633,168011.5310974121,176126.79162597656,152291.55096435547,168926.47064208984,155691.97232055664
CerP(d18:1/12:0),250289.65614318848,246327.43495178223,255952.5352706909,172587.41315841675,269969.7175292969,136097.96863555908
CerP(d18:1/14:0),64288.3443069458,57160.08363723755,57864.88422393799,57414.6042098999,62980.224296569824,53456.82442855835
CerP(d18:1/16:0),1047218.1471862792,161611.6707763672,317005.54399108887,105640.08877563477,175879.49389648438,121013.00926208496
CerP(d18:1/18:0),585449.997138977,445903.5458679199,478887.2141189575,581102.6004943848,433374.4486618042,591773.5444641113
CerP(d18:1/20:0),412531.6954803467,516332.2277946472,464796.0968894959,526049.6774749756,524687.4390716553,343504.624004364
CerP(d18:1/22:0),71332.52573013306,76476.0055770874,68321.12446212769,72163.64433288574,72178.28564453125,65620.66539001465
CerP(d18:1/24:0),59776.82378005981,69345.72481155396,64170.64370727539,63919.48501205444,71260.62462615967,55145.943351745605
CerP(d18:1/24:1(15Z)),58633.78398513794,70399.26530075073,65185.04468154907,64127.064453125,66398.08428192139,53918.28367233277
CerP(d18:1/26:0),56837.58446121216,50731.8637008667,44272.76279449463,42902.26310348511,45579.02322769165,44308.6830406189
CerP(d18:1/26:1(17Z)),57241.684047698975,52078.04344558716,44502.86340332031,42678.42306518555,45244.40324020386,44901.60280227661
CerP(d18:1/2:0),78310.10557556152,78514.5859375,73171.8849105835,83003.98606109619,77741.66497802734,61959.42440032959
CerP(d18:1/8:0),193493.39218139648,52068.70327377319,66779.88539123535,46514.703578948975,49922.343490600586,49612.22328948975
"Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesteryl ester, 20:1 Stigmasteryl ester, 20:2 Sitosteryl ester",631113.1820526123,519931.7783508301,111592.80855560304,508719.3950653076,431463.2315979004,140062.0503730774
Cholesteryl nitrolinoleate,916999.603881836,793275.0352783203,235085.15655517575,763013.3603515625,696839.2486572266,257479.65899658203
"Docosa-4,7,10,13,16-pentaenoyl carnitine, Clupanodonyl carnitine",1322355.9704589844,1216073.9246826172,1198193.4553222656,1131896.9448242188,1069884.9743652344,1345452.6511230469
Hexacosanoyl carnitine,1618919.9663162231,1518398.7227973938,1581639.0426635742,1580945.2354125977,1424323.4107513428,1670421.1096801758
"Linoelaidyl carnitine, O-linoleoylcarnitine, 9,12-Hexadecadienylcarnitine",5371311.2333984375,8483516.650390625,7063102.595703125,10762652.134765623,9055880.276367188,4218156.024414063
Lyso_C17 sphingosine-1-phosphocholine,62717.02403259277,62700.98388671875,64643.46548461914,56239.96435546875,62709.823974609375,70548.52459716797
Lyso_PC(10:0),40586.26254272461,41939.36279296875,39700.14270019531,43053.16354370117,41147.36267089844,40502.98275756836
Lyso_PC(11:0),54829.30322265625,54804.46389770508,61528.24508666992,53096.84326171875,55629.164642333984,58976.524475097656
Lyso_PC(12:0),76078.90518188477,84778.92742919922,79462.86553955078,78323.96432495117,77908.1851196289,81571.26525878906
Lyso_PC(13:0),44602.64349365234,42521.94253540039,47130.6435546875,42034.46276855469,39431.04243469238,48180.64358520508
Lyso_PC(14:0),193965.5513916016,198015.6134033203,198697.41284179688,164846.17041015625,178557.37377929688,199302.31298828125
Lyso_PC(14:1),153161.81298828125,161758.591796875,170637.77001953125,131529.1483154297,143456.431640625,162883.21002197266
Lyso_PC(15:0),289042.0607070923,282083.1940307617,283608.35565185547,228244.71633911133,252735.8761291504,294030.86206817627
Lyso_PC(15:1),237573.4570465088,242139.5730895996,249241.88037109372,195633.8315124512,227935.71405029297,254834.17517089844
Lyso_PC(16:0),231953.0191040039,254127.5302734375,230902.83569335935,198958.31341552731,222372.3583984375,225734.2387084961
