Lipid,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype__5xFAD___Brain_Region__hippo,Genotype__5xFAD___Brain_Region__hippo,Genotype__5xFAD___Brain_Region__hippo,Genotype__5xFAD___Brain_Region__hippo,Genotype__5xFAD___Brain_Region__hippo
(11Z)-eicoseneoylcarnitine,1498962.5366210938,1640511.7080078125,1468215.3647460938,1455302.6083984375,1517652.2963867188,1324620.29296875,1469218.4106445312,1479341.6264648438,1496397.3359375,1650848.89453125
"(11Z,14Z)-eicosadienoylcarnitine",1490627.2612304688,1620460.4702148438,1434255.701171875,1426995.7827148438,1442118.8286132812,1322329.38671875,1437470.2348632812,1481437.8369140625,1510009.1274414062,1611557.333984375
"(13Z,16Z)-docosadienoylcarnitine",1468592.0839233398,1801727.1483154297,1494908.485961914,1415503.9500732422,1514023.7989501953,1265010.6803588867,1427897.3614501953,1472655.911315918,1561466.8793945312,1541192.444946289
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",2392796.6845703125,2414485.858154297,2782494.2834472656,2515677.2600097656,2177589.061767578,2194784.690185547,2492220.4825439453,2412503.1643066406,2579735.21484375,2093678.0153808596
"(5Z,8Z)-tetradecadienoylcarnitine",24583201.19921875,20847168.3828125,28155528.892578125,22671427.51611328,34723637.06933594,30582186.538085938,28337082.12988281,139608184.45239258,26376597.729492188,25367756.57104492
"(7Z,10Z)-hexadecadienoylcarnitine",1929676.493652344,1850445.7600097656,1793115.135986328,1852051.1657714844,1707312.4143066406,1606353.2426757812,1873921.4216308596,1902876.1496582031,2005393.249267578,1818268.425048828
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",1291661.7513427734,1585961.4837646484,1354965.4031982422,1177180.6912841797,1447871.6550292969,1110796.737915039,1253343.1610107422,1276397.7185058594,1314163.553955078,1433375.403076172
(9Z)-3-hydroxyoctadecenoylcarnitine,16167813.693847656,18424387.296875,16605329.997558594,25047980.522460938,24543649.78955078,23314671.77001953,12741658.96826172,19088064.09716797,16634745.890625,15611679.19482422
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",6473824.611083984,7022553.862060547,6461878.519042969,9142425.646728516,9132833.381347656,8245887.214111328,5412256.6162109375,7534727.410644531,6695696.98828125,6682941.868164063
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",15425044.841796877,17616816.35986328,15560660.842773438,23578611.47607422,23004359.768066406,22132601.1640625,12139073.696289062,18102972.64501953,15758916.81298828,14440797.770507812
1-O-behenoyl-Cer(d18:1/16:0),34723.00240325928,36657.50228881836,39095.64287948608,48923.5634727478,37555.88233184815,42416.12278747559,30153.32243347168,25673.94190979004,38013.282623291016,29481.562602996823
1-O-carboceroyl-Cer(d18:1/16:0),95524.1658706665,72723.06428146362,87146.86511993408,155467.693359375,73221.06582641602,63292.42442703247,81261.78657150269,59303.04391098023,157176.4503211975,59104.12437057495
1-O-carboceroyl-Cer(d18:1/18:0),22350.52140426636,19638.42140197754,19103.36149597168,21265.18152618408,19184.941383361816,23518.86159515381,24620.981536865234,18542.74126815796,20872.98154449463,19351.66135406494
1-O-cerotoyl-Cer(d18:1/16:0),77170.1263885498,71760.08392715454,66176.30462646484,109173.28615570068,77536.20505905151,71531.56502151489,94600.40604019164,48290.72343444824,129686.40884780884,90206.18699645996
1-O-cerotoyl-Cer(d18:1/18:0),260292.91549301147,226606.41647338867,224349.4774131775,218882.65203475952,217872.79592895508,242689.6378440857,319763.26332473755,188144.5944366455,290259.72340393066,254315.69579315183
1-O-eicosanoyl-Cer(d18:1/16:0),40271.942752838135,48901.74348449707,79985.14546966553,45007.06316757202,38794.08239746094,38312.82266235352,32873.5220451355,24691.961532592773,32300.02227020264,30083.80215072632
1-O-lignoceroyl-Cer(d18:1/16:0),88004.54573059082,67973.50408935547,83376.7452545166,147981.1301498413,69986.14563369751,61918.36474227905,70929.20533752441,51119.96410369873,132110.53005218506,46688.28359603882
1-O-myristoyl-Cer(d18:1/16:0),48533.30375289917,53109.183780670166,59416.14421081543,49433.40335083008,43722.223094940186,52282.40361404419,51031.74311065674,29999.60227203369,47704.26295471192,41838.42319107056
1-O-palmitoyl-Cer(d18:1/16:0),42280.12342071533,51340.90389251709,57042.14367675781,44925.50315475464,38691.3226890564,37671.40256881714,41503.562911987305,30627.382152557373,38626.942794799805,38395.3628578186
1-O-stearoyl-Cer(d18:1/16:0),45861.98350524902,60920.96372222901,108743.84694671632,58732.24412536621,43761.36296844482,39907.92282104492,41409.22291183472,24739.3617515564,39577.36284255981,37099.262493133545
1-O-tricosanoyl-Cer(d18:1/16:0),42481.76253890991,46389.883586883545,47993.66288375855,85672.64553451538,45309.76321029663,46462.44305038452,36770.78251647949,26529.861740112305,74690.7049446106,34747.30205154419
1-O-tricosanoyl-Cer(d18:1/18:0),9886.160655975342,11597.380840301514,10146.580741882324,12243.720832824709,8869.920574188232,12337.640785217283,10196.060813903809,9660.040676116943,10959.840721130371,10466.840755462646
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",4456442.3203125,4906805.72265625,4376553.2001953125,5851287.732910156,5240845.183105469,5415979.774414063,3846312.868652344,4968330.218261719,4577722.708984375,4138307.3325195312
12:0 Cholesteryl ester,197889.75340271,192208.85467529297,196251.07221984863,46403.643058776855,45492.56311035156,200241.51499938965,196464.39416503903,191143.31437683103,48828.74309921265,50371.44329452515
12:0 Cholesteryl ester_2,188985.39365386963,191529.11226654053,181537.25415039065,43779.26319885254,49127.3635559082,185237.65446472168,194796.03422546387,182998.59495544437,46823.28361511231,44904.20314788818
14:0 Cholesteryl ester,107592.74710083008,111948.30752563477,95863.90637207033,37085.942611694336,34170.76250457764,105610.56730651855,107985.74781799316,168315.25177001953,36109.662437438965,35977.82231903076
14:1 Cholesteryl ester,105616.70771789552,114755.32794189452,89815.82641601562,36128.2225151062,35097.92267227173,109536.30744934082,108556.44799804688,160008.3309020996,36776.74267196655,35528.5424118042
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,344296.18408203125,322049.3430175781,282733.9587402344,111289.70825195312,97976.74700927734,306373.8005371094,299731.0216064453,295858.30310058594,112840.5672302246,105376.86743164062
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,339298.6618652344,310006.2232055664,279367.6589355469,109775.18774414062,90888.4663696289,303455.8826904297,299659.14196777344,302988.9415283203,112044.8677368164,106071.48748779295
15:0 Cholesteryl ester,266142.63873291016,262806.1593017578,247914.3380126953,100862.94711303712,93542.90643310548,266860.19885253906,267613.71813964844,272503.8608398437,114434.50775146484,111157.34732055664
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,325613.7829589844,314207.48400878906,285182.6004638672,111228.06823730467,104504.52752685548,297769.2003173828,290351.58154296875,308943.9620361328,124084.7282409668,119824.3484802246
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,332167.2241210937,320285.1428222656,290290.8615722656,109240.58813476562,110252.7873840332,301401.74060058594,287615.060546875,309998.6005859375,119055.92895507812,120952.50833129884
15:1 Cholesteryl ester,268890.8377685547,271941.5600585937,254635.35803222656,99233.0864868164,98567.5069580078,284971.76025390625,274811.8981933594,285592.7198486328,114059.18821716309,115133.86862182616
16:0 Campesteryl ester | 17:0 Cholesteryl ester,599021.1501617432,364204.10803222656,448713.8888244629,151944.7908821106,56299.90330123901,351679.80712890625,393651.0072021485,180673.55206298828,528545.7402648926,78532.20629882812
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,609993.4200134277,360084.2857208252,463799.4299316406,156451.45086669922,55858.1439781189,337068.3601837158,390498.6081542969,178450.37184143066,527734.0662574768,75855.20571899414
16:2 Campesteryl ester,625300.3235015869,333241.1462402344,437722.5107727051,152684.90951156616,56317.044551849365,337974.6212387085,383311.68368530273,173929.8528137207,523835.7752380371,71962.5654296875
"16:2 Cholesteryl ester, zymosteryl palmitoleate",318423.20361328125,314303.2229003906,291071.2001953125,108236.02865600586,103669.7276916504,297905.1613769531,287947.70153808594,311092.6616210937,121413.6282043457,118804.1879272461
16:3 Campesteryl ester,615577.7465820312,344850.82232666016,433388.474029541,157380.9925956726,58418.86434555054,331275.62284851074,373961.9270172119,172677.89218139648,515711.15589141846,74763.10524368286
16:3 Cholesteryl ester,310266.3620605469,293686.3809814453,270211.9997558594,109016.26788330078,102616.72705078124,294535.90087890625,284794.66064453125,298385.6613769531,113194.88842773438,113224.94805908205
16:3 Stigmasteryl ester,727697.5627822876,427144.43183898926,529747.2166748047,192696.09077453613,87870.18571090698,411188.2872314453,460511.3327941895,242870.8171234131,562328.8849334717,103573.42597198486
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",855093.6213684082,510967.8601989746,612365.7075805664,204385.9342041016,84979.48628616333,499268.83602905273,530913.7354736328,301160.1184692383,602502.1294021606,107037.6085472107
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",852660.2135925293,521878.4792175293,601565.9233398438,199647.8141479492,89481.14645385742,479157.2927246094,521070.05615234375,297985.96279907227,599676.2238388062,98678.10720062256
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",842930.1578979492,510275.13067626953,586323.5788574219,197720.9366455078,81592.54598236084,485151.7746276856,520088.8929138184,296793.23989868164,562371.0579147339,102937.98823547363
