Lipid,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype__5xFAD___Brain_Region__cortex,Genotype__5xFAD___Brain_Region__cortex,Genotype__5xFAD___Brain_Region__cortex,Genotype__5xFAD___Brain_Region__cortex
(11Z)-eicoseneoylcarnitine,1498962.5366210938,1640511.7080078125,1468215.3647460938,1455302.6083984375,1517652.2963867188,1461574.3852539062,1395572.740234375,1457662.7182617188,1408961.5532226562
"(11Z,14Z)-eicosadienoylcarnitine",1490627.2612304688,1620460.4702148438,1434255.701171875,1426995.7827148438,1442118.8286132812,1429124.1762695312,1350856.4809570312,1431788.9677734375,1357653.3920898438
"(13Z,16Z)-docosadienoylcarnitine",1468592.0839233398,1801727.1483154297,1494908.485961914,1415503.9500732422,1514023.7989501953,1420361.1004638672,1281745.7750854492,1508125.2795410156,1349872.0334472656
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",2392796.6845703125,2414485.858154297,2782494.2834472656,2515677.2600097656,2177589.061767578,2184246.087890625,2205746.576171875,2470854.001464844,2018780.2897949216
"(5Z,8Z)-tetradecadienoylcarnitine",24583201.19921875,20847168.3828125,28155528.892578125,22671427.51611328,34723637.06933594,29948597.337890625,26648913.84375,16632944.549316406,65346110.588378906
"(7Z,10Z)-hexadecadienoylcarnitine",1929676.493652344,1850445.7600097656,1793115.135986328,1852051.1657714844,1707312.4143066406,1770713.409423828,1717515.307861328,1811327.671875,1667394.3842773438
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",1291661.7513427734,1585961.4837646484,1354965.4031982422,1177180.6912841797,1447871.6550292969,1260946.1431884766,1137990.1825561523,1271184.7647705078,1143505.6591796875
(9Z)-3-hydroxyoctadecenoylcarnitine,16167813.693847656,18424387.296875,16605329.997558594,25047980.522460938,24543649.78955078,17311510.770996094,20298427.10791016,20722991.56201172,21033323.51171875
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",6473824.611083984,7022553.862060547,6461878.519042969,9142425.646728516,9132833.381347656,6556788.756103516,7579394.700439453,7847061.452392578,7985043.280273437
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",15425044.841796877,17616816.35986328,15560660.842773438,23578611.47607422,23004359.768066406,16470506.173828123,19040901.25390625,19527801.96728516,19669121.095703125
1-O-behenoyl-Cer(d18:1/16:0),34723.00240325928,36657.50228881836,39095.64287948608,48923.5634727478,37555.88233184815,36692.462463378906,37616.98265457153,47163.46329879761,38684.44284820557
1-O-carboceroyl-Cer(d18:1/16:0),95524.1658706665,72723.06428146362,87146.86511993408,155467.693359375,73221.06582641602,94097.04789352416,71634.02543640137,152652.411567688,90605.04538345335
1-O-carboceroyl-Cer(d18:1/18:0),22350.52140426636,19638.42140197754,19103.36149597168,21265.18152618408,19184.941383361816,24564.40146255493,21907.801445007324,21279.241298675537,21167.64161300659
1-O-cerotoyl-Cer(d18:1/16:0),77170.1263885498,71760.08392715454,66176.30462646484,109173.28615570068,77536.20505905151,77182.18599319458,67614.68476867676,112079.00816345216,75406.60494613647
1-O-cerotoyl-Cer(d18:1/18:0),260292.91549301147,226606.41647338867,224349.4774131775,218882.65203475952,217872.79592895508,261576.97959136963,228328.8583450317,223601.6531028748,227696.1364517212
1-O-eicosanoyl-Cer(d18:1/16:0),40271.942752838135,48901.74348449707,79985.14546966553,45007.06316757202,38794.08239746094,36027.762283325195,42948.363021850586,42736.36308288574,30331.58203125
1-O-lignoceroyl-Cer(d18:1/16:0),88004.54573059082,67973.50408935547,83376.7452545166,147981.1301498413,69986.14563369751,84782.36605834961,66330.18539047241,144407.71041107178,81413.10648345947
1-O-myristoyl-Cer(d18:1/16:0),48533.30375289917,53109.183780670166,59416.14421081543,49433.40335083008,43722.223094940186,54183.54351043701,53711.363929748535,49155.66358947754,50361.16374969482
1-O-palmitoyl-Cer(d18:1/16:0),42280.12342071533,51340.90389251709,57042.14367675781,44925.50315475464,38691.3226890564,42159.56315231323,46103.00323486328,43331.863063812256,40639.18308258057
1-O-stearoyl-Cer(d18:1/16:0),45861.98350524902,60920.96372222901,108743.84694671632,58732.24412536621,43761.36296844482,41978.90271377564,47592.20374298096,53856.84366226196,37718.002490997314
