Lipid,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype__5xFAD___Brain_Region__cerebellum,Genotype__5xFAD___Brain_Region__cerebellum,Genotype__5xFAD___Brain_Region__cerebellum,Genotype__5xFAD___Brain_Region__cerebellum,Genotype__5xFAD___Brain_Region__cerebellum
(11Z)-eicoseneoylcarnitine,1498962.5366210938,1640511.7080078125,1468215.3647460938,1455302.6083984375,1517652.2963867188,1256930.4736328125,1313193.267578125,1370506.4516601562,1476902.5249023438,1624465.5419921875
"(11Z,14Z)-eicosadienoylcarnitine",1490627.2612304688,1620460.4702148438,1434255.701171875,1426995.7827148438,1442118.8286132812,1262933.6362304688,1288290.3208007812,1349906.3383789062,1447970.6625976562,1569963.0502929688
"(13Z,16Z)-docosadienoylcarnitine",1468592.0839233398,1801727.1483154297,1494908.485961914,1415503.9500732422,1514023.7989501953,1200177.8431396484,1229167.669921875,1293432.1517333984,1486547.2768554688,1530059.8298339844
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",2392796.6845703125,2414485.858154297,2782494.2834472656,2515677.2600097656,2177589.061767578,1939767.9885253904,2430496.0634765625,2140645.078491211,2665311.731689453,2279392.241455078
"(5Z,8Z)-tetradecadienoylcarnitine",24583201.19921875,20847168.3828125,28155528.892578125,22671427.51611328,34723637.06933594,154140949.5595703,92351915.6875,63344919.2109375,16220704.654785156,24353723.305664062
"(7Z,10Z)-hexadecadienoylcarnitine",1929676.493652344,1850445.7600097656,1793115.135986328,1852051.1657714844,1707312.4143066406,1559599.7697753906,1588900.268798828,1693150.3903808594,1906106.0573730469,1901348.182861328
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",1291661.7513427734,1585961.4837646484,1354965.4031982422,1177180.6912841797,1447871.6550292969,1049124.5791015625,1070540.3215332031,1140392.4146728516,1251955.5372314453,1374031.0412597656
(9Z)-3-hydroxyoctadecenoylcarnitine,16167813.693847656,18424387.296875,16605329.997558594,25047980.522460938,24543649.78955078,10822962.869628906,19673378.95703125,18254947.068847656,15744826.903320312,13176578.10888672
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",6473824.611083984,7022553.862060547,6461878.519042969,9142425.646728516,9132833.381347656,4548090.254638672,7191994.978515625,7154281.061279297,6230783.154052734,5983506.459472656
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",15425044.841796877,17616816.35986328,15560660.842773438,23578611.47607422,23004359.768066406,10354077.518066406,18743120.12353516,17230450.004882812,14976742.081542969,12457421.822753906
1-O-behenoyl-Cer(d18:1/16:0),34723.00240325928,36657.50228881836,39095.64287948608,48923.5634727478,37555.88233184815,29398.342208862305,33126.942710876465,46202.78359985352,39305.7628326416,36187.02255249024
1-O-carboceroyl-Cer(d18:1/16:0),95524.1658706665,72723.06428146362,87146.86511993408,155467.693359375,73221.06582641602,68731.26498031616,46299.72317123413,75554.60557937622,168528.36987304688,99853.7479057312
1-O-carboceroyl-Cer(d18:1/18:0),22350.52140426636,19638.42140197754,19103.36149597168,21265.18152618408,19184.941383361816,23379.941871643063,18910.121425628666,23674.221508026123,19387.24150085449,22414.021717071533
1-O-cerotoyl-Cer(d18:1/16:0),77170.1263885498,71760.08392715454,66176.30462646484,109173.28615570068,77536.20505905151,80859.80527496338,67606.82591247559,69276.28416442871,121797.58711624146,102118.72706985474
1-O-cerotoyl-Cer(d18:1/18:0),260292.91549301147,226606.41647338867,224349.4774131775,218882.65203475952,217872.79592895508,286598.67964172363,210867.73253631592,259933.4981918335,272286.04024124146,300706.4411582947
1-O-eicosanoyl-Cer(d18:1/16:0),40271.942752838135,48901.74348449707,79985.14546966553,45007.06316757202,38794.08239746094,32220.22254562378,144073.01107406616,48475.983406066895,49439.16363525391,50599.06323242188
1-O-lignoceroyl-Cer(d18:1/16:0),88004.54573059082,67973.50408935547,83376.7452545166,147981.1301498413,69986.14563369751,52082.28335571289,42169.38264846802,64451.98418426514,151543.98889923096,89210.56663894653
1-O-myristoyl-Cer(d18:1/16:0),48533.30375289917,53109.183780670166,59416.14421081543,49433.40335083008,43722.223094940186,54386.303718566895,80557.88554382324,58228.62457275391,50704.183753967285,50433.8034324646
1-O-palmitoyl-Cer(d18:1/16:0),42280.12342071533,51340.90389251709,57042.14367675781,44925.50315475464,38691.3226890564,35647.702491760254,75182.80504226685,49120.04314041138,46163.84300994873,45528.64307785034
1-O-stearoyl-Cer(d18:1/16:0),45861.98350524902,60920.96372222901,108743.84694671632,58732.24412536621,43761.36296844482,40163.10260391235,200401.791885376,58489.64445877075,65201.24501800537,57285.90365982056
1-O-tricosanoyl-Cer(d18:1/16:0),42481.76253890991,46389.883586883545,47993.66288375855,85672.64553451538,45309.76321029663,31280.9020614624,36101.58243179321,44575.183376312256,82565.64527130127,42070.66318130493
1-O-tricosanoyl-Cer(d18:1/18:0),9886.160655975342,11597.380840301514,10146.580741882324,12243.720832824709,8869.920574188232,10099.880729675291,10180.240703582764,11458.880809783936,12517.040855407717,10831.58073425293
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",4456442.3203125,4906805.72265625,4376553.2001953125,5851287.732910156,5240845.183105469,3269997.2236328125,4893907.564453125,4660732.620117188,4206026.020996094,3740109.557617188
12:0 Cholesteryl ester,197889.75340271,192208.85467529297,196251.07221984863,46403.643058776855,45492.56311035156,162075.57186889648,185949.39279174805,190370.63200378412,52144.48365020752,51295.14357757568
12:0 Cholesteryl ester_2,188985.39365386963,191529.11226654053,181537.25415039065,43779.26319885254,49127.3635559082,167308.3116760254,191733.1952819824,180831.0321426392,49434.48342514038,48283.80372619629
14:0 Cholesteryl ester,107592.74710083008,111948.30752563477,95863.90637207033,37085.942611694336,34170.76250457764,202606.45343017572,94036.7070159912,116114.08819580078,39418.46291732788,37524.18278503418
14:1 Cholesteryl ester,105616.70771789552,114755.32794189452,89815.82641601562,36128.2225151062,35097.92267227173,199691.31356811523,93316.4656982422,120425.56855773926,37575.38257598877,34715.18257904053
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,344296.18408203125,322049.3430175781,282733.9587402344,111289.70825195312,97976.74700927734,247360.9578857422,266253.2185058594,280976.87927246094,103361.62686157228,103570.74768066406
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,339298.6618652344,310006.2232055664,279367.6589355469,109775.18774414062,90888.4663696289,252850.63806152344,269787.4794921875,275199.18005371094,109722.42831420898,102070.20748901369
15:0 Cholesteryl ester,266142.63873291016,262806.1593017578,247914.3380126953,100862.94711303712,93542.90643310548,229352.2568359375,249117.5584716797,268693.6774902344,105126.76776123048,107702.80712890624
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,325613.7829589844,314207.48400878906,285182.6004638672,111228.06823730467,104504.52752685548,260590.21728515625,268047.0192871094,298079.80126953125,111455.6879272461,115781.30844116212
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,332167.2241210937,320285.1428222656,290290.8615722656,109240.58813476562,110252.7873840332,261740.3193359375,276397.84020996094,290697.8009033203,112282.48760986328,111079.46835327148
15:1 Cholesteryl ester,268890.8377685547,271941.5600585937,254635.35803222656,99233.0864868164,98567.5069580078,259498.01831054688,255651.8582763672,270325.19915771484,111679.74743652344,103642.36712646484
16:0 Campesteryl ester | 17:0 Cholesteryl ester,599021.1501617432,364204.10803222656,448713.8888244629,151944.7908821106,56299.90330123901,104547.70739746094,125639.16746520996,145071.9510192871,181893.13065719604,67114.82503509521
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,609993.4200134277,360084.2857208252,463799.4299316406,156451.45086669922,55858.1439781189,108868.50756835938,129753.7692565918,137290.98944091797,186053.9358062744,68740.46430206299
16:2 Campesteryl ester,625300.3235015869,333241.1462402344,437722.5107727051,152684.90951156616,56317.044551849365,98350.60737609863,120443.98805236816,131431.08966064453,185782.1937828064,66551.36469268799
"16:2 Cholesteryl ester, zymosteryl palmitoleate",318423.20361328125,314303.2229003906,291071.2001953125,108236.02865600586,103669.7276916504,258572.75805664065,269297.05908203125,292214.919921875,110203.26791381836,106837.36743164062
16:3 Campesteryl ester,615577.7465820312,344850.82232666016,433388.474029541,157380.9925956726,58418.86434555054,100437.2666015625,118072.24786376952,136457.43032836914,189290.5514297485,64989.22410583496
16:3 Cholesteryl ester,310266.3620605469,293686.3809814453,270211.9997558594,109016.26788330078,102616.72705078124,242702.83837890625,258914.678100586,280185.4190673828,113500.16781616212,111255.42819213869
16:3 Stigmasteryl ester,727697.5627822876,427144.43183898926,529747.2166748047,192696.09077453613,87870.18571090698,140503.76998901367,230125.45840454104,206513.696723938,220924.29370880127,100984.72776794434
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",855093.6213684082,510967.8601989746,612365.7075805664,204385.9342041016,84979.48628616333,173129.27224731445,277060.34257507324,237041.23654174805,223447.3737182617,89343.60666656494
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",852660.2135925293,521878.4792175293,601565.9233398438,199647.8141479492,89481.14645385742,176152.7712097168,267835.77947998047,236358.4162597656,224382.29598999023,88803.84687805176
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",842930.1578979492,510275.13067626953,586323.5788574219,197720.9366455078,81592.54598236084,175306.81085205078,278235.6174316406,244266.5776062012,213606.07862091064,89111.60607910156
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",862067.712310791,517304.1920166016,595576.9428405762,204358.05494308472,83035.78645706177,169233.3512878418,278870.03869628906,241900.73580932617,216516.6144638061,87569.78634643555
17:1 Cholesteryl ester; 16:1 Campesteryl ester,611723.5156555176,350131.3035583496,446275.3489227295,159345.89164733887,60428.163719177246,100099.72714233398,127040.96856689452,131818.60929107666,184913.35300827023,69245.70543670654
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,597038.2792663574,335558.16551208496,423873.5100250244,151612.76976776123,55816.66398239136,104714.5871887207,123977.3080444336,138369.3503265381,170765.33235931396,67861.66511154175
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",579479.3815917969,415102.8081359863,312724.2644042969,103781.74765777588,79692.8857498169,175049.87139892578,348423.6258239746,213535.4341430664,67835.50381469727,64241.92467880249
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",581549.4797363281,415805.8867492676,298301.0598449707,106387.14749145508,80918.7451248169,179889.05236816406,339962.84579467773,213364.9132080078,68219.18450927734,64514.02480316162
18:1 Campesteryl ester,455285.64990234375,356218.5864562988,290367.66189575195,90191.30676269533,66857.70453643799,175239.93341064453,268409.1796569824,215967.89556884769,61878.92424011231,62048.54407501221
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",840616.2183532715,529500.3120422363,600648.3408966064,201127.7946472168,78328.40519714355,185224.3324279785,288059.8182067871,258973.9764404297,218629.17308807373,95617.1079788208
18:3 Campesteryl ester,349060.78579711914,310821.30099487305,245531.99661254883,79602.82596588135,67994.36478424072,163275.2911682129,237849.9397888184,197581.23251342773,67581.88467407227,63734.52460479736
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",850813.5699462891,552733.6976013184,620345.5288085938,201715.55276489252,91518.96710586548,200000.09326171875,302431.44108581543,274596.4970703125,227412.97649383545,99282.3278427124
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",738547.298828125,590154.2624511719,468987.13415527344,208501.35400390625,149831.62994384766,341507.6442871094,514951.9577636719,400920.3483886719,148631.35021972656,134828.8695678711
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",721592.5570068359,591230.9625244141,457069.5925292969,204910.27416992188,155575.15103149414,352155.083984375,523589.3599853516,399723.98828125,146718.33074951172,137638.7099609375
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",1342165.8034667969,1293608.794555664,1232293.98046875,1205931.8406982422,1154733.269897461,1040048.8419189452,1131210.0415039062,1147077.4656982422,1272941.5639648438,1376064.4704589844
20:0 Campesteryl ester,4539166.369384766,2738800.2377929688,1488004.1958007812,631150.6455078125,367630.4270629883,679605.6884765625,570926.6004638672,540973.541015625,174167.41290283203,173933.0126953125
20:1 Campesteryl ester,4235422.83215332,2598765.4096679688,1407519.564819336,627173.1862182617,362508.36560058594,676347.5854492188,688799.9445800781,533536.2581787109,168958.17156982422,165176.45068359375
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",741543.9924316406,592514.7603759766,463263.3770751953,213167.83587646484,152485.4100341797,347684.2236328125,502197.9731445313,419090.47009277344,148990.13116455078,136796.1903076172
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",715989.0925292969,571387.8460693359,452535.7111816406,214638.8768310547,156924.85137939453,339358.6844482422,501408.71350097656,406331.3693847656,155499.97149658203,139269.41015625
20:3 Campesteryl ester,971733.7509765624,796782.5151367188,658286.7297363281,331052.8444213867,359388.5831298828,733625.4548339844,708332.6119384766,659154.8083496094,231894.11669921875,267571.7769165039
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",655990.4508056641,518913.4805908203,402155.2277832031,194882.89279174805,152072.91143798828,283521.4597167969,442812.4324951172,341104.5848388672,144004.32977294922,136512.4094543457
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",739420.5382232666,566264.937713623,449138.75494384766,170348.91171264648,147960.15045166016,257892.53875732425,472898.1745147705,339870.63845825195,132994.22860717773,130860.34854125977
