Lipid,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype__5xFAD___Brain_Region__cerebellum,Genotype__5xFAD___Brain_Region__cerebellum,Genotype__5xFAD___Brain_Region__cerebellum,Genotype__5xFAD___Brain_Region__cerebellum,Genotype__5xFAD___Brain_Region__cerebellum
20:5 Cholesteryl ester,1235624.6225280762,995561.273284912,848273.2289733887,289770.3999023437,256014.0956192017,553765.8633422852,813621.7353820801,678465.0278625488,236174.3785057068,275581.3198928833
22:0 Campesteryl ester,896566.9890136719,939694.8839035034,509218.2499542236,95272.74718475342,195138.1933746338,290060.2583770752,331322.3430328369,370521.7639007568,77295.60439682007,69889.4048576355
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",4193570.23059082,2436225.9285354614,1227538.8339004517,487762.71195983887,245699.79766082764,395209.9066314697,293992.34017944336,204615.7733001709,41977.76301956177,56235.90398788452
22:0 Sitosteryl ester,765647.420135498,885845.569229126,525418.6844100952,82712.30665969849,204437.7543678284,331275.7441635132,425492.64304351807,416829.3513565064,85851.6470413208,90384.90623092651
22:1 Campesteryl ester,1047875.6008148192,946360.6265792848,542836.6854553223,118994.38879013062,192189.37321090692,267219.9195404053,310564.399307251,335634.9217758179,72405.42503356934,72200.30522537231
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",4263195.970428467,2450399.517211914,1237139.4935913086,480094.9753990173,260850.2191238404,401505.6079406738,279027.41773986816,202002.13383483887,46140.94332122803,56842.763942718506
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",755514.5677680969,944503.3225631714,491153.4977798462,81157.6648902893,208831.17345809937,322672.14546203613,349491.7835159302,386046.8065223694,80745.9264755249,84339.68700027466
22:2 Campesteryl ester,3415261.498123169,1941418.5549240112,950963.794708252,341881.02141952515,226201.9358673096,100209.36726379396,197735.27307128903,113135.72926330566,48554.28336715698,58030.14366531372
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",743872.3928756714,898655.6136779785,502230.538608551,85175.60606384277,209764.5725975037,306571.82232666016,354139.8619194031,398292.5674934387,78448.08561706543,82347.54563903809
22:3 Campesteryl ester,4006962.4003601074,2313333.353652954,1145395.0406341553,463608.8536758423,215819.47241592407,128654.78890991212,235293.97583007807,123301.788772583,32028.121990203857,29257.10204315185
22:3 Stigmasteryl ester,723321.4232177734,894071.6810836792,463588.0719909668,83160.50679779053,201195.9746055603,301818.8037338257,337057.02380371094,380411.2284011841,75978.84562683105,74485.04415512085
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",4550953.7470703125,2741932.9650878906,1526239.79296875,680709.7716064453,397991.8699951172,717614.01171875,602161.724609375,566763.3215332031,203169.11529541016,193636.29321289065
22:5 Cholesteryl ester,4551026.404541016,2730467.060913086,1502246.861694336,666926.9046630859,385240.2494506836,681358.9282226562,574075.4008789062,548872.98046875,182482.6729736328,182210.3336181641
22:6 Cholesteryl ester,4458070.431640625,2715212.2209472656,1491101.0864257812,645550.1623535156,377736.9682617188,689877.5708007812,583864.720703125,548383.4206542969,173364.03149414062,170276.5321044922
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",741502.5326538086,901822.6605300904,507127.1789741516,85131.08557891846,202069.635471344,331529.74309921265,390391.3275756836,402741.9845695496,83488.34439468384,86167.32622909546
3-hydroxyarachidonoylcarnitine,1856874.8933105469,2316012.537353516,1997917.2893066409,1784077.2758789062,2009942.3466796875,1519325.8486328125,1689632.529296875,1686260.1721191406,1863435.63671875,1930435.376953125
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",1554010.6118164062,1916138.784423828,1676102.2985839844,1419993.0892333984,1622108.3797607422,1186676.7076416016,1378030.6455078125,1366539.055053711,1493792.3493652344,1580037.5629882812
"3-hydroxylinoleoylcarnitine,",15726473.67578125,17840220.71875,15795650.27294922,23904027.19970703,23345401.69580078,10412728.368164062,19095156.520996094,17691295.735839844,15293062.92236328,12758226.377441406
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",7174074.618164063,7910488.398925781,7254243.041503906,10290363.202148438,10271814.326171877,5047329.992675781,8265390.025878906,7852521.141601562,6952312.624511719,6381760.837890625
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",1828917.915527344,1991359.2607421875,1810925.8793945312,1731165.087890625,1800051.0874023438,1471570.1196289062,1663145.7919921875,1660488.5493164062,1796975.3369140625,1917517.5590820312
C12:0,91115.66660308838,71487.16569900513,123507.88874053957,163278.9520263672,470759.61096191406,49450.46340942383,52048.26383972168,101086.58731079102,253384.01986694336,786235.9553222656
C12:1,55532.34419250488,39086.12285614014,61801.26460266113,111234.48831176758,281311.47912597656,42574.66279602051,31922.102256774902,62159.76443481445,110787.78799438477,288506.84075927734
C14:0,1170713.64453125,826162.8178710938,1642767.3564453125,1318476.87109375,3246147.341796875,939635.1861572266,797750.9364013672,1339612.2512207031,2224068.9370117188,6260269.737792969
C14:1,676127.4266967773,453576.5722351074,738303.3325195312,866707.7004394531,1378913.4365234375,643907.5652160645,445981.771484375,738315.2306518555,837123.7770996094,1419222.2824707031
C15:0,115329.78874206544,71964.42558288574,126095.18968200684,219580.85522460932,930123.4244384766,102130.4673614502,60481.084144592285,133717.28941345215,249466.23806762687,1153097.682861328
C15:1,224627.8755645752,120627.1275024414,319949.92462158203,382008.1252136231,1273499.8322753906,340894.59983825684,115592.80899047852,283884.9422607422,477691.393371582,1456058.8435058594
C16:0,660947.4272155762,333656.00215148926,657447.0054016113,1526596.5797729492,20384292.18188477,476165.0105895996,282093.0023803711,699194.2758483887,1572147.9837036133,24236272.677246094
C16:1,94007.92626190186,56306.563552856445,99747.12615966795,231847.9754486084,1546353.6267089844,73353.28578186035,48122.00355529785,103382.14724731444,237671.4571838379,1969860.5838623047
C17:0,123095.10919189452,70313.40487670898,199605.27545166016,280185.3179626465,2158119.063598633,74938.32553100586,63271.40463256836,132518.6089477539,397807.56619262695,3552508.2741088867
C17:1,70450.06484985352,45439.243103027344,86452.7459564209,128715.72891235352,599384.6622924805,52980.52372741699,44298.18312835693,86680.3264465332,149392.1907043457,727366.4727172852
C18:0,426597.04763793945,219438.0149841309,444225.1284637451,1346389.8979797363,22369922.444458008,299957.1216888428,168370.83210754397,534584.3980484009,1466030.654159546,30337726.12609864
C18:1,88829.32608032227,54966.26390075684,97842.06655883788,174634.31256103516,821000.8999023438,72029.14485168457,54737.223709106445,103639.9073486328,188620.17379760745,1253256.2690429688
C18:2,102454.0072479248,57258.20389556885,84487.14624023438,167009.63201904297,1293343.8269042969,55990.36389923096,51525.78366088867,92575.26654052734,185614.61416625977,906998.5246582032
C18:3,64677.52456665039,39599.40270996094,70027.02490234375,114559.92778015137,476275.4567871094,52043.82362365723,37622.52262878418,76727.4652709961,124470.34942626952,688411.2669067383
C18:4,49328.70357513428,29003.78202819824,48505.68350219727,73670.14505004883,230079.2352905273,36511.84266662598,29497.00204467773,50239.18350982666,83721.28591918945,296024.74157714844
C19:0,105501.5679321289,66115.86447143555,122316.62759399414,291172.8797149658,3124553.2182617188,95653.06672668456,54873.92371368408,149977.67024993896,317735.6428527832,3007762.539672852
C20:0,8062.020561218262,7630.060550689697,7644.300556182861,557594.1999511719,5679542.154785156,7694.140556335449,7617.760482788086,7621.020488739014,614932.7451171875,4593185.5146484375
C20:1,8027.760559082031,7921.62052154541,7731.320571899414,114871.64810180664,926097.329284668,7796.720558166504,7857.680492401123,7617.48046875,140822.59042358398,951980.4077758788
C20:3,99969.18690872192,80306.24538421631,55090.103660583496,419988.68908691406,1269601.508544922,215283.09440994263,79402.42557144165,59789.083984375,399768.9284667969,1196870.639892578
C20:4,50165.02364349365,32843.202407836914,54698.72380065918,90197.84600830078,432405.37017822266,37474.26264953613,33491.40241241455,51234.40377044678,101280.58700561523,553026.4783325195
C20:5,115540.4878540039,65532.80462646485,121636.38887023926,228006.81616210932,1827520.5756225584,70922.48471832275,60085.26406097412,119466.9886932373,244713.57690429688,2424673.14263916
C22:0,25602.04180908203,21803.521533966064,28705.34211730957,110343.7876815796,2754172.4453125,18542.76138687133,15719.101078033447,32347.502548217773,116365.60809326172,2017461.663208008
C22:1,15473.281070709229,12471.68091583252,16434.541130065918,55796.564041137695,890322.2864990234,12022.420867919922,10510.760746002195,16281.281196594238,59875.12438201904,593143.4244384766
C22:4,13585.921005249023,11539.5608253479,14676.78102874756,56848.224044799805,306389.14248657227,12392.4208984375,11051.060764312744,14499.901008605955,57873.984031677246,395399.9071044922
C22:5,24488.881816864014,16209.861194610596,27121.201824188232,105347.7876739502,1437332.3403930664,20233.56142425537,15351.221035003662,27479.56188964844,113305.82827758788,2086201.6647949216
C22:6,18355.7612991333,13451.860969543455,22489.261589050293,99266.50688171388,1055587.523071289,14817.141075134276,13013.76093673706,24481.1817817688,109016.28771972656,926703.7264404296
C24:0,12932.640964508057,10754.52074432373,11117.600845336914,29923.922172546387,7642.500549316406,11357.02081680298,9507.660655975342,12327.520847320557,31436.622299194336,7625.360515594482
C24:1,11746.800834655762,11010.84075164795,12209.96086883545,35551.122413635254,7644.420555114746,10371.480716705322,9577.94065475464,11683.420806884766,40447.20280456543,7623.360511779785
C24:5,16507.021045684814,12323.40089416504,14607.021083831787,55844.02407073975,485918.2353820801,13476.480907440186,11292.020793914797,15463.721138000488,52588.40413665772,181311.0133934021
C24:6,14206.14096069336,11297.280799865724,13010.440864562988,47410.3631439209,12029.120834350586,12326.400840759276,10077.6607131958,14030.540996551514,47751.12338256836,9621.36060333252
C26:0,11262.520824432371,9523.680675506592,11716.920848846436,137109.5892944336,438316.8105163574,10437.540744781494,9760.360664367676,11199.160816192629,139168.94984436035,305287.44200897217
C26:1,13209.92092514038,11169.780799865724,13434.56092453003,317575.74237060547,269629.35929870605,12093.560897827148,11289.00080871582,13996.940963745115,322982.9826965332,271971.1393432617
C28:0,12142.860862731934,9420.960674285889,11658.720836639404,120332.64792633057,847453.7762184143,10039.640678405762,8877.520587921143,11357.46072769165,110373.1074256897,865841.4611816406
C30:0,9267.000602722168,8785.460655212402,9111.660633087158,43046.94311141968,1016122.5578269958,8270.06057357788,8142.360538482666,9489.280658721924,30680.30202865601,531498.6968765259
C32:0,8279.020553588867,8031.780574798584,8378.58065032959,19446.521251678467,257569.179523468,7936.260559082031,8020.160530090332,8384.940536499023,20417.76132583618,334075.94386291504
C34:0,11426.660820007324,10093.060779571531,10804.480796813965,33335.762351989746,290302.35802078247,8990.560653686523,9386.840629577637,10317.640689849854,38431.4029083252,372294.16857528687
Cer(d14:1(4E)/20:0(2OH)),54409.42351913452,54645.64340209961,50728.86381530762,43835.36344909668,37801.3228302002,66650.74519348145,54439.20386505127,56731.90399932861,48422.66332626343,50116.94361495972
Cer(d14:1(4E)/20:1(11Z)(2OH)),69546.04397583008,60719.284591674805,67139.00477600098,45686.62314987183,42428.04319763184,75061.22528839111,62368.964111328125,76992.8856124878,51291.08360290527,55728.08428955078
Cer(d14:1(4E)/22:0(2OH)),831213.9127311707,875382.1197280884,1118472.160873413,753600.4520835876,861652.8336791992,792039.7418060303,924250.8180084229,762881.6403007507,894977.015045166,811234.5140151978
Cer(d14:1(4E)/22:1(13Z)(2OH)),814783.9790306091,830730.0292243958,1072988.9268074036,735649.0568618774,810348.5375366211,762646.4962997437,894908.9389953613,716635.99401474,891287.3468704224,811455.2856025696
Cer(d14:1(4E)/24:0(2OH)),120509.0072555542,124601.53079223631,142303.6293106079,99755.16802215576,109442.62785720824,107138.5082397461,116443.54864120483,114452.98726654051,124675.0270690918,137870.27012252808
Cer(d14:1(4E)/26:0(2OH)),548219.8557701111,545936.8158340454,498422.5392913818,686541.7660484314,624075.7287979126,337074.9861679077,494957.96284484863,541537.7220153809,487797.88973999023,484957.5127487183
"Cer(d14:2(4E,6E)/16:0)",45839.003063201904,46005.98302459717,44292.14347839356,36190.38251495361,38377.00252914429,32723.82205200196,36785.10237121582,37103.102725982666,45466.52307510376,48582.26343536377
"Cer(d14:2(4E,6E)/18:0(2OH))",48923.64336776733,52557.204010009766,45784.5831451416,42600.90302276611,37220.92259979248,36188.86263656616,40864.14295196533,46453.62310028076,50762.64370346069,49683.92366409302
"Cer(d14:2(4E,6E)/18:1(9Z)(2OH))",51354.723876953125,52893.80425262451,46353.64349365234,40620.72269821167,38395.36275482178,37667.68252182007,42898.52331542969,48286.56330871582,47256.28318405152,51127.20343399048
"Cer(d14:2(4E,6E)/18:1(9Z))",46483.00308990479,49152.82313537598,44162.04287338257,38142.242767333984,36365.902759552,35987.76224517822,37646.56273269653,43521.20297241211,43951.52314758301,44414.00364303589
"Cer(d14:2(4E,6E)/20:1(11Z)(2OH))",63111.80439376831,64800.7843170166,57053.64440155029,48030.46302413941,46778.56330490112,56314.06340789795,54472.5640296936,63260.96466064453,59668.42415237427,48027.5429763794
"Cer(d14:2(4E,6E)/20:1(11Z))",46154.92319107056,45940.5627746582,40110.34262466431,42002.68292236328,34950.58248901367,39163.82279586792,40145.12295150757,45121.92335891724,41094.322872161865,40329.18296813965
"Cer(d14:2(4E,6E)/22:1(13Z)(2OH))",666556.0680007935,688809.2840270996,832109.2857513428,587652.1475830078,628109.6446151733,653463.3156433105,732600.3270492554,580270.4158744812,711939.3246192932,671508.6106071472
"Cer(d14:2(4E,6E)/24:0(2OH))",133314.73202514648,132916.58863830566,140165.5313796997,117472.408744812,105293.2068901062,97095.00667953493,103279.52662658691,109186.7868118286,135510.41207885742,134164.76929092407
