Lipid,Genotype_5xFAD__Brain_Region_cortex,Genotype_5xFAD__Brain_Region_cortex,Genotype_5xFAD__Brain_Region_cortex,Genotype_5xFAD__Brain_Region_cortex,Genotype__WT___Brain_Region__cortex,Genotype__WT___Brain_Region__cortex,Genotype__WT___Brain_Region__cortex
Lyso_PI(14:0) | PI (14:0),21771.1815032959,78718.44567871094,78933.42465209961,79741.34530639648,28600.541564941406,86690.42446899414,57177.1442527771
Lyso_PI(14:0) | PI (14:0)_2,22566.501735687256,80119.52658081055,83722.06677246094,76274.1242980957,31193.10231399536,85640.82638549805,59346.52449417114
Lyso_PI(14:1),68777.36492538452,548923.8675537109,649246.4865722656,590693.4376220703,227979.81832122803,586810.4587402344,417193.7364501953
Lyso_PI(15:0) | PIo (16:0),20767.781421661377,533027.7792816162,541179.3835144043,611136.9318237305,2766.700206756592,507624.4865036011,341210.94483947754
Lyso_PI(15:0) | PIo (16:0)_2,13958.00080871582,524690.0135879517,535870.8276977539,610761.8307800293,2578.660202026367,499735.4829330444,354721.3103713989
Lyso_PI(15:1) | PIp (16:0),20816.681552886963,75834.58619689941,67913.44496154785,63686.02502441406,25298.141681671143,79174.8864440918,49598.22410583496
Lyso_PI(15:1) | PIp (16:0)_2,25304.221797943115,74089.54528808594,70760.80419921875,65148.26458740234,21312.281330108643,81690.1067199707,50019.6837310791
Lyso_PI(16:0) | PI (16:0),1480.5401039123535,1567.200107574463,95951.26806640624,80706.6654663086,1635.8601150512695,1547.2601127624512,69197.96463775635
Lyso_PI(16:0) | PI (16:0)_2,1461.160099029541,1469.0401000976562,93221.0658569336,85159.06494140625,1672.580108642578,1478.280101776123,65349.48564147949
Lyso_PI(16:1) | PI (16:1),1461.1401023864746,1464.800106048584,146457.29071044922,137414.38842773438,1512.4001083374023,1514.1201057434082,93450.36782073976
Lyso_PI(16:1) | PI (16:1)_2,1497.2001037597656,1606.0801162719729,138089.0884399414,136031.12857055664,1560.1601066589355,1474.56010055542,101633.42797851562
Lyso_PI(17:0),51427.56373214722,472161.42932128906,434415.69299316406,392161.3770751953,66517.10567855835,489445.947265625,262241.1778411865
Lyso_PI(17:1) | PIp (18:0),16624.881225585938,58258.02395629883,70246.34425354004,56134.084533691406,15888.001220703123,62418.78530883789,43889.80323791504
Lyso_PI(17:1) | PIp (18:0)_2,18149.52128982544,58474.82446289063,67698.00398254395,49347.02340698242,21370.32175064087,61442.42459106445,41726.24243164063
Lyso_PI(17:1) | PIp (18:0)_3,15123.400959014893,55434.36415863037,74555.32643127441,53713.72384643555,14916.701015472412,61760.02449798584,42702.60336303711
Lyso_PI(17:2),25638.04204940796,79326.94509887695,94695.46728515624,84302.64584350586,26649.161964416504,95575.02697753906,72777.8448638916
Lyso_PI(18:0) | PI (18:0),34684.862548828125,94868.02749633788,79584.92588806152,2110.4001502990723,26964.6018409729,100225.06591796876,1476.1201095581057
Lyso_PI(18:0) | PI (18:0)_2,34451.3625793457,97017.7060546875,70214.54557037354,1624.0601119995115,25745.88182067871,101701.18743896484,1528.960105895996
Lyso_PI(18:1) | PI (18:1),24221.02160263061,92564.72671508788,72059.70501708984,1913.0401420593264,38681.32262802124,101287.70495605467,1708.5001182556152
Lyso_PI(18:1) | PI (18:1)_2,23580.961639404297,96279.5689086914,68850.4849243164,2450.080177307129,24426.521591186523,96689.26837158205,1745.60013961792
Lyso_PI(18:2) | PI (18:2),19798.38143157959,207420.3297729492,324640.5463562012,175994.35049819946,32080.26220703125,320407.34423828125,2742.120174407959
Lyso_PI(18:2) | PI (18:2)_2,19118.32146835327,194930.4557189941,316352.9814453125,155581.1092414856,35383.922790527344,310917.2185363769,2243.7601737976074
Lyso_PI(18:3) | PI (18:3),128292.34872817992,5222462.502624512,10351165.05871582,6653299.061588287,1001205.1164398192,9737565.974365234,6011448.339420319
Lyso_PI(18:3) | PI (18:3)_2,121761.20742034912,5383401.006652832,10257214.948120115,6281913.514659882,884708.7465362549,9717353.28491211,5510963.465312958
Lyso_PI(18:4) | PI (18:4),22495.561809539795,70460.44506835938,55737.4841003418,64996.944915771484,19330.26146697998,77656.76525878906,44595.68355560303
Lyso_PI(18:4) | PI (18:4)_2,21912.30149078369,67203.64419555664,57006.963928222656,58346.92401123047,16677.261222839355,86024.38589477539,43000.94285964966
Lyso_PI(19:0),87234.50659179688,482824.270690918,122232.46685028076,257660.8764038086,45698.52276611328,432946.1262817383,277533.9567565918
Lyso_PI(19:1),61288.58380126953,199263.63305664065,8759.680561065674,131175.3076171875,49899.883251190186,330522.5059814453,112231.04776000977
Lyso_PI(20:0) | PI (20:0),19930.66131591797,106673.32723999023,180514.827835083,62549.44488525391,20440.24147033692,183736.17178344727,66212.50346374512
Lyso_PI(20:0) | PI (20:0)_2,22328.92156982422,105164.82763671876,178818.23100280762,60833.4248046875,18254.241271972656,181401.75067138672,67648.86587524414
Lyso_PI(20:1),79317.16619873047,151939.70959472656,129286.1279296875,151903.49047851562,51468.18369293213,210627.9747314453,122599.08813476562
Lyso_PI(20:2) | PI (20:2),37201.602478027344,561861.8635864258,381435.29878234863,1170886.2150268557,130259.14949417114,696503.4417114258,595144.7265930176
Lyso_PI(20:2) | PI (20:2)_2,37587.6025390625,556768.84765625,383117.60021972656,1106764.4852600098,149225.45265197754,702651.9847412109,611715.9055175781
Lyso_PI(20:3) | PI (20:3),20523.92153930664,72605.68594360352,53147.68426513672,64936.6848449707,18872.201274871823,81527.62503051758,51471.98324584961
Lyso_PI(20:3) | PI (20:3)_2,21250.781448364258,69017.185546875,51563.663650512695,62434.70349121094,19539.40131378174,75601.82522583008,50948.684005737305
Lyso_PI(20:4) | PI (20:4),17632.92108154297,87106.1657409668,55227.74401855469,68848.70486450195,19654.32146835327,93804.50717163086,46114.06354904175
Lyso_PI(20:4) | PI (20:4)_2,22660.181610107426,89753.96673583984,51825.86293029785,79732.8257446289,23932.98192214966,94955.28762817384,46581.12242889404
Lyso_PI(20:5) | PI (20:5),30076.642120361328,79494.80603027344,49164.38345336914,70780.54507446289,22629.86193847656,83452.42471313477,60477.24395751953
Lyso_PI(20:5) | PI (20:5)_2,30622.52243041992,88005.42596435547,50102.02349853516,72338.08581542969,20474.3614768982,90480.06634521484,56796.96453857422
Lyso_PI(21:0),30948.36196899414,91590.28720092772,264638.57638549805,101205.84634399414,30531.10185623169,116714.64852905272,61749.58438110352
Lyso_PI(22:0) | PI (22:0),37486.88262939453,140767.548828125,125089.00979614258,115492.04849243164,63197.42398071289,162554.51013183594,94750.1669921875
Lyso_PI(22:0) | PI (22:0)_2,35168.702365875244,141808.4517211914,131778.3096923828,116161.00805664062,64426.34423828125,165958.17218017578,93034.2880859375
Lyso_PI(22:1) | PI (22:1),26316.72204589844,61129.96496582031,66833.24462890625,55431.84411621094,24217.241607666016,93709.68716430664,45021.54254150391
Lyso_PI(22:1) | PI (22:1)_2,25449.00187683105,56105.20346069336,60314.784744262695,53557.20397949219,25263.66162109375,84807.12655639648,43399.06335449219
Lyso_PI(22:2) | PI (22:2),17725.281211853027,59695.10395812988,53020.74375152588,54673.72396850586,18399.001556396484,67441.2451171875,41852.26216125488
Lyso_PI(22:2) | PI (22:2)_2,16514.36127471924,60088.64375305176,51048.16374206543,55382.54476928711,15487.201053619385,62036.66416931152,43283.28317260742
Lyso_PI(22:4) | PI (22:4),24625.58140563965,83175.56524658203,63331.00454711914,74127.18493652344,21636.241695404053,87811.326171875,53155.38377380371
Lyso_PI(22:4) | PI (22:4)_2,23038.22187805176,80308.14596557617,63792.02368164063,71487.34497070312,24077.02137756348,89013.9653930664,51183.723724365234
Lyso_PI(22:6) | PI (22:6),24869.0018157959,92250.28704833984,92995.88725280762,76259.06536865234,25573.12173461914,114139.36856079102,56531.24353027344
Lyso_PI(22:6) | PI (22:6)_2,22629.261688232426,94289.00485229492,95767.90649414062,77209.24542236328,26357.521926879883,110340.20837402344,58325.80438232422
Lyso_PS(12:0) | PS (12:0),40379.86267852783,17560.501140594482,70555.78540039062,64657.30401611328,40529.18291854858,30860.882347106934,77741.00494384766
Lyso_PS(12:0) | PS (12:0)_2,37503.60297012329,20239.18162155152,76382.52453613281,61082.52456665039,41123.04288482666,28622.24241638184,79008.08508300781
Lyso_PS(13:0) | PS (12:0),65955.86489486694,28188.1817893982,111091.10729980467,91875.1866455078,67089.68535995483,30142.342361450195,113592.12817382812
Lyso_PS(13:0) | PS (12:0)_2,64318.90487289429,28940.301986694336,107747.88830566406,97402.46704101562,63312.98459625244,31942.782302856445,112449.1279296875
Lyso_PS(14:0),28089.121921539307,19024.381217956543,109584.58709716795,84214.98571777344,35875.96283721924,33198.201583862305,106847.38720703124
Lyso_PS(14:1) | PS (14:1),239045.85823440552,266529.4800186157,2416793.9765625,1442131.3994140625,386697.8882446289,723045.7475585938,1858569.201171875
Lyso_PS(14:1) | PS (14:1)_2,228577.01641845703,278942.3008422852,2363559.783203125,1425891.8232421875,386757.7848854065,751346.8651123047,1875401.0864257808
Lyso_PS(15:0) | PSo (16:0),10335.880744934082,21079.141624450684,85585.96618652344,89865.86529541016,42106.923080444336,23106.281719207764,82270.00601196289
Lyso_PS(15:0) | PSo (16:0)_2,7451.060451507568,7019.320518493652,85501.26641845703,87161.04721069336,29677.882411956787,3101.360218048096,86412.7857055664
Lyso_PS(15:1),46781.4033203125,22129.921558380127,130979.0698852539,102316.28698730467,46994.00308990479,59107.36399459839,121506.92895507812
Lyso_PS(16:0) | PS (16:0),1468.0801048278809,1464.320110321045,133364.57022094727,98567.60806274414,1462.1001052856443,1460.9600982666016,124966.19073486328
Lyso_PS(16:0) | PS (16:0)_2,1464.6000938415527,1476.9000968933103,141001.18823242188,104074.607421875,1462.1800918579102,1466.6401023864746,121338.04956054688
Lyso_PS(16:1) | PS (16:1),1605.1201171875,1463.8400955200195,69251.94485473633,59162.12438964844,1611.7601127624512,1549.7201042175293,66784.6439819336
Lyso_PS(16:1) | PS (16:1)_2,1480.9200897216797,1464.60009765625,65641.16519165039,66995.9047241211,1461.840106964111,1506.360092163086,66396.2847290039
Lyso_PS(17:0) | PSo (18:0),219361.6747894287,393649.284034729,2589490.008300781,1496242.6928710938,411613.6048965454,1010029.682861328,1880516.935546875
Lyso_PS(17:0) | PSo (18:0)_2,208020.2352256775,393516.7474327088,2697833.5893554688,1578359.8095703125,420836.767288208,947656.8311767578,2035057.6142578125
Lyso_PS(17:0) | PSo (18:0)_3,190187.8539199829,149694.4507637024,2825750.7607421875,1659603.2670898438,358774.341506958,870793.7777099609,2133670.084472656
Lyso_PS(17:1) | PSp (18:0),18442.22137069702,17037.38104248047,89973.02630615234,56818.244384765625,22376.7815322876,20326.64153289795,82552.44650268555
Lyso_PS(17:1) | PSp (18:0)_2,19047.68130874633,9049.580646514893,88361.52572631836,57330.34414672852,22598.6017036438,22568.82148742676,81121.12564086914
Lyso_PS(17:2),24899.18170166016,17015.300937652588,57510.04473876953,50176.52365112305,27559.801918029785,24151.08168792725,60029.52426147461
Lyso_PS(18:0) | PS (18:0),34645.342334747314,30125.28234863281,84801.46618270874,59853.704528808594,35906.20281982422,31803.30191040039,7822.320690155029
Lyso_PS(18:0) | PS (18:0)_2,35935.66244125366,17383.781337738037,18671.841175079346,41798.14281463623,39160.10260391235,31220.722663879395,3706.840297698975
Lyso_PS(18:1) | PS (18:1),31371.542274475098,19576.62127304077,58371.484466552734,46029.16339111328,33183.24239730835,12476.380844116213,45845.94305038452
Lyso_PS(18:1) | PS (18:1)_2,30154.882194519043,10031.400760650637,53223.34387588501,47070.60305786133,29117.50196456909,21673.08134460449,35545.58208465576
Lyso_PS(18:2) | PS (18:2),20752.38147354126,15020.741409301758,43043.58302307129,41076.00286865234,24224.601444244385,21420.321769714355,53316.04391479492
Lyso_PS(18:2) | PS (18:2)_2,22810.42158126831,9706.16067123413,41809.24337768555,38161.6628112793,25029.78169631958,17081.340896606445,52952.86395263672
Lyso_PS(18:3) | PS (18:3),28044.04195022583,18427.06148147583,103780.26858520508,92691.22534179688,38517.86332321167,68636.20463562012,107744.72836303712
Lyso_PS(18:3) | PS (18:3)_2,24963.621936798096,48645.52332687378,100572.3074645996,92746.68734741212,37322.96241760254,74038.4651260376,111254.12893676758
Lyso_PS(18:4),20641.26153945923,17068.201263427734,57889.10363769531,52804.8837890625,24473.341957092285,25127.682006835938,53523.863830566406
Lyso_PS(18:4)_2,19101.38132095337,9277.200714111328,54973.72351074219,52969.06381225586,24956.72173690796,26114.402114868164,53605.60345458984
Lyso_PS(19:0),32889.46223449707,19128.801414489742,52864.1237449646,43118.84292984009,40405.20288467407,26180.341594696045,48667.54322814941
Lyso_PS(19:1),26409.661903381348,18211.82118606568,22353.461757659912,16191.92098236084,27707.58221054077,21989.001274108887,34003.7622795105
Lyso_PS(20:0) | PS (20:0),39243.92268371582,21530.86117172241,66530.96484375,62854.98486328125,44825.783203125,25618.64199066162,70735.30532836914
Lyso_PS(20:0) | PS (20:0)_2,36076.08280181885,13989.620933532717,67135.76397705078,61273.12377929688,48978.423828125,23356.32201385498,69053.38482666016
Lyso_PS(20:1) | PS (20:1),104617.2681274414,35128.26257324219,138532.6297607422,161057.83251953125,116344.36853027344,42480.743019104,157827.91186523438
Lyso_PS(20:1) | PS (20:1)_2,104730.72741317748,46251.62301635742,133789.8682861328,151243.49084472656,116032.32788085938,56013.084533691406,150870.13012695312
Lyso_PS(20:2) | PS (20:2),35755.76300048828,50276.98205566406,222367.57165527344,341049.82904052734,71950.42471313477,92326.08652114868,272683.3405761719
Lyso_PS(20:2) | PS (20:2)_2,33538.96241760254,50328.404483795166,221433.0333251953,343622.186126709,73165.14535522461,89653.12752914429,270398.1398925781
Lyso_PS(20:3) | PS (20:3),22307.701667785645,22304.54093170166,46543.82398986816,43513.18316650391,24391.56170654297,19996.621520996094,57729.8434753418
Lyso_PS(20:3) | PS (20:3)_2,22191.761489868164,18255.94122314453,49311.224029541016,46476.843185424805,27867.22186279297,18256.04118347168,51251.36389160156
Lyso_PS(20:4) | PS (20:4),23299.42190551757,16099.041164398192,40279.94253540039,36422.5422668457,26970.88163757324,17417.341526031494,39308.10266113281
Lyso_PS(20:4) | PS (20:4)_2,22559.901473999023,9024.160606384276,39108.68250274658,37333.86274719238,25625.622009277344,14454.381145477297,43483.46263122559
Lyso_PS(20:5) | PS (20:5),59290.44467163086,26863.94188690185,73986.92468261719,67697.34533691406,60708.68420410156,36529.64253616333,80760.22619628906
Lyso_PS(20:5) | PS (20:5)_2,61786.80438232422,31295.58213043213,75139.9652709961,61447.444580078125,64102.76452636719,41415.50313568115,83352.88568115234
Lyso_PS(21:0),22683.28150177002,17912.50141143799,77235.64570617676,72234.92599487305,30573.382049560547,15246.500869750977,70783.10527038574
Lyso_PS(22:0 | PS (22:0),47714.5632019043,42469.94303131104,107932.46807861328,90322.40637207033,54786.3837890625,57092.92414855957,86106.54602050781
Lyso_PS(22:0 | PS (22:0)_2,47877.70329284668,43225.842834472656,103659.58673095705,82815.08575439453,51532.18377685547,72637.98488616943,83095.54663085938
Lyso_PS(22:1) | PS (22:1),15132.981048583984,14471.14087677002,41395.40264892578,41688.38258361816,21891.96165466309,12054.560958862305,46168.76307678223
Lyso_PS(22:1) | PS (22:1)_2,15877.061122894287,16157.100929260254,43814.4627532959,41421.062927246094,23901.72171020508,10684.480735778809,43646.18292236328
Lyso_PS(22:2) | PS (22:2),22050.52180099488,24956.40176773072,52078.363830566406,48897.86357116699,25041.261657714844,22540.68133544922,56507.10397338867
Lyso_PS(22:2) | PS (22:2)_2,21836.541564941406,19746.26153182984,52852.50367736816,53005.14367675781,23819.30160522461,24629.561714172363,57576.18423461914
Lyso_PS(22:4) | PS (22:4),33751.30236816406,34120.54249572754,66779.46481323242,64020.20391845703,35207.24249267578,21168.661586761475,71628.34530639648
Lyso_PS(22:4) | PS (22:4)_2,32469.6821975708,26913.48194885254,63101.56451416016,61880.30419921875,34356.562438964844,26954.961631774902,66004.14431762695
Lyso_PS(22:6) | PS (22:6),37838.8429107666,22939.90170669556,82535.50540161133,71675.64501953125,40415.52313232422,34185.58190155029,80277.84616088867
Lyso_PS(22:6) | PS (22:6)_2,37993.6028137207,26037.902084350582,83750.86569213867,71117.80517578125,42870.22305297852,30745.26202392578,78729.26440429688
Lyso_Sphinganine-1-phosphocholine,189485.9306640625,178589.7117919922,186740.51306152344,172950.71350097656,182085.63330078125,186465.23071289065,197707.0186767578
Lyso_Sphingosine-1-phosphocholine,94429.22619628906,100628.38635253906,110373.4071044922,96445.08605957033,94048.86730957033,98104.28723144533,106322.00720214844
O-(11-carboxyundecanoyl)carnitine,1557884.4775390625,1581315.2109375,1745685.2873535156,1531372.3439941406,1698009.3786621094,1608644.2199707031,1543775.736328125
O-(13-carboxytridecanoyl)carnitine,2405194.053710937,2310353.83984375,2437745.028076172,2255850.57421875,2464997.854736328,2497472.518310547,2486930.6091308594
O-(17-carboxyheptadecanoyl)carnitine,1834931.7705078125,1755247.0849609375,1839317.6376953125,1711503.1088867188,1916627.5317382808,1787021.61328125,1813601.7524414065
O-arachidonoylcarnitine,1829980.9995117188,1706509.4047851562,1883849.105224609,1763317.923828125,1879959.790527344,1825144.9770507808,1872888.494140625
O-behenoylcarnitine,1116577.554206848,1044821.2492179872,1171594.4060668943,1056279.627861023,1146124.9450950625,1110679.3093795776,1107254.2224349976
"O-oleoylcarnitine, Elaidic carnitine",2773002.709960937,2983881.759765625,3085034.6826171875,3306372.66015625,2410372.6762695312,2916051.9331054688,2833547.6284179688
"O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine",1536914.521484375,1488814.3935546875,1608873.7958984375,1493512.0478515625,1596917.227294922,1615202.787109375,1638445.1293945312
PC (30:0),129933.3910522461,116630.44833374023,152744.52752685547,125665.26805114746,86169.56600952148,118589.88662719728,134713.04946899414
PC (30:1),129784.9296722412,120120.7906036377,140426.02969360352,117434.88774108888,88982.3060760498,122133.58932495116,131660.08978271484
PC (30:2),126637.08709716795,112903.4891052246,138724.5475769043,122758.89114379884,84586.96543884277,120559.64868164062,138506.79061889648
PC (32:0),2357660.930175781,1826688.9967956543,2127019.393737793,1778752.6961975098,951137.5981445312,1698169.5415649414,2063338.840026856
PC (32:1),2369130.5982055664,1634195.82131958,2098794.509277344,1805993.871673584,942311.9768371582,1875814.616027832,1949665.0983581543
PC (32:2),2247709.628479004,1673276.2655944824,2173880.5497436523,1738790.2268066406,971271.4549255372,1742248.5977783203,1881470.266479492
PC (32:3),2136391.2243652344,1661801.962524414,2049472.7799682613,1741005.318145752,850410.770324707,1683215.1868896484,2026683.198852539
PC (32:4),1055484.4328308103,886550.6607055664,1430855.727874756,1192960.0970153809,371140.1830749512,910218.7320861816,1295923.1087341309
PC (32:5),522274.98651123047,459197.47970581055,638474.694152832,572200.7554931641,206996.07334899905,435106.5923461914,589409.5653533936
PC (34:0),2737615.950592041,1885339.1196289065,2348091.656524658,2019261.8479003904,1000412.2849121094,2031450.9565429688,1963579.592590332
PC (34:1),2770319.4630737305,1961131.831298828,2287324.1769104004,2050798.997528076,1019534.3862304688,1999358.437866211,2062457.567199707
PC (34:2),2994239.275909424,2154005.573913574,2465066.464263916,2000678.8881225584,1204827.7313232422,2262632.3309936523,2166422.607421875
PC (34:3),4842006.84185791,3337816.443664551,4107918.184997559,3624979.509277344,1766868.8690185547,3549027.204711914,3741014.481384277
PC (34:4),5138659.023010254,3561297.6348571777,4238107.655456543,3610984.562927246,1794084.9948730469,3676238.707092285,3780442.97064209
PC (34:5),3162121.820678711,2388621.394226074,3547659.2666625977,2754064.3200683594,1244225.732849121,2658677.5576782227,3125022.6955566406
PC (34:6),2476337.464050293,1740922.983428955,2141706.8081359863,1981255.288360596,976127.1491088868,1849967.0333251955,2063399.7353515625
PC (36:0); PCp(38:6),1073340.145980835,715040.3348693848,934419.0025177002,798936.8723144531,419005.1922302246,814761.6733093262,859278.4150085449
PC (36:0); PCp(38:6)_2,1098453.1669311523,755911.8649902344,934852.2697143556,826708.8567199707,428272.1943359375,849949.5341796875,807032.3782043457
PC (36:1),1172225.6256256104,755884.35546875,967763.8065185548,774481.8807067871,446975.5899658203,878754.3044128418,851870.7861633301
PC (36:2),1438878.4006652832,996532.1138916016,1113131.5540771484,926464.28225708,628427.1416931152,1158840.2968444824,1037596.5607299804
PC (36:3),3115201.568725586,2170907.823944092,2177423.71673584,1862500.7440795896,1350130.224609375,2228490.890686035,1985041.7884521484
PC (36:4),4308732.340698242,2812312.969940185,3681490.1226501465,3196106.7580566406,1647646.500915527,3475730.7900390625,3262829.164581299
PC (36:5),4083944.54486084,2594552.6103515625,3302031.971984864,2845746.782348633,1354212.9745788574,2967515.1405029297,3001574.1837768555
PC (36:6),3276899.757019043,2291955.067779541,2865296.9714660645,2462093.1835632324,1241169.74899292,2574484.727905273,2630318.8386535645
PC (36:7),3571650.7203063965,2287541.713821411,2744952.402496338,2356507.614074707,1193220.4411010742,2375368.1112060547,2445248.6097717285
PC (36:8),2906023.545349121,1991085.4551696773,2527840.515777588,2163156.180175781,1049363.3710021973,2247650.9483032227,2131989.322631836
PC (38:0),1371879.5652770996,936104.9093475342,1667425.286315918,1065123.1325378418,853704.7693481445,1127701.172088623,1278505.552581787
PC (38:1),1423933.5285949707,914287.1392822266,1748555.90234375,1102013.993988037,865905.3190917969,1135844.233215332,1358794.0057678225
PC (38:2),1551464.590057373,977349.3514404296,1735262.8902893066,1145337.6372680664,892448.0676879883,1274266.3102722168,1344833.375427246
PC (38:3),1920608.8248901367,1345786.1668395996,2258879.8778686523,1488482.025390625,1073292.9995422363,1527116.7940063477,1810788.336853028
PC (38:4),1972111.0270385745,1271784.3414916992,2180333.365081787,1525123.1832580566,1048841.5700073242,1609402.3541870115,1711209.6922912598
PC (38:5),1840459.329040528,1253247.875579834,2066995.373535156,1544624.383728027,1021008.025756836,1607378.3634643557,1736420.1665039062
PC (38:6),2410972.672821045,1559145.194580078,2459125.271118164,1924574.073852539,1172053.4354858398,1949924.089691162,2098937.199951172
PC (38:7),2274356.069152832,1522532.044555664,2516891.8024902344,1701978.518005371,1125359.0493774414,1726499.340270996,1935263.1427001955
PC (38:8),2089666.9063110352,1391616.5280456543,2350869.321411133,1609270.7653503418,1050234.8379516602,1693249.315979004,1907706.6303710933
PC (38:9),1857659.9555664065,1244237.6931762695,2129772.312652588,1479556.658996582,961502.595336914,1500634.0296020508,1661718.3981018066
PC (40:0),1582781.1389160156,1412196.8814697266,1444050.828857422,1418034.682861328,1497682.9777832031,1680957.9809570312,1680422.5
PC (40:1),1633122.9645996094,1462032.466796875,1552190.3928222656,1433003.928955078,1468236.936767578,1700013.3388671875,1600588.9738769531
PC (40:10),1557999.5173950195,958850.7764892578,1828344.574249268,1241833.4076843262,894838.0615234375,1256899.961151123,1404387.8872680664
PC (40:2),1444073.6162109375,1317454.6396484375,1454481.46484375,1338964.0627441406,1313510.0510253906,1592308.479736328,1506033.4770507812
PC (40:3),1419251.337890625,1219414.8254394531,1356977.994140625,1326434.49609375,1242736.6970214844,1497742.2189941406,1414927.7182617188
PC (40:4),1081032.374633789,950275.2263183594,1241155.0922851562,1072188.1606445312,779947.1081542969,1166455.2385253906,1195902.6198730469
PC (40:5),710224.4737930298,442718.9234313965,667303.0416412354,505079.2373962402,328537.60540771484,519085.5973815918,542492.0680084229
PC (40:6),898211.360534668,589123.3134613037,776436.8652191162,652600.7422485352,397212.3690643311,668713.444519043,730970.3454284668
PC (40:7),1072353.8200683594,694386.656173706,934193.7870941162,829198.560798645,463544.754486084,779393.6361083984,848565.0177612305
PC (40:8),1373985.9977111816,881063.5364074707,1276959.448059082,997355.1043395996,619597.4418029785,1079630.8275756836,1114800.4551391602
PC (40:9),1567999.7755126953,1004099.2340393066,1812571.5178833008,1201865.443786621,917385.2309875488,1273482.8093566897,1498995.9426879885
PC (42:0),577972.2818603516,545564.4717407227,411119.3937072754,453479.5969238281,597789.5999755859,606752.0329589844,513777.9915161133
PC (42:1),1427023.9190673828,1306623.5635986328,1287468.8671875,1330715.654296875,1429401.6518554688,1580248.3681640625,1477929.55078125
PC (42:10),1542269.5522460938,1418976.9555664062,1421037.5119628906,1424112.4223632812,1480060.446044922,1755151.4475097656,1671272.3852539062
PC (42:11),1515794.0729980469,1397111.9274902344,1495301.727294922,1425890.895263672,1495653.5903320312,1670027.0256347656,1566155.432861328
PC (42:2),1514512.1345214844,1392059.4216308594,1381845.8447265625,1355349.8618164062,1486371.5275878906,1627966.7626953125,1507176.8815917969
PC (42:3),1478058.9360351562,1388212.5795898438,1321376.9831542969,1342641.4814453125,1460753.2160644531,1643067.9645996094,1488914.888671875
PC (42:4),1521322.8979492188,1389392.2724609375,1337972.76953125,1367366.096923828,1464559.2114257812,1641828.1818847656,1485688.9089355469
PC (42:5),1550687.0874023438,1406789.9045410156,1386547.58203125,1400052.1174316406,1482555.3332519531,1665884.807861328,1524227.720703125
PC (42:6),1592153.2060546875,1422065.9753417969,1457543.7177734375,1439143.065673828,1502709.9184570312,1674441.3254394531,1539500.9555664062
PC (42:7),1666495.055419922,1481602.0871582031,1557059.0720214844,1574422.7915039062,1592972.974609375,1824078.154296875,1707819.8840332031
PC (42:8),1700541.6362304688,1472248.3706054688,1534358.4768066406,1431874.0185546875,1552901.2020263672,1771407.0517578125,1670151.3139648438
PC (42:9),1616484.1186523438,1473657.461669922,1529695.2902832031,1485733.4521484375,1503447.3439941406,1766427.296875,1634938.5922851562
PC (44:0),50888.46403121948,44885.08349609375,49500.28255462647,42205.50341033936,45756.88317871094,52877.9236907959,51728.42370605469
PC (44:1),51940.46336364746,45810.604164123535,46116.922592163086,42730.22184371948,46302.143630981445,48379.52338409424,47291.58278656006
PC (44:10),135141.167842865,105637.54731750488,109311.6477355957,98530.7873687744,113219.60813140868,129175.2488937378,118677.16793823242
PC (44:12),309817.8291168213,289504.30432128906,274378.1179962158,279560.6388320923,284804.5244293213,306733.2204284668,313421.4409790039
PC (44:2),58098.00439453125,47602.16346740723,45569.32448959351,45159.9627532959,49585.02342224121,57483.66480255127,54920.104568481445
PC (44:3),69687.74429321289,56379.8431930542,63581.94469833374,50982.4832611084,62690.68382263184,60580.82442855835,64789.46518325806
PC (44:4),83022.92795944214,57676.24362945557,61378.14545440674,60072.88314437866,64379.08465576172,67702.26553344727,70850.68384933472
PC (44:5),104806.92765426636,73847.34627532959,72986.22403335571,75638.98731994629,87080.18724060059,85826.90447998047,80793.52600860596
PC (44:6),134380.98518371582,92132.36652374268,111865.04670715332,97956.58586883543,111380.86932373048,123091.16621017456,105814.0492401123
PC (44:7),127019.57167816162,96906.38692474364,97125.06790924072,98735.98741149902,109048.80894470216,120873.25156402588,110662.84732055664
PC (44:8),132967.0325241089,97238.10586547852,98184.10639953612,107170.52519989014,116168.26929473875,123185.55112457275,116882.8077545166
PC (46:0),15933.041213989258,15609.60125732422,14821.761138916016,14728.061275482178,14307.94107055664,16303.201244354248,16129.32103729248
PC (46:1),16882.641048431396,15708.841049194336,15389.300987243652,15762.68127822876,13795.701007843018,16989.66121673584,15760.381031036375
PC (46:2),19011.861457824707,13007.600757598875,17647.82138824463,16383.341102600098,14535.44090270996,15717.58101272583,15708.081153869629
PC (48:0),12882.960945129396,13230.880889892578,11496.280815124512,10460.320751190186,11488.200824737549,13410.900749206545,12926.501121520996
PC (48:2),13926.621032714844,11558.280849456787,12052.640972137451,12624.680801391602,10285.22076034546,12677.121055603027,12502.680812835692
PC (50:0),15256.5012550354,12130.500896453856,12136.100849151611,11711.040683746338,13438.50075531006,13969.94102859497,14418.94100189209
PC (52:0),15948.181121826172,15740.700912475586,20164.221446990967,18843.42148208618,18868.22135925293,18664.961250305176,22769.84172058105
