Lipid,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Brain_Region__diencephalon,Brain_Region__diencephalon,Brain_Region__diencephalon,Brain_Region__diencephalon,Brain_Region__diencephalon,Brain_Region__diencephalon,Brain_Region__diencephalon,Brain_Region__diencephalon
15:1 Campesteryl ester_simulated | CE(16:1),278878.5386352539,296957.74169921875,290135.00103759766,308956.20349121094,120349.36853027344,108678.26788330078,115424.5080871582,295206.8620605469,325613.7829589844,314207.48400878906,285182.6004638672,267262.1589355469,111228.06823730467,104504.52752685548,126887.06896972656
15:1 Campesteryl ester_simulated | CE(16:1)_2,286760.6004638672,299675.64099121094,298718.8214111328,295662.2412109375,121086.38803100586,111295.56848144533,118771.74865722656,280321.3400878906,332167.2241210937,320285.1428222656,290290.8615722656,274924.6597290039,109240.58813476562,110252.7873840332,121661.82904052734
16:0 Campesteryl ester | CE(17:0),181109.19328308103,482661.26905822754,230368.095413208,438289.16777038574,157669.31104660034,44475.38328170776,77134.06510925293,336776.8264312744,599021.1501617432,364204.10803222656,448713.8888244629,328525.7266998291,151944.7908821106,56299.90330123901,76195.66496658325
16:0 Campesteryl ester | CE(17:0)_2,187184.9127502441,457017.1744232178,232697.2156829834,443183.8342895508,162404.1529197693,42214.92322540283,79354.32606506348,347830.1068267822,609993.4200134277,360084.2857208252,463799.4299316406,326737.5634002685,156451.45086669922,55858.1439781189,75534.00523757935
16:2 Campesteryl ester,167781.59133911133,468778.7299804688,229844.91590881348,418315.46867370605,165206.61423492432,43435.38317108154,74919.82628250122,342955.9080352783,625300.3235015869,333241.1462402344,437722.5107727051,310051.0410308838,152684.90951156616,56317.044551849365,69768.96461868286
16:3 Campesteryl ester,170507.59172058103,456562.5186233521,217033.97341918945,427672.8699798584,160582.991481781,41053.32256317139,75315.50601577759,332875.0812988281,615577.7465820312,344850.82232666016,433388.474029541,310477.7449951172,157380.9925956726,58418.86434555054,71218.46506500244
16:3 Stigmasteryl ester,238233.19439697263,542890.2322692871,303466.01583862305,491452.9175415039,177535.57064819336,70479.92538833618,112134.6275253296,417130.1490478516,727697.5627822876,427144.43183898926,529747.2166748047,365903.52224731445,192696.09077453613,87870.18571090698,105826.8872909546
17:0 Campesteryl ester_simulated | CE(18:0) | 16:0 Sitosteryl ester,269417.33947753906,609582.4785461426,339927.88663482666,589933.1188049316,196164.55129241943,63067.42455291748,103941.22734069824,472836.2958374024,855093.6213684082,510967.8601989746,612365.7075805664,411432.9081420898,204385.9342041016,84979.48628616333,95725.1279220581
17:0 Campesteryl ester_simulated | CE(18:0) | 16:0 Sitosteryl ester_2,275774.5595397949,612892.9210205078,352186.2632141113,578218.7215881348,199214.2363128662,66339.54444122314,105990.80756378174,467518.1094055176,852660.2135925293,521878.4792175293,601565.9233398438,432811.65029907227,199647.8141479492,89481.14645385742,94433.90701293944
17:1 Campesteryl ester_simulated | CE(18:1) | 16:0 Stigmasteryl ester | 16:1 Sitosteryl ester,272276.99826049805,604201.1010437012,344977.4267883301,578229.0800170898,195620.6760406494,66619.54499816895,104960.36757659912,449361.2501220703,842930.1578979492,510275.13067626953,586323.5788574219,421981.7488708496,197720.9366455078,81592.54598236084,102442.5464553833
17:1 Campesteryl ester_simulated | CE(18:1) | 16:0 Stigmasteryl ester | 16:1 Sitosteryl ester_2,282595.2204284668,601233.5832366943,331640.3845214844,584872.5077514648,200966.05520629883,63674.6642036438,106163.54775619508,468996.0119934082,862067.712310791,517304.1920166016,595576.9428405762,424691.0045776367,204358.05494308472,83035.78645706177,98708.50708389282
18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated | 17:0 sitosteryl ester_simulated,238098.99700927731,278488.0610809326,250274.46084594727,265711.5782318115,88312.66635894775,66861.42481994629,72586.16502380371,251351.8338623047,579479.3815917969,415102.8081359863,312724.2644042969,233254.1951904297,103781.74765777588,79692.8857498169,69918.46492004395
18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated | 17:0 sitosteryl ester_simulated_2,234472.71701049805,273423.89978027344,259398.0389404297,270909.55950927734,92443.26620483398,70337.48574829102,68150.66487884521,256823.51718139648,581549.4797363281,415805.8867492676,298301.0598449707,238287.11483764648,106387.14749145508,80918.7451248169,71601.82501220703
18:1 Campesteryl ester,233450.5391235352,263904.27825927734,252689.3544921875,261731.28118896484,82409.8259010315,56984.78404998779,63951.22497558594,251414.53872680664,455285.64990234375,356218.5864562988,290367.66189575195,228142.67880249023,90191.30676269533,66857.70453643799,71419.0849647522
18:3 Campesteryl ester,213127.35446166992,233462.63381958008,232237.91787719727,242607.49642944336,76780.36492156982,65536.76523590088,66174.2045288086,230115.6553955078,349060.78579711914,310821.30099487305,245531.99661254883,210156.63537597656,79602.82596588135,67994.36478424072,71416.26483917236
19:0 Campesteryl ester_simulated | CE(20:0) | 18:0 Sitosteryl ester,419422.98986816406,447091.572631836,447873.4123535156,415310.3869628906,205471.35342407227,140569.51007080078,146106.55047607422,410047.4875488281,738547.298828125,590154.2624511719,468987.13415527344,395767.2680664063,208501.35400390625,149831.62994384766,149879.97039794922
19:0 Campesteryl ester_simulated | CE(20:0) | 18:0 Sitosteryl ester_2,427756.9488525391,443882.2932128906,452466.95568847656,430666.9284667969,199821.99346923828,138753.42993164062,150386.73071289062,410446.4294433594,721592.5570068359,591230.9625244141,457069.5925292969,389397.6693115234,204910.27416992188,155575.15103149414,154023.69094848633
2-Hydroxymyristoylcarnitine | 3-hydroxytetradecanoylcarnitine,1218044.2957763672,1195290.807861328,1194065.662109375,1240025.518798828,1239282.0832519531,1133090.1042480469,1244585.4881591797,1111581.3986816406,1342165.8034667969,1293608.794555664,1232293.98046875,1121579.8967285156,1205931.8406982422,1154733.269897461,1366424.7204589844
20:0 Campesteryl ester,944354.227294922,1051954.5400390625,802405.3129882812,799106.8182373047,404391.10778808594,333963.88360595703,242206.25750732425,792573.4987792969,4539166.369384766,2738800.2377929688,1488004.1958007812,704186.2043457031,631150.6455078125,367630.4270629883,251567.6792602539
20:1 Campesteryl ester,922340.9077148438,1035268.6345214844,770815.9124755859,768436.0723876953,390393.90771484375,324425.34533691406,229859.89709472656,774650.533203125,4235422.83215332,2598765.4096679688,1407519.564819336,688702.3489990234,627173.1862182617,362508.36560058594,246157.97802734372
20:3 Campesteryl ester,831691.5396728516,690644.8483886719,670642.0698242188,630418.0675048828,303552.1791381836,338287.26470947266,291385.0417480469,603714.2861328125,971733.7509765624,796782.5151367188,658286.7297363281,607590.48828125,331052.8444213867,359388.5831298828,299902.3406982422
22:0 Campesteryl ester,526033.4529647827,466218.7146835327,350722.9248352051,384554.50311279297,96338.56734848022,93248.5464744568,71315.94483184814,472356.95237731934,896566.9890136719,939694.8839035034,509218.2499542236,330720.66106414795,95272.74718475342,195138.1933746338,102224.66787719728
22:0 Sitosteryl ester,561003.0242385864,485815.2135925293,355294.92652893066,421927.3472900391,88051.98610305786,102267.82748413086,79683.76554870605,486894.434677124,765647.420135498,885845.569229126,525418.6844100952,369547.3709869385,82712.30665969849,204437.7543678284,114893.82941436768
22:1 Campesteryl ester,479712.1131286621,468357.8101348877,350133.2861633301,395492.0505371094,110473.78787994383,98551.34607315063,70321.82493591309,438211.0646972656,1047875.6008148192,946360.6265792848,542836.6854553223,309484.4637756348,118994.38879013062,192189.37321090695,99733.32707595824
22:1 Stigmasteryl ester | 22:2 Sitosteryl ester,568701.699710846,498246.4359283447,359096.9853553772,423679.4720993042,98792.72665023804,99168.76778030396,84803.34576416016,491484.9942550659,755514.5677680969,944503.3225631714,491153.4977798462,370056.0489387512,81157.6648902893,208831.17345809937,108360.74819946288
22:2 Campesteryl ester,289210.3822784424,560526.3181762695,350653.6643676758,381027.0474014282,191685.9516410828,109390.46683120728,70477.46474456787,366085.0646057129,3415261.498123169,1941418.5549240112,950963.794708252,299380.28102111816,341881.02141952515,226201.9358673096,109228.78860855104
22:2 Stigmasteryl ester | 22:3 Sitosteryl ester,558193.1280670166,469579.57151794434,358588.62020111084,415441.63109588623,94247.98609542848,99335.6669845581,78620.56488800049,490631.93672180176,743872.3928756714,898655.6136779785,502230.538608551,363682.14473342896,85175.60606384277,209764.5725975037,113005.9493637085
22:3 Campesteryl ester,353298.22665405273,665137.4459533691,401060.3264312744,449166.6716766357,213215.67528152463,110209.54704284668,60358.8840713501,427643.9084777832,4006962.4003601074,2313333.353652954,1145395.0406341553,345265.1865081787,463608.8536758423,215819.47241592407,99418.78695678712
22:3 Stigmasteryl ester,511923.66984558105,469026.6374282837,339874.4802551269,404606.4286499024,81643.70561981201,92794.06651306152,73503.32471084595,474261.485168457,723321.4232177734,894071.6810836792,463588.0719909668,322717.52098083496,83160.50679779053,201195.9746055603,99826.9475517273
3-hydroxyarachidonoylcarnitine,2006010.538330078,1804854.5581054688,1691555.87109375,1782707.8674316406,1853001.6511230469,1728707.09375,1758179.811767578,1799780.4743652344,1856874.8933105469,2316012.537353516,1997917.2893066409,1569145.6931152344,1784077.2758789062,2009942.3466796875,1896938.0458984373
3-hydroxyeicosanoylcarnitine | Cervonyl carnitine,1648205.6264648438,1483060.986328125,1352919.6352539062,1463896.3289794922,1493629.2587890625,1350391.4493408203,1432335.53125,1492376.4155273438,1554010.6118164062,1916138.784423828,1676102.2985839844,1272668.7355957031,1419993.0892333984,1622108.3797607422,1561962.6239013672
3-hydroxylinoleoylcarnitine,10761649.6015625,16541263.293945312,19619409.79248047,18211508.875,19984253.64794922,20210526.215820312,15035135.946289062,24845405.71484375,15726473.67578125,17840220.71875,15795650.27294922,20141493.19873047,23904027.19970703,23345401.69580078,7696857.471191406
3-hydroxypalmitoleoylcarnitine | Heptadecanoyl carnitine,5162313.787597656,7377617.71875,8635526.384277344,8139380.811523437,8777433.122558594,8896624.508789062,7055534.583984375,10120286.5234375,7174074.618164063,7910488.398925781,7254243.041503906,8644065.336914062,10290363.202148438,10271814.326171877,4404611.219238281
Arachidyl carnitine | O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine,1759514.2299804688,1729499.3325195312,1661999.3544921875,1749869.0766601562,1749794.1958007812,1715870.7236328125,1744912.2163085938,1702237.0874023438,1828917.915527344,1991359.2607421875,1810925.8793945312,1567913.7353515625,1731165.087890625,1800051.0874023438,1825566.8857421875
CE(12:0),184184.01274108887,206443.9545135498,187842.8329925537,194290.03338623047,54702.86418151856,53449.14390563965,57300.26417160034,169429.59413146973,197889.75340271,192208.85467529297,196251.07221984863,191839.97328186035,46403.643058776855,45492.56311035156,48507.40311431885
CE(12:0)_2,194223.2352294922,198899.3538360596,189600.5742797852,194121.27363967896,50913.96357727051,49618.86361312866,55628.72424697876,170046.1913909912,188985.39365386963,191529.11226654053,181537.25415039065,177208.31147766113,43779.26319885254,49127.3635559082,51444.80327987671
CE(14:0),174361.71353149414,107908.76762390137,103784.52690124512,103502.50770568848,43653.82319641113,49058.56335067749,44501.42287063599,99233.18690490724,107592.74710083008,111948.30752563477,95863.90637207033,90300.9059906006,37085.942611694336,34170.76250457764,40449.28260803223
CE(14:1),167934.35008239746,101516.40711975098,103069.94741821288,103306.90727233888,42685.24269104004,45816.14336395264,43761.02275466919,93945.5266494751,105616.70771789552,114755.32794189452,89815.82641601562,94580.62687683104,36128.2225151062,35097.92267227173,39776.48303985596
CE(15:0),253107.4787597656,259193.8380126953,259023.73706054688,264173.32067871094,110598.20782470705,99013.02743530272,101124.08694458008,257820.4782714844,266142.63873291016,262806.1593017578,247914.3380126953,246816.4970703125,100862.94711303712,93542.90643310548,116445.74822998048
CE(15:1),279110.23876953125,268055.0593261719,267581.09765625,272599.61767578125,112505.0086364746,97831.46688842772,109607.08767700195,268707.9381103516,268890.8377685547,271941.5600585937,254635.35803222656,249741.7177734375,99233.0864868164,98567.5069580078,113070.3878173828
CE(16:2) | zymosteryl palmitoleate,292551.71875,286850.72009277344,293157.0216064453,297439.0616455078,113731.94830322266,101456.2074584961,110140.7073059082,280581.6188964844,318423.20361328125,314303.2229003906,291071.2001953125,265993.7189941406,108236.02865600586,103669.7276916504,119384.78771972656
CE(16:3),270792.63830566406,273550.51916503906,280845.88049316406,275931.4796142578,118023.78784179688,104182.76788330078,110097.02749633788,259728.7784423828,310266.3620605469,293686.3809814453,270211.9997558594,258171.55993652344,109016.26788330078,102616.72705078124,119627.44903564452
CE(17:1) | 16:1 Campesteryl ester,172803.25178527832,471428.01194763184,218880.09548187256,436325.7263793945,165967.61249160767,46261.54291534424,77847.66497421265,345805.9059753418,611723.5156555176,350131.3035583496,446275.3489227295,328314.5411529541,159345.89164733887,60428.163719177246,73089.96499633789
CE(17:1) | 16:1 Campesteryl ester_2,165014.77180480957,460792.76985168457,206078.07276916504,415234.27352905273,160566.41161346436,45343.34331130981,75341.58574676514,334849.38470458984,597038.2792663574,335558.16551208496,423873.5100250244,315089.0400085449,151612.76976776123,55816.66398239136,72327.7248840332
CE(18:2) | zymosteryl oleate | 16:1 Stigmasteryl ester | 16:2 Sitosteryl ester,289138.4790649414,604406.4444274902,375458.106048584,585151.3779449463,202646.0722885132,67644.66412353516,102739.50680541992,503344.5899963379,840616.2183532715,529500.3120422363,600648.3408966064,456015.0985107422,201127.7946472168,78328.40519714355,103999.52606201172
CE(18:3) | 16:2 Stigmasteryl ester | 16:3 Sitosteryl ester,315847.1044616699,619175.6261291504,365628.6613922119,595870.3013763428,202318.07664489743,71515.98536682129,103495.5284690857,507221.6766357422,850813.5699462891,552733.6976013184,620345.5288085938,458659.0358581543,201715.55276489255,91518.96710586548,101501.9271697998
CE(20:1) | 18:0 Stigmasteryl ester | 18:1 Sitosteryl ester,420065.7504882813,445063.4099121094,438793.0089111328,422728.80859375,196959.51458740237,143887.10974121094,149125.32971191406,414108.267944336,741543.9924316406,592514.7603759766,463263.3770751953,387061.1658935547,213167.83587646484,152485.4100341797,159229.2709350586
CE(20:2) | 18:1 Stigmasteryl ester | 18:2 Sitosteryl ester,420005.0883789063,442481.4721679688,434864.9537353516,413933.3474121094,198226.1947631836,142786.26989746094,152263.0704345703,419701.06994628906,715989.0925292969,571387.8460693359,452535.7111816406,395618.7508544922,214638.8768310547,156924.85137939453,162763.43139648438
CE(20:3) | 18:2 Stigmasteryl ester | 18:3 Sitosteryl ester,340624.28259277344,373994.6680908203,377226.9892578125,362469.4854736328,181923.79260253903,143761.37060546875,146808.49047851562,346226.2841796875,655990.4508056641,518913.4805908203,402155.2277832031,322671.5235595703,194882.89279174805,152072.91143798828,153372.83123779297
CE(20:4) | 18:3 Stigmasteryl ester,348037.0646057129,426969.5148162842,402345.11001586914,402231.2696151733,157411.192817688,135987.24981689453,144343.5308227539,355207.22428894043,739420.5382232666,566264.937713623,449138.75494384766,350653.64825439453,170348.91171264648,147960.15045166016,149925.87145996094
CE(20:5),719790.7917480469,774021.0893554688,796451.9927368164,810821.262512207,261745.4785232544,228661.520111084,246523.35818481445,768802.1929626465,1235624.6225280762,995561.273284912,848273.2289733887,717188.4313659668,289770.3999023437,256014.0956192017,274553.0383682251
CE(22:0) | 20:0 Sitosteryl ester,636603.4621429443,760646.4669799805,476102.9566268921,524705.1521759033,238534.7177581787,214955.03761291504,114199.28704071043,491573.2315979004,4193570.23059082,2436225.9285354614,1227538.8339004517,408879.0844268799,487762.71195983887,245699.79766082764,132412.4898223877
CE(22:1) | 20:0 Stigmasteryl ester | 20:1 Sitosteryl ester,631755.8412628174,759511.5723876953,460364.1280517578,508749.6130981445,238796.4598121643,205046.51355743408,112743.7882270813,483708.2539367676,4263195.970428467,2450399.517211914,1237139.4935913086,420318.2272872925,480094.9753990173,260850.21912384036,128342.92868804932
CE(22:4) | 20:3 Stigmasteryl ester,1016566.2236328124,1093322.7568359375,861990.7429199219,848434.1008300781,423409.3279418945,346047.02673339844,253103.3198852539,825638.3364257812,4550953.7470703125,2741932.9650878906,1526239.79296875,752051.2749023438,680709.7716064453,397991.8699951172,282835.4387817383
CE(22:5),964189.7916259766,1072980.8911132812,829280.7783203125,834771.65625,412156.6676635742,328844.22247314453,240096.01763916016,781182.6794433594,4551026.404541016,2730467.060913086,1502246.861694336,727029.6968994141,666926.9046630859,385240.2494506836,266388.83935546875
CE(22:6),964544.3095703124,1064576.5604248047,808378.1989746094,816056.55078125,398871.7492675781,318702.20233154297,238869.7992553711,792286.6184082031,4458070.431640625,2715212.2209472656,1491101.0864257812,704965.5673828125,645550.1623535156,377736.9682617188,258944.73635864255
CE(24:1) | 22:0 Stigmasteryl ester | 22:1 Sitosteryl ester,578703.7203903198,503115.4162559509,356643.3669662476,439196.2760467529,87385.58686447144,101842.16680145264,80810.02714920044,502742.6997833252,741502.5326538086,901822.6605300904,507127.1789741516,380739.0824661255,85131.08557891846,202069.635471344,113668.9673461914
Cer(d14:1(4E)/20:0(2OH)),83618.00576019287,65684.10403442383,56412.82353210449,56527.96408843994,50969.50338745117,54219.64370346069,46970.323123931885,44911.30355453491,54409.42351913452,54645.64340209961,50728.86381530762,52637.56365966797,43835.36344909668,37801.3228302002,50211.7035446167
Cer(d14:1(4E)/20:1(11Z)(2OH)),100976.027053833,75295.0057220459,83777.5252609253,82429.40523529053,53569.9035949707,57841.424072265625,51607.24343109131,66385.66468048096,69546.04397583008,60719.284591674805,67139.00477600098,67455.70527648926,45686.62314987183,42428.04319763184,58207.66443634033
Cer(d14:1(4E)/22:0(2OH)),1045563.1411705016,911247.462272644,727587.9548797607,763571.8783416748,769543.5727767944,733670.8095359802,861684.1185417175,1112994.5978775024,831213.9127311707,875382.1197280884,1118472.160873413,801876.4956321716,753600.4520835876,861652.8336791992,959443.559223175
Cer(d14:1(4E)/22:1(13Z)(2OH)),1003306.6694641112,888279.2268104553,705025.3226394653,741190.4307861328,757077.0777130127,704754.9338684082,843862.0259208679,1077618.9515800476,814783.9790306091,830730.0292243958,1072988.9268074036,790294.2203903198,735649.0568618774,810348.5375366211,916265.2725219728
Cer(d14:1(4E)/24:0(2OH)),138482.29209136963,123345.10816192628,111052.08710479736,114983.2476234436,113664.52755737305,110666.2273902893,123675.88765716551,126405.50827407835,120509.0072555542,124601.53079223631,142303.6293106079,108610.56880187988,99755.16802215576,109442.62785720824,134923.91022872925
Cer(d14:1(4E)/26:0(2OH)),378687.4689025879,553499.0198974609,593033.5422821045,567803.4783248901,560405.2588539124,581617.4612426758,491750.2019920349,594248.168182373,548219.8557701111,545936.8158340454,498422.5392913818,595145.3946228027,686541.7660484314,624075.7287979126,324045.42502593994
"Cer(d14:2(4E,6E)/16:0)",36569.24269104004,43207.30297088623,39822.06280136109,40826.863262176514,43469.96287918091,37170.0026550293,45688.54325866699,36659.84269714356,45839.003063201904,46005.98302459717,44292.14347839356,41108.84299468994,36190.38251495361,38377.00252914429,48744.80326461792
"Cer(d14:2(4E,6E)/18:0(2OH))",41047.64293670654,50858.54306793213,50843.64400482178,47052.38296890259,53326.20362854004,44659.78339385986,48682.6035194397,42400.46326446533,48923.64336776733,52557.204010009766,45784.5831451416,47095.68347167969,42600.90302276611,37220.92259979248,57186.80380630493
"Cer(d14:2(4E,6E)/18:1(9Z)(2OH))",38364.822425842285,50410.30330657959,43815.66324615479,48749.98352813721,48934.04312133789,45444.203437805176,50730.00401306152,42056.00294494629,51354.723876953125,52893.80425262451,46353.64349365234,40724.52266693115,40620.72269821167,38395.36275482178,54889.60378265381
"Cer(d14:2(4E,6E)/18:1(9Z))",36269.4024810791,47856.023151397705,45633.46314239502,43792.20291900635,50257.743576049805,35887.10263442993,46969.46282958984,37185.162647247314,46483.00308990479,49152.82313537598,44162.04287338257,43020.64310836792,38142.242767333984,36365.902759552,52689.10400390625
"Cer(d14:2(4E,6E)/20:1(11Z)(2OH))",68681.84567260742,74884.54563903809,59851.26445770264,62161.22441101074,61635.56430435181,59431.08422088623,60019.683948516846,51594.80355834961,63111.80439376831,64800.7843170166,57053.64440155029,57414.78372955322,48030.46302413941,46778.56330490112,65516.9846496582
