Lipid,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype__WT___Brain_Region__hippo,Genotype__WT___Brain_Region__hippo,Genotype__WT___Brain_Region__hippo
(11Z)-eicoseneoylcarnitine,1410061.365234375,1453789.9145507812,1548320.9340820312,1456478.2348632812,1413134.9760742188,1427365.9682617188
"(11Z,14Z)-eicosadienoylcarnitine",1408351.625,1448199.4814453125,1567602.6728515625,1450859.4833984375,1382104.2397460938,1351883.9409179688
"(13Z,16Z)-docosadienoylcarnitine",1334500.4373779297,1392547.188293457,2235124.575866699,1468483.6235961914,1328693.3626708984,1344775.7668457031
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",2215148.1447753906,2234323.5102539062,2256080.6622314453,2338786.4896240234,2207064.514526367,2303434.271972656
"(5Z,8Z)-tetradecadienoylcarnitine",97017264.0888672,62660995.83984375,69671289.73339844,26782130.58300781,71101793.19970703,66282272.07910156
"(7Z,10Z)-hexadecadienoylcarnitine",1807297.3984375,1819888.0288085935,2113105.662841797,1825433.856201172,1740083.2781982422,1721781.189453125
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",1186263.4771728516,1201712.4168701172,1592147.222290039,1245549.2482910156,1155280.1492919922,1153606.4608154297
(9Z)-3-hydroxyoctadecenoylcarnitine,14309309.020996094,14130034.278320312,13802748.841796877,16846448.53515625,17096836.13671875,17868681.639160156
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",5710127.011474609,5824302.932617188,5732824.095458984,6432831.161865234,6656555.244384766,6981670.763916016
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",13681185.669433594,13360938.161621094,13065989.963378906,16027996.416015623,16234431.17919922,16859631.28076172
1-O-behenoyl-Cer(d18:1/16:0),36516.56300354004,35957.26264572144,34225.282024383545,31600.96230316162,38293.78224563599,37147.423122406006
1-O-carboceroyl-Cer(d18:1/16:0),92730.02653503418,82360.3857345581,87016.90506744385,61262.46444320679,92696.36716842651,134329.46858596802
1-O-carboceroyl-Cer(d18:1/18:0),23910.721534729004,21830.84148788452,21737.88181304932,21668.40147781372,23203.34190750122,21004.281448364258
1-O-cerotoyl-Cer(d18:1/16:0),97478.24760437012,85335.76477050781,105676.1282157898,82006.22617340088,104129.10850906372,99503.34856796265
1-O-cerotoyl-Cer(d18:1/18:0),305559.53926086426,284533.3180465698,315078.30672073364,280969.05976486206,300359.0815124512,259670.5165176392
1-O-eicosanoyl-Cer(d18:1/16:0),50221.2636795044,97699.06726837158,35528.922370910645,29833.582180023197,35027.162464141846,34894.54271697998
1-O-lignoceroyl-Cer(d18:1/16:0),77242.60544967651,81890.94709014893,73431.82516098022,54778.02419662476,81422.12617874146,112472.52647018433
1-O-myristoyl-Cer(d18:1/16:0),55769.94352340698,59503.92415237427,51984.18327713013,46942.16307449341,50195.963748931885,49277.52336502075
1-O-palmitoyl-Cer(d18:1/16:0),42922.682651519775,68184.54487991333,40714.48252868652,41863.74258804321,41158.282787323,40904.52328491211
1-O-stearoyl-Cer(d18:1/16:0),61475.42427444458,137949.04893875122,43658.14338684082,34317.60231781006,35969.52249908447,40138.9030418396
1-O-tricosanoyl-Cer(d18:1/16:0),43802.02247619629,44314.10312652588,45363.443408966064,36280.562450408936,43573.80286026001,47277.84367752075
1-O-tricosanoyl-Cer(d18:1/18:0),11110.9609375,11287.780799865724,10400.820728302002,10864.320823669434,11811.08076095581,10880.9607963562
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",4113421.935546875,4024964.0034179688,4172629.2885742183,4530618.3974609375,4468202.2490234375,4224210.512207031
12:0 Cholesteryl ester,194297.81564331052,206243.57360839844,53790.523944854736,186232.6936645508,183007.0717926025,49461.10324478149
12:0 Cholesteryl ester_2,190207.0535888672,198169.4523773193,51690.70365142822,189840.2132263184,177894.63215637207,54207.28388977051
14:0 Cholesteryl ester,151012.9727783203,95271.94723510742,54412.36402511597,104420.42792510986,109004.62704467772,49358.223373413086
14:1 Cholesteryl ester,146649.31089782715,99486.52751159668,53858.74382400513,103682.6265411377,112287.36878967284,47979.98323059082
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,273822.9802246094,280063.2983398437,99011.74743652344,274064.7186279297,268143.7779541016,100182.9266052246
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,266944.2990722656,270783.4014892578,96553.88653564452,278048.1408691406,271687.5393066406,96428.72689819336
15:0 Cholesteryl ester,241246.33728027344,253455.57739257807,105602.46716308594,258305.59765625,248950.81713867188,102162.18740844728
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,278759.4783935547,273873.7996826172,111482.82788085938,286384.1994628906,276976.9796142578,111654.76879882812
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,272410.89880371094,280813.90087890625,110884.42791748048,293948.66052246094,278041.7590332031,112872.2681274414
15:1 Cholesteryl ester,260969.47998046875,254370.2586669922,106415.78732299805,261043.47790527344,247970.59814453125,107635.2876586914
16:0 Campesteryl ester | 17:0 Cholesteryl ester,163176.71159362793,187992.35208892825,46379.60326766968,249489.0998535156,160506.25076293945,47949.46321105957
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,160255.63095092773,202342.0154266357,50241.78372955322,240007.47801208496,151672.46923828125,50140.58383560181
16:2 Campesteryl ester,157160.73239135742,191045.8516845703,48198.26329803467,239180.9777069092,147526.39030456543,45947.08301925659
"16:2 Cholesteryl ester, zymosteryl palmitoleate",269839.3192138672,260879.01892089844,113157.4481201172,276360.1994628906,269447.4189453125,107576.0082397461
16:3 Campesteryl ester,154318.75048446655,185146.27444458008,47734.20327758789,234669.65798187256,144066.910446167,46587.88315200806
16:3 Cholesteryl ester,254891.2978515625,267854.7390136719,103272.96737670898,274137.7209472656,262840.2385253906,104622.92736816406
16:3 Stigmasteryl ester,209177.1556091309,238084.13414001465,74735.34531402588,301400.6235656738,207753.87649536133,79884.74600219727
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",263683.299118042,306007.86514282227,72935.00525665283,360051.7068176269,252912.35702514648,69250.00426864624
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",264936.3984527588,297442.67919921875,70505.20509338379,372578.784576416,249793.495513916,65956.20474243164
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",262366.89752197266,291198.4189758301,70637.34497070312,372894.063873291,253252.07821655276,72498.68489837646
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",270283.1389465332,304620.8027038574,71781.18487167358,350154.3428039551,255931.9373779297,67602.62491607666
17:1 Cholesteryl ester; 16:1 Campesteryl ester,159780.23112487793,195049.0751647949,50700.763595581055,243419.6374053955,148317.23024749756,45423.58345794678
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,141740.25134277344,189485.9930114746,45853.58361053467,236172.8360900879,147790.75193023682,48443.423652648926
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",219805.5156860352,230061.63494873047,61646.12407684326,222433.1926574707,217670.1551208496,58456.8840713501
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",218252.77764892575,222260.49298095703,57490.724044799805,230665.59564208984,212685.6136932373,61869.20440673828
18:1 Campesteryl ester,224761.6177978516,221406.51528930664,57654.62384033203,240928.99647521973,227796.5161743164,60167.68382263184
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",280304.0225830078,318279.0209350586,71046.00440979004,381474.1481933594,274696.0990600586,71782.84466552734
18:3 Campesteryl ester,204601.67504882807,201746.27587890625,59464.94415283203,206521.37365722656,195902.6728515625,58889.22416687012
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",303762.46228027344,323355.76055908203,75469.04551696777,400381.6452026367,283924.2213745117,76460.92622375488
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",394841.6081542969,361790.4643554688,141033.05004882812,391348.7673339844,354341.3049316406,139586.21026611328
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",389983.6870117188,350235.70349121094,141314.990234375,382867.525756836,352302.1843261719,137866.00958251953
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",1239495.3037109375,1246068.608642578,1313484.6853027344,1289018.3786621094,1210873.5478515625,1173183.5369873047
20:0 Campesteryl ester,585695.0806884766,473914.7347412109,214888.3358154297,469695.3544921875,501893.65234375,197502.67498779297
20:1 Campesteryl ester,591302.220703125,470726.4147949219,206285.61291503903,461297.6511230469,503761.7349853516,199627.7740478516
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",399111.8679199219,371012.6671142578,143911.17016601562,396489.7082519531,359091.7648925781,142767.74981689453
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",397876.2894287109,374258.9852294922,143833.49053955078,380589.8077392578,355941.384765625,146173.73016357422
20:3 Campesteryl ester,718330.4713134766,585737.4237060547,297018.6400756836,581533.5655517578,624555.2194824219,273740.8601074219
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",331318.5635986328,305953.5029296875,136850.70935058594,316081.24267578125,295324.5201416016,140183.13012695312
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",353973.44651794434,347179.2874908447,132554.4094543457,348575.3070983887,324714.06285095215,131112.8683166504
20:5 Cholesteryl ester,744792.4973754883,726792.6704101562,239452.2180480957,771799.6127319336,714395.755935669,235360.5344581604
22:0 Campesteryl ester,328048.70728302,321248.46086883545,65602.16407394409,335009.5023803711,319311.84059143066,69838.88446426392
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",273860.9999847412,198562.29412078857,90103.56624221802,172745.71115112305,235747.2753677368,80594.5062789917
22:0 Sitosteryl ester,361571.613319397,384457.0058746338,74688.44552993774,375415.221206665,342953.5009460449,77020.76491165161
22:1 Campesteryl ester,276676.6441421509,289324.78229522705,61668.54472351074,300019.1825180054,286221.46573257446,66762.08471679688
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",276648.3995361328,193528.11378479004,89969.3465385437,169745.83312225342,234477.81832885745,84083.74672317505
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",368723.5038909912,365224.468170166,74251.82576751709,371401.4266014099,339966.16425323486,77005.56617355347
22:2 Campesteryl ester,107182.94714355467,130781.98825073242,53468.66411590576,109912.80857086182,103576.40770339966,55119.703243255615
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",350452.42657470703,345563.46530914307,71689.82487487793,350456.68489456177,326611.1287879944,73470.72465133667
22:3 Campesteryl ester,119099.86869812012,140469.92993164062,32036.042041778564,117693.50897216795,117399.28813171388,27730.041870117188
22:3 Stigmasteryl ester,327154.7291030884,340397.6675796509,71032.12460327148,336055.4048423767,324529.9819259644,70560.264919281
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",635157.966796875,495490.35778808594,231045.13665771484,505492.7348632813,542394.1608886719,215199.37567138672
22:5 Cholesteryl ester,602304.2216796875,474177.8748779297,214552.43481445312,490647.8161621094,528387.7165527344,207113.65533447263
22:6 Cholesteryl ester,590267.5639648438,471349.9522705078,207493.234375,477660.0895996094,511284.4758300781,203145.3345336914
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",370315.3039894104,374672.5684509277,71333.26514053345,380375.3474197388,343044.65074920654,77957.44495010376
3-hydroxyarachidonoylcarnitine,1743413.8393554688,1767162.2346191406,2071022.1474609373,1790563.1328125,1705696.5053710938,1698589.076171875
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",1407759.0158691406,1430833.4693603516,1726085.123046875,1469556.4709472656,1387417.1748046875,1385420.610961914
"3-hydroxylinoleoylcarnitine,",13833465.81298828,13605475.501464844,13313878.918457031,16175701.743652344,16419706.2265625,17175345.586914062
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",6347135.7314453125,6494530.602050781,6203783.0927734375,7209705.599609375,7470181.864257812,7760483.259277344
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",1684092.1088867188,1725702.0595703125,1831606.1508789065,1753678.2744140625,1650440.2626953125,1726526.607421875
C12:0,51106.78370666504,91973.32678222656,579113.6983642578,85580.02577972412,74923.58480072021,653824.168548584
C12:1,36461.78248596192,56407.56418609619,267596.4381713867,49931.84354400635,54982.60381317139,259565.99877929688
C14:0,742224.6928710938,1357406.8583984375,4816041.5947265625,1015557.393798828,1011738.4111328124,6046213.6572265625
C14:1,459139.11328125,698750.2480773926,1384640.4365234375,599084.623046875,714810.3697509766,1283313.6311035156
C15:0,83619.20587158203,114550.88809204102,980730.3876953124,103824.6078491211,122971.3888092041,978235.9412841796
C15:1,243891.4972076416,172873.8332824707,2037424.6431884768,213923.8150939941,292221.74154663086,1946355.065673828
C16:0,492442.299697876,722177.9931945801,24710067.015625,575914.718963623,671411.6846313477,23273896.87438965
C16:1,69926.42470932007,101032.60723114014,1601274.842224121,90039.48612976074,99205.5075149536,1551176.450012207
C17:0,82212.16567230225,125040.14878082275,2558531.094116211,110541.86812591551,120016.02813720705,2790368.6721191406
C17:1,41137.10298156738,79882.28601074219,500772.4754638672,60772.00437927246,65939.6644897461,524639.7941894531
C18:0,315278.34188079834,433378.3914489746,25256819.70678711,362502.4236526489,440748.81315612793,30694361.858276367
C18:1,55659.40390014648,90638.84634399414,810537.4561767578,80559.24592590332,88099.3063659668,933400.5457763672
C18:2,51517.12364196777,82772.3656463623,598530.7807617188,73442.66500854492,75589.74545288086,698083.7495727539
C18:3,40196.66284179688,68739.76467895508,482672.510131836,53728.96374511719,70039.80529785156,542877.7591552734
C18:4,29795.62212371826,42841.50294494629,253638.45809936523,40413.74284362793,45068.98324584961,221650.59716796875
C19:0,79735.1650314331,100824.54722595216,2517998.448852539,97796.74641418456,124545.28927612305,2724316.3669433594
C20:0,7625.920551300049,7608.080535888672,3569106.7729492188,7786.240581512451,7616.220481872559,4097641.898925781
C20:1,7973.540523529053,7957.200546264648,668306.7871704102,8162.660572052002,8022.740535736084,722962.9092407227
C20:3,135101.6886024475,104132.10711669922,2262179.7631835938,122215.80850601196,142620.22994995117,2218698.015625
C20:4,32735.622283935547,49819.90333557129,443240.44958496094,44692.9231262207,49378.24327850342,572772.0607910156
C20:5,74016.66553497314,103986.2075958252,2072325.462463379,104304.14715576172,110983.42793273926,1982782.520263672
C22:0,19029.86138534546,26404.801998138428,1573388.7415161133,24892.821910858154,28235.482181549072,1712995.5904541016
C22:1,12262.760818481443,14928.021049499512,396425.8852233887,15487.821071624756,15168.301097869871,444693.6153564453
C22:4,11518.540817260742,13894.041004180908,287421.85873413086,12582.440914154053,14356.981021881104,306986.1030273437
C22:5,18497.501358032227,25893.501750946045,1595236.7329711914,21748.68156051636,25058.141830444336,1816660.3414916992
C22:6,13802.64096069336,20045.46136856079,714058.3937988281,15993.341148376465,19020.54127502441,756597.8385009766
C24:0,10721.740745544434,11840.92082977295,7640.640575408936,12388.660903930664,11858.200817108154,7638.380542755127
C24:1,9778.740676879885,11193.28080368042,7639.500553131103,11738.680828094482,11354.360801696776,7633.980541229248
C24:5,12792.980945587158,13827.74101638794,556735.4445800781,15376.321109771729,14395.621006011965,530051.2543334961
C24:6,10561.200748443604,13263.780952453611,272243.0631752014,13269.780883789062,13179.320930480955,258853.2403793335
C26:0,9872.760688781738,11329.320789337158,263596.6177215576,10576.300743103027,11245.940822601318,261543.07759857175
C26:1,10679.94073867798,13171.200923919678,227776.5569458008,12926.800945281982,13353.080894470217,233291.056640625
C28:0,10157.58067703247,11665.320838928224,610670.6045532227,11402.26082611084,11650.580795288086,684809.6028213501
C30:0,8350.92057800293,8562.020626068115,384803.0291366577,9297.000675201416,9123.000602722168,480525.6749305725
C32:0,8079.460540771484,8412.200569152832,226813.65603637692,8088.4605712890625,8280.70057296753,274007.4186592102
C34:0,10201.14068222046,11093.140781402588,305333.1212348938,10922.560760498049,11188.040767669678,310052.53927993774
Cer(d14:1(4E)/20:0(2OH)),57777.78420257568,60768.66422653198,50150.32370376587,49878.70409011841,56111.02438354492,45659.42296600342
Cer(d14:1(4E)/20:1(11Z)(2OH)),76996.04591369629,74460.72595977783,52325.02319717407,52688.6039352417,70659.82479858398,49852.18405914307
Cer(d14:1(4E)/22:0(2OH)),904654.271533966,862039.7985877991,899897.511341095,832938.3742713928,834609.2866287231,877342.0538597107
Cer(d14:1(4E)/22:1(13Z)(2OH)),865813.1958465576,821842.8543510437,856637.6698722839,819234.1487236023,805563.0180473328,830461.3099212646
Cer(d14:1(4E)/24:0(2OH)),130907.25006866457,122294.96878051758,125356.0083732605,122786.96894454956,117472.3676261902,113448.3260307312
Cer(d14:1(4E)/26:0(2OH)),505025.8565216065,492932.9487953186,440516.6707344055,510906.1202926636,527990.4151763916,492965.01626586914
"Cer(d14:2(4E,6E)/16:0)",40769.52279281616,41007.66272735596,37300.06266784668,42436.223178863525,38605.86249923706,39105.20266342163
"Cer(d14:2(4E,6E)/18:0(2OH))",45247.52335357666,50021.8431930542,45329.50323867798,47569.923416137695,45236.16244888306,43166.66304779053
"Cer(d14:2(4E,6E)/18:1(9Z)(2OH))",45080.623222351074,49815.48331069946,44422.783126831055,49429.76351547241,44780.18308258057,45603.483127594
"Cer(d14:2(4E,6E)/18:1(9Z))",39618.36284637451,46642.46323013306,39698.04281997681,43888.96270751953,40150.343017578125,41182.24285125733
"Cer(d14:2(4E,6E)/20:1(11Z)(2OH))",59789.84421157837,71142.02465057373,50820.34362030029,58682.24353790283,64424.86461257935,55648.38431549072
"Cer(d14:2(4E,6E)/20:1(11Z))",40963.18310165405,46591.06354904175,41008.20303344727,43630.88298416138,43056.243072509766,40104.60297393799
"Cer(d14:2(4E,6E)/22:1(13Z)(2OH))",721940.2105064392,670892.6943588257,746761.8124961853,663236.8067817688,657568.1054000854,680657.4501495361
"Cer(d14:2(4E,6E)/24:0(2OH))",129998.12881469728,126046.5083694458,130150.34770584106,122970.74995422363,124202.62926101685,123143.59008789062
"Cer(d16:2(4E,6E)/22:1(13Z)(2OH))",593627.7808227539,581360.4057617188,557008.7744750977,624714.544128418,543594.5751953125,642901.4583740234
"Cer(d16:2(4E,6E)/24:0(2OH))",141637.86953735352,141703.29083251953,141010.5298461914,145917.6908569336,146215.5704345703,144512.1300048828
Cer(d18:0/14:0),66863.50491333008,69065.14440917969,71425.44549560547,65517.92485046387,72924.90547180176,67614.86534118652
Cer(d18:0/16:0(2OH)),157542.37243652344,175195.9535522461,151409.3317565918,130839.52978515624,136609.7900390625,150314.83074951172
Cer(d18:0/16:0),109625.56774902344,120050.1491394043,113740.40823364258,101159.6470336914,107784.70724487305,103744.06771850586
Cer(d18:0/18:0(2OH)),117435.24809265137,128627.12878417967,132048.20989990234,105480.52641296388,120564.78799438477,132811.99057006836
Cer(d18:0/18:0),136700.02981567383,154117.93182373047,168054.5304260254,123855.38864135742,140524.78997802734,147919.83055114746
Cer(d18:0/20:0(2OH)),183096.27249145508,195391.7543334961,211938.6728515625,161809.09149169922,184384.3119506836,204300.77325439453
Cer(d18:0/20:0),117931.08877563477,121169.94833374023,125222.98852539062,104600.3268737793,113782.56759643556,121897.5087890625
