Lipid,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype__WT___Brain_Region__hippo,Genotype__WT___Brain_Region__hippo,Genotype__WT___Brain_Region__hippo
Cer(d18:0/22:0(2OH)),2286434.396728516,2247384.0450439453,2154655.430541992,2307491.6615600586,2190130.057800293,2324789.8432617188
Cer(d18:0/22:0),172038.23184204102,186121.9129333496,194704.15325927731,145387.1103515625,175119.2123413086,197795.8358154297
Cer(d18:0/24:0),2396469.434631348,2426856.960632324,2341771.2512817383,2437844.811950684,2397774.8552856445,2454162.845397949
Cer(d18:0/26:0),872896.2835693359,878020.8327026367,788809.9602050781,878236.0248413086,980385.3680419922,925163.5900268556
Cer(d18:0/h24:0),256679.75750732425,279762.6620788574,283369.41983032227,249326.7985229492,271977.61849975586,265192.8599243164
Cer(d18:0/h26:0),868249.850189209,886196.2477416992,808704.8353271484,893579.0191040039,960953.4301757812,924373.4024658204
Cer(d18:1/12:0),61028.26476287842,62309.10482788086,47802.182861328125,50615.02377319336,60547.88450622559,46443.42339324951
Cer(d18:1/16:0),80432.16535949707,93757.44664764404,72981.7046661377,73603.02542877197,83371.86600494385,87593.26596069336
Cer(d18:1/18:0),59689.544372558594,127770.76694488524,56037.683586120605,72997.88515090942,96879.0273361206,80138.64586639404
Cer(d18:1/18:1(9Z)),115773.1886062622,218115.5729675293,102569.3660812378,121397.20805358888,166569.0297241211,154464.55025863647
Cer(d18:1/20:0),52026.52410507202,65261.56423187256,50047.483432769775,46031.003189086914,50555.063385009766,49159.8235282898
Cer(d18:1/22:0),870953.7059364319,265908.45905303955,623142.6586608887,127386.4494857788,426785.32693481445,532489.6216278076
Cer(d18:1/24:0),546581.3861999512,639760.0538253784,549333.956161499,504026.27755737305,458609.01628112793,507183.0837211609
Cer(d18:1/24:1(15Z)),543773.7197113037,696657.3953399658,532321.742401123,476584.7764816284,442146.273601532,494165.7040634155
Cer(d18:1/26:0),469870.4802474976,454248.0467453003,436605.1278076172,473404.6973800659,488584.6736297608,472262.291633606
Cer(d18:1/26:1(17Z)),478652.75298309326,473673.8986740112,448157.33266448975,458944.1316452026,490545.5450744629,464220.377204895
Cer(d18:1/2:0),57226.82417297363,57312.42374420166,65079.1443939209,54912.243408203125,54653.343826293945,50684.86318969727
Cer(d18:2/14:0),2201829.37607956,159849.03102111816,1778216.844497681,224569.1407394409,734661.9940185547,1252961.2428741455
Cer(d18:2/16:0),93261.62633132936,60513.88410186768,78506.70527648926,58074.303119659424,67649.88531112671,72672.30489349365
Cer(d18:2/18:1),223599.65673828125,214150.07403564453,238759.0759277344,205469.9732666016,240688.2953491211,265013.5396728516
Cer(d18:2/20:0),256444.37756347656,228657.23559570312,255671.3771972656,241747.6973876953,241005.63720703125,253180.91723632807
Cer(d18:2/20:1),261593.05786132807,244983.9771728516,274589.8798828125,245440.4774169922,254821.9381103516,274121.9185791016
Cer(d18:2/22:0),18541628.177490234,3105733.204589844,12921832.19946289,1942072.0131835935,8367852.797119141,10945631.022216797
Cer(d20:0/26:0(2OH)),325789.00036621094,335515.92514038086,312534.9390106201,341031.32510375977,343698.8028869629,329765.48638916016
Cer(d20:0/26:0),333146.2847595215,329067.0236816406,321036.70486450195,338082.04846191406,348063.08459472656,341289.64169311523
Cer(t18:0/16:0(2OH)),606446.1223602295,571067.5781402588,582200.8833999634,760759.1763153076,590701.1457519531,673812.5238342285
Cer(t18:0/18:0(2OH)),115771.9681854248,127249.98889160156,120445.3277053833,119756.94918060304,133543.85005187988,113967.16889953612
Cer(t18:0/20:0(2OH)),620803.1235656738,444940.0567321777,621021.2648620605,336172.1642150879,530264.8611755371,678220.4642333984
Cer(t18:0/22:0(2OH)),845147.2594146729,867732.143081665,867039.7893066406,828803.8756408691,765028.7940673828,833192.4963912964
Cer(t18:0/24:0(2OH)),357125.14936828613,348099.9447174072,418451.4130554199,334014.90322875977,328491.3587799072,426339.08993530273
Cer(t18:0/26:0(2OH)),752586.3932189941,729496.9492797852,685928.9699707031,756609.9052581787,778105.2474822998,708241.9950561523
Cer(t20:0/26:0(2OH)),3468.720241546631,3382.3202362060547,497928.7173156738,3385.2402305603027,3338.240261077881,525944.8955383301
CerP(d18:0/16:0),173035.3125,186046.51293945312,197870.59466552731,145889.07064819336,173967.89309692383,186530.4722290039
CerP(d18:1/12:0),132405.96952819824,275667.90003967285,114402.40865325928,148416.2109451294,209623.53649902344,190351.39149475095
CerP(d18:1/14:0),56819.28397369385,71758.46583557129,48855.22270965576,52508.603843688965,58187.183921813965,51611.50421142578
CerP(d18:1/16:0),915789.8233413696,289944.86196136475,641735.2017593384,130079.44917297363,441614.6718521118,543010.1772384644
CerP(d18:1/18:0),538512.8828048706,699225.5154685974,526490.552570343,469433.774559021,431976.370513916,493405.034324646
CerP(d18:1/20:0),472444.6291732788,458911.9384841919,428618.8303527832,472636.85572052,497808.4644393921,474129.838760376
CerP(d18:1/22:0),76798.12537765503,81581.76573181152,72143.26515579224,73487.74433135986,78789.66569519043,70169.16439056396
CerP(d18:1/24:0),68749.28535461426,73797.66579437256,60966.98456573486,58639.34447860718,65843.74468612671,61777.78484344482
CerP(d18:1/24:1(15Z)),62809.56479644776,70478.72504425049,59639.54490280152,61522.58404541016,62831.324630737305,63477.70432662964
CerP(d18:1/26:0),54308.183574676514,53668.02383422852,50444.94370651245,42843.68291854858,50583.88276672363,47780.28330612183
CerP(d18:1/26:1(17Z)),52826.94425964356,50741.76348876953,50619.08413696289,43884.68307495117,51035.64378738403,48709.86431121826
CerP(d18:1/2:0),73579.20556640625,72091.60517883301,67340.08499145508,73595.08448791504,72762.68531799316,67430.3247756958
CerP(d18:1/8:0),137604.01025009155,52283.6637802124,119431.92895507812,51960.343505859375,69659.42568969727,92670.88595581056
"Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesteryl ester, 20:1 Stigmasteryl ester, 20:2 Sitosteryl ester",298767.4224395752,203995.51489257807,94036.04633712769,182368.67237854004,239286.7336273193,81550.40517807007
Cholesteryl nitrolinoleate,594039.0979003906,471232.4727783203,207450.61462402344,484774.7937011719,499352.9739990234,200191.75354003903
"Docosa-4,7,10,13,16-pentaenoyl carnitine, Clupanodonyl carnitine",1130974.0258789062,1205638.7025146484,1487022.7548828125,1217195.0576171875,1156696.5146484375,1142590.8630371094
Hexacosanoyl carnitine,1567602.5316314695,1540132.809577942,2344674.869720459,1595356.639831543,1497337.0555114746,1534596.2458267212
"Linoelaidyl carnitine, O-linoleoylcarnitine, 9,12-Hexadecadienylcarnitine",6427668.4609375,6523871.8017578125,6429227.993164063,7497100.624023437,7606179.126953125,7872479.287109375
Lyso_C17 sphingosine-1-phosphocholine,69984.40475463867,66522.70385742188,66307.1255493164,62577.64376831055,62873.44418334961,61145.704650878906
Lyso_PC(10:0),36329.762298583984,42434.70332336426,38280.82247924805,36900.622619628906,38798.06301879883,40816.343170166016
Lyso_PC(11:0),53397.66369628906,54590.344299316406,57148.38426208496,50120.82278442383,57321.063873291016,54466.043884277344
Lyso_PC(12:0),79859.64468383789,75837.82467651367,83757.32565307617,78655.5856628418,80178.16613769531,80681.2056274414
Lyso_PC(13:0),43675.64349365234,48060.60305786133,43648.14323425293,45245.12368774414,47799.66296386719,42337.20234680176
Lyso_PC(14:0),202316.1151123047,211498.97149658203,199179.37622070312,184778.86895751956,192864.4178466797,189059.4112548828
Lyso_PC(14:1),156261.908203125,160945.83239746094,157671.35119628906,147801.4921875,150868.05053710938,150934.03002929688
Lyso_PC(15:0),298806.32095336914,292091.32440185547,277070.5731506348,267262.28259277344,283144.4197692871,251099.13604736328
Lyso_PC(15:1),261408.84521484372,269029.9136657715,257679.71942138672,233886.9584350586,236541.90101623532,234073.7606201172
Lyso_PC(16:0),239863.6969604492,276419.07974243164,213644.1976013184,221436.17752075195,229243.11297607425,222496.07989501956
Lyso_PC(16:1),221295.02075195312,253514.0367431641,200772.57232666016,199891.7955932617,222504.7127380371,194684.01489257807
