Lipid,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype__WT___Brain_Region__diencephalon,Genotype__WT___Brain_Region__diencephalon,Genotype__WT___Brain_Region__diencephalon
(11Z)-eicoseneoylcarnitine,1410061.365234375,1453789.9145507812,1548320.9340820312,1300758.2841796875,1356376.1943359375,1553075.8388671875
"(11Z,14Z)-eicosadienoylcarnitine",1408351.625,1448199.4814453125,1567602.6728515625,1332756.2084960938,1313436.7885742188,1536662.2856445312
"(13Z,16Z)-docosadienoylcarnitine",1334500.4373779297,1392547.188293457,2235124.575866699,1284612.1057128906,1277668.0494384766,1509455.984741211
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",2215148.1447753906,2234323.5102539062,2256080.6622314453,3004035.1204833984,2011026.9294433596,2188599.0122070312
"(5Z,8Z)-tetradecadienoylcarnitine",97017264.0888672,62660995.83984375,69671289.73339844,15439015.444335938,37982357.49316406,18655737.47460937
"(7Z,10Z)-hexadecadienoylcarnitine",1807297.3984375,1819888.0288085935,2113105.662841797,1685194.9013671875,1660596.78125,1881966.8132324216
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",1186263.4771728516,1201712.4168701172,1592147.222290039,1148186.4895019531,1091271.1774902344,1370722.953857422
(9Z)-3-hydroxyoctadecenoylcarnitine,14309309.020996094,14130034.278320312,13802748.841796877,25626555.60546875,21029996.70898437,8047711.172851562
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",5710127.011474609,5824302.932617188,5732824.095458984,8561014.840332031,7636011.399658203,4199385.319580078
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",13681185.669433594,13360938.161621094,13065989.963378906,24808766.91748047,19723779.49658203,7436995.044921875
1-O-behenoyl-Cer(d18:1/16:0),36516.56300354004,35957.26264572144,34225.282024383545,41078.122703552246,41187.70300292969,27728.001831054688
1-O-carboceroyl-Cer(d18:1/16:0),92730.02653503418,82360.3857345581,87016.90506744385,63072.24443435669,96314.38687133788,71027.58568572998
1-O-carboceroyl-Cer(d18:1/18:0),23910.721534729004,21830.84148788452,21737.88181304932,16931.921321868896,20784.1814994812,21460.881801605225
