Lipid,Class,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_diencephalon,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_diencephalon,FAD185_M4_Male_WT_diencephalon,FAD189_M3_Male_WT_diencephalon,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,8591.540615081787,8456.700565338135,7244.800518035889,7988.360569000244,7816.26053237915,8907.860569000244,13441.081062316896,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
1-O-carboceroyl-Cer(d18:1/18:0),Cer,4904.220375061035,5379.720378875732,5725.460376739502,5644.440383911133,5258.760345458984,5710.500385284424,10754.940727233889,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/16:0),Cer,7001.560474395752,7538.640537261963,7471.060592651367,8155.760627746582,8148.64066696167,7521.940540313721,27056.321769714355,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/18:0),Cer,7272.500537872314,6505.300563812256,7301.840469360352,6282.000431060791,6925.360507965088,7045.340488433838,68355.16482543945,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,9587.62073135376,9831.780689239502,9431.900661468506,11028.820724487305,8926.260597229004,10403.060832977297,13193.50090789795,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,6957.680545806885,8124.060531616211,9102.000686645508,7994.120590209961,8245.660610198975,8062.280567169189,13192.94090270996,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,8537.620693206787,9896.980716705322,7627.180492401123,8867.140655517578,8450.26053237915,6795.100513458252,12938.94090270996,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,8683.720638275146,8911.160659790039,8944.500610351562,9326.140670776367,8991.360679626465,7866.760555267334,13541.00082397461,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,4302.840286254883,4359.140319824219,5430.340396881104,4872.92036819458,4763.640342712402,5930.140460968018,7750.14049911499,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR,CAR,43133.10283660889,44140.14300537109,43654.66324234009,45301.8030090332,43209.50308227539,43425.30322265625,43366.06298828125,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:0),CAR,323321.26235198975,323802.9835205078,326853.56217575073,323277.3828315735,328669.7445831299,326717.8415489197,359584.1459960937,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
