Lipid,Class,DOD93_F4_Female_5xFAD_cerebellum,DOD93_F4_Female_5xFAD_cortex ,DOD93_F4_Female_5xFAD_diencephalon,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F4_Female_5xFAD_cerebellum,DOD94_F4_Female_5xFAD_cortex ,DOD94_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_hippocampus,DOD94_F3_Female_WT_cerebellum,DOD94_F3_Female_WT_cortex ,DOD94_F3_Female_WT_diencephalon,DOD94_F3_Female_WT_hippocampus,FAD184_F3_Female_WT_cerebellum,FAD184_F3_Female_WT_cortex ,FAD184_F3_Female_WT_diencephalon,FAD184_F3_Female_WT_hippocampus,FAD184_F4_Female_WT_cerebellum,FAD184_F4_Female_WT_cortex ,FAD184_F4_Female_WT_diencephalon,FAD184_F4_Female_WT_hippocampus,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
CAR(10:0)_QUAL,CAR,1678001.329662323,1531624.4029922483,1535372.630897522,1526646.446876526,1540669.8572006226,1535708.4461669922,1547899.4927978516,1534155.6398582458,1473919.363647461,1480806.9035568235,1516836.5327682495,1443624.825706482,1531624.129436493,1524868.5276794434,1571164.2093276978,1555859.494808197,1481863.3592300415,1523881.3316841123,1506305.7311172483,1537578.8140449524,1358931.08203125,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(10:1),CAR,505036.3566207886,462996.2899551392,468052.5140953064,467289.0961074829,458074.812953949,473156.8574142456,467979.4149398804,460732.27390289307,457097.5735855103,452669.6117248535,455261.4915084839,452015.5874633789,465617.5734901428,471916.7936515808,470298.7932319641,457359.2110366821,473222.4962921143,461430.33322906494,468940.61178970337,461435.9306182861,634009.9052734375,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(10:1)_QUAL,CAR,1338643.5079917908,1225996.6278457642,1191053.168067932,1211028.4854125977,1228727.7515907288,1235450.905921936,1218492.8599853516,1209521.085735321,1131956.764427185,1152608.801185608,1179398.5004119873,1129619.7618408203,1210324.3289375303,1192826.0019073486,1242140.1255645752,1225619.9038009644,1151465.9069366455,1209490.2474975586,1192392.7216529846,1212440.6102485657,1046036.49609375,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(10:2),CAR,514652.9989318848,465503.0145187378,466398.2900390625,468795.7157020569,477414.1746826172,479235.2310333252,476177.0739746094,465215.4316825866,453861.348487854,457558.5531387329,467254.89208984375,459875.91410446167,473032.4131278992,476367.7107849121,481124.4542427063,479465.876625061,471169.6966743469,477712.733215332,477586.1125488281,478198.3722686768,642041.1708984375,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(10:2)_QUAL,CAR,703678.1702880859,625800.6659698486,662201.5657730103,606911.8633232117,628613.0872039795,654185.5482177734,609228.8646697998,648264.1270751953,612985.6586914062,583119.983165741,613257.7263183594,619634.5055885315,631867.0440940857,625976.7437744141,672799.165512085,630418.004322052,615290.3865966797,613562.1617736816,632785.6041870117,656310.4880371094,585456.421875,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(10:3),CAR,504844.3345336914,452021.83361816406,464280.1316108704,469241.8908691406,465302.7536354065,474795.994140625,474447.635887146,465557.135383606,450509.6921386719,460000.71240234375,464176.950958252,452145.2126464844,465281.9126586914,464155.4952850342,474823.5919189453,474205.2722167969,468512.5920410156,468188.3310546875,461780.14990234375,469740.2858848572,611447.3291015625,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(10:3)_QUAL,CAR,733342.43359375,685624.3889160156,673968.7052230835,659826.9465866089,632045.0028305054,697903.6512451172,665941.73046875,645827.4847717285,659306.0273742676,642235.74609375,626910.0848655701,665620.6653213501,666056.2108001709,659595.4996337891,667592.1860351562,678421.726776123,639118.0305175781,709130.7650985718,671410.9285202026,654040.244216919,633677.9819335938,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(11:0),CAR,257411.838344574,226792.97513198853,235500.31698989868,228777.53755569455,230313.9958953857,230251.3971862793,230270.4958267212,221750.31714248657,220413.59775543213,217053.09909439087,228729.7152633667,223195.856300354,221055.97383499143,235199.47663497925,230880.37762069705,225887.83601379397,220966.0139694214,229641.99746704104,224726.9572105408,224918.15712356567,307762.5842285156,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(11:0)_QUAL,CAR,1042371.3549728394,970676.92817688,969895.6544570924,975705.0064086914,965662.7069129944,986055.2133140564,976975.6697769164,955191.4277381896,949159.1106185912,954711.986038208,968537.4339294434,938378.08259964,964686.4536552428,973990.7679748536,992071.5774345398,981095.388343811,939224.9856300354,977671.6344985962,956961.8673667908,989260.4065742492,870968.1220703125,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(12:0),CAR,7086168.616256714,6678902.369693756,6863065.198444366,6745535.974380493,6722045.327503204,6738613.562194824,6699264.702194214,6719000.105945587,6595506.065631866,6587197.182506561,6609949.756256104,6508958.115943909,6755555.022506714,6841519.090320587,6716539.346256256,6678660.912193298,6792760.283447266,6707013.297504425,6667696.220630646,6701144.04000473,6397297.76171875,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(12:0)_QUAL,CAR,1301156.3486747742,1204854.1464118958,1223517.561569214,1185620.6024284365,1168562.6757087708,1221828.444656372,1185875.7597351074,1231905.3475875854,1220984.7471504211,1186442.9816474917,1206898.078968048,1169944.6788101196,1221448.2316474917,1270938.2918777466,1211441.843990326,1192335.056098938,1149624.4547691343,1232741.0681304932,1156557.9998130798,1158045.8211669922,1316580.955078125,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(14:0),CAR,372923.9835395813,352516.32289886475,361172.9073677063,351659.0252189636,344656.7267036438,355747.00621795654,357862.2861595154,345185.3651618957,350620.08406829834,348522.6434059143,341792.96465682983,337150.12424468994,359427.3056907654,359881.06538009644,363645.406414032,357919.7455329895,355229.2665863037,346274.64430618286,347462.24549484253,354003.20457458496,372286.3051757813,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(14:0)_QUAL,CAR,827987.8002815247,767989.5547332764,771629.2531318665,761843.1140289307,751557.3112182617,756529.673248291,767636.0124702454,767607.0130500793,749190.3892250061,744998.4352416992,753242.0290298462,765062.256061554,773082.2574691772,772035.891960144,758977.2906303406,747751.4731330872,740778.4919586182,743653.8512954712,740152.0901222229,733174.673248291,886736.28125,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(14:1),CAR,375419.16662979126,354174.50399017334,368253.6453018189,363025.8452415466,359813.8261604309,365205.88707733154,375739.64881134033,356100.3071556092,350630.924949646,355140.1877403259,352333.0259246826,350389.9856529236,356755.884967804,366563.72498703,369238.8459434509,358175.605922699,358847.823677063,356826.54473495483,354837.2649497986,362649.1644592285,368998.5258789063,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(14:1)_QUAL,CAR,799638.3330917358,814000.9125061035,767067.6369972229,805187.0212173462,750288.1098861694,762916.4165306091,760089.3957099915,754330.134147644,757029.9527816772,744259.6683273315,748755.6727409363,762665.391254425,753580.4165306091,776833.9528961182,790660.0382080078,759985.7733268738,748233.2111778259,752968.1960601807,745128.6497344971,732112.7479362488,902707.2607421876,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(14:2),CAR,411872.5904350281,379257.40713500977,391137.3074455261,390176.2078399658,389590.1304168701,390155.8661003113,396985.10791397095,382627.4061203003,380503.1065673828,374163.9449691773,383549.54625701904,379983.5462379456,391326.5685043335,395916.17125701904,400606.2511405945,390802.4482498169,393587.8889694214,389661.7878799439,376575.94801330566,386611.48862075806,397565.6098632813,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(14:2)_QUAL,CAR,845375.5410995483,807545.179107666,834265.8830909729,815737.9792633057,789235.235710144,791702.0143814087,788367.5584449768,815013.1390686035,805672.5811767578,767973.9305114746,797707.0398521423,824324.7989883423,806046.2173500061,807015.7537155151,836812.7205162048,796397.3543815613,791681.4773902893,799562.6788711548,786712.6766471863,777356.4733657837,898668.984375,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(16:0),CAR,272205.9010620117,254972.17778015137,260527.89841461185,263566.538608551,261969.87801361084,252360.7569503784,260281.57931137085,254191.69914627075,243168.3185043335,251302.79752731323,249055.1368522644,255124.0784072876,265652.26039505005,257439.0177116394,262179.4790916443,261844.07703781128,255383.49932479855,254987.4772911072,257094.6977005005,262309.0381126404,283562.0600585937,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(16:0)_QUAL,CAR,785454.1362190247,750047.2343788147,741665.0752410889,739226.2096939087,728377.2713737488,727270.5544624329,741527.9105110168,713229.6112556458,711777.9098129272,695143.8098487854,724922.409576416,763822.391960144,744304.7329330444,732082.8132858276,739062.2687950134,734761.513053894,784411.1769981384,745552.4319190979,754089.5711021423,739143.4885215759,743383.630859375,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
