Lipid,Class,DOD93_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_diencephalon,DOD94_F3_Female_WT_diencephalon,FAD184_F3_Female_WT_diencephalon,FAD184_F4_Female_WT_diencephalon,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
CAR(10:2)_QUAL,CAR,662201.5657730103,609228.8646697998,613257.7263183594,672799.165512085,632785.6041870117,585456.421875,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(10:3),CAR,464280.1316108704,474447.635887146,464176.950958252,474823.5919189453,461780.14990234375,611447.3291015625,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(10:3)_QUAL,CAR,673968.7052230835,665941.73046875,626910.0848655701,667592.1860351562,671410.9285202026,633677.9819335938,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(11:0),CAR,235500.31698989868,230270.4958267212,228729.7152633667,230880.37762069705,224726.9572105408,307762.5842285156,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(11:0)_QUAL,CAR,969895.6544570924,976975.6697769164,968537.4339294434,992071.5774345398,956961.8673667908,870968.1220703125,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(12:0),CAR,6863065.198444366,6699264.702194214,6609949.756256104,6716539.346256256,6667696.220630646,6397297.76171875,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(12:0)_QUAL,CAR,1223517.561569214,1185875.7597351074,1206898.078968048,1211441.843990326,1156557.9998130798,1316580.955078125,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(14:0),CAR,361172.9073677063,357862.2861595154,341792.96465682983,363645.406414032,347462.24549484253,372286.3051757813,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(14:0)_QUAL,CAR,771629.2531318665,767636.0124702454,753242.0290298462,758977.2906303406,740152.0901222229,886736.28125,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(14:1),CAR,368253.6453018189,375739.64881134033,352333.0259246826,369238.8459434509,354837.2649497986,368998.5258789063,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(14:1)_QUAL,CAR,767067.6369972229,760089.3957099915,748755.6727409363,790660.0382080078,745128.6497344971,902707.2607421876,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
