lipid,logFC,logCPM,LR,PValue,FDR,type,FAD185_M1_Male_5xFAD_cerebellum,FAD185_M1_Male_5xFAD_cortex,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_cerebellum,FAD185_M3_Male_5xFAD_cortex,FAD185_M3_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_hippocampus,FAD189_M1_Male_5xFAD_cerebellum,FAD189_M1_Male_5xFAD_cortex,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_cerebellum,FAD189_M2_Male_5xFAD_cortex,FAD189_M2_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_hippocampus,DOD94_F3_Female_WT_cerebellum,DOD94_F3_Female_WT_cortex,DOD94_F3_Female_WT_diencephalon,DOD94_F3_Female_WT_hippocampus,FAD184_F3_Female_WT_cerebellum,FAD184_F3_Female_WT_cortex,FAD184_F3_Female_WT_diencephalon,FAD184_F3_Female_WT_hippocampus,FAD184_F4_Female_WT_cerebellum,FAD184_F4_Female_WT_cortex,FAD184_F4_Female_WT_diencephalon,FAD184_F4_Female_WT_hippocampus,Blank_Blank_Blank_Blank_Blank
DG(36:8)|DG(35:1)_C16:1,-8.827415728026184,9.96461449855706,1104.5964005593507,3.3104361716851778e-242,1.068277752602807e-238,DAG,2930.680202484131,2926.9802284240723,2927.500198364258,2927.120204925537,2924.7801933288574,2981.4202041625977,9304.880458831787,3039.580223083496,8325.200462341309,2932.80020904541,3550.7402381896973,3052.840217590332,3371.420238494873,14782.580894470217,3436.740257263184,2921.0602226257324,4554793.443031311,8866230.443603516,777048.2832336426,1002685.428226471,2932.820198059082,2948.5002098083496,2921.0202102661133,10605.320755004885,2922.0002212524414,2920.1802101135254,2925.180202484131,2983.280216217041,47492099.30102539
LPE(20:2),6.179024438243521,4.998368177770569,535.5517715211918,1.7504212654449733e-118,2.8243047117954643e-115,PE,358203.14964675903,552806.6551513672,226003.17764282227,386055.4677848816,683538.8669128418,111081.00933074953,729138.6013793945,342430.14724731445,64319.18466949463,86580.92544937134,430594.1723632813,10192.700828552246,3182.880199432373,5080.360347747803,12940.740852355955,2125.4401359558105,2637.660182952881,2104.0001525878906,2356.520168304444,2058.2001457214355,2014.620140075684,2855.6202278137207,2146.020137786865,2127.5601501464844,2308.1001586914062,2177.340148925781,2335.8601570129395,2265.580150604248,2000.340129852295
[TG(51:5)]_FA16:0,-4.797103043659899,8.423657919935257,458.06739049709586,1.2660835762664842e-101,1.3618839002039816e-98,TAG,97145.26721191406,132702.60998535156,166181.71142578125,178758.43466186523,229528.5000610352,129032.44927978516,111385.56838989258,148210.54956054688,143135.4105834961,116820.0492553711,93078.70654296876,81822.72570800781,89896.92712402344,117311.1682434082,81872.58630371094,112672.90786743164,1790147.5181274414,2532498.1764526367,2945299.695373535,3692049.331726074,2605371.924621582,2619980.700744629,1868717.6813354488,1366759.6182250977,1951277.5197143557,1548488.1408081057,1836448.1845703125,2377087.437561035,39190.08248901367
[TG(51:6)]_FA16:1,-4.689176638138686,8.550790396945091,441.7386011029639,4.529614989294047e-98,3.654266892612972e-95,TAG,119831.58795166016,146931.69006347656,172532.13250732422,235628.35778808597,234403.5959777832,163424.91040039062,138761.81018066406,166777.21270751953,173561.09185791016,129036.94897460938,107613.30712890624,90604.30615234376,102036.62683105467,150070.03161621094,100200.18768310548,140699.15106201172,1836135.6170959475,2587639.991394043,3139000.044067383,3810962.924530029,2911206.7399902344,2805761.458129883,2171144.057373047,1728675.4010009766,2046954.2775268557,1722077.7590332031,2141164.031677246,2649432.7713623047,41019.22302246094
[TG(51:4)]_FA14:0,-4.259622956347522,7.774740132321726,377.9007878957792,3.564478456784825e-84,2.3005143960089257e-81,TAG,94592.6475830078,108547.54736328124,117844.72747802734,173716.59295654297,151165.7688293457,112186.84884643556,99326.88732910156,129466.10809326172,125277.56646728516,107290.3677368164,99680.28631591795,92858.4071044922,83876.72576904297,133083.69061279297,76457.48529052734,117728.94714355467,1111713.9201049805,1483829.4456176758,1855686.754699707,2301213.319763184,1702715.2366027832,1653803.7844848633,1272530.4231567385,813765.5987243652,1159383.3270874023,904804.5995483398,1139243.806274414,1468196.5677490234,82697.70608520508
[TG(56:8)|TG(55:1)]_FA20:4,4.839121635374031,12.820419909870903,376.49504904546666,7.211960440896395e-84,3.8788327237954447e-81,TAG,20222408.516357426,23156964.665527344,6815579.649902344,2185421.9296875,103236529.31640624,185407383.097168,61964373.32421875,14032691.2734375,178622499.8671875,172729180.92285156,49350677.8203125,7531237.7724609375,95527650.3486328,20609630.095947266,19740478.2578125,5284178.545410156,1023084.1688232422,1551559.9411621094,2807184.543701172,468051.01037597656,690865.7470703125,3473659.422363281,651307.5087890625,595051.3278808594,1379701.335205078,1789553.8524169922,674853.5511474609,465779.3540039063,159430.49194335938
[TG(38:1)]_FA14:0,-4.143149976715487,9.41335461695135,360.96055631919444,1.7395076733819738e-80,8.0191303742908995e-78,TAG,292272.2409667969,435299.6118164063,325234.1418457031,523998.888671875,574324.9427490234,362804.6832275391,296264.59619140625,391473.1638183594,251626.8599853516,418657.8930664063,829413.27197265625,290212.60119628906,219897.2945556641,331275.9782714844,212055.51403808597,418595.0930175781,4185296.7275390634,992602.9139404296,996422.6019287108,6419185.5390625,8717796.2490234375,9688093.11669922,3965002.051025391,3620762.0290527344,1306365.9553222656,3726056.857666016,1558753.6112060547,6663640.892578125,49943.38360595703
[TG(53:8)|TG(52:1)]_FA18:3,-4.083319740117124,8.161725686236188,352.32193132881997,1.3228508191401098e-78,5.336049491706418e-76,TAG,133910.23040771484,180654.03326416016,181652.83142089844,213100.61627197263,241532.37701416016,231202.23846435547,147479.34893798828,172342.15173339844,214859.35546875,191248.95178222656,129976.0692138672,119528.40829467772,136335.42834472656,163127.17059326172,112296.96783447266,139670.43029785156,1398188.7661743164,2046916.57409668,2447243.609436035,2826797.2276000977,2102161.3013916016,2038674.369506836,1555246.9947509766,1193189.1926269531,1607784.1568603516,1234462.473022461,1567829.4393920898,1985450.8454589844,35997.24267578125
[TG(56:9)|TG(55:2)]_FA20:4,4.506081822167159,9.60221527027463,338.0305921163708,1.713074342810761e-75,6.142323226944805e-73,TAG,1798040.7994384766,1967763.5524902344,710774.0825805664,260268.75659179688,8524947.020996094,19739522.83642578,4966659.476318359,1159066.430419922,23256633.8046875,24614767.76434326,4864657.1708984375,812095.219543457,8137997.686645508,1730545.5935058594,1651173.499267578,525815.5386352539,157983.45001220703,170876.7108154297,437308.7126464844,89005.3062133789,107140.60772705078,330199.12341308594,105789.96746826172,116929.24786376952,180683.05352783203,202812.35455322263,118323.04913330078,81443.745849609375,48443.04309082031
[TG(55:11)|TG(54:4)]_FA18:0,4.491018846569193,12.40555456254586,336.3095567088377,4.0606561939554267e-75,1.3103737537894162e-72,TAG,16195335.83203125,18868293.612304688,5812282.8251953125,1804296.5463867188,74419427.0546875,141659586.3149414,47097884.64453125,11190681.73828125,127448386.703125,131427532.48510742,36150200.33129883,6614976.351074219,68216161.984375,16839148.314697266,11861102.490234377,4375815.155029297,1117521.4770507812,1250542.542236328,2697522.538330078,407805.69287109375,659342.8288574219,3078794.9020996094,877217.20166015625,729355.08935546875,1280985.892578125,1670069.1198730469,695008.1892089844,326209.58068847656,142586.51037597656
