lipid,logFC,logCPM,LR,PValue,FDR,type,FAD185_M1_Male_5xFAD_cerebellum,FAD185_M1_Male_5xFAD_cortex,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_cerebellum,FAD185_M3_Male_5xFAD_cortex,FAD185_M3_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_hippocampus,FAD189_M1_Male_5xFAD_cerebellum,FAD189_M1_Male_5xFAD_cortex,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_cerebellum,FAD189_M2_Male_5xFAD_cortex,FAD189_M2_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_hippocampus,DOD94_F3_Female_WT_cerebellum,DOD94_F3_Female_WT_cortex,DOD94_F3_Female_WT_diencephalon,DOD94_F3_Female_WT_hippocampus,FAD184_F3_Female_WT_cerebellum,FAD184_F3_Female_WT_cortex,FAD184_F3_Female_WT_diencephalon,FAD184_F3_Female_WT_hippocampus,FAD184_F4_Female_WT_cerebellum,FAD184_F4_Female_WT_cortex,FAD184_F4_Female_WT_diencephalon,FAD184_F4_Female_WT_hippocampus,Blank_Blank_Blank_Blank_Blank
[TG(56:7)|TG(55:0)]_FA20:4,4.454500515039948,13.533766772240284,332.1349521965982,3.29455219706589e-74,9.66501812721057e-72,TAG,39856301.85595703,47997009.96533203,13150092.05859375,3586565.5634765625,169578093.3515625,286226400.5241699,108169870.19921876,29263070.02148437,250459332.96875,242104683.90039065,88294050.359375,13358120.358398438,168431383.3515625,44754154.28271485,42866012.47265625,11096170.08642578,1895513.5788574216,3266080.7163085938,6194123.772949219,761207.5549316406,1228846.5830078125,9162682.205810549,1351201.0075683594,1343398.7534179688,2593166.703125,3602588.0432128906,1102955.0170898438,524231.33447265625,337624.623046875
[TG(54:6)]_FA18:2,4.415678321998664,12.823583386314729,327.7062687737167,3.036479027816652e-73,8.165598185636948e-71,TAG,19947621.5234375,22957334.862060547,7462910.816894531,2840946.0229492188,98667240.56640624,183587641.1982422,62955374.38867188,13930617.974853516,170265552.9609375,177265778.33764648,50233617.5546875,8475582.861816406,95366234.828125,21784481.135742188,18335232.76660156,5694756.622314453,1336178.2580566406,1847658.8615722656,3730279.6740722656,943329.3720703124,954621.9658203124,4573406.143310547,1030976.069580078,819426.0179443359,1795346.0869140625,2400409.9477539062,905514.2253417968,400036.94958496094,172625.4111328125
[TG(53:7)|TG(52:0)]_FA18:2,-3.904177467627593,7.744712213893602,326.7595414709706,4.881732307293245e-73,1.2117961658181e-70,TAG,109509.1489868164,145479.53149414062,145006.17120361328,164086.3114013672,189764.99356079104,202866.09313964844,134619.36779785156,127228.1098022461,185764.63415527344,173959.39385986328,117874.2080078125,100502.58728027344,128746.18951416016,143284.52905273438,95468.10729980467,114746.76818847656,1055849.7656860352,1427757.7503356934,1816324.9043579104,1945688.8935546875,1609465.7857055664,1571707.911743164,1244092.021850586,830613.3395996094,1224382.996826172,939572.2490234376,1224713.8658447266,1440003.0162353516,32808.362396240234
[TG(54:5)]_FA18:1,4.400295098885416,12.651043952675879,325.9541997827251,7.311126534692896e-73,1.6852146662467127e-70,TAG,18013159.384765625,22469760.424560547,6368749.029785156,2156090.469238281,86011672.41625977,169298048.9790039,55766738.40234375,13578867.603515623,151141726.3984375,148964901.45141602,46938048.02734375,7951458.077148437,82949393.39697266,19485955.134033203,14474098.505859377,4968334.395263672,1278435.3784179688,1767352.9545898438,3325577.0935058594,484084.0518798828,599582.58203125,4231123.361328125,998358.167236328,863677.1162109375,1657008.7094726562,2233515.6538085938,788676.44189453125,401992.369140625,124003.70825195312
[TG(54:7)|TG(53:0)]_FA18:3,4.374884271935966,12.818118549182696,323.0633756824579,3.116315805132446e-72,6.704234068774935e-70,TAG,21535187.272460938,25890571.84765625,8145893.904785156,2286638.6440429688,99077098.9375,183182782.95263672,60382074.528808594,16535804.180664062,163598905.00585938,172857275.6508789,50936133.54296875,9379285.220703123,95189316.3828125,21853852.785888672,17367123.23046875,6008349.302978516,1392149.8154296875,1944963.9223632808,3847611.8559570312,577781.5974121094,716037.4089355469,4909741.412109375,1055229.2587890625,975192.14892578125,1840956.7209472656,2528559.6713867188,965784.68896484375,511894.5944824219,209595.373046875
[TG(54:5)]_FA18:0,4.333218971538158,9.183532748261417,318.3290021643407,3.3487573537621214e-71,6.754024987868979e-69,TAG,1378400.185180664,1492318.643798828,539686.3529052734,198989.31134033203,6415723.7333984375,15085160.431762695,3904012.3850097656,905537.53564453125,16791606.653320312,18684640.31890869,3457017.958129883,633252.1180419922,5833877.726257324,1312877.5151367188,989692.5030517578,406648.6701660156,140613.5297241211,150743.7322998047,331125.22161865234,69930.7646484375,104603.42761230467,278803.5610961914,100708.1669921875,99288.34759521484,159127.21130371094,159153.65118408203,98809.48712158205,66880.90515136719,45290.223083496094
[TG(54:6)]_FA18:1,4.2983268091271825,9.465368031505824,314.3774978070833,2.4301744090977945e-70,4.613042834210931e-68,TAG,1586140.4252929688,1846305.706298828,642182.598815918,243329.8748779297,7187735.903808594,18784181.24426269,4209532.209472656,1125836.612915039,21241842.610839844,22194126.955078125,4606366.096191406,783034.0325927734,7171421.008422852,1558195.5480957031,1215909.2255859375,466373.7537841797,174780.31170654297,201820.4542236328,398768.3504638672,81822.9857788086,103417.08801269533,383310.0072631836,106943.4486694336,116210.04895019533,204276.7738037109,219905.87817382807,118951.80871582033,80845.3862915039,43440.762939453125
[TG(54:7)|TG(53:0)]_FA20:4,4.294465615438023,11.223878391917129,313.943020142378,3.021909805163659e-70,5.417612745146181e-68,TAG,4762360.293579102,6310383.049072266,1894797.4822998047,521969.0993652344,26635264.362304688,65467723.62414551,14320514.748046877,3339410.2775878906,67039213.611328125,64068630.50793457,12703928.581054688,2030912.6160888672,34461879.73828125,6682291.739868164,6549974.25,1661824.3194580078,383954.6283569336,806855.3395385742,1414798.1797485352,146051.16943359375,261622.74145507807,2128223.5939941406,269803.81982421875,226477.93676757807,524781.4740600586,907206.038330078,223807.2133178711,111303.68743896484,66943.44445800781
[TG(55:10)|TG(54:3)]_FA18:0,4.285610187484926,13.124886083752934,312.942397927643,4.991748655490372e-70,8.478091005930226e-68,TAG,31139025.77734375,35589769.16113281,9829859.0166015625,2457804.06640625,126587766.2578125,220154030.33203125,81162737.4140625,22310158.150390625,187090159.2265625,189409416.84033203,62159403.82617188,10321547.45703125,125386622.53198242,33513905.580566406,25384622.48046875,8655235.494628906,1753642.3208007812,2498001.790527344,5141115.681640625,646789.9450683594,1484285.107421875,7732535.418457031,1340795.6103515625,1035536.390625,2166332.906738281,2749094.9157714844,893951.5075683594,378978.2673339844,228309.53759765625
LPE(20:1),4.271149864275378,3.2349807647702304,311.08147440163395,1.2695040062576446e-69,2.0483447140967094e-67,PE,139514.009349823,132247.60803985596,150227.73001861572,86616.38613510132,129494.72986602785,37634.5627822876,110983.9871673584,171943.6100578308,60100.4641456604,30525.00203704834,72857.06577301025,7805.120422363281,3254.260234832764,4573.460258483887,9977.500694274902,3642.240261077881,2325.160171508789,2632.7401847839355,2555.080150604248,2763.5001945495605,2489.980152130127,2424.5601692199707,2524.1201705932617,2040.1801376342771,2533.3001747131348,2335.320152282715,2451.600170135498,2231.1801376342773,2031.0601501464844
[TG(54:7)|TG(53:0)]_FA18:2,4.263144847943667,9.552289683557001,310.4013910509227,1.78560146332721e-69,2.743874248646146e-67,TAG,1684303.7884521484,1838487.0573730469,707229.6955566406,339304.82403564453,8192199.799804687,18663446.154296875,4896680.862548828,1103201.6076660156,22063582.537597656,24075347.283569336,4814550.408203125,803915.0362548828,7739142.238037109,1697941.3365478516,1443515.5284423828,516570.4508666992,175710.59143066406,213621.61303710935,456963.0363769531,95689.24658203124,130337.3295288086,411631.9666748047,119102.2074584961,111929.48724365234,221620.2911376953,234790.07830810547,132099.548828125,78863.905517578125,46564.96325683594
[TG(54:8)|TG(53:1)]_FA18:3,4.2205337301335515,9.624848452685102,305.59760942469075,1.9873651407163528e-68,2.9151033223143956e-66,TAG,1860259.9578857424,2071131.880126953,822328.67578125,288536.95935058594,8719676.911621094,20293383.642822266,4723627.466064453,1327383.1115722656,22574725.44897461,25407102.694213867,4909179.104492188,917316.3161621094,8137389.653808594,1693614.2082519531,1403886.3381347656,555687.78515625,199509.9741821289,225582.35638427731,476435.97033691406,99660.26654052734,125853.94934082033,448981.9650878906,121359.50708007812,141621.87084960938,232693.59765625,251690.3994140625,145618.5291748047,107625.92822265624,50717.52389526367
[TG(46:6)]_FA22:5,-3.7462025331114877,11.868052893159671,304.62199586092413,3.242047171259609e-68,4.5487331398498954e-66,TAG,1933738.5963134768,2701004.547302246,1052505.6763916016,3537173.938842773,4372720.575134277,2774082.0932617188,1656050.192993164,3074289.003540039,1298506.6174926758,3013081.195739746,8131261.190246582,3001405.6555786133,1227004.006286621,2188989.172058105,1224064.9336547852,2491813.448486328,40039792.097473145,3166517.977294922,4676995.921630859,37429927.81323242,28305410.237304688,49855678.06951904,28162557.56616211,34968473.287231445,6218410.073364258,16786233.40234375,6955550.846801758,23504976.35809326,55422.98370361328
[TG(58:7)|TG(57:0)]_FA20:4,4.194385139252839,9.337768076826382,302.6557706491094,8.693141451389416e-68,1.1688653109847354e-65,TAG,1642628.0184936523,1778683.4533081057,1004728.8587646484,571284.4348144531,7917442.884033203,16304391.749145508,4355432.104003906,1107321.9151611328,16998902.05126953,17543202.650390625,3790415.492675781,1010390.6930541992,7668639.425720215,1577170.6771240234,1616543.579711914,755392.5531616211,152078.1902770996,147697.05010986328,224826.7969970703,93939.92599487305,150061.1708984375,243892.13793945312,127190.60919189452,199685.4938354492,258788.9163208008,233005.97705078125,175641.1312866211,145799.90948486328,40370.902770996094
[TG(53:10)|TG(52:3)]_FA18:0,4.117883660312971,10.702980826708965,294.0821935158772,6.413636338572401e-66,8.278721785829255e-64,TAG,3551577.3356933594,4418807.720214844,1339491.1066894531,330622.6237792969,19702937.071289062,47912478.7388916,10409286.658691406,2440891.6110839844,45816967.455078125,46450229.65490723,8424964.297485352,1430675.9760742188,19092313.255249023,4850849.13293457,4385832.16796875,1249673.1489257812,310688.8635253906,580167.2384033203,1071768.555053711,127383.7485961914,242122.57775878903,1671012.2052001953,239948.9969482422,191854.3135986328,441195.3471679688,645329.0283203125,192886.51220703125,89135.80584716797,57188.86389160156
PE(44:1),-3.6560974974406504,7.39122173513956,292.1687319227869,1.6750015869126387e-65,2.0789346619104173e-63,PE,121363.66858673096,131854.8496170044,178593.91080474854,161322.22917175293,167350.01146697998,119501.5877418518,122981.56964492798,137036.60969161987,152411.47048568726,114454.84790802002,97484.12687683104,91430.88668823242,99610.30679321288,155954.69045639038,92591.4865951538,118894.1287498474,796571.9779052734,1127260.4710273745,1303418.8945388794,1477921.850883484,1267658.436767578,1119985.2969665527,890080.9170227051,613352.9843902588,1005883.1770095824,864649.9012145996,948922.8891792296,1130414.4385299685,64799.24423217773
[TG(54:5)]_FA18:2,4.092567035266442,13.494457397834339,291.25596547367127,2.647858735347476e-65,3.1646815329504835e-63,TAG,39231081.12207031,42765267.07421875,12913048.1796875,4755642.620117188,163252022.4375,274704184.6894531,102515363.57421876,27353301.087890625,239662218.78125,243105685.3540039,84915727.296875,12950687.678710938,165186075.64648438,41728698.564941406,37632486.71777344,11115862.021972656,2378193.2495117188,4062577.022216797,7696528.056152344,892876.8366699219,1974423.111328125,11471152.115234377,1572066.3037109375,1291374.9731445312,3292083.461425781,4354715.109863281,1359320.7255859375,546573.9814453125,356736.9655761719
[TG(55:11)|TG(54:4)]_FA18:1,4.070029898456225,13.331094658229398,288.74309022946613,9.34173608168732e-65,1.0766350834144637e-62,TAG,35341614.1171875,43000087.58300781,11130760.516601562,3594417.0185546875,138411815.33251953,254875581.7978516,92651830.921875,26733390.142578125,212280666.8671875,206700345.9321289,78415865.953125,12685264.34375,146544629.85742188,38424882.85107422,29900195.0546875,9711582.512207031,2282688.8930664062,3819274.6552734375,6772027.220947266,771753.9599609375,1198005.5224609375,10527541.293945312,1501292.4506835938,1329974.5209960938,3073286.955078125,4125983.520507813,1156823.012451172,533313.3349609375,263154.5986328125
[TG(54:6)]_FA18:3,4.003628364431787,13.531227161388086,281.3636844096556,3.788159117086302e-63,4.2153067140818956e-61,TAG,43359993.361328125,50308571.39892578,15093711.045898438,3944343.1083984375,161693851.3125,284220192.3408203,99262982.341796875,31725840.283203125,240757937.5131836,242319491.0283203,84445126.546875,15340567.908203123,172107117.546875,43906126.97167969,36463069.52734375,12159912.82421875,2636326.100585937,4406888.814941406,8153654.6640625,1036743.9990234376,1540863.3994140625,12657177.97607422,1665585.8408203125,1736125.6982421875,3565608.8725585938,4822494.712890625,1484112.1333007812,799544.85498046875,382035.806640625
FA(30:1),-3.5579798557908466,7.339824137613827,278.77431593662004,1.388979981874943e-62,1.494079467170147e-60,FA,116861.18516540527,129965.14849853516,232970.9758605957,130488.96948242188,226113.1979370117,102073.8048248291,91610.24841308594,98799.78436279295,168734.55430603027,202487.91818237305,76421.46682739258,72029.76539611816,100551.66612243652,200417.0348815918,84402.92451477051,135318.57009887695,671026.7630767822,1269407.046722412,2216504.223022461,1444838.7722473145,1378772.1616363523,595602.450302124,1184442.4351501465,303231.2611846924,677737.0124816895,698882.6817779541,925839.5753631592,718744.0816345215,25251.52146911621
[TG(52:4)]_FA18:1,3.936498836030254,11.04967592358955,273.9408096071834,1.570542014783595e-61,1.6348835747440841e-59,TAG,4370847.51171875,5626821.361938477,1636097.7728271484,480507.1959228516,22616293.71105957,61478889.60229492,12514096.646972656,3048758.300048828,57888485.68457031,54357812.58581543,11595023.20703125,1759397.2177734375,29412112.637695312,5759141.515991211,5273957.392089844,1406246.5223388672,469745.6516113281,941018.283569336,1574313.7059326172,167663.11029052734,252167.6975097656,2361421.303222656,285204.0983886719,240204.77600097656,671789.4476318359,996735.283203125,255407.0377807617,117847.84759521484,58547.94396972656
[TG(52:5)]_FA18:2,3.8236101234976485,11.216498506660592,261.5514057148438,7.876813059259611e-59,7.943273669447114e-57,TAG,4918369.996582031,5772919.682006836,1948333.160888672,609678.9426269531,26489000.033203125,64636999.1986084,14852258.51171875,3055530.0986328125,65031234.45703125,62752440.40319824,12101982.08984375,1987049.8947753904,34114671.8815918,6413930.635253906,5784666.233520508,1656412.9576416016,534324.31640625,1078830.2740478516,1963778.7292480469,294515.5977783203,437004.1300048828,2764157.5216064453,324111.8039550781,250685.67810058597,814281.56005859375,1165030.633605957,318147.8034667969,127255.80908203124,78901.92565917969
[TG(52:6)]_FA18:3,3.7792373776775916,11.26672839399378,256.71443995565596,8.927029891318424e-58,8.729553169480168e-56,TAG,5342328.532958984,6537739.233154297,2202447.7857666016,580164.64306640625,28429216.953125,67544753.99487305,14099722.978027344,3525627.8376464844,65961746.04943848,63891511.45605469,12418957.298828123,2354001.740722656,35146975.6262207,6476403.616088867,6348699.351074219,1782272.3612060547,573547.7567138672,1199915.1408691406,2065839.6737060547,215829.45434570312,343727.20471191406,3019313.469116211,348493.3444824219,311832.9423828125,886285.1779785156,1251814.6706542969,342020.7634277344,186666.59338378903,91084.34631347656
[TG(52:5)]_FA18:0,-3.3303282931000022,7.136121130113484,248.3907796554704,5.824634410210868e-56,5.528263306397197e-54,TAG,95637.46746826172,112788.58709716795,112303.24731445312,128432.0085144043,171496.9309387207,196109.6951904297,104985.80673217772,104457.52661132812,243353.57489013672,221577.05377197263,104271.56704711914,81759.24615478516,160978.3299560547,127342.189453125,88370.465576171875,104581.62664794922,692361.1066894531,957920.9559326172,1147048.912536621,1336902.0599975586,983353.1069946288,988023.7058105468,773985.3583374023,509242.1770019531,729578.6400146484,578623.995300293,718393.95458984375,862497.7973022461,26629.72183227539
[TG(54:6)]_FA20:4,3.700695808112801,12.7066622090843,248.2007954561973,6.407491738850348e-56,5.907707383220021e-54,TAG,15362624.05078125,18164994.14013672,7209395.051269531,2471274.7690429688,92057876.25,161222489.4267578,51856425.2265625,11461275.055664062,166441766.43359375,154812984.7680664,42965502.7109375,7337921.454101562,93883346.92871094,17393409.56982422,17849353.150390625,5548770.373046875,1852620.095214844,3222887.977783203,6031050.530761719,621907.4006347656,1142249.6049804688,7656598.989257812,1165413.03125,1158220.6826171875,2730039.2734375,3517359.0493164062,1144703.8466796875,528861.3359375,240371.81713867188
DG(37:4)_C16:1,3.6520987459154917,8.76158616375848,242.9612727945496,8.892666678933126e-55,7.971287603588111e-53,DAG,5633232.351043701,8200150.804519653,3474479.632537842,1954716.955535889,1796300.1379394531,5743482.041870117,35378.94260406494,734521.1391487122,37245.842655181885,103009.04527282716,2508539.922626496,3176351.913017273,41893.20293807984,4309899.743774414,13712745.507247925,1948034.9388694763,318890.8780708313,542675.7545471191,38204.083015441895,39429.50277709961,35878.12254333496,36888.88260650635,36273.48268890381,37313.78267669678,35530.642780303955,34804.762592315674,35847.98250198364,784492.0373497009,43886.56324768066
[TG(53:9)|TG(52:2)]_FA18:0,3.6289453959337994,12.197351990919435,240.47851303738844,3.0929204441334114e-54,2.6975281819509508e-52,TAG,11335862.190429688,12296018.586914062,4949001.652832031,1495332.974609375,64330537.515625,118441144.1821289,37320333.271484375,8129493.1650390625,114566325.625,112821713.51171876,27700802.23291016,5101279.340332031,63198652.50048828,12085736.081542969,9900169.21875,3960041.5444335938,1412618.1313476562,2287122.217773437,4338139.93359375,434289.55615234375,908855.1708984376,5747543.0322265625,937861.28564453125,820238.4365234375,2163624.642578125,2362462.3642578125,899098.5029296875,347525.0231933594,202028.53369140625
DG(37:4)_C18:1,-3.2194919700193205,2.155588396163599,233.81184472658904,8.791679024974733e-53,7.46598637199828e-51,DAG,2917.060218811035,2892.220203399658,2883.1601905822754,5060.680309295654,2889.060207366944,2895.520221710205,2888.940196990967,2898.2801780700684,2894.6002082824707,2895.200206756592,7551.160514831543,2890.740196228028,9570.32067489624,2972.040214538574,2903.440212249756,2894.920223236084,37427.72259902954,37956.00249481201,36749.34269714356,39103.762634277344,31540.662490844727,11371.800796508787,37277.70253753662,10907.600791931152,2900.8401985168457,2894.920207977295,2895.940216064453,19336.28143310547,40262.78248596192
LPC(24:1),-3.2130449997874804,9.406109376403442,233.15188536262576,1.2245846714225434e-52,1.0132653165847557e-50,PC,660636.18701171875,864104.75439453125,659611.7663574219,947463.6771240234,906258.7806396484,719430.9533691406,511728.5339355469,703872.4908447266,628152.1983642578,650588.9255371094,757552.439453125,598382.2253417969,511041.0988769531,795828.7060546875,368480.0861816406,706272.10205078125,3880371.0087890634,4327642.6865234375,4335928.9375,5272523.836914063,4512696.41796875,4603751.143066406,3770104.9841308594,3168024.669921875,3687851.604492188,3950509.622070313,3553542.5341796875,4206632.830078125,98224.22705078124
LPC(24:0),-3.208741114198035,9.414548677888304,232.59817880752234,1.6170991117708477e-52,1.3045947084211313e-50,PC,678821.7663574219,874238.49658203125,666926.3883056641,962746.7464599608,908258.9899902344,714250.7322998047,511769.99645996094,714065.1926269531,619003.6652832031,646901.8220214844,763118.4753417969,600970.9619140625,516704.6123046875,801756.3564453125,378214.8869628906,718077.5908203125,3929049.4956054688,4282644.6162109375,4350199.314453125,5341079.8818359375,4508535.674316406,4639725.8984375,3809706.579345703,3243856.2265625,3715666.822265625,3956416.30859375,3560465.539550781,4207227.968261719,98562.5264892578
[TG(56:6)]_FA20:4,3.5467359996316987,13.130875242066075,231.69875546658443,2.5402598455745605e-52,1.9993703711388063e-50,TAG,26289496.372558597,30347704.232421875,14076399.078125,6663630.552734375,131536299.9375,218199312.421875,80844417.96875,19952519.484375,185496615.953125,172634051.20507812,53732889.3671875,12088868.603515623,121913269.2138672,28223950.48828125,29231120.17578125,11714387.5390625,2973646.7744140625,4073245.568359375,7634578.829101562,1647112.8740234375,2398621.01171875,8493542.216796875,2167995.859863281,2949798.83984375,4576042.859863281,4408185.7265625,2614170.3627929688,1703122.5751953125,855493.60546875
