lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_cortex,DOD94_F4_Female_5xFAD_cortex,DOD94_F3_Female_WT_cortex,FAD184_F3_Female_WT_cortex,FAD184_F4_Female_WT_cortex,Blank_Blank_Blank_Blank_Blank
DG(O-38:9)|DG(36:2)_C18:2,-4.296733552476973,6.749155687923125,71.45530162051182,2.836107287129382e-17,9.152118215566515e-14,DAG,4575.620296478272,3260.920238494873,187964.4136619568,11845.860782623293,3242.3402366638184,940433.7267990112
DG(35:6)_C16:0,-4.195557617542895,3.2952564298352267,68.86336164250588,1.0552720009705304e-16,1.7026813735659508e-13,DAG,2623.2201919555664,2630.7801818847656,44525.6035118103,2629.5001792907715,87727.64617919922,2623.120189666748
DG(34:0)_C16:0,-4.011614701457362,4.167992364654704,64.26665287698802,1.0866954183692834e-15,1.168922038359226e-12,DAG,6686.820503234863,4413.720336914063,134117.96994018555,2630.620174407959,106689.14765548706,3417.0002250671387
DG(36:3)_C16:1,2.703237129416548,5.847311697219864,41.58630352443288,1.1278062673309396e-10,9.098577061692355e-8,DAG,343017.6452636719,329497.80101776123,74434.1650390625,33302.52237701416,32338.66215133667,48801.16325378418
DG(39:6)_C18:0,-2.492020913505518,3.314255374291667,29.211052277250875,6.490790087233191e-8,4.189155922300301e-5,DAG,2590.060199737549,2588.020191192627,29284.34208297729,7143.780544281006,2590.360195159912,69420.62530517578
DG(38:3)_C18:1,-2.269303224756437,2.2980022600592385,24.80382463478963,6.34714055063814e-7,3.4137037594848796e-4,DAG,5515.740428924561,3421.38024520874,2930.100204467773,26991.88175201416,29198.021995544437,2901.940200805664
[TG(60:13)|TG(59:6)]_FA22:5,-2.2520193811262,9.148926374447145,24.494603564613502,7.451825588078573e-7,3.435291596104222e-4,TAG,432459.3494873047,636547.6641235352,1476578.274169922,5006692.261291504,468631.6297607422,53200.70385742188
[TG(60:14)|TG(59:7)|TG(58:0)]_FA22:6,-2.148628305058107,9.17133234683132,22.532864243639782,2.065790173116295e-6,8.332881110807856e-4,TAG,498476.6548461914,657984.2404785156,1567117.0953979492,4912454.311706543,499520.81744384766,69407.06466674805
FA(15:2),1.9270615263613162,10.339635464050918,21.7999067340279,3.0261484411735037e-6,0.001085042335518544,FA,2058713.6491699216,11833325.024902344,522685.6975097656,2689719.373413086,2046973.4653930664,63076.88415527344
[TG(58:12)|TG(57:5)]_FA20:4,-2.0618499648849253,8.529578818479887,20.93123001637287,4.760696066585495e-6,0.0015362766206871393,TAG,346676.7258300781,429139.6723022461,970408.9857177734,3079960.5739746094,352631.5078125,75362.9658203125
DG(38:4)_C18:1,-1.9711428768049026,2.197729817550898,19.28465837910926,1.1260753503870697e-5,0.003303495596090067,DAG,7123.9404792785645,2892.22021484375,2890.1001892089844,23758.24155807495,26636.50194168091,3023.700225830078
DG(41:5)_C16:0,1.68135404798136,13.695092081794991,16.691978323626763,4.396651452068523e-5,0.01182332852985427,DAG,34900895.81982422,5703457.166259766,12531091.5078125,1071219.3914489746,2721348.077091217,97858455.88134766
DG(42:11)|DG(41:4)_C16:0,1.6605385299602282,12.396872549583067,16.287567209335975,5.441984360214227e-5,0.01307349640194551,DAG,9619421.22607422,1588635.5583496094,3473496.8383789062,320895.1580543518,779291.3789367676,44577926.87664795
DG(O-38:9)|DG(36:2)_C16:0,1.6565075094568522,6.541247096467946,16.209200311721364,5.671798872861393e-5,0.01307349640194551,DAG,432864.654296875,500072.1715698242,81095.82608032227,45281.683197021484,292209.64082336426,49106.84371948242
[TG(58:13)|TG(57:6)]_FA22:5,-1.6209284894466351,7.885198319250095,13.49899802915752,2.3869087102526698e-4,0.05135036271990243,TAG,288470.1831665039,353139.2077026367,585397.839050293,1784769.2811889648,318252.34259033203,51019.72317504883
DG(41:5)_C16:1,1.4820073910452833,12.499824191901636,13.00905056600459,3.099890726663288e-4,0.06252092109339019,DAG,6817486.189682007,1322268.7660636902,3141651.279285431,189408.5152168274,419392.0895233154,51109379.771606445
DG(38:8)|DG(dO-40:8)|DG(37:1)_C18:1,1.4729996839651578,6.910239873564416,12.85158922064511,3.371927503126e-4,0.06400711795639766,DAG,191799.69039154053,188956.83322525024,176672.25147628784,2895.500202178955,2912.800201416016,842503.0589599609
[TG(58:14)|TG(57:7)|TG(56:0)]_FA22:6,-1.5656551532890208,7.884979945273693,12.658490959540359,3.73863853632977e-4,0.0670254808707565,TAG,317053.0040283203,347005.6685180664,610036.925994873,1724266.3339233398,335521.6834716797,51446.98388671875
[TG(62:13)|TG(61:6)]_FA22:5,-1.4973338253393003,7.991752938425173,11.6501220264181,6.419832363361066e-4,0.10358399518283079,TAG,302103.15838623047,430287.6340332031,460370.1953735352,2093858.7861328125,273313.73986816406,72452.70501708984
DG(41:6)_C16:1,1.4068184446307472,13.726986357661195,11.731890514250082,6.143814992474914e-4,0.10358399518283079,DAG,24907370.411380768,4624405.696315765,11138125.94196701,1827880.2621612549,1354216.9022865295,109112254.70947266
FA(15:1),1.3929434937924476,6.680289320017579,11.502569633044201,6.950004292130723e-4,0.10679839928907543,FA,167246.6908569336,639080.0361328125,140756.98779296875,167716.21069335938,126247.96780395508,191162.11645507807
[TG(51:9)|TG(50:2)]_FA22:6,1.3610245225659554,10.19344618970475,10.9845558218949,9.187429932214326e-4,0.11859134556502253,TAG,1868586.8165283203,385501.4881591797,671179.5802001953,257548.5362548828,211373.71405029297,9681670.674682615
[TG(62:14)|TG(61:7)|TG(60:0)]_FA22:6,-1.4556766948845163,8.058888978002031,11.052265872422144,8.857887589313981e-4,0.11859134556502253,TAG,335519.5446777344,450336.0925292969,504334.2941894531,2144943.286010742,293471.1612548828,78801.34576416016
DG(35:4)|DG(O-36:4)|DG(dO-37:4)_C16:1,1.367908134713256,0.978576405034393,11.072421625183376,8.76211740897503e-4,0.11859134556502253,DAG,2965.4802169799805,13078.760986328123,2930.920207977295,2925.6802253723145,2994.740207672119,2929.0802116394043
FA(28:5),1.3690121266779924,5.427494051423471,11.112387228611624,8.57530432900452e-4,0.11859134556502253,FA,153209.06951904297,233931.8403930664,116183.46884155272,30964.12233734131,59677.223693847656,35232.46252441406
DG(42:10)|DG(41:3)_C16:0,1.3408271378819467,8.85975827596521,10.662283047000532,0.0010934234606117743,0.1357106733613152,DAG,864496.5432739258,188861.67364501956,345031.70208740234,67604.58470916748,129779.36725997923,3677631.8136291504
DG(37:3)_C18:1,1.3141720598268785,4.223052823903896,10.24182368029961,0.001372917863460732,0.16408910908843638,DAG,63412.084522247314,63432.56433105469,62273.94435882568,2896.24019241333,2894.9402084350586,57847.16430664063
FA(28:6),1.3064081872475073,6.185907851173154,10.123821727647737,0.0014636519557294319,0.16868588789781702,FA,332863.2625427246,343428.5447692871,216210.49850463867,113192.42889022829,38985.98276901245,34132.7825012207
LPE(20:5),1.2992968787138488,6.1194733181136876,10.014118617607892,0.0015534473897363017,0.17286119747169124,PE,436926.2530479431,91652.06686019896,105837.88810348512,159397.7738647461,12108.001010894775,176354.4186477661
DG(36:7)|DG(35:0)_C16:0,1.2465708980866268,11.482522209670202,9.220381381222978,0.002393356860090933,0.25744541958378137,DAG,7006163.470703125,1910910.5791015625,3472349.536804199,493240.4754867554,937155.189567566,19974577.3984375
[TG(51:8)|TG(50:1)]_FA22:5,1.2259220589738729,9.725848215183825,8.917771594235091,0.002824088917959969,0.2847917168205256,TAG,1333510.689453125,251681.14086914065,502406.67333984375,195521.6552734375,182710.63299560547,6991643.872253418
DG(38:9)|DG(dO-40:9)|DG(37:2)_C18:1,1.2285823599356993,3.907684787762552,8.95344862579077,0.0027694627350313993,0.2847917168205256,DAG,45575.10324859619,46826.56339263916,46927.12335205078,2895.280200958252,2894.18021774292,54125.684020996094
[TG(60:12)|TG(59:5)]_FA20:4,-1.288086966249326,7.4119596946155575,8.782017000477936,0.003042146319334977,0.29748503553012035,TAG,264225.53857421875,283665.0798339844,333892.88513183594,1274625.2016601562,207449.9952392578,69197.26501464844
PI(29:2)|PI(P-30:1),1.2118382035162454,9.675593269998826,8.71428642916726,0.0031572597386270726,0.2996610934279283,PI,1335822.4983520508,275196.0608825684,521107.8572998047,217174.53634643555,165315.81170654297,6661615.031005859
DG(42:11)|DG(41:4)_C16:1,1.1978879444891781,9.2684229080085,8.514849969593346,0.003522599647217541,0.32478368747345726,DAG,753038.8114852905,193379.03290176392,375212.9453048706,73808.8256225586,87605.54672241211,5291526.647857666
[TG(64:14)|TG(63:7)|TG(62:0)]_FA22:6,-1.2510305626795841,6.57028652156588,8.310113677347546,0.003942492362577192,0.33480060142201573,TAG,137600.6286315918,173751.4320526123,219235.61520385745,649798.8408813477,142986.8291015625,35841.02249145508
DG(36:6)_C16:0,1.188311003720577,9.757723240327294,8.379520581103861,0.003794725087825658,0.33480060142201573,DAG,2463638.999267578,584095.5000305176,1174833.744934082,192644.3758773804,375976.9256134033,5644166.026489258
DG(42:9)|DG(41:2)_C16:1,1.1836788849665374,8.531040324542303,8.314354931149865,0.003933297043608294,0.33480060142201573,DAG,1731105.394821167,1670940.031112671,1809787.1839027405,95865.50693893433,91188.44648361206,97521.02673339844
[TG(56:12)|TG(55:5)]_FA20:4,-1.2451083418624822,7.433986403002766,8.235914537070128,0.004106947288992604,0.3398235615789521,TAG,285495.4991455078,284830.2196044922,461713.4095458984,1092348.844482422,279595.2629394531,71398.02557373047
DG(O-40:9)|DG(38:2)_C18:1,-1.2395040979043452,3.8224571971434496,8.163816461479655,0.004273435123820201,0.34475937861419476,DAG,21692.181442260742,25492.401821136475,19102.04133605957,65047.16445541382,71125.5051612854,4015.200294494629
[TG(64:14)|TG(63:7)|TG(62:0)]_FA22:5,-1.2321288812617752,6.434750748608179,8.07379567357566,0.004490994504402592,0.35347412843188203,TAG,127817.38928222656,159688.69229125977,130351.72897338869,679034.864074707,112478.12756347656,29459.982055664062
[TG(49:7)|TG(48:0)]_FA20:4,1.1570568634041432,8.668733385599783,7.944325773860328,0.004823838676160682,0.370631604951679,TAG,680734.9752197266,130674.9487915039,260636.9587402344,93295.44741821288,120617.44787597656,3293378.932495117
DG(38:5)_C18:1,-1.215371777748753,1.8695227582773206,7.858530300298753,0.005058149136492511,0.3795964479874729,DAG,8815.400634765625,2892.240207672119,2889.80020904541,14978.381015777588,18847.261360168457,4106.460289001465
[TG(62:13)|TG(61:6)]_FA20:4,-1.2013220486670255,5.819220814662307,7.694852092361543,0.005537854786654217,0.38849255209854694,TAG,95024.84729003906,93548.5267944336,99758.32678222656,408915.791015625,79244.125244140625,29583.88220214844
[TG(64:15)|TG(63:8)|TG(62:1)]_FA22:6,-1.2021495204023702,6.529340851462704,7.7051301861938555,0.0055064101684270655,0.38849255209854694,TAG,141955.50939941406,169534.83186340332,151221.3498687744,702756.8090515137,123006.72747802734,34112.42204284668
DG(30:2)_C16:1,1.139814532346065,8.45515261923006,7.709419156220971,0.005493342462950666,0.38849255209854694,DAG,1408347.8778076172,1115104.3939170835,1168096.1356201172,181564.153175354,178170.47184371948,834123.8420410156
[TG(64:13)|TG(63:6)]_FA22:5,-1.1732474040303216,6.517560341240768,7.356818835134616,0.006680889063045198,0.44915060430097614,TAG,135720.32904052734,177444.37393188477,200566.19464111328,623314.0618896484,142088.2706298828,33197.52230834961
DG(37:5)_C18:2,1.1169413736893132,1.4473167433765013,7.391202559723638,0.006554365294224774,0.44915060430097614,DAG,6204.540447235107,13074.920864105225,3240.5402488708496,3253.8002166748047,6096.960422515869,6090.140472412109
DG(37:4)_C16:1,1.1077240947775626,6.802731263021452,7.280865166118019,0.006969296185564027,0.45897793450643093,DAG,766270.7359771729,255512.80290222168,542675.7545471191,36888.88260650635,34804.762592315674,43886.56324768066
