Lipid,Class,07052023_ELOVL1_5Xdilution_HEPG2-01,07052023_ELOVL1_5Xdilution_HEPG2-02,07052023_ELOVL1_5Xdilution_HEPG2-03,07052023_ELOVL1_5Xdilution_HEK293-01,07052023_ELOVL1_5Xdilution_HEK293-02,07052023_ELOVL1_5Xdilution_HEK293-03,07052023_ELOVL1_5Xdilution_Blank-01,Title1,Title2,Title,length1,length2,Blank_name
FA(10:0) | FA(10:0),FA,42503.42297,102436.4468,151725.4302,68402.58453,119254.2484,150274.0503,22087.90182,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(10:0) | FA(10:0)_2,FA,43853.3031,105093.3673,146423.8512,73308.42523,121873.5093,150260.6907,20962.02151,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(10:1),FA,36441.46249,87649.04608,121415.8483,59419.88434,101617.0861,117447.4087,17463.8811,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(10:2),FA,20636.8215,46147.04321,63029.16455,30060.22209,52227.70345,57920.20392,11371.64085,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(10:3),FA,29131.54184,64517.88477,89798.78503,39570.86261,63461.78455,81915.74548,18861.10143,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(10:4),FA,26093.30202,53884.66394,81281.76593,41741.103,65089.54474,81743.20636,13677.30086,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(10:5),FA,72813.34503,162593.1718,216266.5352,127849.3087,197968.0952,219281.2965,36125.04254,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(10:6),FA,82369.30615,208760.4739,301654.1626,157149.8917,271764.8198,318724.9233,37498.36261,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(11:0),FA,30302.28214,69470.74548,108840.1277,49030.14328,86850.30615,106717.2479,15867.10107,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(11:1),FA,13399.28094,28899.46216,45804.44336,22007.84161,36931.94281,47441.34348,7222.460487,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(11:2),FA,46936.74359,102132.1874,155977.451,76461.14569,122870.5285,165995.1705,23154.36157,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(11:6),FA,69076.82458,164607.0715,232127.7366,117051.9485,195090.1747,240912.3749,35226.24213,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(12:0),FA,32525.26251,68875.86499,89276.80627,42125.92319,69770.82489,85996.40607,19471.36136,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(12:1),FA,47404.76331,80313.92566,83847.48633,51234.90347,66343.36479,67024.50473,28290.24197,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(12:2),FA,36473.86249,58835.72415,58578.02386,35677.72281,46511.62321,44894.06342,22258.86166,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(12:4),FA,9812.020737,21427.18143,28095.92212,15056.66113,26138.78183,31994.46231,5617.840393,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(12:5),FA,21267.46158,49694.64349,74856.08533,37733.86258,58958.88416,76132.64526,10699.90066,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(12:6),FA,66205.68494,158153.1106,232288.2576,111435.0875,187716.1139,229327.7561,30382.9223,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(13:0) | FA(14:7),FA,27477.44189,54567.16351,63045.12445,41880.06322,61154.46449,62438.34427,18690.76132,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(13:0) | FA(14:7)_2,FA,8366.020515,16398.78119,16721.10109,12310.12089,15341.14114,17979.76115,6520.920448,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(13:1),FA,6053.260406,13651.92096,15213.82106,9578.680706,12310.94087,13991.72098,5104.160378,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(13:2),FA,6780.040489,10704.60082,13092.16092,7842.50061,10577.82076,11804.14087,4408.04031,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(14:0),FA,7959.5205,12217.06081,16425.44115,10611.74068,13959.08104,15467.50133,5607.780422,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(14:1),FA,12013.82086,18387.64127,21429.48146,14397.54103,18628.28135,21564.74147,6910.840454,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(14:2),FA,16171.76117,27584.34198,33023.18225,20453.10144,25781.16171,28620.94235,9307.320679,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(14:4),FA,4133.560295,7160.860497,7721.920578,5126.400368,7399.780483,7731.300545,3332.660213,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(14:5),FA,18026.02121,33914.70239,42023.68274,27511.62189,39256.66301,43033.42317,10182.20072,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(14:6),FA,57651.58423,118878.0088,135015.4501,90528.96643,126252.6492,139807.0488,37020.60257,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(15:0) | FA(16:7),FA,22456.28159,40562.2229,49652.1037,34103.08246,44510.20323,50054.84357,13611.88095,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(15:0) | FA(16:7)_2,FA,7857.280586,9759.840683,11850.42088,9276.240631,11409.44069,12742.00081,4789.720364,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(15:1),FA,3556.180237,5409.420361,6535.800476,4645.460312,5159.440392,6115.660408,2852.32019,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(15:2),FA,2780.860226,3706.380264,3938.240307,3437.180252,3669.140266,3557.700241,2357.040165,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
