C1,C2,C3,C4,C5,R1,R2,R3,R4,R5
1702.58012,1312.220097,1424.640087,1235.600094,1119.400085,1319.980091,1332.780087,1498.5401,1134.680084,1220.720093
6987.500488,7163.440521,8372.140602,8042.840576,7078.120491,4710.020397,4717.840359,4736.360302,4985.100353,3828.120293
8301.300701,9143.300598,12648.421,8083.480526,8952.180687,6205.260601,5192.94035,7062.76046,5973.580414,4161.040302
973.100071,1013.560078,1088.660088,1036.760071,1001.000072,1008.760078,1005.78006,1114.940079,1010.680073,1004.840073
1726.300095,1903.360126,1720.460117,2307.980141,1646.440098,1091.020069,1326.340084,1245.240093,1272.540089,1313.440086
10745.64066,10387.54097,13300.90103,15372.7812,11606.60087,7861.680565,7468.980564,9828.660721,8557.960621,6741.520451
1490.520103,1938.980125,2000.440121,1274.760086,1481.560093,2056.760136,1627.960121,1572.800106,1505.480091,1556.440121
1138.860088,1397.240101,1284.360096,1272.460098,1234.08009,1116.460075,1027.200073,1275.800102,1066.860077,1120.720078
1077.560066,1431.480095,1132.460075,1486.80011,1144.280075,1247.100094,1283.340076,1126.62009,1305.620083,1300.400089
1024.020077,1058.240074,1096.700081,1063.180073,965.1400566,941.6200676,931.260067,988.8800697,972.0400581,1008.060074
1145.300076,1080.160072,1020.580063,1036.400078,1161.600086,1074.98008,1014.340073,1039.98008,980.2400665,975.9600677
6489.920319,5350.540325,7556.660583,5474.800316,5830.880474,4166.520252,3840.260292,5388.480446,5008.84026,3847.940235
1056.320072,951.5600739,986.0000648,967.3600616,1014.580074,949.7600632,987.2600708,973.0600739,1009.940071,962.9600639
969.8600693,1144.720074,994.480072,998.6800766,1062.100079,1022.780075,1073.580078,989.600071,995.0000801,953.3600693
1358.180099,1763.5201,1542.28009,1887.780132,1438.760101,1412.160095,1398.480091,1739.080128,1754.940113,1370.740101
2204.96014,2991.360222,2723.200188,2291.880146,3099.700184,2419.10017,2082.660164,2017.280159,2160.74017,1873.740139
3277.680252,3231.040237,4077.680317,3698.660278,3390.52021,3302.220234,2811.520241,2557.960178,2468.140144,3005.380222
1362.900101,1721.560123,1085.240078,1405.000099,1119.920082,1256.940086,1228.080097,1272.700085,1432.800102,1217.18008
1925.78014,2276.600151,3153.10022,1908.860119,1876.840115,1653.940125,2068.820156,2012.72015,1519.080112,1618.980114
998.7400703,994.9800644,985.5400658,1016.360073,996.3400688,1103.520077,1030.260075,1074.740067,987.3600693,1030.140079
999.0000687,1052.860069,1023.240078,1378.160099,1075.340073,1033.480072,999.5800667,1101.700073,974.4600677,1063.460064
1753.040115,2075.000149,2260.560146,2075.220116,2569.820183,1903.960136,1683.380135,1957.420139,1528.280098,1653.680119
2407.000198,2482.960182,2689.340199,1851.220139,2340.900169,2111.600147,1795.720131,2118.260143,1745.70013,1820.680138
1166.840084,1089.98008,1272.040096,1200.740082,1191.760082,1214.12009,1240.140079,1536.7001,1306.380093,1339.380096
5818.720413,5869.300388,4819.900352,5046.340382,4770.820347,4512.060318,4524.38031,4540.080303,4324.460297,4298.880299
2997.820194,3523.060261,4247.540298,2895.000172,3915.86031,2745.140167,2410.760185,3395.860218,3126.02018,3174.240192
1736.820114,1792.240116,2174.160175,1603.420116,1940.640148,1525.240097,1576.840118,2020.280136,1530.620094,1195.780094
1168.620079,1156.240093,1087.000076,1102.380077,1104.380085,1333.160099,1270.520081,1181.26009,1089.180077,1337.820095
5676.560364,5384.320396,5241.480358,5383.360359,4496.400322,4421.620312,4456.920303,5126.400345,4405.52034,4293.440311
1209.62009,1620.720123,1533.400101,1331.180092,1279.58009,1199.620098,1377.880089,1303.92009,1199.360081,1265.50008
1421.360096,1391.420101,1347.800091,1201.500084,1617.400116,1363.660107,1216.020088,1210.860085,1167.620071,1088.320091
5673.540527,3928.980289,4653.320328,4596.860313,5172.700447,4212.920277,3905.880299,4609.080315,4199.02034,4031.800308
6248.120388,5808.380325,7388.720455,5281.76038,6384.200451,5023.200443,5050.320332,5929.200428,5627.220379,5544.120399
1578.000126,1312.960087,2188.60017,1241.560093,1285.50008,1270.620079,1177.800076,1417.560093,1378.2201,1345.160099
1471.44009,1679.880104,1751.160126,1592.500107,1580.56012,1238.920086,1204.540077,1262.560085,1642.440113,1227.880093
1706.900108,1514.860107,1602.320118,1451.82011,1780.920135,1354.040096,1464.960114,1658.280125,1438.460121,1235.760071
5630.060341,4787.940311,7060.120529,5171.320358,6097.020367,5052.100334,4723.100334,5735.740318,5568.520378,4283.880272
1179.160103,1126.340084,977.8200722,1099.780079,999.8000679,1240.800079,1225.320099,950.2200623,1095.340073,1037.140076
5606.640442,5142.620354,6868.100559,5114.040337,6121.16048,5656.700497,4552.800308,5472.300415,4769.320385,5148.50034
1306.620094,1304.76009,1305.180096,1457.10009,1277.640087,1110.160084,1119.460087,1394.260113,1235.94009,1140.080078
1035.120083,1041.160065,1040.340076,1090.440075,992.5000725,1010.14006,1069.720066,1044.200085,1033.300083,982.2800751
1091.74007,1257.040085,1262.520096,1257.200085,1196.240086,1165.160084,1108.140083,1071.320076,1049.500072,1046.960072
1128.560078,1023.480072,1097.520077,1165.640083,1091.380077,1000.140076,1013.420067,1142.460075,1040.080074,1095.240074
16896.48116,16795.38131,15897.18117,16597.58113,15450.3811,14600.90104,15017.12113,15109.52107,14045.62104,14856.14108
963.240078,1013.380077,1183.12009,1001.840076,1021.080074,995.7000771,997.2200623,986.9800644,1072.460072,947.4600716
22240.60148,22756.22176,23076.58159,20225.78149,20166.9015,19827.2014,21978.6416,19730.04137,19118.84134,17103.14124
1223.540085,1625.96011,1461.820114,1094.400082,1280.580101,1202.780075,1189.780079,1286.340084,1179.92009,1177.10009
1422.180088,1231.840088,1420.040096,1190.160088,1325.060093,1108.220085,1177.040077,1187.840084,1179.620075,1303.400089
29616.52206,28097.762,28435.58237,24309.48186,30846.6024,28558.38195,27123.26258,25627.62186,22873.26154,23378.24201
1123.000076,1155.520088,1195.500084,1041.100067,1107.540085,1076.900078,986.7400818,952.2200699,1128.120087,952.5200615
3367.400307,3404.56023,3592.520233,2456.180172,2981.500175,2549.500172,2449.880165,3170.000175,3462.200302,2688.320202
2884.440212,2986.82021,3782.620293,2785.020203,3080.560177,2376.660198,2898.580246,3008.820217,2904.360203,2837.200195
1059.08007,1083.220081,1255.460087,1255.340099,1258.780094,1189.780079,1115.640068,1240.940102,1255.100082,1096.080086
1069.520073,1054.860069,1024.400082,978.5600815,1161.620083,907.12006,1022.500076,946.840065,980.56007,957.0200691
14339.64094,13518.28098,13716.66095,14579.981,13005.18097,12804.30095,12274.02082,12615.0609,12872.38092,12721.08096
1068.040077,1132.760071,1225.040085,1110.360081,1055.520073,1136.460087,1222.060089,1087.380081,1063.560074,1095.060078
1870.720135,1656.80011,1733.02013,1873.360138,2096.640148,1708.420116,1605.080109,1630.820118,1546.860111,1485.720085
1561.940109,1549.800117,1565.860115,1320.420097,1498.140121,1380.760094,1517.200111,1335.120098,1249.140099,1330.980099
7324.50053,6839.280537,8610.820652,6162.46043,7098.020596,6868.620533,5974.14043,6247.900448,7756.7006,5843.420383
978.1600647,1046.940075,1064.500072,1138.140079,1083.700077,1066.280083,1043.880077,1036.320065,1023.280071,997.3000641
1211.400078,1200.960083,1233.460087,1130.200077,1184.620094,1040.340076,1077.020081,1056.240074,1140.980076,1142.660076
1122.760075,1104.280075,1329.340084,1087.00008,1030.940079,1053.980076,1028.000072,1082.100079,1049.500072,985.4800682
980.3400726,1043.300072,986.7000694,941.2600594,1037.300079,937.3600616,903.6000633,920.0800667,916.9000549,915.3600578
1002.200073,1018.680073,959.1000671,988.400074,974.6200752,1009.980083,1037.160072,964.8000641,958.3600693,984.0600739
1061.300076,1149.020084,1190.260086,1232.780075,1175.50008,1048.760071,1034.380085,1121.400085,1102.880077,1089.480072
1096.100075,1035.220074,1175.92009,1039.460068,1060.48008,991.1400719,1051.100075,1112.38007,1082.280079,1013.600067
1050.760071,1095.440079,1288.040092,1221.020084,1098.760082,1049.900063,1146.560081,1000.020081,1080.800076,1110.400085
1022.54007,1108.980076,1055.080063,1086.940067,1004.020069,1022.020073,996.6600647,1077.760075,1048.720074,1064.760075
1152.860077,1121.740074,1239.360088,1247.820091,1201.440086,1096.18008,1078.940086,1093.480072,1147.760078,1144.780071
1143.920082,1063.200077,1204.720078,1096.500084,1010.340069,1008.74007,1033.500076,1028.860065,1079.920082,985.9800644
4509.980309,4123.880272,4166.9403,3934.760269,4209.720284,3742.060276,4085.580303,4018.280293,3574.480255,4087.800289
1198.420086,1220.960091,1171.820084,1107.900085,1174.960079,1070.500084,1125.960079,1119.68008,1080.500084,1090.840073
996.6600685,1035.020069,988.4400711,986.8800735,1060.060081,1034.200077,1026.580078,1028.640079,1069.920082,1036.700073
1186.720085,1073.080078,1147.400078,1092.960087,1084.120075,1058.960064,1041.240067,1061.940075,1039.440071,1026.500069
1104.480072,1100.88007,1174.020092,1078.580078,1203.580067,1058.500072,1056.240067,1070.520077,1078.600082,1039.220074
1030.620075,1005.820076,1176.42009,955.4000664,992.0000763,972.8200684,941.1600647,1015.540085,972.5800705,927.7800674
4169.500305,4666.060322,4608.740341,4196.300323,4235.980293,3832.060272,4186.300293,4509.64032,3950.520279,4130.780277
1026.220078,1080.480072,1103.040077,1104.360077,1113.980076,1080.620075,1039.820068,1041.50008,1022.820076,1155.740101
1001.780071,943.4000664,998.6000748,1030.460068,1014.500065,1071.84008,954.7600632,994.9400597,942.7600632,1005.06007
1062.980072,1039.520065,1239.300087,1026.440079,1094.180073,1007.500065,1012.980064,1145.060089,976.9600639,1006.420074
1262.920078,1119.240082,1210.62009,1131.42009,1127.180077,1051.90007,1058.780075,1163.04007,1200.720081,1065.940079
1155.480076,1106.680077,1017.16008,1006.72007,1017.080074,1020.520069,1010.22007,1019.140072,1055.200081,995.7400703
1056.100079,1095.360077,1133.060074,1139.400093,1207.760086,1114.720085,1135.620075,1117.320087,1054.980072,1091.940086
1109.580093,1136.780079,1092.780079,1083.100079,1029.380066,1091.520073,1092.080086,1172.080082,1042.520077,1030.400066
1076.120079,1122.900082,1180.300087,1117.040085,1129.100075,1110.920078,1104.700081,1075.780071,1035.000065,1022.060078
1193.980076,1199.460075,1261.140095,1121.38007,1272.620098,1184.380085,1139.240082,1131.300076,1176.680088,1111.440079
3754.420258,4120.480301,3746.980274,3497.420246,3707.920246,3616.380245,3551.800251,3687.04026,3561.400234,3522.540241
1274.800102,1257.220085,1250.420094,1075.580074,1125.200081,1112.580086,1171.60009,1131.920082,1141.780083,1126.660076
1263.440079,1124.160076,1432.600117,1177.640083,1539.900112,1139.280087,1199.660088,1256.060093,1300.160088,1304.080097
1229.720081,1111.32008,1164.300087,1073.940083,1123.280079,1091.200081,1115.800072,1106.98008,1043.920074,1070.400082
1015.540073,1007.400074,1013.060074,975.9800644,997.1400719,1009.340073,1099.380081,1030.200066,1023.020069,990.1200714
1026.240067,994.9200706,1004.020069,1033.18008,1064.080067,1020.56007,1091.420078,1044.140076,975.7400703,1008.90007
1131.740078,1111.000076,1199.940083,1115.440094,1133.720089,1084.800079,1051.680077,1019.760075,1138.460087,1139.540077
1050.420067,1199.980087,1053.060078,1122.240074,1122.50008,1109.360081,1068.000076,1167.940094,1042.280079,1084.16008
1108.600075,1092.020077,1061.500069,978.5200768,962.4400749,968.1400642,1028.560089,1024.640072,986.1400681,980.6400795
1117.720081,1214.620075,1264.820091,1097.920082,1133.740086,1113.800087,1114.800079,1076.320068,1118.200085,1147.720078
44039.44327,43872.88325,43811.30329,43326.64322,42293.34298,41274.68304,41206.52298,43956.94326,40690.72302,41940.46302
1074.420078,1109.680077,1185.120071,1098.660088,1075.880081,993.1200676,1009.00008,1160.940083,1052.120068,1115.780075
1019.180077,1015.920074,1170.820084,981.320076,1165.280079,972.1000671,985.1600761,1056.840073,1043.380066,1068.780075
1104.080078,1006.440067,1186.100094,1117.18008,1136.480068,1064.040081,994.7000656,1202.220085,1023.360069,1059.060081
5523.080265,5297.400349,6765.640514,5152.020329,6278.360531,4940.260349,5139.32032,6120.560356,6412.720413,5220.400349
1111.84008,1093.160076,1271.020096,1133.200066,1076.160084,1105.940071,1023.580082,1128.200092,1070.06007,1132.020081
4439.660381,4333.240284,4396.380413,3560.580276,4626.820324,3922.960289,3913.680233,4475.820267,4432.760319,3783.400276
1180.840084,1092.900074,1211.360081,1182.660088,1081.240082,1102.300079,1072.38007,1154.98008,1164.440083,1064.540077
1056.00008,1057.180073,1028.72007,1080.000076,1069.800076,1061.360081,1116.760082,1077.180084,1102.020088,1078.840084
1006.440079,1052.120079,981.9000702,990.2400703,1003.680069,1009.120068,985.7400665,1052.900085,969.6200752,1048.280075
1054.360077,1032.520069,1120.800087,1084.82008,1052.260063,990.3800774,1053.940071,1046.080078,1040.940067,1051.820072
1091.26009,1055.680073,1107.640091,1072.560085,1083.220081,1014.200069,1052.420067,1045.020077,1095.260075,1040.800076
977.3200722,1101.580082,1098.920086,983.5000687,993.4000778,1004.960072,1089.920074,1087.420078,1001.120071,1064.260067
1941.600101,1933.260143,2393.420158,1852.460117,1871.080147,1730.940136,1873.520153,2137.940155,2286.540184,1657.520138
988.9600754,1030.300064,1083.540073,1036.080078,1000.780071,997.5600739,1029.12006,999.4600716,1057.640076,1056.180065
1112.700077,1146.600086,1117.040085,1056.32008,1123.100079,1065.300079,1113.180084,1083.50008,1086.980068,1063.980072
1018.180069,1039.000076,1015.940071,1101.440071,1019.800076,981.4600716,1044.520073,1061.880074,1108.960075,1018.940075
1132.280094,1074.640079,1317.2201,993.0800629,1215.720085,1171.380081,1142.320076,1200.900089,1007.600071,1052.140076
1114.820084,1132.220074,1139.740086,1033.58007,1084.700081,1039.360085,1077.82008,1024.700069,1142.660065,1099.66008
1102.98008,1085.620075,1146.400078,1054.800072,1055.340073,1052.400066,1029.040073,1087.840076,1063.140079,1102.300079
1019.460072,1041.520073,1131.800079,1022.020077,1071.320072,1034.360069,1028.680069,1055.060074,1014.520073,1042.000072
1112.120079,1183.400074,1138.060085,1049.260078,1116.740078,1110.860069,1054.080074,1161.140083,1081.840084,1090.640083
4243.34029,4481.020309,4847.400341,3924.060291,4414.920326,4034.600296,4650.360348,4678.600323,3856.280258,4209.940296
2357.860165,2321.380165,2446.60017,2344.540169,2400.980179,2341.300167,2331.240166,2333.300167,2366.500164,2299.540173
1172.640083,1094.180073,1163.640087,1026.120075,1108.340076,1097.140076,1083.280067,1106.980091,1107.820076,1063.18008
1083.560081,1087.020088,1152.360096,1068.860081,1110.22007,1072.620064,1090.700073,1083.180077,1048.580078,1106.040089
2910.740185,3864.500267,5321.960358,4020.160309,4336.920269,3586.680244,3462.760281,3925.180279,5761.820396,3578.400276
1276.080082,1095.580082,1219.920086,1040.360073,1102.140076,1077.880062,1083.18008,1267.780087,1108.340076,1109.440079
1074.260082,1044.000076,993.5200691,984.9400673,1126.520073,983.9200745,990.3400764,1019.980068,996.5400658,1026.980076
1071.940071,1099.060081,1212.900085,1039.660088,1190.920078,1154.280087,1108.260071,1075.680084,1103.84008,1075.580067
52643.6645,52635.72396,57186.76395,46968.1836,48994.48346,55648.64513,49799.84357,53139.56479,49873.54286,46130.20301
5090.78035,4785.100372,5545.840385,4910.380352,5304.600353,5264.380363,4812.78035,4925.120338,5100.520367,5181.300377
1102.660076,1065.940079,981.0200729,1022.840073,1088.580074,1025.360069,996.8600883,1075.90007,1011.240067,975.3800697
1007.520069,1103.980076,1032.420074,1070.400078,986.6200638,1012.260067,1003.020077,1014.380062,972.6200638,1005.760071
1018.12009,1058.320061,996.1400719,1070.180073,1015.880077,1016.660069,1091.980083,1053.300068,1045.08007,1010.700069
1058.220074,987.3600655,1114.360069,1028.600079,993.4200668,1009.100071,987.4800682,1071.080082,1071.780067,1011.980072
1098.200077,1112.740082,1232.48008,1112.360081,1118.960072,1061.06007,1164.600094,1142.180069,1116.12009,1145.640095
65976.70436,69654.80466,77787.66539,51956.70414,64054.42533,67998.32436,63914.58413,70383.16424,62864.96397,59702.24385
3390.82024,3680.320248,3798.080261,3376.56023,3516.680256,3539.320255,3489.000233,3468.18026,3634.900242,3535.160233
998.8800735,1025.74007,1128.460083,954.8800659,1005.54007,976.1000557,1004.880062,964.340065,1079.320072,1051.600067
1086.000076,1095.320072,1132.360077,1045.720081,1160.50008,1056.260071,1124.800072,1102.200077,1123.980076,1088.760078
1046.720074,1021.940075,1071.040077,1004.88007,1013.420074,1015.400074,1028.220078,1095.360077,1005.660069,1007.860077
1035.640079,1298.360088,1027.600063,1098.48008,988.0000801,1062.520081,1036.960083,1188.160091,1117.580078,1049.580067
4969.220306,5438.460297,5338.980331,4829.320335,4267.480339,5013.880379,4807.900303,5116.240334,4747.860245,4950.100361
991.0400658,1074.560066,1244.040081,1004.620064,1030.600075,1085.580078,1083.360081,1122.200073,1032.760071,1072.120075
5431.240368,4659.000359,6112.000477,4263.100323,5927.740402,6439.900494,6919.580486,8431.600513,8220.560669,7344.440479
18242.54118,15360.76112,22405.84152,14571.94113,17294.08138,25241.56195,23078.38181,28859.78248,27209.92199,21514.36158
2314.720146,2298.100136,2154.76017,1756.440125,2474.480171,3001.380207,3268.360245,3363.360222,3243.50021,2961.28019
2305.120152,2242.400146,2801.540218,2293.240158,2961.600197,3529.460262,3365.280209,4400.660358,3781.840282,3654.820244
13665.64077,12713.92093,18189.86138,11374.62081,15457.48108,20105.14147,19209.58108,24284.08158,23917.32189,17942.02125
16087.26109,16528.02117,21317.60143,17244.28147,17419.18113,24759.34159,24772.60159,27854.24221,30299.60189,25436.0822
