Parent_Ion,Product_Ion,OzESI_Intensity,Lipid,Class,Sample,Sample_Name,Sup_Pel,Intensity_Subtracted
339.3,183.0,83534.0,FA(10:0),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,65097.0
353.3,183.0,5175.0,FA(11:0),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,717.0
365.3,183.0,5559.0,FA(12:1),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,469.0
367.3,183.0,5033.0,FA(12:0),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,526.0
381.3,183.0,5421.0,FA(13:0),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,923.0
393.4,183.0,7577.0,FA(14:1),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,3001.0
395.3,183.0,5657.0,FA(14:0),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,636.0
407.3,183.0,4735.0,FA(15:1),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,417.0
409.3,183.0,4731.0,FA(15:0),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,273.0
421.4,183.0,4670.0,FA(16:1),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,434.0
423.3,183.0,4654.0,FA(16:0),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,491.0
435.4,183.0,5088.0,FA(17:1),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,382.0
437.4,183.0,4402.0,FA(17:0),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,-46.0
443.4,183.0,4382.0,FA(18:4),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,-88.0
445.4,183.0,4798.0,FA(18:3),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,6.0
447.4,183.0,4559.0,FA(18:2),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,245.0
449.4,183.0,12226.0,FA(18:1),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,-2.0
451.4,183.0,4729.0,FA(18:0),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,72.0
469.4,183.0,4331.0,FA(20:5),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,76.0
471.4,183.0,4709.0,FA(20:4),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,315.0
473.4,183.0,4383.0,FA(20:3),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,-30.0
475.4,183.0,4645.0,FA(20:2),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,211.0
477.4,183.0,5063.0,FA(20:1),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,-364.0
479.4,183.0,4799.0,FA(20:0),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,375.0
493.4,183.0,42385.0,FA(21:0),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,-330.0
495.4,183.0,5313.0,FA(22:6),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,19.0
497.4,183.0,4533.0,FA(22:5),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,-92.0
499.4,183.0,4436.0,FA(22:4),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,-36.0
501.4,183.0,5209.0,FA(22:3),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,368.0
503.4,183.0,5693.0,FA(22:2),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,930.0
505.4,183.0,5805.0,FA(22:1),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,665.0
507.4,183.0,5587.0,FA(22:0),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,68.0
521.4,183.0,6234.0,FA(23:0),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,-533.0
533.4,183.0,4577.0,FA(24:1),FA,FA_AMP_SV13_p1_N1_9_6_24,SV13,p1,45.0
