type,Down,Up
CAR,0,0
CE,0,0
Cer,0,0
DAG,14,15
FA,64,0
PC,11,56
PE,9,28
PG,3,10
PI,4,4
PS,0,13
SM,0,0
TAG,56,25
TAG | DAG,1,0
