type,Down,Up
CAR,0,0
CE,0,0
Cer,0,0
DAG,7,15
FA,5,0
PC,10,18
PE,4,25
PG,3,12
PI,2,4
PS,0,12
SM,0,0
TAG,35,31
TAG | DAG,1,0
