lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_cortex,DOD94_F4_Female_5xFAD_cortex,FAD185_M1_Male_5xFAD_cortex,FAD185_M3_Male_5xFAD_cortex,FAD189_M1_Male_5xFAD_cortex,FAD189_M2_Male_5xFAD_cortex,DOD94_F3_Female_WT_cortex,FAD184_F3_Female_WT_cortex,FAD184_F4_Female_WT_cortex,FAD185_M4_Male_WT_cortex,FAD189_M3_Male_WT_cortex,Blank_Blank_Blank_Blank_Blank
LPE(20:2),5.086454645957395,3.4642342738012823,94.30323763150238,2.707071585856201e-22,8.654507859982275e-19,PE,2140.8401527404785,2055.260139465332,552806.6551513672,111081.00933074953,86580.92544937134,5080.360347747803,2104.0001525878906,2855.6202278137207,2177.3401489257812,2187.74015045166,2173.5601692199707,2000.340129852295
DG(40:10)|DG(39:3)_C18:0,3.6620503624076433,4.168989071598066,56.50436530591787,5.607375199022551e-14,8.963389255637547e-11,DAG,4340.680313110352,12429.50089263916,162299.21299362183,14495.061027526855,16362.201206207275,1000045.3145713806,2589.300205230713,11740.800819396973,10730.2007522583,14801.721046447754,11472.880821228027,3224.120246887207
LPE(20:1),3.139269436243454,1.7401174339367,43.72307665635059,3.782848678284207e-11,3.3815015660940103e-8,PE,2401.66015625,2268.1601524353027,132247.60803985596,37634.5627822876,30525.00203704834,4573.460258483887,2632.7401847839355,2424.5601692199707,2335.320152282715,2575.700180053711,2460.460163116455,2031.0601501464844
LPE(20:3),3.129860443296172,1.921085174249364,43.5040431925641,4.230843373279963e-11,3.3815015660940103e-8,PE,3510.120292663574,2667.400157928467,154099.91077041626,44359.44305801392,28154.30215072632,4231.86022567749,2204.24015045166,4398.340377807617,2424.300148010254,2821.360221862793,2089.3801498413086,2059.740146636963
DG(36:3)_C18:0,2.9207044974726406,6.150909311400146,38.67879283794492,4.996079291879902e-10,3.194493099228009e-7,DAG,56192.32408905029,57656.14430618286,931371.2541313173,63198.22480773926,60623.46455001831,3222199.0540618896,58645.66415786743,59841.54425430298,56077.08395767212,62208.74425125122,64007.36476135254,65619.12463378906
DG(37:4)_C16:1,2.833738088319554,8.305284622258796,36.714638605713844,1.3674871741257217e-9,7.286427492799888e-7,DAG,766270.7359771729,255512.80290222168,8200150.804519653,5743482.041870117,103009.04527282716,4309899.743774414,542675.7545471191,36888.88260650635,34804.762592315674,760026.1086730957,162884.57500076294,43886.563247680664
LPE(20:0),2.713598548265078,1.1050571818391082,34.02678818982002,5.4358513607667355e-9,2.4826309714816077e-6,PE,2069.4001502990723,2071.8001403808594,71327.20523071289,28689.922233581543,20198.2014503479,3630.240203857422,2104.6001472473145,1964.2201461791992,2012.6401329040527,2056.3401489257812,2132.100143432617,2168.8401489257812
LPE(20:4),2.6787737379733843,2.4941106461663676,33.28266539570859,7.96898336459705e-9,3.1846049770770962e-6,PE,6735.740474700928,3850.160335540771,264536.8984298706,42672.74304962158,18893.04136657715,2492.0801582336426,3832.8402976989746,13525.22087097168,2845.580192565918,3242.400260925293,2589.7201538085938,2961.640182495117
DG(O-38:9)|DG(36:2)_C18:2,-2.259938151961447,5.75224255406655,26.760758839833215,2.3026610745042477e-7,8.17956383910009e-5,DAG,4575.6202964782715,3260.920238494873,6379.3204917907715,13213.320667266846,151216.47158813477,3237.9602279663086,187964.4136619568,11845.860782623293,3242.3402366638184,230581.25721740723,3236.6802368164062,940433.7267990112
DG(35:4)|DG(O-36:4)|DG(dO-37:4)_C16:1,2.2666546452430754,1.2803200442458447,24.7306319283839,6.592798143282646e-7,2.1077175664074618e-4,DAG,2965.4802169799805,13078.760986328123,18257.84135055542,4564.260383605957,4662.000331878662,87828.32587814331,2930.920207977295,2925.6802253723145,2994.740207672119,3185.740234375,3054.2802352905273,2929.0802116394043
[TG(61:11)|TG(60:4)]_FA22:5,1.9293694470231357,9.091466181353242,18.448465951437832,1.745612950088881e-5,0.005073386001303775,TAG,1170944.4728393557,907871.4001464844,8521712.768066406,4608218.761413574,10325682.837280272,5724398.009887695,1173045.948059082,482631.3127441406,438117.9112548828,1296124.043701172,1053492.7370605469,137564.6700744629
[TG(61:12)|TG(60:5)]_FA22:6,1.9137559558975803,9.270233896649962,18.174156266889,2.0159598327181953e-5,0.005370852987666726,TAG,1424490.3291015625,998759.9576416016,9870692.794921877,5181720.438232422,11158015.578308104,6604237.154663086,1369124.905090332,530313.7134399414,486219.5783691406,1433235.3274230957,1254910.9294433594,153794.44931030273
PE(40:6)|PE(dO-40:0),1.7537244067726874,11.661596405606145,15.457129981400307,8.439794700272312e-5,0.020755402812900448,PE,15191566.969482422,3431023.107910156,43347592.783691406,31246872.606933594,51209255.81933594,34694237.58496094,3489119.844482422,4432735.7763671875,9505223.0205078125,8038495.532470703,3376109.065185547,183418.73315429688
PI(38:4),1.70804777821487,10.521727340305969,14.714236732336547,1.2509814636478577e-4,0.02856705528058715,PI,5742859.923706055,2109606.07421875,18964249.315185547,16849076.783203125,23123847.909423828,14071898.182006836,1776969.6245117188,2063641.091796875,3898993.835205078,4279395.711425781,1512645.3295898438,67657.58447265625
[TG(55:11)|TG(54:4)]_FA16:0,1.6855791621226288,10.494129660510477,14.354292214993848,1.5143407075953589e-4,0.030258420263639764,TAG,5927175.963745117,1948502.0974121096,18014893.561035156,17120540.081298828,23811293.59033203,12255546.647460938,1606772.1477661133,2259594.5764160156,3477323.428466797,4731802.588012695,1488280.5549316406,59198.843994140625
PE(38:4),1.6895585793134171,10.973294743978935,14.417777124659848,1.464136130230433e-4,0.030258420263639764,PE,10397772.046875,2355764.8811035156,27268403.8125,19092853.46899414,31245602.11767578,19068376.90673828,2465664.9471435547,2664567.080078125,6141552.260253906,5163527.187744141,2087434.925048828,85672.04602050781
PE(40:4),1.6726967540175108,8.608013513884698,14.149533015195631,1.6883900871917854e-4,0.03175166534560081,PE,1771396.681640625,486563.8381347656,5156349.554321289,3654582.1630859375,6057575.626220703,3967990.270507813,498830.63818359375,552232.2177734375,1085930.3853759766,954276.1706542968,509846.5017089844,98494.9072265625
PE(38:6),1.6530784603601136,10.146601144242121,13.840120688230439,1.9904043094904272e-4,0.03535179209689387,PE,5047215.410400391,1359327.8920898438,15037976.588867188,10983687.037109377,17349277.5859375,11787906.68725586,1301386.884765625,1740542.4760742188,3367245.0888671875,2917959.9802246094,1302656.1987304688,125977.90869140624
PE(40:5),1.6417342646464992,8.95107104141849,13.662458072256971,2.1878490970658637e-4,0.03681343980694509,PE,2344075.2465820312,643073.9892578125,6389070.266113281,4653219.323486328,7480201.199951172,5042232.229125977,602433.2048339844,713340.54931640625,1438955.0966796875,1262407.2348632812,639283.82275390625,122497.78845214844
[TG(54:5)]_FA16:1,1.6355426915958033,10.39390494787629,13.56592674252482,2.3032866528246686e-4,0.03681803714540233,TAG,5704877.237548828,1964871.5920410156,16958184.77001953,14953420.697875977,21246502.786376953,12163959.627197266,1500615.077758789,2053373.1634521484,3364039.373046875,4635697.680175781,1521280.9294433594,50920.823791503906
DG(36:3)_C16:1,1.59390016887635,5.742576035054104,12.923681463726101,3.2445111669627375e-4,0.04939382000371367,DAG,343017.6452636719,329497.80101776123,486105.276184082,509943.0180358887,148940.02978897095,653151.9675445557,74434.1650390625,33302.52237701416,32338.66215133667,368930.0072631836,52217.42389297485,48801.16325378418
PS(40:6),1.571478287851369,12.69227257736805,12.583661597084657,3.891336007786522e-4,0.05654818734951596,PS,28633114.78125,13590343.8203125,76398576.09375,75990235.078125,78843048.484375,64728846.71875,8979179.66015625,7561599.554710388,21840351.5546875,17076816.54296875,7583059.552734375,5027281.986328125
PS(40:5),1.5644455694956716,9.754766583094732,12.477704191682882,4.118380336564484e-4,0.057245486678246325,PS,3891333.376953125,1815814.046875,10077343.0390625,9741415.49609375,10119040.55078125,8324860.8505859375,1179678.2250976562,956047.6093788148,2838107.3564453125,2247580.6708984375,1062075.83984375,656079.64892578125
FA(18:2),-1.4787050153287409,6.45169934672755,11.894040135633993,5.631384052775934e-4,0.0705006468554036,FA,174883.3123779297,298758.0430908203,73112.46588134766,52096.063415527344,883728.8199462891,90337.70544433594,353681.74938964844,84620.44519042969,109838.74688720705,2289840.9837646484,194293.45635986328,92326.447265625
PE(38:3),1.5238438443583229,8.071578029004181,11.873418556029263,5.694079913288292e-4,0.0705006468554036,PE,1360535.1088867188,366301.8857421875,3420122.5803222656,2445326.789794922,3938309.053222656,2513095.718017578,372071.2834472656,390681.7878417969,824770.82275390625,720438.8970947266,379877.4064941406,87890.98571777344
PG(40:6),1.522966726242046,13.05033574224209,11.860552634178399,5.733552762716589e-4,0.0705006468554036,PG,35941538.203125,16318027.291015623,91332560.65625,86909209.125,122695345.265625,80955134.140625,8951768.888671875,16144537.72265625,21708278.05078125,23102026.1640625,13995563.025390623,6247493.1796875
LPE(18:4),1.5141257982483132,4.809375382351601,11.730215742776181,6.149346344706348e-4,0.07281281579268961,PE,52224.92346191406,49601.64385986328,82219.50634765625,1005620.4807128906,60744.32434082031,73540.64447021484,51492.88330078125,47761.20330810547,49976.36376953125,47077.783203125,60453.204345703125,56470.204345703125
PG(40:5),1.4962208918184179,10.238197235236138,11.469638975979786,7.07424219067926e-4,0.08077268672714856,PG,5296196.798828125,2459894.5283203125,12990467.689453123,12140071.599609377,17123154.8359375,11258568.373046877,1287889.1137695312,2316902.0146484375,3103028.1162109375,3317074.04296875,2102062.8798828125,911319.083984375
[TG(60:13)|TG(59:6)]_FA22:5,-1.4317419815508312,9.359234812055393,11.168960835215827,8.317720260679168e-4,0.08577984410771386,TAG,432459.3494873047,636547.6641235352,5124024.193603516,4144828.5814819336,3038763.270385742,451908.2137451172,1476578.274169922,5006692.261291504,468631.6297607422,7972292.2341918945,7195262.272033691,53200.703857421875
PE(38:5),1.4827867314592766,8.716017018212861,11.275378728259268,7.854182967476409e-4,0.08577984410771386,PE,2222563.019897461,704204.1866455078,5405551.490600586,3822759.138305664,6043773.176269531,3553550.3834228516,598200.7032470703,622375.3010253906,1370444.770263672,1176950.8321533203,535431.5792236328,90965.40686035156
PS(44:10),1.4793829957624707,7.332791734209507,11.22633991310431,8.064452911016266e-4,0.08577984410771386,PS,641092.24072265625,345416.46423339844,1755101.0349731443,1924792.956298828,1813574.4926757812,1501847.7849121094,266842.44091796875,214642.7950630188,428408.1923828125,425464.2678222656,259238.83850097656,178567.05322265625
PE(37:6)|PE(O-38:6)|PE(P-38:5),1.4525391685683033,7.3165031004541055,10.843192542903125,9.915962180443987e-4,0.09628031199218602,PE,745007.6301269531,210001.71362304688,2072888.4025878904,1414588.7409667969,2123818.973876953,1590561.8583984375,237175.61572265625,259109.55615234375,465625.9736328125,395321.00744628906,276625.79919433594,87416.285888671875
PS(40:4),1.4522427102592144,8.767515635699674,10.839040029422216,9.938224259437407e-4,0.09628031199218602,PS,2035990.462890625,989768.6083984376,4976274.6201171875,4757635.73046875,5086891.26953125,3696157.09765625,635715.2255859375,511712.8385543823,1519825.486328125,1158994.94921875,578633.96435546875,383398.1474609375
PE(40:7)|PE(39:0)|PE(O-40:0),1.4437160376907303,8.491003919581226,10.718547013335012,0.0010606693074887979,0.09973411106004962,PE,1561211.3298339844,676361.0720214844,4343308.433349609,3566598.8833007812,4985810.662597656,3418156.8325195312,519877.1125488281,576350.87939453125,1067736.5004882812,946431.9060058594,665234.53173828125,96693.20751953124
PG(40:4),1.437991152731376,9.073294602846644,10.637985380709523,0.0011078829538057541,0.10119719438048559,PG,2493463.6215820312,1177726.2592773438,5736583.6123046875,5233927.9609375,7657596.0546875,4491225.3916015625,634237.32421875,963610.7668457032,1474767.2685546875,1506665.7421875,978264.73681640625,462435.61083984375
