type,Down,Up
CAR,0,79
CE,0,31
Cer,0,120
DAG,50,260
FA,77,65
PC,156,7
PE,53,18
PG,58,20
PI,125,3
PS,45,17
SM,0,42
TAG,414,173
TAG | DAG,0,12
