lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_cortex,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F4_Female_5xFAD_cortex,DOD94_F4_Female_5xFAD_hippocampus,FAD185_M1_Male_5xFAD_cortex,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_cortex,FAD185_M3_Male_5xFAD_hippocampus,FAD189_M1_Male_5xFAD_cortex,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_cortex,FAD189_M2_Male_5xFAD_hippocampus,DOD94_F3_Female_WT_cortex,DOD94_F3_Female_WT_hippocampus,FAD184_F3_Female_WT_cortex,FAD184_F3_Female_WT_hippocampus,FAD184_F4_Female_WT_cortex,FAD184_F4_Female_WT_hippocampus,FAD185_M4_Male_WT_cortex,FAD185_M4_Male_WT_hippocampus,FAD189_M3_Male_WT_cortex,FAD189_M3_Male_WT_hippocampus,Blank_Blank_Blank_Blank_Blank
LPE(20:2),5.135789028608139,4.050138611821367,200.15099382568,1.935894678878092e-45,6.18905528837326e-42,PE,2140.8401527404785,2251.5601539611816,2055.260139465332,2216.220146179199,552806.6551513672,386055.4677848816,111081.00933074953,342430.14724731445,86580.92544937134,10192.700828552246,5080.360347747803,2125.4401359558105,2104.0001525878906,2058.2001457214355,2855.6202278137207,2127.5601501464844,2177.3401489257812,2265.580150604248,2187.74015045166,3187.380271911621,2173.5601692199707,2087.800148010254,2000.340129852295
LPE(20:1),3.47781455837544,2.5082303779210835,108.5695332321575,2.016505970506791e-25,3.2233847938551056e-22,PE,2401.66015625,2481.9801902770996,2268.1601524353027,2274.4601516723633,132247.60803985596,86616.38613510132,37634.5627822876,171943.6100578308,30525.00203704834,7805.120422363281,4573.460258483887,3642.240261077881,2632.7401847839355,2763.5001945495605,2424.5601692199707,2040.1801376342771,2335.320152282715,2231.1801376342773,2575.700180053711,2318.440174102783,2460.460163116455,2107.7801399230957,2031.0601501464844
LPE(20:3),3.092705300647715,2.425910785277577,89.19439001977477,3.578623315263456e-21,3.813619579632423e-18,PE,3510.120292663574,2451.740146636963,2667.400157928467,2885.7402000427246,154099.91077041626,118867.42853164671,44359.44305801392,77489.36529541016,28154.30215072632,7855.660625457764,4231.86022567749,2019.980136871338,2204.24015045166,2139.6401557922363,4398.340377807617,3120.4002113342285,2424.300148010254,2212.4001693725586,2821.360221862793,5207.5804443359375,2089.3801498413086,2098.780143737793,2059.740146636963
LPE(20:0),2.7657560075379624,1.6764690686270542,73.5918211676063,9.606189926785779e-18,7.677747298983534e-15,PE,2069.4001502990723,2217.220146179199,2071.8001403808594,2188.8401527404785,71327.20523071289,62723.90397262573,28689.922233581543,54680.84397888184,20198.2014503479,4801.900329589844,3630.240203857422,2571.800178527832,2104.6001472473145,2034.1601486206057,1964.2201461791992,2124.74015045166,2012.6401329040527,2062.580146789551,2056.3401489257812,2132.3601455688477,2132.100143432617,2257.8401527404785,2168.8401489257812
DG(37:4)_C16:1,2.6283450058902407,8.461400443266202,67.3726674260979,2.2474317603658226e-16,1.437007867577907e-13,DAG,766270.7359771729,1786008.5904846191,255512.80290222168,137014.44999694824,8200150.804519653,1954716.955535889,5743482.041870117,734521.1391487122,103009.04527282716,3176351.913017273,4309899.743774414,1948034.9388694763,542675.7545471191,39429.50277709961,36888.88260650635,37313.78267669678,34804.762592315674,784492.0373497009,760026.1086730957,133211.84944915771,162884.57500076294,36455.42232513428,43886.563247680664
DG(40:10)|DG(39:3)_C18:0,2.5710985020661727,3.731872733222486,64.80214699191134,8.280887016851912e-16,4.4123326321459276e-13,DAG,4340.680313110352,9179.820682525637,12429.50089263916,13922.361011505129,162299.21299362183,20237.28147506714,14495.061027526855,14984.681056976318,16362.201206207275,11934.500816345217,1000045.3145713806,15891.101108551024,2589.300205230713,2687.540180206299,11740.800819396973,10694.380760192871,10730.2007522583,10710.380760192871,14801.721046447754,10928.540809631348,11472.880821228027,14421.540939331057,3224.120246887207
[TG(61:12)|TG(60:5)]_FA22:6,2.394840418532613,10.058877054153125,57.139776728654965,4.059123846891558e-14,1.8538598483589018e-11,TAG,1424490.3291015625,1964597.0122070312,998759.9576416016,480614.39709472656,9870692.794921877,19410951.021484375,5181720.438232422,13619564.489135742,11158015.578308104,5246253.037353516,6604237.154663086,7045603.99520874,1369124.905090332,453621.83193969727,530313.7134399414,1570971.2520751953,486219.5783691406,760355.5217895508,1433235.3274230957,579936.9184265137,1254910.9294433594,640968.4714355469,153794.44931030273
[TG(61:11)|TG(60:4)]_FA22:5,2.374659490193354,9.863564431214401,56.2824660085823,6.277272170563496e-14,2.5085548911614372e-11,TAG,1170944.4728393557,1755738.7368164062,907871.4001464844,440731.9926757813,8521712.768066406,16195405.749633787,4608218.761413574,11820811.877563477,10325682.837280272,4717405.499389648,5724398.009887695,6291816.236877441,1173045.948059082,385300.46588134766,482631.3127441406,1397400.684326172,438117.9112548828,662964.7284240723,1296124.043701172,549390.8406982422,1053492.7370605469,584445.1047363281,137564.6700744629
DG(36:3)_C18:0,1.8890600259504935,5.7787374918555585,37.122065150133494,1.1096099527628902e-9,3.941581132203289e-7,DAG,56192.32408905029,58784.16444396973,57656.14430618286,62749.56470108032,931371.2541313173,61625.64437484741,63198.22480773926,55266.52370452881,60623.46455001831,59226.784297943115,3222199.0540618896,57190.60404586792,58645.66415786743,58219.344036102295,59841.54425430298,59698.10415267944,56077.08395767212,57679.2441444397,62208.74425125122,58730.724349975586,64007.36476135254,61369.90422439575,65619.12463378906
PE(40:6)|PE(dO-40:0),1.6196222074454287,11.680254374835604,27.866054916067924,1.3001076506557417e-7,4.156444159146406e-5,PE,15191566.969482422,4833597.339355469,3431023.107910156,5612047.855224609,43347592.783691406,5427520.7431640625,31246872.606933594,20809606.98046875,51209255.81933594,24164498.76196289,34694237.58496094,5973649.063964844,3489119.844482422,2620115.3029785156,4432735.7763671875,6081498.237060547,9505223.0205078125,1568707.595703125,8038495.532470703,3012974.922241211,3376109.065185547,1891038.360107422,183418.73315429688
