lipid,logFC,logCPM,LR,PValue,FDR,type,FAD185_M1_Male_5xFAD_hippocampus_x,FAD185_M3_Male_5xFAD_hippocampus_x,FAD189_M1_Male_5xFAD_hippocampus_x,FAD189_M2_Male_5xFAD_hippocampus_x,FAD185_M1_Male_5xFAD_hippocampus_y,FAD185_M3_Male_5xFAD_hippocampus_y,FAD189_M1_Male_5xFAD_hippocampus_y,FAD189_M2_Male_5xFAD_hippocampus_y,Blank_Blank_Blank_Blank_Blank
[TG(38:1)]_FA18:1 | DG(40:8)|DG(39:1)_C18:1,0,8.018691870679334,0,1,1,TAG | DAG,838839.6303462982,785599.1245059967,776508.0645999908,747349.480588913,838839.6303462982,785599.1245059967,776508.0645999908,747349.480588913,524108.4887695313
[TG(39:0)]_FA14:0,0,4.86808596671842,0,1,1,TAG,90585.4268798828,94223.486572265625,86392.80603027344,107846.60754394533,90585.4268798828,94223.486572265625,86392.80603027344,107846.60754394533,38063.52276611328
[TG(39:0)]_FA16:0,0,5.178073530030448,0,1,1,TAG,109936.80859375,110066.82775878906,111033.52868652344,118760.609375,109936.80859375,110066.82775878906,111033.52868652344,118760.609375,64290.10437011719
[TG(39:0)]_FA18:0,0,6.210130346301411,0,1,1,TAG,219190.1121826172,226954.45349121097,245803.61987304688,291524.1979980469,219190.1121826172,226954.45349121097,245803.61987304688,291524.1979980469,76476.26623535156
[TG(39:1)]_FA14:0,0,5.268679234230793,0,1,1,TAG,141148.3901977539,132751.9270324707,111493.78826904295,123452.04895019533,141148.3901977539,132751.9270324707,111493.78826904295,123452.04895019533,43193.203216552734
[TG(39:1)]_FA16:0,0,4.962830530881047,0,1,1,TAG,99237.626708984375,97991.866455078125,95691.326416015625,104220.44787597656,99237.626708984375,97991.866455078125,95691.326416015625,104220.44787597656,47120.243408203125
[TG(39:1)]_FA16:1,0,5.333332635082032,0,1,1,TAG,124748.00903320312,128909.8486328125,119818.64892578124,138421.0087890625,124748.00903320312,128909.8486328125,119818.64892578124,138421.0087890625,62350.10430908203
[TG(39:1)]_FA18:0,0,5.825978400675623,0,1,1,TAG,154823.53045654297,188837.373046875,225049.43627929688,169345.873046875,154823.53045654297,188837.373046875,225049.43627929688,169345.873046875,72345.824951171875
[TG(39:1)]_FA18:1,0,6.279773355382275,0,1,1,TAG,244025.25927734375,242352.41870117188,265900.51611328125,284551.3415527344,244025.25927734375,242352.41870117188,265900.51611328125,284551.3415527344,76259.26550292969
[TG(40:0)]_FA14:0,0,6.470722312133341,0,1,1,TAG,272229.861328125,240880.89794921875,267905.119140625,295959.72119140625,272229.861328125,240880.89794921875,267905.119140625,295959.72119140625,178000.93212890625
[TG(40:0)]_FA16:0,0,6.505986697150708,0,1,1,TAG,276015.2978515625,283103.9577636719,287768.99951171875,288720.7424316406,276015.2978515625,283103.9577636719,287768.99951171875,288720.7424316406,156035.61059570312
[TG(40:0)]_FA18:0,0,6.046619314257551,0,1,1,TAG,196078.85595703125,198088.05493164065,212728.6572265625,231055.31591796875,196078.85595703125,198088.05493164065,212728.6572265625,231055.31591796875,102814.8074951172
[TG(40:1)]_FA14:0,0,4.5766161347289405,0,1,1,TAG,75638.76550292969,71950.0650024414,75165.30596923828,76377.44512939453,75638.76550292969,71950.0650024414,75165.30596923828,76377.44512939453,40020.12298583984
[TG(40:1)]_FA16:0,0,6.791136430549079,0,1,1,TAG,438381.2722167969,476891.1295166016,301771.15899658203,331133.3029785156,438381.2722167969,476891.1295166016,301771.15899658203,331133.3029785156,53036.68341064453
[TG(40:1)]_FA16:1,0,6.586078189916204,0,1,1,TAG,314230.8017578125,310044.3212890625,282189.716796875,320328.80615234375,314230.8017578125,310044.3212890625,282189.716796875,320328.80615234375,142653.38940429688
[TG(40:1)]_FA18:0,0,5.299503053312969,0,1,1,TAG,112298.04748535156,119112.54809570312,129287.48889160156,143690.49060058594,112298.04748535156,119112.54809570312,129287.48889160156,143690.49060058594,56847.50402832031
[TG(40:1)]_FA18:1,0,6.045984757620104,0,1,1,TAG,204928.57495117188,203290.6533203125,219993.33715820312,220200.99755859375,204928.57495117188,203290.6533203125,219993.33715820312,220200.99755859375,93546.30700683594
[TG(40:2)]_FA14:0,0,4.989110241293588,0,1,1,TAG,97796.2466430664,100592.2664794922,96203.586181640625,128342.6885986328,97796.2466430664,100592.2664794922,96203.586181640625,128342.6885986328,32060.7021484375
[TG(40:2)]_FA16:0,0,4.75234659190856,0,1,1,TAG,67399.52523803711,73512.565673828125,69984.48541259766,69347.0842590332,67399.52523803711,73512.565673828125,69984.48541259766,69347.0842590332,94824.2857055664
[TG(40:2)]_FA16:1,0,6.930657035234865,0,1,1,TAG,484046.9956054687,561752.9835205078,310873.20068359375,355219.1472167969,484046.9956054687,561752.9835205078,310873.20068359375,355219.1472167969,54243.983825683594
[TG(40:2)]_FA18:0,0,4.997499972671656,0,1,1,TAG,92353.50524902344,93451.12731933594,114856.74816894533,106424.9874267578,92353.50524902344,93451.12731933594,114856.74816894533,106424.9874267578,47691.243591308594
[TG(40:2)]_FA18:1,0,5.288792239844188,0,1,1,TAG,116894.12915039062,120465.7294921875,133603.92895507812,134187.9497680664,116894.12915039062,120465.7294921875,133603.92895507812,134187.9497680664,52584.48400878906
[TG(40:2)]_FA18:2,0,6.176199937328993,0,1,1,TAG,227979.416015625,210366.0764160156,240803.41723632812,249601.37622070312,227979.416015625,210366.0764160156,240803.41723632812,249601.37622070312,101763.20703125
[TG(41:0)]_FA14:0,0,4.668860533927201,0,1,1,TAG,78504.80548095703,78973.965576171875,82255.165771484375,91126.18591308594,78504.80548095703,78973.965576171875,82255.165771484375,91126.18591308594,32394.162384033203
[TG(41:0)]_FA16:0 | DG(42:0)_C16:0,0,5.542781635681074,0,1,1,TAG | DAG,153227.70162963867,148965.07989501953,139187.64962768555,162979.49142456055,153227.70162963867,148965.07989501953,139187.64962768555,162979.49142456055,61289.40441894531
[TG(41:0)]_FA18:0 | DG(42:0)_C18:0,0,5.076871056398041,0,1,1,TAG | DAG,97776.8771457672,96951.66703605652,105622.87790870668,105675.6070728302,97776.8771457672,96951.66703605652,105622.87790870668,105675.6070728302,71211.89463806152
[TG(41:1)]_FA14:0,0,5.019262664324121,0,1,1,TAG,125926.0892944336,111794.00646972656,97103.0672607422,95730.46661376952,125926.0892944336,111794.00646972656,97103.0672607422,95730.46661376952,34149.50248718262
[TG(41:1)]_FA16:0,0,4.834039971950217,0,1,1,TAG,93715.12683105467,96268.68704223631,87965.64538574219,93210.14642333984,93715.12683105467,96268.68704223631,87965.64538574219,93210.14642333984,36475.022399902344
[TG(41:1)]_FA16:1,0,5.294844370522354,0,1,1,TAG,132365.869140625,123773.94860839844,113690.90789794922,151109.9503173828,132365.869140625,123773.94860839844,113690.90789794922,151109.9503173828,41192.46307373047
[TG(41:1)]_FA18:0,0,4.679101651040353,0,1,1,TAG,72662.96466064453,78059.28643798828,90013.16638183594,86206.2861328125,72662.96466064453,78059.28643798828,90013.16638183594,86206.2861328125,37963.42251586914
[TG(41:1)]_FA18:1,0,5.320218821300622,0,1,1,TAG,121780.92742919922,124890.70971679688,138583.3701171875,133855.3477783203,121780.92742919922,124890.70971679688,138583.3701171875,133855.3477783203,51342.70361328125
[TG(41:2)]_FA14:0,0,4.295287505152909,0,1,1,TAG,69864.62548828125,60055.20397949219,62490.88427734375,61729.68426513672,69864.62548828125,60055.20397949219,62490.88427734375,61729.68426513672,26025.10171508789
[TG(41:2)]_FA16:0,0,4.15751704737241,0,1,1,TAG,53690.60382080078,58126.323974609375,53652.08410644531,57987.563720703125,53690.60382080078,58126.323974609375,53652.08410644531,57987.563720703125,30333.022064208984
[TG(41:2)]_FA16:1,0,4.987035364491314,0,1,1,TAG,111097.7885131836,113678.1079711914,89705.70587158203,104025.00708007812,111097.7885131836,113678.1079711914,89705.70587158203,104025.00708007812,35800.64254760742
[TG(41:2)]_FA18:0,0,4.4868540184321715,0,1,1,TAG,62478.56457519531,82006.22576904297,74604.92608642578,73370.22473144531,62478.56457519531,82006.22576904297,74604.92608642578,73370.22473144531,28303.062103271484
[TG(41:2)]_FA18:1,0,4.802826914760114,0,1,1,TAG,85450.0859375,87208.085693359375,95289.66589355467,91533.10559082033,85450.0859375,87208.085693359375,95289.66589355467,91533.10559082033,38625.762786865234
[TG(41:2)]_FA18:2,0,5.451600295174328,0,1,1,TAG,129693.88916015624,127105.08813476562,154205.35131835938,150775.5096435547,129693.88916015624,127105.08813476562,154205.35131835938,150775.5096435547,61773.204162597656
[TG(42:0)]_FA14:0,0,6.172190363775736,0,1,1,TAG,227165.73559570312,206768.27221679688,222103.3962402344,256734.01635742188,227165.73559570312,206768.27221679688,222103.3962402344,256734.01635742188,113048.08764648438
[TG(42:0)]_FA16:0 | DG(44:7)|DG(43:0)_C16:0,0,6.56156174255586,0,1,1,TAG | DAG,309197.19285583496,286175.86028671265,254830.81843185425,325283.60323905945,309197.19285583496,286175.86028671265,254830.81843185425,325283.60323905945,166154.8020915985
[TG(42:0)]_FA18:0 | DG(44:7)|DG(43:0)_C18:0,0,5.761307605406545,0,1,1,TAG | DAG,159283.8107509613,156520.89016342163,158659.03093147278,171239.57173347473,159283.8107509613,156520.89016342163,158659.03093147278,171239.57173347473,120412.78922271729
[TG(42:1)]_FA14:0,0,6.349745412014204,0,1,1,TAG,248752.3771972656,218246.37548828125,266625.36083984375,269804.201171875,248752.3771972656,218246.37548828125,266625.36083984375,269804.201171875,152156.83129882812
[TG(42:1)]_FA16:0 | DG(44:8)|DG(43:1)_C16:0,0,5.551257339173091,0,1,1,TAG | DAG,143764.23934173584,149771.89009857178,141121.49020576477,146275.84078979492,143764.23934173584,149771.89009857178,141121.49020576477,146275.84078979492,84968.39628219604
[TG(42:1)]_FA16:1 | DG(44:8)|DG(43:1)_C16:1,0,6.536285266553844,0,1,1,TAG | DAG,320719.9734649658,273293.490152359,250463.4367046356,303547.43157577515,320719.9734649658,273293.490152359,250463.4367046356,303547.43157577515,169028.24241638184
[TG(42:1)]_FA18:0 | DG(44:8)|DG(43:1)_C18:0,0,6.136495756185719,0,1,1,TAG | DAG,254895.2781162262,283926.6253681183,198159.7545261383,205586.30589485168,254895.2781162262,283926.6253681183,198159.7545261383,205586.30589485168,68314.28453826904
[TG(42:1)]_FA18:1 | DG(44:8)|DG(43:1)_C18:1,0,5.897872448400936,0,1,1,TAG | DAG,181879.21306419373,181283.2928314209,173658.67186546326,182064.24316596985,181879.21306419373,181283.2928314209,173658.67186546326,182064.24316596985,124857.18955230711
[TG(42:2)]_FA14:0,0,4.166523276502832,0,1,1,TAG,51580.282958984375,62565.62414550781,53710.143615722656,66268.764404296875,51580.282958984375,62565.62414550781,53710.143615722656,66268.764404296875,22672.82162475586
[TG(42:2)]_FA16:0,0,5.080544362183286,0,1,1,TAG,103937.54675292967,133877.10733032227,111440.48767089844,110874.26742553712,103937.54675292967,133877.10733032227,111440.48767089844,110874.26742553712,26854.082092285156
[TG(42:2)]_FA16:1,0,5.379230889296751,0,1,1,TAG,126614.1688232422,143409.47021484375,124850.66857910156,134525.66870117188,126614.1688232422,143409.47021484375,124850.66857910156,134525.66870117188,63914.5048828125
[TG(42:2)]_FA18:0,0,4.623133461023409,0,1,1,TAG,72502.70471191406,85364.9653930664,83298.906005859375,79455.80560302734,72502.70471191406,85364.9653930664,83298.906005859375,79455.80560302734,31618.68270874023
[TG(42:2)]_FA18:1,0,6.968484958677454,0,1,1,TAG,520081.7818603515,552866.8704223633,348704.6661376953,336641.3446044922,520081.7818603515,552866.8704223633,348704.6661376953,336641.3446044922,53799.88366699219
[TG(42:2)]_FA18:2,0,6.028671301458062,0,1,1,TAG,212042.7550048828,202731.79296875,202529.51538085935,221032.2939453125,212042.7550048828,202731.79296875,202529.51538085935,221032.2939453125,92525.246826171875
[TG(42:3)]_FA14:0,0,4.664408559362753,0,1,1,TAG,88833.74783325195,84039.14739990234,79337.02557373047,73867.10467529297,88833.74783325195,84039.14739990234,79337.02557373047,73867.10467529297,35728.92272949219
[TG(42:3)]_FA16:0,0,4.1139885539631464,0,1,1,TAG,54136.66375732422,58647.3039855957,56148.5237121582,52956.76385498047,54136.66375732422,58647.3039855957,56148.5237121582,52956.76385498047,25102.121856689453
[TG(42:3)]_FA16:1,0,5.201530824269615,0,1,1,TAG,124638.36755371094,150092.28979492188,109541.96759033205,117958.36865234376,124638.36755371094,150092.28979492188,109541.96759033205,117958.36865234376,27811.601989746097
[TG(42:3)]_FA18:0,0,4.374130062312833,0,1,1,TAG,63339.92465209961,70459.08529663086,64363.36413574219,71412.06484985352,63339.92465209961,70459.08529663086,64363.36413574219,71412.06484985352,26775.0419921875
[TG(42:3)]_FA18:1,0,4.6389981848620865,0,1,1,TAG,79181.22637939453,89039.00622558594,83119.38592529297,75850.08547973633,79181.22637939453,89039.00622558594,83119.38592529297,75850.08547973633,29450.76205444336
[TG(42:3)]_FA18:2,0,7.092927414626961,0,1,1,TAG,566417.765625,602443.9632568359,375124.18200683594,372910.3701171875,566417.765625,602443.9632568359,375124.18200683594,372910.3701171875,58494.303955078125
[TG(42:3)]_FA18:3,0,6.3282773177854645,0,1,1,TAG,240566.814453125,261916.6774902344,247117.71801757812,275174.080078125,240566.814453125,261916.6774902344,247117.71801757812,275174.080078125,120483.86853027344
[TG(42:4)]_FA14:0,0,3.9185316814789775,0,1,1,TAG,46748.34323120117,53600.08395385742,48816.14343261719,47079.783111572266,46748.34323120117,53600.08395385742,48816.14343261719,47079.783111572266,19876.821411132812
[TG(42:4)]_FA16:0,0,5.451618388472003,0,1,1,TAG,150277.03033447266,149611.2901611328,138881.20971679688,148765.69024658203,150277.03033447266,149611.2901611328,138881.20971679688,148765.69024658203,40400.123046875
[TG(42:4)]_FA16:1,0,4.288569387604546,0,1,1,TAG,63412.42459106445,69814.665283203125,56437.343841552734,62937.044006347656,63412.42459106445,69814.665283203125,56437.343841552734,62937.044006347656,26625.481826782227
[TG(42:4)]_FA18:0,0,4.321377629231354,0,1,1,TAG,59215.28405761719,60507.04406738281,56787.52453613281,59108.6647644043,59215.28405761719,60507.04406738281,56787.52453613281,59108.6647644043,46545.34292602539
[TG(42:4)]_FA18:1,0,4.427778026750998,0,1,1,TAG,66860.62435913086,75319.28475952148,68332.44482421875,70606.9850769043,66860.62435913086,75319.28475952148,68332.44482421875,70606.9850769043,26707.681701660156
[TG(42:4)]_FA18:2,0,4.738618148755945,0,1,1,TAG,87922.2666015625,87675.44567871094,81982.88610839844,88507.087158203125,87922.2666015625,87675.44567871094,81982.88610839844,88507.087158203125,35190.76235961914
[TG(42:4)]_FA18:3,0,7.321201266963037,0,1,1,TAG,669462.6004638672,704405.0322265625,438509.6490478515,443960.150390625,669462.6004638672,704405.0322265625,438509.6490478515,443960.150390625,59124.18420410156
[TG(42:4)]_FA20:4,0,5.841619583479685,0,1,1,TAG,182836.13354492188,171167.5926513672,178306.45239257812,191877.93383789065,182836.13354492188,171167.5926513672,178306.45239257812,191877.93383789065,91566.78698730467
[TG(43:0)]_FA14:0,0,5.477729724022549,0,1,1,TAG,135723.01055908203,132014.5708618164,143269.470703125,185375.73364257812,135723.01055908203,132014.5708618164,143269.470703125,185375.73364257812,42054.46301269531
[TG(43:0)]_FA16:0 | DG(44:0)_C16:0,0,5.93371682779359,0,1,1,TAG | DAG,203920.5237121582,197627.42333984375,176036.38177490234,230027.10620117188,203920.5237121582,197627.42333984375,176036.38177490234,230027.10620117188,67402.0346069336
[TG(43:0)]_FA18:0 | DG(44:0)_C18:0,0,4.81280623121945,0,1,1,TAG | DAG,83191.2257232666,84425.39614868164,83174.19612312317,97896.37607574464,83191.2257232666,84425.39614868164,83174.19612312317,97896.37607574464,50327.69367980957
[TG(43:1)]_FA14:0,0,5.302345068159363,0,1,1,TAG,123328.1085205078,118670.32885742188,117790.36700439452,159433.19165039062,123328.1085205078,118670.32885742188,117790.36700439452,159433.19165039062,45029.04293823242
[TG(43:1)]_FA16:0 | DG(44:1)_C16:0,0,5.478519686728967,0,1,1,TAG | DAG,153279.75105285645,158327.61212158203,144301.98984909058,136575.4295425415,153279.75105285645,158327.61212158203,144301.98984909058,136575.4295425415,46633.06350708008
[TG(43:1)]_FA16:1 | DG(44:1)_C16:1,0,5.836950879150598,0,1,1,TAG | DAG,226675.8469543457,178190.8920097351,156047.69110107422,189804.22290039065,226675.8469543457,178190.8920097351,156047.69110107422,189804.22290039065,66643.11473083496
[TG(43:1)]_FA18:0 | DG(44:1)_C18:0,0,4.383564410972381,0,1,1,TAG | DAG,63865.494468688965,63257.03422927856,61947.774351119995,64728.12449455261,63865.494468688965,63257.03422927856,61947.774351119995,64728.12449455261,41840.88304138184
[TG(43:1)]_FA18:1 | DG(44:1)_C18:1,0,4.96061772765737,0,1,1,TAG | DAG,93497.77672958374,96451.00666618349,97754.94687843324,99251.28699874878,93497.77672958374,96451.00666618349,97754.94687843324,99251.28699874878,55267.993896484375
[TG(43:2)]_FA14:0,0,4.827351501907592,0,1,1,TAG,66521.4057006836,66394.98477172852,61845.80480957031,64571.724700927734,66521.4057006836,66394.98477172852,61845.80480957031,64571.724700927734,130534.30740356444
[TG(43:2)]_FA16:0 | DG(44:2)_C16:0,0,4.871134822415981,0,1,1,TAG | DAG,84805.9160118103,95829.35641670229,93304.46676445007,102376.93666648863,84805.9160118103,95829.35641670229,93304.46676445007,102376.93666648863,41220.87299346924
[TG(43:2)]_FA16:1 | DG(44:2)_C16:1,0,5.35272307913356,0,1,1,TAG | DAG,161564.6404838562,139765.759683609,122559.12855148315,109846.64795684814,161564.6404838562,139765.759683609,122559.12855148315,109846.64795684814,50561.94362640381
[TG(43:2)]_FA18:0 | DG(44:2)_C18:0,0,3.882032960890633,0,1,1,TAG | DAG,43665.25286102295,46443.983306884766,47787.31332206726,43665.49320793152,43665.25286102295,46443.983306884766,47787.31332206726,43665.49320793152,27619.251998901367
[TG(43:2)]_FA18:1 | DG(44:2)_C18:1,0,4.563888821952344,0,1,1,TAG | DAG,72985.22514343262,75203.45513725281,71657.02515602112,69552.08492660522,72985.22514343262,75203.45513725281,71657.02515602112,69552.08492660522,45967.91323471069
[TG(43:2)]_FA18:2 | DG(44:2)_C18:2,0,5.059918192560794,0,1,1,TAG | DAG,97498.7169895172,92604.20624542236,103273.96763420104,116878.36795425416,97498.7169895172,92604.20624542236,103273.96763420104,116878.36795425416,62520.58474731445
[TG(43:3)]_FA14:0,0,5.900908892238358,0,1,1,TAG,134891.6885986328,135310.92938232422,106983.14660644533,132143.26983642578,134891.6885986328,135310.92938232422,106983.14660644533,132143.26983642578,306187.55657958984
[TG(43:3)]_FA16:0,0,4.2921004130182725,0,1,1,TAG,58046.584411621094,60180.94418334961,60788.66418457031,56447.02349853515,58046.584411621094,60180.94418334961,60788.66418457031,56447.02349853515,41658.74337768555
[TG(43:3)]_FA16:1,0,4.676593282700035,0,1,1,TAG,81052.76553344727,85725.326171875,76749.90533447266,94985.50744628906,81052.76553344727,85725.326171875,76749.90533447266,94985.50744628906,27754.101959228516
[TG(43:3)]_FA18:0,0,4.567805251636794,0,1,1,TAG,65137.164642333984,81618.18524169922,79616.345947265625,84301.08581542969,65137.164642333984,81618.18524169922,79616.345947265625,84301.08581542969,28597.6220703125
[TG(43:3)]_FA18:1,0,4.260647493954158,0,1,1,TAG,61379.46435546875,66991.82424926758,63906.204650878906,59358.54443359375,61379.46435546875,66991.82424926758,63906.204650878906,59358.54443359375,22665.221618652344
[TG(43:3)]_FA18:2,0,4.999322964120909,0,1,1,TAG,108199.1273803711,98280.04721069336,104199.7879638672,106419.40740966795,108199.1273803711,98280.04721069336,104199.7879638672,106419.40740966795,39748.602966308594
[TG(43:3)]_FA18:3,0,5.5890057603389955,0,1,1,TAG,149065.78967285156,145255.17041015625,157058.83129882812,187148.63330078125,149065.78967285156,145255.17041015625,157058.83129882812,187148.63330078125,50404.46350097656
[TG(43:4)]_FA14:0,0,3.907232159581313,0,1,1,TAG,51324.46334838867,45298.38299560547,46457.90350341797,49932.58349609375,51324.46334838867,45298.38299560547,46457.90350341797,49932.58349609375,20904.101501464844
[TG(43:4)]_FA16:0,0,4.140799773754697,0,1,1,TAG,54017.403747558594,56195.06396484375,62889.48468017578,56242.24365234375,54017.403747558594,56195.06396484375,62889.48468017578,56242.24365234375,22569.681671142574
[TG(43:4)]_FA16:1,0,4.5226949145656254,0,1,1,TAG,72023.44454956055,75449.20489501953,68011.88525390625,70733.24505615234,72023.44454956055,75449.20489501953,68011.88525390625,70733.24505615234,40477.54309082031
[TG(43:4)]_FA18:0,0,4.035079142759374,0,1,1,TAG,46866.60366821289,50831.62371826172,50173.323822021484,56160.52410888672,46866.60366821289,50831.62371826172,50173.323822021484,56160.52410888672,28845.041931152344
[TG(43:4)]_FA18:1,0,4.558448041993686,0,1,1,TAG,71377.72554016113,82058.86709594727,79656.08624267578,75160.46578979492,71377.72554016113,82058.86709594727,79656.08624267578,75160.46578979492,28784.60217285156
[TG(43:4)]_FA18:2,0,4.407918605374401,0,1,1,TAG,69727.76455688477,68454.5849609375,71341.42556762695,68223.14501953125,69727.76455688477,68454.5849609375,71341.42556762695,68223.14501953125,25692.42185974121
[TG(43:4)]_FA18:3,0,5.262174393870319,0,1,1,TAG,126094.54956054688,127918.40948486328,125067.8490600586,126564.28924560548,126094.54956054688,127918.40948486328,125067.8490600586,126564.28924560548,43583.14306640625
[TG(43:4)]_FA20:4,0,5.36685814532599,0,1,1,TAG,129069.42877197266,125981.3890991211,132442.79083251953,136290.50872802734,129069.42877197266,125981.3890991211,132442.79083251953,136290.50872802734,63667.48425292969
[TG(44:0)|TG(O-45:0)]_FA14:0,0,6.4841817175667,0,1,1,TAG,296061.38037109375,257646.41796875,266928.09765625,364361.0109863281,296061.38037109375,257646.41796875,266928.09765625,364361.0109863281,95614.7861328125
[TG(44:0)|TG(O-45:0)]_FA16:0,0,6.6931755619272755,0,1,1,TAG,337138.4045410156,318951.2805175781,299667.22412109375,420036.3095703125,337138.4045410156,318951.2805175781,299667.22412109375,420036.3095703125,106104.78759765624
[TG(44:0)|TG(O-45:0)]_FA18:0,0,5.8923073285607295,0,1,1,TAG,174264.7734375,186070.53198242188,182235.19189453125,214593.57495117188,174264.7734375,186070.53198242188,182235.19189453125,214593.57495117188,89095.28625488281
[TG(44:1)]_FA14:0,0,5.509130216584116,0,1,1,TAG,171077.3359375,117936.8080444336,128988.90985107422,165025.2095336914,171077.3359375,117936.8080444336,128988.90985107422,165025.2095336914,65254.60461425781
[TG(44:1)]_FA16:0,0,6.190483838104326,0,1,1,TAG,230763.91455078125,221115.31494140625,219435.5146484375,246992.07690429688,230763.91455078125,221115.31494140625,219435.5146484375,246992.07690429688,120223.98803710938
[TG(44:1)]_FA16:1,0,6.807723853308713,0,1,1,TAG,386703.7036132813,360029.22607421875,294711.7214355469,466950.9499511719,386703.7036132813,360029.22607421875,294711.7214355469,466950.9499511719,99202.86669921876
[TG(44:1)]_FA18:0,0,5.100715164197167,0,1,1,TAG,95999.48669433594,120807.1474609375,120524.04833984376,110946.80828857422,95999.48669433594,120807.1474609375,120524.04833984376,110946.80828857422,42495.68280029297
[TG(44:1)]_FA18:1,0,5.926286562806661,0,1,1,TAG,193026.15356445312,188327.95361328125,192279.39208984375,204468.17553710935,193026.15356445312,188327.95361328125,192279.39208984375,204468.17553710935,88575.68591308594
[TG(44:2)]_FA14:0,0,4.8079133609807005,0,1,1,TAG,65607.96447753906,68591.205078125,60312.04486083984,69157.50494384766,65607.96447753906,68591.205078125,60312.04486083984,69157.50494384766,122163.10876464844
[TG(44:2)]_FA16:0,0,4.824527465067675,0,1,1,TAG,64239.28509521485,103947.36639404295,72342.70526123047,84826.60662841797,64239.28509521485,103947.36639404295,72342.70526123047,84826.60662841797,74138.00619506836
[TG(44:2)]_FA16:1,0,6.21413469550115,0,1,1,TAG,247578.2978515625,241973.45556640625,208008.13403320312,256113.7365722656,247578.2978515625,241973.45556640625,208008.13403320312,256113.7365722656,105462.44763183594
[TG(44:2)]_FA18:0,0,5.039540162293069,0,1,1,TAG,95443.8466796875,127234.84765625,124049.62817382812,99473.32736206056,95443.8466796875,127234.84765625,124049.62817382812,99473.32736206056,26810.24185180664
[TG(44:2)]_FA18:1,0,5.137662278171359,0,1,1,TAG,103270.80743408205,128129.76989746094,122216.20825195312,104584.0669555664,103270.80743408205,128129.76989746094,122216.20825195312,104584.0669555664,45220.383361816406
[TG(44:2)]_FA18:2,0,6.003521586767125,0,1,1,TAG,200621.9132080078,189103.5147705078,205982.73559570312,226019.5139160156,200621.9132080078,189103.5147705078,205982.73559570312,226019.5139160156,92367.046875
[TG(44:3)]_FA14:0,0,4.065856611721996,0,1,1,TAG,52631.96374511719,52802.26412963867,54997.86395263672,53951.9635925293,52631.96374511719,52802.26412963867,54997.86395263672,53951.9635925293,24325.14190673828
