lipid,logFC,logCPM,LR,PValue,FDR,type,FAD185_M1_Male_5xFAD_hippocampus_x,FAD185_M3_Male_5xFAD_hippocampus_x,FAD189_M1_Male_5xFAD_hippocampus_x,FAD189_M2_Male_5xFAD_hippocampus_x,FAD185_M1_Male_5xFAD_hippocampus_y,FAD185_M3_Male_5xFAD_hippocampus_y,FAD189_M1_Male_5xFAD_hippocampus_y,FAD189_M2_Male_5xFAD_hippocampus_y,Blank_Blank_Blank_Blank_Blank
[TG(37:0)]_FA14:0,0,4.925821914231887,0,1,1,TAG,91795.58654785156,93022.98681640624,90494.24597167967,102531.86694335938,91795.58654785156,93022.98681640624,90494.24597167967,102531.86694335938,53841.62384033203
[TG(37:0)]_FA16:0,0,5.708023448607197,0,1,1,TAG,148651.3309326172,155602.8507080078,171260.4110107422,207861.0341796875,148651.3309326172,155602.8507080078,171260.4110107422,207861.0341796875,63377.284606933594
[TG(37:0)]_FA18:0,0,6.802569737304393,0,1,1,TAG,390685.92932128906,373748.62255859375,350891.365234375,347235.94665527344,390685.92932128906,373748.62255859375,350891.365234375,347235.94665527344,133977.5894165039
[TG(38:0)]_FA14:0,0,7.212046008248167,0,1,1,TAG,478306.533203125,424250.2314453125,450269.17041015625,488217.7548828125,478306.533203125,424250.2314453125,450269.17041015625,488217.7548828125,263183.95703125
[TG(38:0)]_FA16:0,0,6.254205858104257,0,1,1,TAG,233208.9775390625,225934.85571289065,228506.05737304688,256348.43627929688,233208.9775390625,225934.85571289065,228506.05737304688,256348.43627929688,139112.30981445312
[TG(38:0)]_FA18:0,0,6.91791723264234,0,1,1,TAG,399769.5290527344,380998.029296875,366224.8862304687,390544.4475097656,399769.5290527344,380998.029296875,366224.8862304687,390544.4475097656,184773.5329589844
[TG(38:1)]_FA14:0,0,6.858607912152198,0,1,1,TAG,523998.888671875,391473.1638183594,290212.60119628906,418595.0930175781,523998.888671875,391473.1638183594,290212.60119628906,418595.0930175781,49943.38360595703
[TG(38:1)]_FA16:0 | DG(40:8)|DG(39:1)_C16:0,0,5.634452924429565,0,1,1,TAG | DAG,155462.56018066406,149442.39080810547,153307.0004272461,162957.29205322266,155462.56018066406,149442.39080810547,153307.0004272461,162957.29205322266,84683.08590698242
[TG(38:1)]_FA16:1 | DG(40:8)|DG(39:1)_C16:1,0,6.516761448634507,0,1,1,TAG | DAG,318673.8035888672,273013.80062294006,259425.3886165619,274749.8498325348,318673.8035888672,273013.80062294006,259425.3886165619,274749.8498325348,172613.37231445312
[TG(38:1)]_FA18:0 | DG(40:8)|DG(39:1)_C18:0,0,4.497741754518136,0,1,1,TAG | DAG,74231.5251159668,71371.97526741028,71333.1454334259,74148.91493415833,74231.5251159668,71371.97526741028,71333.1454334259,74148.91493415833,31205.932207107544
