lipid,logFC,logCPM,LR,PValue,FDR,type,FAD185_M1_Male_5xFAD_cortex,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_cortex,FAD185_M3_Male_5xFAD_hippocampus,FAD189_M1_Male_5xFAD_cortex,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_cortex,FAD189_M2_Male_5xFAD_hippocampus,FAD185_M4_Male_WT_cortex,FAD185_M4_Male_WT_hippocampus,FAD189_M3_Male_WT_cortex,FAD189_M3_Male_WT_hippocampus,Blank_Blank_Blank_Blank_Blank
DG(36:8)|DG(35:1)_C16:1,-4.794074175529932,11.136415383132677,142.67567582265974,6.920594251982917e-33,2.2125139823589384e-29,DAG,2926.9802284240723,2927.120204925537,2981.4202041625977,3039.580223083496,2932.80020904541,3052.840217590332,14782.580894470217,2921.0602226257324,3109.3202018737793,235055.37544250488,3070.420207977295,13650.041091918943,47492099.30102539
[TG(51:5)]_FA16:0,-4.5238968518449285,7.728100140047942,129.34946976538072,5.686987509070534e-30,9.090649533249249e-27,TAG,132702.60998535156,178758.43466186523,129032.44927978516,148210.54956054688,116820.0492553711,81822.72570800781,117311.1682434082,112672.90786743164,1867990.1942749023,2732314.543823242,742645.9927978516,2131708.7568969727,39190.08248901367
[TG(51:6)]_FA16:1,-4.482172469469578,7.958297778321408,127.31223390967217,1.5872960329030874e-29,1.691528472397057e-26,TAG,146931.69006347656,235628.3577880859,163424.91040039062,166777.21270751953,129036.94897460938,90604.30615234376,150070.03161621094,140699.15106201172,2157816.8165893555,2921303.8751220703,819853.119934082,2860349.9962158203,41019.22302246094
LPE(20:2),5.70038906236584,4.656624183884078,110.77722362535906,6.62080340286871e-26,5.291677119742817e-23,PE,552806.6551513672,386055.4677848816,111081.00933074953,342430.14724731445,86580.92544937134,10192.700828552246,5080.360347747803,2125.4401359558105,2187.74015045166,3187.380271911621,2173.5601692199707,2087.800148010254,2000.340129852295
[TG(38:1)]_FA14:0,-4.022145265939914,8.906426046390967,105.39474754684065,1.0007480315378424e-24,6.398782913652964e-22,TAG,435299.61181640625,523998.888671875,362804.68322753906,391473.1638183594,418657.89306640625,290212.60119628906,331275.9782714844,418595.0930175781,4904561.684204102,2959342.0509033203,690909.6423339844,8168069.145141602,49943.38360595703
[TG(51:4)]_FA14:0,-3.9624464605017673,7.188957249022868,102.63094731847013,4.0377616031978984e-24,2.1514539742372802e-21,TAG,108547.54736328124,173716.59295654297,112186.84884643556,129466.10809326172,107290.3677368164,92858.4071044922,133083.69061279297,117728.94714355467,1252804.9055786133,1697107.4505004885,551434.9449462891,1406813.5804748535,82697.70608520508
DG(35:6)_C16:0,5.118643888771515,4.177703670388083,95.17966136329153,1.7386745462870836e-22,7.940775034971152e-20,DAG,354742.18701171875,384453.9259910583,4213.16032409668,273101.8372077942,2626.160186767578,3007.7002029418945,2716.520195007324,2629.8601837158203,2631.7801780700684,2630.0801734924316,2674.1001892089844,2628.780174255371,2623.120189666748
[TG(53:8)|TG(52:1)]_FA18:3,-3.7657854212740993,7.5014488922047855,93.68023388397341,3.7084590659577806e-22,1.481992954233378e-19,TAG,180654.03326416016,213100.61627197263,231202.23846435547,172342.15173339844,191248.95178222656,119528.40829467772,163127.17059326172,139670.43029785156,1566839.3920288086,2189673.5802001953,661107.16650390625,1671665.2318725586,35997.24267578125
[TG(46:6)]_FA22:5,-3.6840133357023244,11.451023294419839,90.03128175542233,2.3442408703720234e-21,7.758596316880841e-19,TAG,2701004.547302246,3537173.9388427734,2774082.0932617188,3074289.003540039,3013081.195739746,3001405.6555786133,2188989.1720581055,2491813.448486328,14180665.486694336,17359756.292114258,2410410.003601074,56144623.94042969,55422.98370361328
[TG(53:7)|TG(52:0)]_FA18:2,-3.6824915990738494,7.154536419388175,89.96277307334276,2.4268365082517488e-21,7.758596316880841e-19,TAG,145479.53149414062,164086.3114013672,202866.09313964844,127228.1098022461,173959.39385986328,100502.58728027344,143284.52905273438,114746.76818847656,1253771.7122192385,1661859.4553833008,577473.4824829102,1287158.9397583008,32808.362396240234
