type,Down,Up
CAR,84,0
CE,19,0
Cer,119,0
DAG,172,51
FA,160,0
PC,30,0
PE,14,46
PG,9,32
PI,6,53
PS,3,25
SM,41,0
TAG,116,585
TAG | DAG,1,0
