lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F4_Female_5xFAD_hippocampus,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_hippocampus,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_hippocampus,DOD94_F3_Female_WT_hippocampus,FAD184_F3_Female_WT_hippocampus,FAD184_F4_Female_WT_hippocampus,FAD185_M4_Male_WT_hippocampus,FAD189_M3_Male_WT_hippocampus,Blank_Blank_Blank_Blank_Blank
LPE(20:2),5.214325341105045,4.573826234755666,223.43958255867017,1.6074916963310795e-50,5.139150953170462e-47,PE,2251.5601539611816,2216.220146179199,386055.4677848816,342430.14724731445,10192.700828552246,2125.4401359558105,2058.2001457214355,2127.5601501464844,2265.580150604248,3187.380271911621,2087.800148010254,2000.340129852295
LPE(20:1),3.785833332234645,3.1863258665300127,136.11728278383129,1.880862354633809e-31,3.0065584738821435e-28,PE,2481.9801902770996,2274.4601516723633,86616.38613510132,171943.6100578308,7805.120422363281,3642.240261077881,2763.5001945495605,2040.1801376342771,2231.1801376342773,2318.440174102783,2107.7801399230957,2031.0601501464844
LPE(20:3),3.0897479364667486,2.895814237725248,97.18766863748681,6.305815638200922e-23,6.719897531776117e-20,PE,2451.740146636963,2885.7402000427246,118867.42853164671,77489.36529541016,7855.660625457764,2019.980136871338,2139.6401557922363,3120.4002113342285,2212.4001693725586,5207.5804443359375,2098.780143737793,2059.740146636963
[TG(61:12)|TG(60:5)]_FA22:6,2.861910763865482,10.723523428886525,85.33054875353264,2.5243301388788935e-20,2.0175708634989557e-17,TAG,1964597.0122070312,480614.39709472656,19410951.021484375,13619564.489135742,5246253.037353516,7045603.99520874,453621.83193969727,1570971.2520751953,760355.5217895508,579936.9184265137,640968.4714355469,153794.44931030273
LPE(20:0),2.846215365767368,2.224179900941235,84.38727667045929,4.0675702719161544e-20,2.600804431863189e-17,PE,2217.220146179199,2188.8401527404785,62723.90397262573,54680.84397888184,4801.900329589844,2571.800178527832,2034.1601486206057,2124.74015045166,2062.580146789551,2132.3601455688477,2257.8401527404785,2168.8401489257812
[TG(61:11)|TG(60:4)]_FA22:5,2.812573606121221,10.516442547550277,82.80211000159396,9.069311475738824e-20,4.83243146465617e-17,TAG,1755738.7368164062,440731.9926757813,16195405.749633787,11820811.877563477,4717405.499389648,6291816.236877441,385300.46588134766,1397400.684326172,662964.7284240723,549390.8406982422,584445.1047363281,137564.6700744629
DG(37:4)_C16:1,2.480007004064189,8.52784609636724,66.40137041322306,3.6784630881126577e-16,1.680006641813738e-13,DAG,1786008.5904846191,137014.44999694824,1954716.955535889,734521.1391487122,3176351.913017273,1948034.9388694763,39429.50277709961,37313.78267669678,784492.0373497009,133211.84944915771,36455.42232513428,43886.563247680664
DG(34:4)|DG(dO-36:4)_C16:1,2.273232185255496,8.822305737106555,56.83172146533616,4.747462346618841e-14,1.8972046402675544e-11,DAG,1857368.0333251953,329758.5263786316,5684061.168457031,1107847.4912452698,689285.7465057373,1830091.190093994,69864.04468536377,78258.94566726685,559346.867111206,676689.3136062622,72187.6453666687,77399.72564697266
DG(31:1)_C16:1,2.237361013793665,9.2230498253456,55.22550947006676,1.0746496557235497e-13,3.817394388164654e-11,DAG,3142247.3413085938,368648.7060852051,4106221.7010498047,2292516.308959961,1884771.9234046936,1665236.3315429688,125250.8090171814,143884.9900894165,945925.6959571838,393086.95028305054,140743.26978302002,988632.05859375
DG(32:3)_C16:1,2.229830735196686,8.327144731050932,54.88984712949604,1.2747783663505246e-13,4.0754664372226266e-11,DAG,1658128.8932495115,200632.7957611084,2129486.6334228516,1116295.9083862305,1133135.9825210571,994220.6136779784,72543.48545837402,76907.56525039673,504374.49139404297,210910.21404647827,78990.96538925171,532644.7174072266
[TG(56:7)|TG(55:0)]_FA20:4,2.2128179100152567,11.075037628349516,54.136528179304975,1.870318006275266e-13,5.4358242418745684e-11,TAG,963366.02392578125,722483.412109375,3586565.5634765625,29263070.021484375,13358120.358398438,11096170.08642578,761207.5549316406,1343398.7534179688,524231.33447265625,3061859.201904297,1747350.7604980469,337624.623046875
[TG(56:8)|TG(55:1)]_FA20:4,2.158768274802636,10.125036095709044,51.76505585038103,6.255529227119071e-13,1.6665772449249726e-10,TAG,657204.9846191406,550675.57861328125,2185421.9296875,14032691.2734375,7531237.7724609375,5284178.545410156,468051.01037597656,595051.3278808594,465779.35400390625,1419296.3854980469,1004127.9885253906,159430.49194335938
DG(33:1)|DG(O-34:1)_C16:1,2.138954099360521,8.753375216352232,50.904990020200785,9.694680845094693e-13,2.3841457432129026e-10,DAG,2188595.5294189453,312822.4830818176,2966604.6619262695,1489372.6487464905,1439206.9345703125,1200891.0610961914,102539.9465751648,116786.80853652954,710003.7331848145,301555.761051178,106432.18765258788,719989.2328491211
[TG(54:7)|TG(53:0)]_FA18:3,2.1352884503405334,10.382724272818455,50.747147312329616,1.0506516310162143e-12,2.3992380459705983e-10,TAG,965683.175048828,772356.70849609375,2286638.6440429688,16535804.180664062,9379285.220703123,6008349.302978516,577781.5974121094,975192.14892578125,511894.5944824219,1760123.6467285156,982648.3714599608,209595.373046875
[TG(55:10)|TG(54:3)]_FA18:0,2.1228462099684275,10.7001442273994,50.210798922576956,1.3808581898874523e-12,2.9430690887134564e-10,TAG,759769.71240234375,591430.8232421875,2457804.06640625,22310158.150390625,10321547.45703125,8655235.494628906,646789.9450683594,1035536.390625,378978.2673339844,2529452.208984375,1458737.7465820312,228309.53759765625
[TG(55:11)|TG(54:4)]_FA18:0,2.075201664386565,9.885229605967506,48.176368907865246,3.895548874402194e-12,7.783793594664884e-10,TAG,656290.630859375,613605.1435546875,1804296.5463867188,11190681.73828125,6614976.351074219,4375815.155029297,407805.69287109375,729355.08935546875,326209.58068847656,1296145.529296875,775406.3122558594,142586.51037597656
