type,Down,Up
CAR,5,0
CE,0,0
Cer,0,0
DAG,27,13
FA,75,0
PC,14,56
PE,9,37
PG,6,25
PI,5,12
PS,3,19
SM,0,0
TAG,66,155
TAG | DAG,1,0
