type,Down,Up
CAR,0,0
CE,0,0
Cer,0,0
DAG,11,42
FA,25,2
PC,0,6
PE,0,1
PG,0,0
PI,0,4
PS,1,3
SM,0,0
TAG,4,54
TAG | DAG,0,0
