Lipid,Class,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_hippocampus,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_hippocampus,FAD185_M4_Male_WT_hippocampus,FAD189_M3_Male_WT_hippocampus,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,9422.880630493164,8103.28050994873,7853.820575714111,7526.620525360107,9328.74059677124,8502.580646514893,13441.081062316896,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
1-O-carboceroyl-Cer(d18:1/18:0),Cer,4728.700328826904,5426.940364837647,4840.38032913208,6039.360454559326,6087.420398712158,4769.1403160095215,10754.940727233889,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/16:0),Cer,7963.640594482422,7556.000484466553,8617.040580749512,7841.540504455566,8501.54056930542,9123.6806640625,27056.321769714355,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/18:0),Cer,7387.7204666137695,6929.780529022217,7407.040462493896,7077.020511627197,7972.80057144165,7738.960517883301,68355.16482543945,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,9144.52071762085,9044.040603637695,9532.360694885254,7362.540512084961,10325.38069152832,9717.960689544678,13193.50090789795,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,8497.62064743042,6567.540424346924,8389.480564117432,8646.800594329834,8535.900554656982,9617.800693511965,13192.94090270996,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,9095.020606994629,7373.140491485596,8424.600608825684,8506.620639801025,8803.960636138916,7818.540576934814,12938.94090270996,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,7998.040481567383,8090.720592498779,8871.680603027344,10224.440731048584,9259.84059906006,8220.380592346191,13541.00082397461,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,4462.100303649902,4042.78031539917,4141.960292816162,4958.100357055664,4582.320308685303,4383.04029083252,7750.14049911499,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR,CAR,44156.24300765991,43946.92301940918,44124.86301803589,42652.34308624268,45818.92294692993,44214.12307739258,43366.06298828125,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:0),CAR,326331.7841949463,331767.6450653076,330886.32358551025,325895.88430023193,336500.48387146,331624.142780304,359584.1459960937,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:0)_QUAL,CAR,1446191.0229263306,1478430.7510223389,1461154.143615723,1464119.9964790344,1510906.8490447998,1524739.723186493,1358931.08203125,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:1),CAR,459563.1962890625,463854.8551826477,466560.0566825866,459266.55598831177,469846.89278793335,470096.8910675049,634009.9052734375,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:1)_QUAL,CAR,1166871.539199829,1152066.73777771,1125648.4397773745,1163263.6423950195,1188577.2490234375,1172517.3888130188,1046036.49609375,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:2),CAR,469187.1918334961,474116.2724838257,466608.2280311585,471062.3940734863,478029.55585098267,465915.6570625305,642041.1708984375,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
