Lipid,Class,DOD93_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_diencephalon,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_diencephalon,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_diencephalon,DOD94_F3_Female_WT_cortex ,FAD184_F3_Female_WT_cortex ,FAD184_F4_Female_WT_cortex ,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,8721.760601043701,7482.000534057617,8591.540615081787,8456.700565338135,7244.800518035889,7988.360569000244,8556.320613861084,9057.300678253174,9157.600639343262,13441.081062316896,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
1-O-carboceroyl-Cer(d18:1/18:0),Cer,5578.660442352295,5487.040382385254,4904.220375061035,5379.720378875732,5725.460376739502,5644.440383911133,5586.460422515869,5187.240390777588,5140.6403884887695,10754.940727233889,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/16:0),Cer,7981.360595703125,8647.680599212646,7001.560474395752,7538.640537261963,7471.060592651367,8155.760627746582,8935.140686035156,7529.460517883301,7177.440525054932,27056.321769714355,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/18:0),Cer,6294.140449523926,6836.120529174805,7272.500537872314,6505.300563812256,7301.840469360352,6282.000431060791,7825.100547790527,7308.280502319336,7817.520641326904,68355.16482543945,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,9463.600631713867,10230.800720214844,9587.62073135376,9831.780689239502,9431.900661468506,11028.820724487305,11419.08081817627,8188.940574645996,9193.160587310793,13193.50090789795,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,9130.20064163208,7684.760482788086,6957.680545806885,8124.060531616211,9102.000686645508,7994.120590209961,9121.740673065186,7323.460487365723,8253.400569915771,13192.94090270996,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,7604.800563812256,8546.240688323975,8537.620693206787,9896.980716705322,7627.180492401123,8867.140655517578,8972.260669708252,9798.38064956665,7844.500450134277,12938.94090270996,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,9360.44066619873,8225.540557861328,8683.720638275146,8911.160659790039,8944.500610351562,9326.140670776367,9035.960704803469,7791.880554199219,7576.020568847656,13541.00082397461,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,5483.860397338867,5524.400386810303,4302.840286254883,4359.140319824219,5430.340396881104,4872.92036819458,5664.36043548584,5018.540355682373,4554.840305328369,7750.14049911499,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR,CAR,43833.5830078125,46375.6432800293,43133.10283660889,44140.14300537109,43654.66324234009,45301.8030090332,46690.843338012695,45878.46336364746,44235.50297164917,43366.06298828125,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(10:0),CAR,338427.2018623352,334789.2228088379,323321.26235198975,323802.9835205078,326853.56217575073,323277.3828315735,325325.32315444946,335961.30155944824,335777.3225479126,359584.1459960937,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(10:0)_QUAL,CAR,1535372.630897522,1547899.4927978516,1465661.5479812622,1471804.5253257751,1495402.5145492554,1509350.9440078735,1480806.9035568235,1524868.5276794434,1523881.3316841123,1358931.08203125,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
