,Reaction,Gene Code,reaction_code,Lipid 1,Lipid 2,Class,reaction_type,Number,Gene
17,4,8760,4,PA,PI,Glycerolipids and Glycerophospholipids,Biosynthesis of PI,8760,CDS2
18,4,10423,4,PA,PI,Glycerolipids and Glycerophospholipids,Biosynthesis of PI,10423,CDIPT
19,5,1040,5,PA,PS,Glycerolipids and Glycerophospholipids,Biosynthesis of PS,1040,CDS1
20,5,9791,5,PA,PS,Glycerolipids and Glycerophospholipids,Biosynthesis of PS,9791,PTDSS1
21,6,23761,6,PS,PE,Glycerolipids and Glycerophospholipids,Biosynthesis of PE,23761,PISD
22,7,81490,7,PE,PS,Glycerolipids and Glycerophospholipids,Biosynthesis of PS,81490,PTDSS2
23,8,10400,8,PE,PC,Glycerolipids and Glycerophospholipids,Biosynthesis of PC,10400,PEMT
24,9,9791,9,PC,PS,Glycerolipids and Glycerophospholipids,Biosynthesis of PS,9791,PTDSS1
25,10,8228,10,TG,DG,Glycerolipids and Glycerophospholipids,Biosynthesis of Mono/Di/Triacylglycerols,8228,PNPLA4
26,10,150379,10,TG,DG,Glycerolipids and Glycerophospholipids,Biosynthesis of Mono/Di/Triacylglycerols,150379,PNPLA5
27,11,84649,11,DG,TG,Glycerolipids and Glycerophospholipids,Biosynthesis of Mono/Di/Triacylglycerols,84649,DGAT2
28,12,54675,12,PG,CL,Glycerolipids and Glycerophospholipids,Biosynthesis of CL,54675,CRLS1
29,13,81537,13,SPBP,SPB,Sphingolipids,Biosynthesis of Sphingosine,81537,SGPP1
30,13,130367,13,SPBP,SPB,Sphingolipids,Biosynthesis of Sphingosine,130367,SGPP2
31,14,8877,14,SPB,SPBP,Sphingolipids,Biosynthesis of Sphingosine-1-Phosphate,8877,SPHK1
32,14,5684,14,SPB,SPBP,Sphingolipids,Biosynthesis of Sphingosine-1-Phosphate,5684,SPHK2
33,15,125981,15,Cer,SPB,Sphingolipids,Biosynthesis of Sphingosine,125981,ACER1
34,15,427,15,Cer,SPB,Sphingolipids,Biosynthesis of Sphingosine,427,ASAH1
35,15,56624,15,Cer,SPB,Sphingolipids,Biosynthesis of Sphingosine,56624,ASAH2
36,16,10715,16,SPB,Cer,Sphingolipids,Biosynthesis of Ceramide,10715,CERS1
37,16,29956,16,SPB,Cer,Sphingolipids,Biosynthesis of Ceramide,29956,CERS2
38,16,204219,16,SPB,Cer,Sphingolipids,Biosynthesis of Ceramide,204219,CERS3
39,16,79603,16,SPB,Cer,Sphingolipids,Biosynthesis of Ceramide,79603,CERS4
40,16,91012,16,SPB,Cer,Sphingolipids,Biosynthesis of Ceramide,91012,CERS5
41,16,253782,16,SPB,Cer,Sphingolipids,Biosynthesis of Ceramide,253782,CERS6
42,17,259230,17,Cer,SM,Sphingolipids,Biosynthesis of Sphingomyelin,259230,SGMS1
43,17,166929,17,Cer,SM,Sphingolipids,Biosynthesis of Sphingomyelin,166929,SGMS2
44,17,10087,17,Cer,SM,Sphingolipids,Biosynthesis of Sphingomyelin,10087,CERT1
45,18,6609,18,SM,Cer,Sphingolipids,Biosynthesis of Ceramide,6609,SMPD1
46,18,6610,18,SM,Cer,Sphingolipids,Biosynthesis of Ceramide,6610,SMPD2
47,18,55512,18,SM,Cer,Sphingolipids,Biosynthesis of Ceramide,55512,SMPD3
48,19,259230,19,dhCer,dhSM,Sphingolipids,Biosynthesis of Dihydrosphingomyelin,259230,SGMS1
49,19,166929,19,dhCer,dhSM,Sphingolipids,Biosynthesis of Dihydrosphingomyelin,166929,SGMS2
50,20,259230,20,dhSM,dhCer,Sphingolipids,Biosynthesis of Dihydroceramide,259230,SGMS1
51,20,166929,20,dhSM,dhCer,Sphingolipids,Biosynthesis of Dihydroceramide,166929,SGMS2
52,20,6609,20,dhSM,dhCer,Sphingolipids,Biosynthesis of Dihydroceramide,6609,SMPD1
53,21,8560,21,dhCer,Cer,Sphingolipids,Biosynthesis of Ceramide,8560,DEGS1
54,21,123099,21,dhCer,Cer,Sphingolipids,Biosynthesis of Ceramide,123099,DEGS2
55,22,79888,22,LPC,PC,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PC,79888,LPCAT1
56,22,54947,22,LPC,PC,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PC,54947,LPCAT2
57,22,10162,22,LPC,PC,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PC,10162,LPCAT3
58,22,254531,22,LPC,PC,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PC,254531,LPCAT4
59,23,30814,23,PC,LPC,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PC,30814,PLA2G2E
60,23,5320,23,PC,LPC,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PC,5320,PLA2G2A
61,23,26279,23,PC,LPC,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PC,26279,PLA2G2D
62,23,64600,23,PC,LPC,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PC,64600,PLA2G2F
