lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,07052023_ELOVL1_5Xdilution_HEPG2-01,07052023_ELOVL1_5Xdilution_HEPG2-02,07052023_ELOVL1_5Xdilution_HEPG2-03,07052023_ELOVL1_5Xdilution_HEK293-01,07052023_ELOVL1_5Xdilution_HEK293-02,07052023_ELOVL1_5Xdilution_HEK293-03,07052023_ELOVL1_5Xdilution_Blank-01
FA(18:0),1.066191548296689,9.812289728436088,39.85187158147687,2.7397154262407413e-10,6.054771091992038e-8,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,18137.00132,21068.78191,22864.56154,8355.840576,10117.36069,13685.50111,5221.220387
LPC(18:1)|PC(O-18:1)|PC(P-18:0),-1.0035438912613313,8.412709476635035,35.16977172529992,3.0217778948643065e-9,3.3390645738250585e-7,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,2605.30019,3961.060261,4491.300304,6023.300411,9054.060654,7987.040623,3196.580235
LPC(18:2)|LPC(P-19:1),-0.8564174282308606,8.331962390956434,25.727539772851543,3.931761626779501e-7,2.896397731727566e-5,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,2425.880184,3610.080238,4688.340363,5479.480385,7073.420525,7509.760502,3746.380276
FA(28:2),0.7808130066012865,12.095007304358482,21.651471472073013,3.2695909424162735e-6,1.5712548987347852e-4,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,75035.52639,112456.4103,130870.1862,56028.16447,54253.52287,83812.30568,5432.480377
LPC(16:1)|LPC(P-17:0),-0.7810626609116416,8.530820899715474,21.491030508963945,3.5548753365040388e-6,1.5712548987347852e-4,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,2811.380203,4919.060326,5660.700394,6087.280415,9140.260658,8424.160622,3548.680252
LPC(20:2)|PC(O-20:2),-0.6557024973238776,8.001586475843165,15.123820209552193,1.0068482228698029e-4,0.003708557620903774,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,2409.520176,2705.300186,3678.580246,3969.70031,5511.520412,5137.76038,3341.960224
LPC(17:1)|LPC(O-18:1)|LPC(P-18:0),-0.5915279236721094,7.624117943295561,12.28773203581946,4.5594546465896503e-4,0.014394849669947325,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,1914.56012,2734.820175,2561.480171,3210.600239,4117.780235,4209.180283,2219.48016
LPC(15:1)|LPC(O-16:1)|LPC(P-16:0),-0.5337206599084278,7.602525151163481,10.011384042543327,0.0015557556348020885,0.042977749411407695,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,2090.90015,2289.020145,2788.500202,3356.120247,4137.420284,3479.560246,2258.280167
FA(27:0) | FA(28:7),0.512390887203096,9.169852957974875,9.345984436792897,0.002234745792623861,0.04938788201698733,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,8652.600628,12320.60082,14069.06109,6637.380447,8855.900536,10431.94069,3636.30024
LPC(22:5),-0.518820429154105,7.81609931298948,9.486693438721971,0.0020696748977950007,0.04938788201698733,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,2281.140156,2867.120209,3245.680233,3492.92025,4504.060349,4775.840351,2662.560188
FA(16:0),0.49334252928817596,9.987209683710793,8.685688916228287,0.003207183280567652,0.06175164320308665,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,15856.66115,20372.70148,23596.36127,12486.3009,14675.48106,17925.20126,7246.500496
LPC(16:0)|PC(O-16:0)|LPC(O-17:0),-0.49354930856290846,7.955127554579342,8.604664987849915,0.0033530304001676003,0.06175164320308665,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,2251.080158,3601.020267,3828.240299,3851.960251,5397.800415,4909.560375,2742.640202
FA(27:0) | FA(28:7)_2,0.45141451070229854,9.784318073529535,7.275619778723012,0.006989677128265463,0.11882451118051288,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,12328.92064,19674.5013,22066.06152,11855.42096,12347.62074,16984.78134,4886.260342
PC(19:1)|LPC(20:1)|PC(O-20:1)|PC(P-20:0),-0.447414349080669,7.7101384981664065,7.0554929196003116,0.007902256245559146,0.12474275930489795,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,2374.360172,2714.980198,2772.160194,3412.580223,3995.440262,4116.84029,2501.620171
LPC(18:0)|PC(O-18:0)|LPC(O-19:0),-0.4293229394762202,7.852533773477346,6.512236306658679,0.010713469178763434,0.1578451125671146,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,2196.880157,3089.2402,3971.320301,4096.42028,4250.520298,4479.260315,2577.120186
