lipid,logFC,logCPM,LR,PValue,FDR,type,AK0139,AK0161,AK0170,AK0200,AK0202,AK0204,AK0145,AK0164,AK0174,AK0175,Blank-1x
"(13Z,16Z)-docosadienoylcarnitine",0.2826523189166242,10.04847903598643,0.7894265458053269,0.3742735817813155,0.9992634527508099,CAR,1488449.0466308594,1193195.6975708008,1149769.7707519531,1397754.8560791016,1063207.8836669922,2707231.5189208984,1079653.0477294922,1238666.0463256836,1221247.5565185547,1017794.9621582032,181664.57362365723
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",-0.04358194133301599,10.815083306746184,0.01908041868591681,0.8901361837731855,0.9992634527508099,CAR,2612464.2541503906,1584487.484008789,1759009.0557861328,2210718.679321289,2266709.955444336,4539267.546386719,2139352.323059082,2044519.1489868164,2786300.2643432617,2522326.7109375,114023.58724212646
"(5Z,8Z)-tetradecadienoylcarnitine",0.36928093534230216,9.45844377871528,1.3407217437379586,0.24690672736276534,0.9992634527508099,CAR,1094941.124267578,718203.7386474609,721524.2933959961,936592.482421875,645266.2047119141,1766401.763671875,699176.3087768555,659514.9055175781,764933.9527587891,652278.2630615234,158361.42999267578
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",0.24699940667138193,9.951703372833117,0.6040356503108342,0.43704237221739284,0.9992634527508099,CAR,1363543.480041504,1135056.982788086,1079179.2010498047,1314794.0446166992,996268.9852294922,2561769.2114257812,1076848.043701172,1079055.9274902344,1177549.126953125,1027356.7213745116,153256.1509437561
"(7Z,10Z)-hexadecadienoylcarnitine",0.22274097618626804,9.960320843723418,0.49186731914960546,0.48309551654533095,0.9992634527508099,CAR,1456700.292602539,1046285.1735839844,971811.7346191406,1376905.823486328,1039734.9908447266,2592716.475341797,1080488.7222595215,994361.0492553712,1286415.7739868164,1079671.9899902344,148019.67110061646
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",0.18075586861675375,11.851330507459148,0.3246473559993319,0.5688280486166449,0.9992634527508099,CAR,5300942.361083984,4788771.525024414,3860608.9428710938,4220326.905151367,5549661.710693359,8361298.29296875,4388263.270019531,4789257.653442383,3928391.265625,4548470.571166992,263180.44006347656
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",0.18317481299794788,10.582821705515672,0.3333510764641687,0.5636924837185774,0.9992634527508099,CAR,2002974.827270508,1913919.235534668,1748927.3958740234,1901714.705444336,2106989.879760742,3335229.4018554688,1580741.047241211,2097805.024169922,1671652.7352294922,1796628.9790039062,168484.0325164795
(9Z)-3-hydroxyoctadecenoylcarnitine,0.22687913588444128,11.92772643062051,0.510201049852185,0.4750518360949875,0.9992634527508099,CAR,5198610.0556640625,4968568.333374023,4314156.84765625,4576701.091308594,5939488.359130859,8748329.255859375,4360791.6220703125,4894547.858154297,3856481.7958984375,4835780.072509766,341258.06032562256
1-O-behenoyl-Cer(d18:1/16:0),-0.06367529393817659,2.505059399769638,0.040688548967182214,0.8401402955085133,0.9992634527508099,Cer,5428.220371246338,3938.7002754211426,4248.760307312012,4174.160293579102,5481.920394897461,4148.680309295654,5703.600429534912,4355.2003173828125,3850.560276031494,4372.38032913208,3583.220245361328
1-O-carboceroyl-Cer(d18:1/16:0),-0.14634424648822267,2.64441129122896,0.21565220603451962,0.64237287759893,0.9992634527508099,Cer,4441.940341949463,3718.3802642822266,3969.8202781677246,3614.9802589416504,5576.680419921875,4055.040290832519,5085.420352935791,3836.640239715576,4237.000282287598,4758.760353088379,4646.720367431641
1-O-carboceroyl-Cer(d18:1/18:0),-0.0028842595561795743,3.123496698852063,8.331673075190338e-5,0.992717170527564,0.9992634527508099,Cer,8781.880512237549,7115.460487365723,7192.140544891357,6553.460472106934,9145.040660858154,6529.280418395996,10447.660861968994,6016.460430145264,6091.820507049561,6554.140449523926,5040.740333557129
1-O-cerotoyl-Cer(d18:1/16:0),0.003461612918940625,3.1338320582268975,1.1999262483186612e-4,0.9912600559388236,0.9992634527508099,Cer,7282.660499572754,7886.500576019287,8310.960536956787,6413.280429840088,13825.741111755371,7550.240520477295,10870.080791473389,5406.520370483398,8394.460628509521,8751.120597839355,3809.9602699279785
1-O-cerotoyl-Cer(d18:1/18:0),0.1542807641094812,3.3864551076519502,0.23665202218359838,0.6266347273127025,0.9992634527508099,Cer,12557.66093826294,9755.960605621338,11369.340805053713,6788.320453643799,18681.461498260494,10655.400787353516,14279.840965270996,7214.720581054688,10750.760795593262,9342.600666046144,3463.6002349853516
1-O-eicosanoyl-Cer(d18:1/16:0),-0.24348142924101152,3.0083512988564203,0.5993829327027242,0.4388135621033731,0.9992634527508099,Cer,5131.020397186279,4800.280372619629,4450.040294647217,4905.880352020264,5853.100387573242,3852.060295104981,7359.920520782471,4873.900314331055,4322.100303649902,5289.9403648376465,6539.220417022705
1-O-lignoceroyl-Cer(d18:1/16:0),-0.07735362194324284,2.388257519079877,0.06007056720295623,0.8063844409329304,0.9992634527508099,Cer,4048.440307617187,4089.560306549072,3639.14026260376,4162.040302276611,4686.000328063965,4047.540290832519,5020.460350036621,3765.000278472901,4020.000270843506,3772.820266723633,3428.300247192383
1-O-myristoyl-Cer(d18:1/16:0),0.023250105421492882,2.578945597191812,0.005404306749994703,0.9413971116561057,0.9992634527508099,Cer,5036.300392150879,5093.560356140137,4900.880352020264,4447.700313568115,7014.3204917907715,4389.240291595459,5587.720401763916,4566.740303039551,4604.6203536987305,4845.1403465271,3470.2002601623535
1-O-palmitoyl-Cer(d18:1/16:0),-0.11661198643182764,3.0716995829727205,0.13681730553884108,0.7114657687051743,0.9992634527508099,Cer,5919.900444030762,4777.000354766846,4846.0003662109375,5167.520366668701,7208.8204917907715,4643.700305938721,6407.380443572998,5189.2403564453125,4676.50036239624,6160.1803855896,6578.1604080200195
1-O-stearoyl-Cer(d18:1/16:0),-0.0679486806497295,2.56284890431822,0.04634938369599695,0.8295419506525468,0.9992634527508099,Cer,5179.200378417969,4733.940368652344,4175.380310058594,4884.260334014893,6096.280429840088,4892.620365142822,6351.960472106934,4237.5002784729,4600.600368499756,4807.780326843262,3474.080253601074
1-O-tricosanoyl-Cer(d18:1/16:0),0.00938181878580443,2.430535782243556,8.802548917401509e-4,0.9763309638012793,0.9992634527508099,Cer,4674.660354614258,3747.100273132324,3998.4402770996094,3961.74027633667,5636.340427398682,4099.060287475586,4586.880325317383,3911.7002754211426,3936.3802757263184,4180.200305938721,3450.9802436828613
1-O-tricosanoyl-Cer(d18:1/18:0),-0.062190396935323036,2.7547105134939747,0.03881222209669488,0.8438211382862396,0.9992634527508099,Cer,5767.840435028076,4322.880317687988,4530.180316925049,3721.3802642822266,5268.840389251709,4539.620319366455,5468.500392913818,4604.360305786133,4166.780300140381,4440.880332946777,5073.480350494385
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",0.22944957679184988,10.593603625606232,0.5217525098705664,0.47009506711628035,0.9992634527508099,CAR,1908898.225830078,1574604.4770507812,1667023.7607421875,1676924.242553711,1899879.3990478516,3586422.091796875,1500475.087890625,1676762.3806152344,1540232.3978271484,1754820.5119628906,327414.4421424866
12:0 Cholesteryl ester,0.34016700301441,8.022196313038474,1.1395878862495001,0.2857394260613341,0.9992634527508099,CE,465114.21572875977,457386.1742858887,382910.7053527832,431260.740234375,186711.71340560913,398273.2957763672,392100.2387390137,456029.5919189453,148017.6802940369,155068.82125854492,37555.72263145447
14:0 Cholesteryl ester,0.29983804466660124,7.823199996830965,0.8874554701069428,0.346167784062623,0.9992634527508099,CE,408192.8278808594,378208.78729248047,331379.9051513672,374032.8856201172,157515.33116149902,348061.6057739258,352738.62506103516,402353.0107421875,115021.12748718262,144252.42919921875,33731.72247314453
14:1 Cholesteryl ester,0.2721699900091179,7.870022093132831,0.7323753424789174,0.39211432945247904,0.9992634527508099,CE,425408.9488220215,390806.02716064453,346504.4039916992,385376.1858520508,154538.83144378662,357291.26708984375,366456.5667114258,413623.6901245117,135030.92964935303,150148.43026733398,33754.40241241455
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,0.49213721168172836,10.273303897944182,2.3632961194780364,0.12421947701468627,0.9992634527508099,CE,2051642.4748535156,2289454.801147461,2114187.1107177734,2187327.221801758,853643.717956543,2697162.3706054688,1892195.0750732424,1994671.543334961,804388.2162704468,725593.9499816895,78650.26553726196
15:0 Cholesteryl ester,0.392131682893147,9.312113716263818,1.5097152252637898,0.21918254561121586,0.9992634527508099,CE,1055011.5732421875,1068373.348022461,984740.043701172,1039988.71484375,459047.3137817383,1155100.2397460938,960665.4267578124,1045205.1755371094,312532.92054748535,417044.6669921875,89103.66654205322
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,0.4236692719298561,9.848986889719786,1.7589546383428578,0.1847549581390842,0.9992634527508099,CE,1538668.7131347656,1551781.069580078,1492855.7944335938,1543225.9221191406,741590.7231750488,1730770.0764160156,1368482.2838134766,1545512.5982666016,504738.7481002808,598246.1745910645,98432.88682556152
15:1 Cholesteryl ester,0.4171935728919092,9.31438011204103,1.706264888511214,0.1914707001437607,0.9992634527508099,CE,1054155.5134277344,1034874.573486328,1001628.103515625,1042590.439453125,523393.09393310547,1164540.2397460938,952810.02734375,1045489.8735351562,306752.93940734863,423149.8651123047,82103.88539123535
16:0 Campesteryl ester | 17:0 Cholesteryl ester,0.5795215959964943,10.969209731911146,3.258521153664333,0.07105317861384126,0.9992634527508099,CE,3318476.1712646484,3875085.258117676,3504979.079345703,3804787.899536133,1332574.521987915,5001564.462982178,3211977.413330078,3107343.2870788574,1307124.823486328,1079846.6269073486,39962.69267845154
16:2 Campesteryl ester,0.6299056587616048,10.777183609322398,3.836741048417025,0.05014089077119259,0.9992634527508099,CE,2881798.134765625,3417545.9243164062,3071638.707397461,3307019.251953125,1178049.5912780762,4564289.039428711,2853732.693359375,2611230.1533813477,1104001.699897766,876902.982208252,37548.18246459961
"16:2 Cholesteryl ester, zymosteryl palmitoleate",0.42135710096293216,9.563723832844778,1.740051520009728,0.18713229894840194,0.9992634527508099,CE,1263222.117919922,1241483.5310058594,1206008.5622558594,1263038.6306152344,604268.1017456055,1390025.2941894531,1134029.0310058594,1267904.803955078,389170.6880187988,474161.7130126953,93003.58645629884
16:3 Campesteryl ester,0.610344843141606,10.759441190228266,3.606921524980862,0.05753953821794003,0.9992634527508099,CE,2809078.3034057617,3370828.850830078,3015819.7756347656,3274823.365753174,1153624.7742919922,4504572.306091309,2799905.918334961,2577784.221862793,1121081.583908081,912040.8722076416,36631.20252227783
16:3 Cholesteryl ester,0.40627334259815795,9.47550929608314,1.619187079868425,0.20320517494353826,0.9992634527508099,CE,1165534.2019042969,1174910.9125976562,1096579.2644042969,1182799.1965332031,540857.696472168,1277360.2670898438,1046914.4780273438,1150298.960205078,360634.76766967773,471574.69232177734,103143.08738708496
16:3 Stigmasteryl ester,0.5762714115734265,11.383165650930536,3.2227706301491708,0.07262061661084732,0.9992634527508099,CE,4722541.474975586,5191223.557739258,4720311.004638672,5171141.995483398,1801859.525909424,6217856.19934082,4274017.391723633,4371415.269836426,1737976.481918335,1331746.8444519043,39270.862632751465
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",0.45737125627087166,10.568416969209435,2.0456659900955847,0.15264017171142646,0.9992634527508099,CE,2822796.576599121,2839009.963104248,2574079.7657470703,2979560.499572754,1095559.090774536,2921319.241546631,2300476.920196533,2787728.9231262207,1015916.60105896,865869.1324005127,40001.622884750366
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",0.5813013071120269,11.057928611411057,3.2781789699802175,0.07020678736200475,0.9992634527508099,CE,3718276.8081054688,4120688.9710998535,3680598.401611328,4184512.6173095703,1482588.7326202393,4957396.390258789,3376916.686401367,3525486.3202819824,1278986.178062439,1097628.923713684,41981.02304840088
17:1 Cholesteryl ester; 16:1 Campesteryl ester,0.6070482115148574,10.797314671262784,3.568854847977491,0.05887289784128343,0.9992634527508099,CE,2918247.939819336,3453966.0301208496,3106656.797088623,3356310.528503418,1162368.9273986816,4581537.056976318,2887374.0138549805,2690113.881866455,1166644.243675232,887253.8628616333,41338.52281188965
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",0.5383177404120363,10.828130060820245,2.81925490165304,0.09313963023583084,0.9992634527508099,CE,3315161.847808838,3958294.362976074,3100444.072692871,3660827.023376465,1353950.488822937,3228344.1232299805,2687074.9968566895,3090809.117034912,1089769.349235535,1124650.867271423,41639.50292015076
18:1 Campesteryl ester,0.47501756544951274,11.074100547975611,2.2041260312398663,0.13764188229880145,0.9992634527508099,CE,4002003.9439697266,4477974.755187988,3672621.907043457,4339608.172363281,1518235.576385498,3820909.7244262695,3204196.690063477,3735554.5223999023,1552476.3158874512,1317252.875152588,44848.22304916382
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",0.5552729680517451,11.329737026428935,2.996328975772485,0.08345341431749749,0.9992634527508099,CE,4486515.670532227,4957211.194519043,4495567.135131836,5061750.217041016,1706795.089111328,5980968.522338867,4095343.482543946,4150944.659851074,1652844.0254058838,1433446.1220703125,40885.68292999267
18:3 Campesteryl ester,0.515594043210834,11.094046627645092,2.5900687909743274,0.10753566514919884,0.9992634527508099,CE,4045757.433959961,4580462.106201172,3777282.47265625,4373657.011108398,1635778.7589111328,3889693.0604248047,3280187.0474853516,3888413.565368652,1391218.4571380615,1236603.7670593262,43290.78319168091
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",0.5381708470492175,11.39115253732661,2.8177466627093963,0.0932271974411061,0.9992634527508099,CE,4648458.169921875,5227865.071716309,4683383.762390137,5225475.064697266,1783487.885131836,6189341.36730957,4273291.343078613,4389020.909790039,1863376.6055603027,1437982.3947143557,40236.00278472901
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",0.44304708307318236,11.040061605545434,1.9212500814392115,0.16571891761772778,0.9992634527508099,CE,3768105.927368164,4283155.2265625,3496396.205078125,3900011.8770751953,1568005.33102417,3609544.9732666016,2960267.2912597656,3701249.00378418,1422278.934020996,1385092.6919555664,111372.25839805604
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",0.25882191435826596,9.009736671431666,0.6628041716830921,0.41557170735963905,0.9992634527508099,CAR,683626.9583740234,552526.2526245117,581810.5565185547,673715.77099609375,504305.3756103515,1180923.685546875,535128.9973754883,533576.4212646484,556161.2179870605,514811.8537597656,114115.06772994997
20:0 Campesteryl ester,0.37188149301728024,10.455252079091656,1.3594693927016124,0.24362946162311488,0.9992634527508099,CE,2559207.6220703125,2569923.3569335938,2290627.869873047,2371062.5517578125,1090242.490814209,2294392.154296875,1934160.1706542969,2756263.453857422,783134.548828125,921191.6957702636,117365.78839111328
20:1 Campesteryl ester,0.36472155985631416,10.46274590436085,1.3081812279524456,0.25272421811979134,0.9992634527508099,CE,2585693.243408203,2556160.831298828,2325912.201660156,2429942.8693847656,1107220.6676330566,2284697.7314453125,1934451.71484375,2746248.224609375,955419.111907959,876076.1404266357,107014.40713882446
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",0.46108346698365854,11.061222175282518,2.0785279642796013,0.1493841778720386,0.9992634527508099,CE,3853047.3322753906,4349770.3916015625,3558858.6623535156,3976487.776123047,1626150.655822754,3676025.0087890625,3014448.8520507812,3763806.333984375,1299314.977478027,1444733.7073364258,107587.868144989
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",0.5101367226288489,11.064622130640103,2.5364180404285435,0.11124690339267662,0.9992634527508099,CE,3874732.990234375,4368061.712646484,3554552.2036132812,3945552.936035156,1744661.2466125488,3696464.865966797,3040737.1506347656,3734481.5161132817,1252337.7398986816,1305868.1267700195,120097.84827804564
20:3 Campesteryl ester,0.37934828255403047,10.47579594367654,1.4139796496965573,0.23439687059096118,0.9992634527508099,CE,2648200.317138672,2575401.7612304688,2416128.0581054688,2507091.5747070312,1070385.4758911133,2289059.6540527344,2000263.3784179688,2770194.724609375,825778.3897399902,922979.9344787598,103799.04703521729
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",0.457788078040583,11.019386865537266,2.049345039599075,0.15227168388168938,0.9992634527508099,CE,3698205.9526367183,4228598.630859375,3437651.1291503906,3823854.686035156,1603876.9877319336,3558974.6506347656,2919510.557861328,3615039.737060547,1302011.4176940918,1401716.863067627,112794.7882385254
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",0.45844188747625236,10.803774037209141,2.055118116953963,0.151695490534297,0.9992634527508099,CE,3228495.2756347656,3761119.873535156,3028089.337402344,3430672.854248047,1174486.8546295166,3133886.0346679688,2600619.6948242188,3109039.83203125,1120680.7828674316,1184422.8305511477,80782.82581329346
20:5 Cholesteryl ester,0.504507467494357,10.787995247439865,2.48164225689834,0.11518192944678352,0.9992634527508099,CE,3266444.6192626953,3716260.158569336,3172285.7553710938,3439907.041625977,1372025.7718658447,2935721.691833496,2643668.9346313477,2979094.144592285,1094727.984024048,1158173.7094726562,40848.14287948608
22:0 Campesteryl ester,0.2636091505109864,10.499610917466976,0.6873733459215146,0.40705924261002696,0.9992634527508099,CE,3227203.8143615723,2258381.091522217,1693196.592254639,2998802.556945801,1114970.1255950928,2688782.0929870605,2021629.8032836912,2019985.7680664065,1843595.0082626345,1259787.6028251648,26874.302040100098
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",0.37261699850748264,9.388325260137155,1.3647860577111715,0.24270973514041755,0.9992634527508099,CE,1250056.5545654297,1256154.9832458496,1139922.3409423828,1269536.9176635742,452921.41033935547,1158563.440673828,960882.7532348632,1376826.1256713867,409340.06436157227,414245.8681945801,27702.32187271118
22:0 Sitosteryl ester,0.26682704741170754,10.69850368932501,0.7041312326618936,0.401399012320247,0.9992634527508099,CE,3713683.4240722656,2516179.9051208496,2052731.3544311523,3368838.2041015625,1201522.3281555176,2908136.5516967773,2305809.6557006836,2363449.1513061523,2001691.2339324951,1378686.5291137695,77169.50589370728
22:1 Campesteryl ester,0.2590589843634461,10.42946007566783,0.6640167217556154,0.4151454607686523,0.9992634527508099,CE,3069855.1212768555,2170895.898162842,1659973.790374756,2829398.5095825195,1046323.8808441162,2518530.7825012207,1919642.534362793,1956467.0634765625,1760836.3568496704,1186487.747138977,26758.60181045532
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",0.358512015379012,9.388293724015837,1.264474237072136,0.2608058746441435,0.9992634527508099,CE,1276962.939819336,1271805.094039917,1121099.4163208008,1251449.358642578,451082.5294647217,1129933.3538208008,948963.9513549804,1373943.5310058594,436006.1957092285,419666.2893066406,28412.241912841797
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",0.27995932137010204,10.719940075183574,0.7745754738716641,0.37880530412975266,0.9992634527508099,CE,3794284.665195465,2604869.396572113,2143438.368488312,3483556.3550338745,1182742.1558151245,2987162.623451233,2369999.6730041504,2432624.3164367676,2027459.1523361208,1369158.2368087769,59661.04486465454
22:2 Campesteryl ester,0.25305793933334814,10.142555904860401,0.6338199054443978,0.425957599789483,0.9992634527508099,CE,2365301.4923095703,1799011.9351501465,1467633.4023132324,2213065.8686828613,907571.1602172852,2034675.3281555176,1548088.1864624023,1727326.5692596436,1386780.177696228,939149.0082626344,28828.601886749268
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",0.2903750410062362,10.705453904771277,0.8327923532560813,0.36146633177575827,0.9992634527508099,CE,3810795.3693237305,2620927.4714050293,2133095.015319824,3454421.276412964,1198484.371307373,3035190.985107422,2387638.347885132,2431595.019012451,2056433.287826538,1316201.6140670776,31807.14225769043
22:3 Campesteryl ester,0.386630699067156,9.249038606779465,1.468140603734355,0.22563929382009942,0.9992634527508099,CE,1176950.5936889648,1122353.1481933594,1010147.7665710448,1157966.298675537,418789.3702850342,1055338.5877075195,890991.3828125,1215960.052581787,398431.869720459,352538.42739868164,25816.88180923462
22:3 Stigmasteryl ester,0.2752381330565044,10.622055682030563,0.7488698695087805,0.3868342728047811,0.9992634527508099,CE,3538824.911529541,2437344.05462265,1914662.7027130127,3263354.667663574,1201693.105064392,2904160.380279541,2219341.1036376953,2234915.5794677734,1959236.8727340696,1335641.699344635,29448.982093811035
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",0.3376450093373718,10.318047924062524,1.12294138298057,0.28928597857993654,0.9992634527508099,CE,2279673.0759277344,2200636.8981933594,2088645.1794433591,2153481.6518554688,1019667.185760498,2029166.7861328125,1732583.7451171875,2463806.828857422,743087.7971801758,901284.7451782228,118993.82879257202
22:5 Cholesteryl ester,0.36585558592748985,10.413830586433413,1.316240140440641,0.25126794429092847,0.9992634527508099,CE,2495489.1740722656,2462065.8618164062,2248224.8471679688,2353680.63671875,1025343.2522583008,2207542.1032714844,1908633.1130371096,2647383.7080078125,789784.7694396973,885676.8005981445,114990.62853240968
22:6 Cholesteryl ester,0.36447983610593987,10.4472983702,1.3064663825680327,0.253035434000218,0.9992634527508099,CE,2533065.233154297,2484343.223388672,2308341.8029785156,2411009.220214844,1083897.462677002,2254405.259033203,1907218.3432617188,2743999.8203125,835427.1934204102,903051.36428833,116655.2083015442
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",0.2545039645939382,10.717492071090572,0.6410338938731002,0.42333665704563306,0.9992634527508099,CE,3756922.496810913,2510140.7878723145,2085391.799823761,3415279.208557129,1193728.8836364746,2989714.755126953,2329438.053543091,2413426.921432495,2055553.946777344,1411570.9414138794,75213.30527496338
3-hydroxyarachidonoylcarnitine,0.2821156644583065,10.202423627123885,0.7864559113368155,0.37517393607377925,0.9992634527508099,CAR,1615659.7485351562,1260706.2974853516,1263232.9755859375,1577737.2863769531,1192835.4344482422,2776808.0036621094,1226450.555419922,1258064.9012451172,1302493.4931640625,1120644.2983398438,247831.9576034546
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",0.22679702359560946,9.820922424706577,0.5098310470530123,0.4752120036650505,0.9992634527508099,CAR,1430927.6659545898,1000691.2673950196,944104.31298828125,1132979.3279418943,955502.7790527344,2187316.1685791016,974609.2042236328,1013067.4606323242,1107615.534423828,930500.2911987304,140317.9097480774
"3-hydroxylinoleoylcarnitine,",0.17848949451881363,11.851521062573973,0.3165952078998089,0.5736610208895532,0.9992634527508099,CAR,4741744.404907227,4745799.526245117,4365227.45300293,4478813.756469727,5424324.594116211,8339720.1181640625,3755488.9732666016,5201880.256713867,3995793.8782958984,4702261.859130859,259128.27826309204
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",0.1987253089385755,11.391255101090085,0.3920289426459931,0.5312348269307964,0.9992634527508099,CAR,3236536.6755371094,2736186.072265625,2658867.3598632812,2975819.9208984375,3437448.0068359375,5664126.8125,2565661.3549804688,3068166.078125,2327843.1586914062,3155632.5205078125,638254.4590263367
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",0.28855846941432767,10.308709053837578,0.8224879724439234,0.36445374400419756,0.9992634527508099,CAR,1703905.0939941406,1265450.1817626953,1334843.5915527344,1574963.1228027344,1305729.0169677734,3068660.701171875,1218282.745361328,1247825.5977783203,1338478.732055664,1319755.1290283203,292378.04011917114
C12:0,0.007952223144171454,9.214874450577225,6.337652120578241e-4,0.9799156219142888,0.9992634527508099,FA,740589.6480712891,551191.2980041504,767002.9313354492,637220.1625366211,619134.9823608398,726479.8492431641,764340.4943847656,480588.01330566406,682141.6083374023,593606.2041015625,192937.8125
C12:1,-0.03333435576496051,8.95626839987773,0.011157168381942029,0.9158779063645349,0.9992634527508099,FA,560132.2785644531,443318.07052612305,605230.82470703125,511127.4340820313,513446.6744995117,601778.2382202148,602155.9632568359,372567.2653198242,567265.0386962891,524384.2370605469,177952.53317260742
C14:0,0.012160752443586728,10.55130547177282,0.001481802319176495,0.969293667329216,0.9992634527508099,FA,2134576.407714844,1649321.1619262695,2203333.132446289,1756517.399169922,1445323.8159179688,1833101.9157714844,2110289.491333008,1535968.0650634766,1787839.78515625,1430550.0217285156,369149.4465942383
