lipid,logFC,logCPM,LR,PValue,FDR,type,AK0139,AK0161,AK0170,AK0200,AK0202,AK0204,AK0145,AK0164,AK0174,AK0175,Blank-1x
C20:1,5.789695847930871,7.774458831652186,192.3633138083888,9.693642968118593e-44,1.3619568370206622e-40,FA,7964.540580749512,3387301.2391319275,7954.940528869629,8603.780624389648,7946.740524291992,7940.500556945801,7976.280590057373,11042.180751800535,7964.840518951416,7953.040557861328,7982.56058883667
Cer(d20:0/26:0),1.9891711780999886,7.595527337587851,34.066826085683715,5.325142959371295e-9,3.7409129289583347e-6,Cer,122976.50982284546,21008.941318511963,64888.283515930176,897382.4204978943,972553.6929969788,22905.541801452637,12331.600761413574,41083.24278640747,8932.380596160889,244944.81497573853,3579.9602546691895
C18:4,1.8969511477720558,9.695991479372973,31.26466147316387,2.251407369920384e-8,1.0544091182460465e-5,FA,2894270.9978027344,405599.84588623047,285829.51916503906,5712751.576690674,372092.9291992187,323099.70404052734,404067.07208251953,266600.91885375977,571434.2774658203,318459.9401245117,127843.58934020996
C18:2,1.8210793096206812,11.623690679702051,29.026708258956205,7.138726065230214e-8,2.507477530412113e-5,FA,30382811.85083008,1749622.048370361,1030637.5733642578,3706070.332885742,1180134.9066505432,1968676.159423828,2159391.643737793,774634.73876953125,2530091.049926758,1219379.9229125977,191511.09341430664
C20:0,1.6118564410438312,4.20851109099066,23.180805738490562,1.474618549552183e-6,4.1436781242416344e-4,FA,7966.260536193848,129144.51029586792,7959.200504302979,7964.340545654297,7952.04052734375,7947.500576019287,7977.6005783081055,7975.580577850342,7970.800552368164,7956.640556335449,7982.3806076049805
Cer(t18:0/26:0(2OH)),1.5496294374476394,5.849537109693959,21.557797169298283,3.4332401725093447e-6,8.039504070626049e-4,Cer,10586.800743103027,12692.780986785889,30666.9022064209,225540.09686279297,276953.3325691223,15254.46109008789,7124.720485687256,20583.52146911621,5092.140342712402,84920.7845993042,3491.180248260498
C24:5,1.4039182711686786,11.867355086890445,17.930698448559276,2.2909590578167516e-5,0.0045982821089036235,FA,28005625.03112793,3050610.21774292,1810146.6446228027,4780553.716369629,1804504.928527832,2821938.868713379,3108907.9731445312,1778013.4094543457,3056002.0457000732,1619711.4777832031,505308.3322067261
C22:1,1.080038447700892,11.020882976654098,10.907116948568728,9.579550126451007e-4,0.1682408490957958,FA,13455427.26031494,1840780.876789093,1091551.633239746,2633722.0825195312,1314462.6401062012,2262475.2035827637,1976226.805603027,1072527.111175537,2300666.792984009,1102661.9021606443,229673.77950286865
"(11Z,14Z)-eicosadienoylcarnitine",0.2500275723577946,10.168077261724914,0.6188339356158394,0.43148093305026614,0.9992634527508099,CAR,1380411.956298828,1179871.0670166016,1218773.5845947266,1302167.092163086,1176849.5888671875,2821156.5366210938,1130798.7427978516,1181701.8826904297,1254938.1559448242,1132406.2965698242,283604.88078689575
(11Z)-eicoseneoylcarnitine,0.26060688408582805,10.240881780981594,0.6719164863461629,0.4123842296358855,0.9992634527508099,CAR,1499141.0727539062,1159558.7852783203,1202099.1199951172,1561939.1799316406,1278446.3055419922,2960353.279296875,1128833.5732421875,1278053.767944336,1238776.1319580078,1282045.1535644531,285046.4786605835
