Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Sample_ID,Transition,Match_Group,Lipid,Correct_RT,Max_Intensity,Cage,Mouse,Genotype,Biology,db,FAC,TG,Group,Cluster_Label
722.7,547.5,12.83,43.0,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,12.34,261.0,DOD94,F3,WT,cereb,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,12.87,42.0,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,12.34,261.0,DOD94,F3,WT,cereb,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,12.92,59.0,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,12.34,261.0,DOD94,F3,WT,cereb,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,12.96,43.0,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,12.34,261.0,DOD94,F3,WT,cereb,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.01,43.0,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,12.34,261.0,DOD94,F3,WT,cereb,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.05,43.0,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,12.34,261.0,DOD94,F3,WT,cereb,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.09,43.0,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,12.34,261.0,DOD94,F3,WT,cereb,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.14,43.0,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,12.34,261.0,DOD94,F3,WT,cereb,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.18,43.0,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,12.34,261.0,DOD94,F3,WT,cereb,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.23,43.0,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,12.34,261.0,DOD94,F3,WT,cereb,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.27,42.0,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,12.34,261.0,DOD94,F3,WT,cereb,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.32,43.0,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,12.34,261.0,DOD94,F3,WT,cereb,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.36,43.0,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,12.34,261.0,DOD94,F3,WT,cereb,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.41,76.0,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,12.34,261.0,DOD94,F3,WT,cereb,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.45,43.0,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,12.34,261.0,DOD94,F3,WT,cereb,n-10,FA18:1,TG(50:3),0,1
722.7,547.5,13.49,43.0,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,12.34,261.0,DOD94,F3,WT,cereb,n-10,FA18:1,TG(50:3),0,1
