Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Sample_ID,Transition,Match_Group,Lipid,Cage,Mouse,Genotype,Biology,Group_Sample,db,FAC,TG,Group,Cluster_Label
722.7,547.5,13.494383333333333,41.10000228881836,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,DOD73,M2,5xFAD,liver,-1,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.5388,40.980003356933594,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,DOD73,M2,5xFAD,liver,-1,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.583200000000001,41.04000473022461,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,DOD73,M2,5xFAD,liver,-1,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.627616666666666,40.900001525878906,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,DOD73,M2,5xFAD,liver,-1,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.672016666666668,40.880001068115234,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,DOD73,M2,5xFAD,liver,-1,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.716416666666667,41.060001373291016,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,DOD73,M2,5xFAD,liver,-1,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.760833333333334,41.20000457763672,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,DOD73,M2,5xFAD,liver,-1,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.805233333333334,40.900001525878906,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,DOD73,M2,5xFAD,liver,-1,n-10,FA18:1,TG(50:3),0,1
722.7,547.5,13.84965,142.6400146484375,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,DOD73,M2,5xFAD,liver,-1,n-10,FA18:1,TG(50:3),0,1
722.7,547.5,13.89405,180.28001403808594,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,DOD73,M2,5xFAD,liver,-1,n-10,FA18:1,TG(50:3),0,1
