Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Sample_ID,Transition,Match_Group,Lipid,Cage,Mouse,Genotype,Biology,Group_Sample,db,FAC,TG,Group,Cluster_Label
722.7,547.5,13.005933333333333,42.58000183105469,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,DOD94,F3,WT,cereb,-1,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.05035,42.52000427246094,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,DOD94,F3,WT,cereb,-1,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.094750000000001,42.660003662109375,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,DOD94,F3,WT,cereb,-1,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.139166666666668,42.58000183105469,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,DOD94,F3,WT,cereb,-1,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.183566666666668,42.6400032043457,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,DOD94,F3,WT,cereb,-1,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.227966666666667,42.500003814697266,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,DOD94,F3,WT,cereb,-1,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.272383333333334,42.480003356933594,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,DOD94,F3,WT,cereb,-1,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.316783333333333,42.62000274658203,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,DOD94,F3,WT,cereb,-1,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.3612,42.7400016784668,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,DOD94,F3,WT,cereb,-1,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.405600000000002,75.52000427246094,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,DOD94,F3,WT,cereb,-1,n-10,FA18:1,TG(50:3),0,1
722.7,547.5,13.450000000000001,42.6400032043457,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,DOD94,F3,WT,cereb,-1,n-10,FA18:1,TG(50:3),0,1
722.7,547.5,13.494416666666668,42.78000259399414,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,DOD94,F3,WT,cereb,-1,n-10,FA18:1,TG(50:3),0,1
722.7,547.5,13.538816666666667,42.500003814697266,11282023_DOD94_F3_WT_cereb_O3on_01,722.7 -> 547.5,340,[TG(50:3)]_FA18:1,DOD94,F3,WT,cereb,-1,n-10,FA18:1,TG(50:3),0,1
