Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Sample_ID,Transition,Match_Group,Lipid,Correct_RT,Max_Intensity,Cage,Mouse,Genotype,Biology,db,FAC,TG,Group,Cluster_Label
722.7,547.5,13.05,42.0,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,13.76,186.0,DOD94,F4,5xFAD,cereb,n-10,FA18:1,TG(50:3),0,1
722.7,547.5,13.09,42.0,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,13.76,186.0,DOD94,F4,5xFAD,cereb,n-10,FA18:1,TG(50:3),0,1
722.7,547.5,13.14,42.0,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,13.76,186.0,DOD94,F4,5xFAD,cereb,n-10,FA18:1,TG(50:3),0,1
722.7,547.5,13.18,42.0,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,13.76,186.0,DOD94,F4,5xFAD,cereb,n-10,FA18:1,TG(50:3),0,1
722.7,547.5,13.23,112.0,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,13.76,186.0,DOD94,F4,5xFAD,cereb,n-10,FA18:1,TG(50:3),0,1
722.7,547.5,13.27,42.0,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,13.76,186.0,DOD94,F4,5xFAD,cereb,n-10,FA18:1,TG(50:3),0,1
722.7,547.5,13.32,42.0,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,13.76,186.0,DOD94,F4,5xFAD,cereb,n-10,FA18:1,TG(50:3),0,1
722.7,547.5,13.36,42.0,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,13.76,186.0,DOD94,F4,5xFAD,cereb,n-10,FA18:1,TG(50:3),0,1
722.7,547.5,13.41,42.0,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,13.76,186.0,DOD94,F4,5xFAD,cereb,n-10,FA18:1,TG(50:3),0,1
722.7,547.5,13.45,42.0,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,13.76,186.0,DOD94,F4,5xFAD,cereb,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.49,42.0,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,13.76,186.0,DOD94,F4,5xFAD,cereb,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.54,42.0,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,13.76,186.0,DOD94,F4,5xFAD,cereb,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.58,42.0,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,13.76,186.0,DOD94,F4,5xFAD,cereb,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.63,42.0,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,13.76,186.0,DOD94,F4,5xFAD,cereb,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.67,42.0,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,13.76,186.0,DOD94,F4,5xFAD,cereb,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.72,42.0,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,13.76,186.0,DOD94,F4,5xFAD,cereb,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.76,186.0,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,13.76,186.0,DOD94,F4,5xFAD,cereb,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.81,147.0,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,13.76,186.0,DOD94,F4,5xFAD,cereb,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.85,42.0,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,13.76,186.0,DOD94,F4,5xFAD,cereb,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.89,42.0,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,13.76,186.0,DOD94,F4,5xFAD,cereb,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.94,42.0,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,13.76,186.0,DOD94,F4,5xFAD,cereb,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.98,42.0,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,13.76,186.0,DOD94,F4,5xFAD,cereb,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,14.03,69.0,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,13.76,186.0,DOD94,F4,5xFAD,cereb,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,12.92,103.0,11292023_FAD185_M3_5xFAD_cereb_O3on_01,722.7 -> 547.5,420,[TG(50:3)]_FA18:1,13.58,408.0,FAD185,M3,5xFAD,cereb,n-10,FA18:1,TG(50:3),1,0
722.7,547.5,12.96,169.0,11292023_FAD185_M3_5xFAD_cereb_O3on_01,722.7 -> 547.5,420,[TG(50:3)]_FA18:1,13.58,408.0,FAD185,M3,5xFAD,cereb,n-10,FA18:1,TG(50:3),1,0
722.7,547.5,13.01,120.0,11292023_FAD185_M3_5xFAD_cereb_O3on_01,722.7 -> 547.5,420,[TG(50:3)]_FA18:1,13.58,408.0,FAD185,M3,5xFAD,cereb,n-10,FA18:1,TG(50:3),1,0
722.7,547.5,13.05,42.0,11292023_FAD185_M3_5xFAD_cereb_O3on_01,722.7 -> 547.5,420,[TG(50:3)]_FA18:1,13.58,408.0,FAD185,M3,5xFAD,cereb,n-10,FA18:1,TG(50:3),1,0
